"code","npias","name","city","state","ADO","service_level","district","id","grant_id","airport_id","npr","description","total","stimulus","discretionary","entitlement","fiscal_year"
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,51840,"3-02-0015-042-2007","MRI",41,"Acquire Equipment",320000.00,0.00,320000.00,0.00,2007
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,51841,"3-02-0015-042-2007","MRI",62,"Rehabilitate Apron",2036000.00,0.00,1036000.00,1000000.00,2007
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,51842,"3-02-0015-043-2007","MRI",50,"Construct Taxiway",1520000.00,0.00,0.00,1520000.00,2007
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,55198,"3-02-0015-044-2008","MRI",62,"Rehabilitate Apron",2546000.00,0.00,0.00,2546000.00,2008
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,55292,"3-02-0015-045-2008","MRI",80,"Install Runways Incursion Caution Bars",304000.00,0.00,45606.00,258394.00,2008
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,58976,"3-02-0015-046-2009","MRI",62,"Rehabilitate Apron",1866000.00,1866000.00,0.00,0.00,2009
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,58986,"3-02-0015-047-2009","MRI",62,"Rehabilitate Apron",2049000.00,0.00,0.00,2049000.00,2009
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,58987,"3-02-0015-047-2009","MRI",80,"Install Runways Incursion Caution Bars",250000.00,0.00,0.00,250000.00,2009
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,59037,"3-02-0015-048-2009","MRI",68,"Rehabilitate Taxiway",3680000.00,3680000.00,0.00,0.00,2009
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,44451,"3-02-0016-082-2005","ANC",61,"Construct Taxiway",2955125.00,0.00,1512125.00,1443000.00,2005
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,44452,"3-02-0016-082-2005","ANC",68,"Rehabilitate Taxiway",4487875.00,0.00,4487875.00,0.00,2005
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,44456,"3-02-0016-083-2005","ANC",56,"Noise Mitigation Measures for Residences within 65 - 69 DNL",5500000.00,0.00,5500000.00,0.00,2005
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,44462,"3-02-0016-084-2005","ANC",98,"Acquire Aircraft Rescue & Fire Fighting Vehicle",1162661.00,0.00,1162661.00,0.00,2005
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,44484,"3-02-0016-085-2005","ANC",50,"Construct Taxiway",7097812.00,0.00,847147.00,6250665.00,2005
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,44515,"3-02-0016-086-2005","ANC",56,"Construct Apron",4918750.00,0.00,3400000.00,1518750.00,2005
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,44518,"3-02-0016-087-2005","ANC",68,"Rehabilitate Taxiway",1890000.00,0.00,0.00,1890000.00,2005
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,44525,"3-02-0016-088-2005","ANC",36,"Modify Terminal Building",2989372.00,0.00,0.00,2989372.00,2005
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,44526,"3-02-0016-088-2005","ANC",36,"Modify Terminal Building",3403336.00,0.00,0.00,3403336.00,2005
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,44527,"3-02-0016-088-2005","ANC",36,"Modify Terminal Building",3358619.00,0.00,0.00,3358619.00,2005
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,44534,"3-02-0016-089-2005","ANC",68,"Rehabilitate Taxiway",9425476.00,0.00,6000000.00,3425476.00,2005
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,44535,"3-02-0016-089-2005","ANC",68,"Rehabilitate Taxiway",2809524.00,0.00,0.00,2809524.00,2005
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,48206,"3-02-0016-090-2006","ANC",56,"Construct Apron",4718750.00,0.00,3200000.00,1518750.00,2006
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,48207,"3-02-0016-091-2006","ANC",68,"Rehabilitate Taxiway",7466000.00,0.00,6000000.00,1466000.00,2006
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,48208,"3-02-0016-091-2006","ANC",72,"Rehabilitate Runway",2000000.00,0.00,2000000.00,0.00,2006
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,48209,"3-02-0016-092-2006","ANC",68,"Conduct Airport Master Plan Study",1413363.00,0.00,0.00,1413363.00,2006
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,48219,"3-02-0016-093-2006","ANC",68,"Rehabilitate Taxiway",1807115.00,0.00,0.00,1807115.00,2006
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,48220,"3-02-0016-093-2006","ANC",68,"Rehabilitate Taxiway",4786009.00,0.00,0.00,4786009.00,2006
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,48247,"3-02-0016-094-2006","ANC",62,"Rehabilitate Apron",2028560.00,0.00,0.00,2028560.00,2006
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,48248,"3-02-0016-094-2006","ANC",62,"Rehabilitate Apron",1417716.00,0.00,0.00,1417716.00,2006
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,48251,"3-02-0016-095-2006","ANC",98,"Acquire Aircraft Rescue & Fire Fighting Vehicle",1040100.00,0.00,378294.00,661806.00,2006
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,51826,"3-02-0016-096-2007","ANC",62,"Rehabilitate Apron",17498046.00,0.00,4000000.00,13498046.00,2007
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,51827,"3-02-0016-097-2007","ANC",98,"Acquire Aircraft Rescue & Fire Fighting Vehicle",1106976.00,0.00,1106976.00,0.00,2007
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,51828,"3-02-0016-098-2007","ANC",56,"Noise Mitigation Measures for Residences within 65 - 69 DNL",4500000.00,0.00,4500000.00,0.00,2007
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,51829,"3-02-0016-099-2007","ANC",62,"Rehabilitate Apron",1380000.00,0.00,920000.00,460000.00,2007
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,51830,"3-02-0016-100-2007","ANC",48,"Acquire Snow Removal Equipment",226454.00,0.00,0.00,226454.00,2007
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,55197,"3-02-0016-101-2008","ANC",56,"Noise Mitigation Measures for Residences within 65 - 69 DNL",3500000.00,0.00,3500000.00,0.00,2008
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,55199,"3-02-0016-102-2008","ANC",68,"Rehabilitate Taxiway",8436000.00,0.00,7436000.00,1000000.00,2008
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,55200,"3-02-0016-103-2008","ANC",36,"Modify Terminal Building",2494098.00,0.00,0.00,2494098.00,2008
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,55201,"3-02-0016-104-2008","ANC",68,"Rehabilitate Taxiway",5852500.00,0.00,0.00,5852500.00,2008
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,55202,"3-02-0016-105-2008","ANC",86,"Security Enhancements",9539851.00,0.00,7281627.00,2258224.00,2008
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,55203,"3-02-0016-106-2008","ANC",68,"Update Airport Master Plan Study",1526000.00,0.00,0.00,1526000.00,2008
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,55205,"3-02-0016-107-2008","ANC",48,"Acquire Snow Removal Equipment",1000000.00,0.00,0.00,1000000.00,2008
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,55214,"3-02-0016-108-2008","ANC",98,"Acquire Aircraft Rescue & Fire Fighting Vehicle",1384606.00,0.00,1384606.00,0.00,2008
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,55217,"3-02-0016-109-2008","ANC",68,"Rehabilitate Taxiway",1185637.00,0.00,0.00,1185637.00,2008
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,55290,"3-02-0016-111-2008","ANC",68,"Rehabilitate Taxiway",3687169.00,0.00,0.00,3687169.00,2008
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,55291,"3-02-0016-112-2008","ANC",36,"Modify Terminal Building",869008.00,0.00,0.00,869008.00,2008
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,58940,"3-02-0016-110-2009","ANC",68,"Rehabilitate Taxiway",1347279.00,0.00,0.00,1347279.00,2009
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,58944,"3-02-0016-113-2009","ANC",62,"Rehabilitate Apron",11220857.00,0.00,4259820.00,6961037.00,2009
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,58945,"3-02-0016-114-2009","ANC",68,"Rehabilitate Taxiway",2445101.00,0.00,0.00,2445101.00,2009
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,58948,"3-02-0016-115-2009","ANC",56,"Noise Mitigation Measures for Residences within 65 - 69 DNL",3000000.00,0.00,3000000.00,0.00,2009
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,58949,"3-02-0016-116-2009","ANC",36,"Modify Terminal Building",1139675.00,0.00,0.00,1139675.00,2009
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,58954,"3-02-0016-117-2009","ANC",66,"Conduct State System Plan Study",937500.00,0.00,0.00,937500.00,2009
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,58960,"3-02-0016-118-2009","ANC",73,"Improve Aircraft Rescue & Fire Fighting Building",2142291.00,0.00,0.00,2142291.00,2009
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,58962,"3-02-0016-119-2009","ANC",48,"Acquire Snow Removal Equipment",4540683.00,0.00,4540683.00,0.00,2009
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,58963,"3-02-0016-120-2009","ANC",98,"Acquire Aircraft Rescue & Fire Fighting Vehicle",1152268.00,0.00,1152268.00,0.00,2009
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,58975,"3-02-0016-121-2009","ANC",62,"Rehabilitate Apron",2094846.00,2094846.00,0.00,0.00,2009
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,58988,"3-02-0016-122-2009","ANC",73,"Improve Aircraft Rescue & Fire Fighting Building",1804584.00,0.00,0.00,1804584.00,2009
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,58989,"3-02-0016-123-2009","ANC",36,"Modify Terminal Building",2371112.00,0.00,0.00,2371112.00,2009
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,58990,"3-02-0016-124-2009","ANC",98,"Acquire Aircraft Rescue & Fire Fighting Vehicle",265446.00,0.00,0.00,265446.00,2009
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,59047,"3-02-0016-126-2009","ANC",58,"Update Miscellaneous Study",468750.00,0.00,0.00,468750.00,2009
"AGN","02-0018","Angoon","Angoon","AK","AAL","",,,"","",,"",,,,,
"+07E","02-0476","Angoon (Proposed GA)","Angoon","AK","AAL","",1,51848,"3-02-0476-001-2007","+07E",40,"Construct New Airport",1147522.76,0.00,147522.76,1000000.00,2007
"+07E","02-0476","Angoon (Proposed GA)","Angoon","AK","AAL","",1,58943,"3-02-0476-002-2009","+07E",40,"Construct New Airport",3000000.00,0.00,0.00,3000000.00,2009
"ANI","02-0019","Aniak","Aniak","AK","AAL","P",1,44501,"3-02-0019-007-2005","ANI",39,"Construct Snow Removal Equipment Building",3302222.00,0.00,0.00,3302222.00,2005
"ANI","02-0019","Aniak","Aniak","AK","AAL","P",1,48301,"3-02-0019-008-2006","ANI",66,"Conduct Airport Master Plan Study",53437.57,0.00,0.00,53437.57,2006
"ANV","02-0021","Anvik","Anvik","AK","AAL","",,,"","",,"",,,,,
"ARC","02-0022","Arctic Village","Arctic Village","AK","AAL","",,,"","",,"",,,,,
"AKA","02-0394","Atka","Atka","AK","AAL","GA",1,55182,"3-02-0394-005-2008","AKA",41,"Construct Apron",3000000.00,0.00,0.00,3000000.00,2008
"AKA","02-0394","Atka","Atka","AK","AAL","GA",1,55183,"3-02-0394-005-2008","AKA",66,"Rehabilitate Runway",9500000.00,0.00,0.00,9500000.00,2008
"AKA","02-0394","Atka","Atka","AK","AAL","GA",1,55184,"3-02-0394-005-2008","AKA",36,"Construct Snow Removal Equipment Building",2500000.00,0.00,0.00,2500000.00,2008
"AKA","02-0394","Atka","Atka","AK","AAL","GA",1,55185,"3-02-0394-005-2008","AKA",45,"Extend Runway",6647363.00,0.00,0.00,6647363.00,2008
"4A2","02-0379","Atmautluak","Atmautluak","AK","AAL","",,,"","",,"",,,,,
"ATK","02-0023","Atqasuk Edward Burnell Sr Memorial","Atqasuk","AK","AAL","",,,"","",,"",,,,,
"BNF","02-0451","Warm Spring Bay","Baranof","AK","AAL","",,,"","",,"",,,,,
"BRW","02-0026","Wiley Post-Will Rogers Memorial","Barrow","AK","AAL","P",1,55228,"3-02-0026-011-2008","BRW",94,"Construct Runway Safety Area",2500000.00,0.00,2500000.00,0.00,2008
"BRW","02-0026","Wiley Post-Will Rogers Memorial","Barrow","AK","AAL","P",1,55229,"3-02-0026-011-2008","BRW",70,"Rehabilitate Runway",500000.00,0.00,0.00,500000.00,2008
"BTI","02-0027","Barter Island LRRS","Barter Island Lrrs","AK","AAL","CS",1,48191,"3-02-0027-003-2006","BTI",62,"Update Airport Master Plan Study",927772.00,0.00,0.00,927772.00,2006
"BTI","02-0027","Barter Island LRRS","Barter Island Lrrs","AK","AAL","CS",1,48218,"3-02-0027-004-2006","BTI",66,"Rehabilitate Runway",1741271.00,0.00,0.00,1741271.00,2006
"WBQ","02-0028","Beaver","Beaver","AK","AAL","",,,"","",,"",,,,,
"BET","02-0029","Bethel","Bethel","AK","AAL","P",1,44509,"3-02-0029-013-2005","BET",39,"Construct Sand and Chemical Storage Building",1686972.00,0.00,0.00,1686972.00,2005
"BET","02-0029","Bethel","Bethel","AK","AAL","P",1,44523,"3-02-0029-014-2005","BET",94,"Construct Runway Safety Area",6000000.00,0.00,6000000.00,0.00,2005
"BET","02-0029","Bethel","Bethel","AK","AAL","P",1,44524,"3-02-0029-014-2005","BET",52,"Construct Runway",10100000.00,0.00,0.00,10100000.00,2005
"BET","02-0029","Bethel","Bethel","AK","AAL","P",1,48186,"3-02-0029-015-2006","BET",44,"Construct Apron",5701583.00,0.00,0.00,5701583.00,2006
"BET","02-0029","Bethel","Bethel","AK","AAL","P",1,51952,"3-02-0029-016-2007","BET",52,"Construct Runway",2733217.00,0.00,0.00,2733217.00,2007
"BET","02-0029","Bethel","Bethel","AK","AAL","P",1,55239,"3-02-0029-017-2008","BET",52,"Construct Runway",5877983.00,0.00,4500000.00,1377983.00,2008
"BET","02-0029","Bethel","Bethel","AK","AAL","P",1,58958,"3-02-0029-018-2009","BET",52,"Construct Runway",3277634.00,0.00,2000000.00,1277634.00,2009
"BTT","02-0030","Bettles","Bettles","AK","AAL","",,,"","",,"",,,,,
"BGQ","02-0031","Big Lake","Big Lake","AK","AAL","",,,"","",,"",,,,,
"Z91","02-0033","Birch Creek","Birch Creek","AK","AAL","",,,"","",,"",,,,,
"BCV","02-0034","Birchwood","Birchwood","AK","AAL","GA",1,58994,"3-02-0034-005-2009","BCV",68,"Conduct Airport Master Plan Study",152000.00,0.00,0.00,152000.00,2009
"BYA","02-0036","Boundary","Boundary","AK","AAL","",,,"","",,"",,,,,
"KTS","02-0294","Brevig Mission","Brevig Mission","AK","AAL","",,,"","",,"",,,,,
"BVK","02-0399","Buckland","Buckland","AK","AAL","",,,"","",,"",,,,,
"CEM","02-0045","Central","Central","AK","AAL","",,,"","",,"",,,,,
"CIK","02-0046","Chalkyitsik","Chalkyitsik","AK","AAL","",,,"","",,"",,,,,
"5CD","02-0431","Chandalar Shelf","Chandalar Camp","AK","AAL","",,,"","",,"",,,,,
"WCR","02-0047","Chandalar Lake","Chandalar Lake","AK","AAL","",,,"","",,"",,,,,
"CFK","02-0054","Chefornak","Chefornak","AK","AAL","",,,"","",,"",,,,,
"+01G","02-0442","Chefornak (Proposed CM)","Chefornak","AK","AAL","",,,"","",,"",,,,,
"C05","02-0419","Chenega Bay","Chenega","AK","AAL","",,,"","",,"",,,,,
"+06W","02-0468","Chevak","Chevak","AK","AAL","",1,44446,"3-02-0468-001-2005","+06W",36,"Construct Snow Removal Equipment Building",500000.00,0.00,0.00,500000.00,2005
"+06W","02-0468","Chevak","Chevak","AK","AAL","",1,44447,"3-02-0468-001-2005","+06W",40,"Construct New Airport",2968450.00,0.00,0.00,2968450.00,2005
"+06W","02-0468","Chevak","Chevak","AK","AAL","",1,51932,"3-02-0468-002-2007","+06W",40,"Construct New Airport",193800.00,0.00,0.00,193800.00,2007
"VAK","02-0052","Chevak","Chevak","AK","AAL","",,,"","",,"",,,,,
"CKX","02-0053","Chicken","Chicken","AK","AAL","GA",1,55186,"3-02-0053-002-2008","CKX",37,"Acquire Land for Development",111240.00,0.00,0.00,111240.00,2008
"CKX","02-0053","Chicken","Chicken","AK","AAL","GA",1,55187,"3-02-0053-002-2008","CKX",44,"Acquire Snow Removal Equipment",382157.00,0.00,0.00,382157.00,2008
"AJC","02-0330","Chignik","Chignik","AK","AAL","",,,"","",,"",,,,,
"KCL","02-0056","Chignik Lagoon","Chignik Flats","AK","AAL","",,,"","",,"",,,,,
"A79","02-0331","Chignik Lake","Chignik Lake","AK","AAL","",,,"","",,"",,,,,
"CZN","02-0057","Chisana","Chisana","AK","AAL","",,,"","",,"",,,,,
"CXC","02-0059","Chitina","Chitina","AK","AAL","",,,"","",,"",,,,,
"9A3","02-0460","Chuathbaluk","Chuathbaluk","AK","AAL","",,,"","",,"",,,,,
"CRC","02-0407","Circle City /New/","Circle","AK","AAL","",,,"","",,"",,,,,
"CHP","02-0061","Circle Hot Springs","Circle Hot Springs","AK","AAL","",,,"","",,"",,,,,
"CLP","02-0438","Clarks Point","Clarks Point","AK","AAL","",,,"","",,"",,,,,
"Z84","02-0420","Clear","Clear","AK","AAL","",,,"","",,"",,,,,
"KCC","02-0064","Coffman Cove","Coffman Cove","AK","AAL","GA",1,48185,"3-02-0064-002-2006","KCC",47,"Construct Seaplane Base",1437164.00,0.00,0.00,1437164.00,2006
"CDB","02-0065","Cold Bay","Cold Bay","AK","AAL","CS",1,44475,"3-02-0065-008-2005","CDB",62,"Conduct Airport Master Plan Study",200000.00,0.00,200000.00,0.00,2005
"CDB","02-0065","Cold Bay","Cold Bay","AK","AAL","CS",1,55224,"3-02-0065-009-2008","CDB",62,"Conduct Airport Master Plan Study",300000.00,0.00,0.00,300000.00,2008
"CXF","02-0425","Coldfoot","Coldfoot","AK","AAL","",,,"","",,"",,,,,
"CKU","02-0068","Cordova Municipal","Cordova","AK","AAL","",,,"","",,"",,,,,
"CDV","02-0067","Merle K (Mudhole) Smith","Cordova","AK","AAL","P",1,44521,"3-02-0067-009-2005","CDV",19,"Repair Utilities",1500000.00,0.00,0.00,1500000.00,2005
"CDV","02-0067","Merle K (Mudhole) Smith","Cordova","AK","AAL","P",1,44522,"3-02-0067-009-2005","CDV",94,"Construct Runway Safety Area",5264226.00,0.00,5264226.00,0.00,2005
"CDV","02-0067","Merle K (Mudhole) Smith","Cordova","AK","AAL","P",1,48216,"3-02-0067-010-2006","CDV",94,"Construct Runway Safety Area",4346424.00,0.00,4346424.00,0.00,2006
"CDV","02-0067","Merle K (Mudhole) Smith","Cordova","AK","AAL","P",1,51852,"3-02-0067-012-2007","CDV",39,"Construct Sand and Chemical Storage Building",2700000.00,0.00,0.00,2700000.00,2007
"CDV","02-0067","Merle K (Mudhole) Smith","Cordova","AK","AAL","P",1,55181,"3-02-0067-011-2008","CDV",70,"Rehabilitate Runway Lighting",4499980.00,0.00,0.00,4499980.00,2008
"CDV","02-0067","Merle K (Mudhole) Smith","Cordova","AK","AAL","P",1,59052,"3-02-0067-013-2009","CDV",70,"Rehabilitate Runway Lighting",650000.00,0.00,0.00,650000.00,2009
"K29","02-0413","Council","Council","AK","AAL","",,,"","",,"",,,,,
"CGA","02-0071","Craig","Craig","AK","AAL","",,,"","",,"",,,,,
"CJX","02-0073","Crooked Creek","Crooked Creek","AK","AAL","",,,"","",,"",,,,,
"DCK","02-0075","Dahl Creek","Dahl Creek","AK","AAL","",,,"","",,"",,,,,
"SCC","02-0339","Deadhorse","Deadhorse","AK","AAL","P",1,44469,"3-02-0339-008-2005","SCC",41,"Expand Apron",791541.00,0.00,0.00,791541.00,2005
"SCC","02-0339","Deadhorse","Deadhorse","AK","AAL","P",1,44470,"3-02-0339-008-2005","SCC",94,"Extend Runway Safety Area",7941542.00,0.00,7000000.00,941542.00,2005
"SCC","02-0339","Deadhorse","Deadhorse","AK","AAL","P",1,51949,"3-02-0339-009-2007","SCC",66,"Update Airport Master Plan Study",600000.00,0.00,0.00,600000.00,2007
"DEE","02-0400","Deering","Deering","AK","AAL","",,,"","",,"",,,,,
"DLG","02-0078","Dillingham","Dillingham","AK","AAL","P",1,59042,"3-02-0078-011-2009","DLG",39,"Construct Sand and Chemical Storage Building",2669171.00,0.00,0.00,2669171.00,2009
"DM2","02-0381","Diomede","Diomede","AK","AAL","",,,"","",,"",,,,,
"EAA","02-0083","Eagle","Eagle","AK","AAL","",,,"","",,"",,,,,
"+078","02-0466","Edna Bay SPB (Proposed GA)","Edna Bay","AK","AAL","",,,"","",,"",,,,,
"EEK","02-0085","Eek","Eek","AK","AAL","",,,"","",,"",,,,,
"EII","02-0422","Egegik","Egegik","AK","AAL","",,,"","",,"",,,,,
"KEK","02-0088","Ekwok","Ekwok","AK","AAL","GA",1,55238,"3-02-0088-003-2008","KEK",36,"Construct Snow Removal Equipment Building",1640647.00,0.00,0.00,1640647.00,2008
"ELV","02-0089","Elfin Cove","Elfin Cove","AK","AAL","",,,"","",,"",,,,,
"ELI","02-0090","Elim","Elim","AK","AAL","CS",1,55296,"3-02-0090-005-2008","ELI",66,"Rehabilitate Runway",1815456.00,0.00,0.00,1815456.00,2008
"ENM","02-0397","Emmonak","Emmonak","AK","AAL","P",1,55190,"3-02-0397-003-2008","ENM",60,"Rehabilitate Apron",7544368.00,0.00,0.00,7544368.00,2008
"ENM","02-0397","Emmonak","Emmonak","AK","AAL","P",1,58950,"3-02-0397-004-2009","ENM",70,"Rehabilitate Runway Lighting",602939.00,0.00,0.00,602939.00,2009
"ENM","02-0397","Emmonak","Emmonak","AK","AAL","P",1,58951,"3-02-0397-004-2009","ENM",60,"Rehabilitate Apron",3500000.00,0.00,0.00,3500000.00,2009
"EXI","02-0095","Excursion Inlet","Excursion Inlet","AK","AAL","",,,"","",,"",,,,,
