"code","npias","name","city","state","ADO","service_level","district","fiscal_year","description","grant_number","airport_id","total","entitlement_total","discretionary_total","stimulus_total"
"AKP","02-0012","Anaktuvuk Pass","Anaktuvuk Pass","AK","AAL","",,,"","","",,,,
"LHD","02-0013","Lake Hood","Anchorage","AK","AAL","P",1,2006,"Construct Apron [Phase 2 (06 EP + 05 Carryover)], Construct Apron [Phase 2 (MY - Reimbursement)]","3-02-0013-011-2006","LHD",2891416.00,2891416.00,0.00,0.00
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,2005,"Extend Taxiway [(RSAT Recommendation)], Rehabilitate Runway - 06/24, Security Enhancements [(RSAT Recommendations)]","3-02-0015-036-2005","MRI",4307663.00,1000000.00,3307663.00,0.00
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,2006,"Acquire Snow Removal Equipment","3-02-0015-040-2006","MRI",551000.00,551000.00,0.00,0.00
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,2006,"Rehabilitate Apron [Phase 1 (block 5)], Security Enhancements [(RSAT Recommendations, Phase 2)]","3-02-0015-041-2006","MRI",1713731.00,1427100.00,286631.00,0.00
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,2007,"Acquire Equipment [(Public Address System)], Rehabilitate Apron [Phase 2 (block 5)]","3-02-0015-042-2007","MRI",2356000.00,1000000.00,1356000.00,0.00
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,2007,"Construct Taxiway [Phase 1 (Land Acquis.)]","3-02-0015-043-2007","MRI",1520000.00,1520000.00,0.00,0.00
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,2008,"Rehabilitate Apron [Block 5 (phase 3), Charlie South]","3-02-0015-044-2008","MRI",2546000.00,2546000.00,0.00,0.00
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,2008,"Install Runways Incursion Caution Bars [Runway VPD barrier gate and warning light upgrades, phase 1]","3-02-0015-045-2008","MRI",304000.00,258394.00,45606.00,0.00
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,2009,"Rehabilitate Apron [Apron Rehabilitation - ARRA Funded]","3-02-0015-046-2009","MRI",1866000.00,0.00,0.00,1866000.00
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,2009,"Install Runways Incursion Caution Bars [Runway VPD barrier gate and warning lights upgrades, phase 2], Rehabilitate Apron [Block 5 (phase 4)]","3-02-0015-047-2009","MRI",2299000.00,2299000.00,0.00,0.00
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,2009,"Rehabilitate Taxiway [Rehabilitate Taxiway Quebec - Phase 1 (ARRA funded)]","3-02-0015-048-2009","MRI",3680000.00,0.00,0.00,3680000.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2005,"Construct Taxiway [LOI #2-01(grant 3): Construct twy Y (pymt 3)], Rehabilitate Taxiway [LOI #2-01 [grant 3]; DG6 Upgrade Twy K(J - Y) [pymt1]]","3-02-0016-082-2005","ANC",7443000.00,1443000.00,6000000.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2005,"Noise Mitigation Measures for Residences within 65 - 69 DNL [RSIP (phase 5), 150 homes (est.)]","3-02-0016-083-2005","ANC",5500000.00,0.00,5500000.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2005,"Acquire Aircraft Rescue & Fire Fighting Vehicle [Acquire ARFF vehicle 1]","3-02-0016-084-2005","ANC",1162661.00,0.00,1162661.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2005,"Construct Taxiway","3-02-0016-085-2005","ANC",7097812.00,6250665.00,847147.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2005,"Construct Apron [LOI #98-1 (grant 7): Postmark RRA (pymt 1)]","3-02-0016-086-2005","ANC",4918750.00,1518750.00,3400000.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2005,"Rehabilitate Taxiway [Construct run-up pad (twy K)]","3-02-0016-087-2005","ANC",1890000.00,1890000.00,0.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2005,"Modify Terminal Building [(Phase 1 [MYr 1])], Modify Terminal Building [(Phase 1 [MYr 2])], Modify Terminal Building [(Phase 1 [MYr 3])]","3-02-0016-088-2005","ANC",9751327.00,9751327.00,0.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2005,"Rehabilitate Taxiway [Reconstr K from C-A (non-LOI), phase 1], Rehabilitate Taxiway [Reconstr K from C-A (non-LOI), phase 1; MY funds]","3-02-0016-089-2005","ANC",12235000.00,6235000.00,6000000.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2006,"Construct Apron [LOI #98-1 (grant 8): Postmark RRA (pymt 2)]","3-02-0016-090-2006","ANC",4718750.00,1518750.00,3200000.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2006,"Rehabilitate Runway [LOI #2-01 [grant 4]; Reconst. rwy to DG6 [pymt 1]] - 07R/25L, Rehabilitate Taxiway [LOI #2-01 [grant 4]; DG 6 twy K(J-Y) [pymt 2]]","3-02-0016-091-2006","ANC",9466000.00,1466000.00,8000000.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2006,"Conduct Airport Master Plan Study [phase 1]","3-02-0016-092-2006","ANC",1413363.00,1413363.00,0.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2006,"Rehabilitate Taxiway [(DG6)], Rehabilitate Taxiway [Reconstr K from C-A (non-LOI), phase 2]","3-02-0016-093-2006","ANC",6593124.00,6593124.00,0.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2006,"Rehabilitate Apron [Rehab gates N4 & N6], Rehabilitate Apron [Rehab gates N4 & N6 (MY phase 2)]","3-02-0016-094-2006","ANC",3446276.00,3446276.00,0.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2006,"Acquire Aircraft Rescue & Fire Fighting Vehicle [Acquire ARFF vehicle 2]","3-02-0016-095-2006","ANC",1040100.00,661806.00,378294.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2007,"Rehabilitate Apron [RON Parking 7-11]","3-02-0016-096-2007","ANC",17498046.00,13498046.00,4000000.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2007,"Acquire Aircraft Rescue & Fire Fighting Vehicle [Acquire ARFF vehicle 3]","3-02-0016-097-2007","ANC",1106976.00,0.00,1106976.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2007,"Noise Mitigation Measures for Residences within 65 - 69 DNL [RSIP (phase 6), 150 homes (est.)]","3-02-0016-098-2007","ANC",4500000.00,0.00,4500000.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2007,"Rehabilitate Apron [LOI #98-1 [grant 9]; Concourse A apron]","3-02-0016-099-2007","ANC",1380000.00,460000.00,920000.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2007,"Acquire Snow Removal Equipment [acquire sre]","3-02-0016-100-2007","ANC",226454.00,226454.00,0.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2008,"Noise Mitigation Measures for Residences within 65 - 69 DNL [RSIP (phase 7), 75 homes (est.)]","3-02-0016-101-2008","ANC",3500000.00,0.00,3500000.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2008,"Rehabilitate Taxiway [LOI no. 2-01 payment 5; Rehabilitate Taxiway Kilo]","3-02-0016-102-2008","ANC",8436000.00,1000000.00,7436000.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2008,"Modify Terminal Building [Phase 2]","3-02-0016-103-2008","ANC",2494098.00,2494098.00,0.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2008,"Rehabilitate Taxiway [Rehab. t/w G & E]","3-02-0016-104-2008","ANC",5852500.00,5852500.00,0.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2008,"Security Enhancements [replace access controls]","3-02-0016-105-2008","ANC",9539851.00,2258224.00,7281627.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2008,"Update Airport Master Plan Study [MP update phase 2]","3-02-0016-106-2008","ANC",1526000.00,1526000.00,0.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2008,"Acquire Snow Removal Equipment [3 runway snow plows]","3-02-0016-107-2008","ANC",1000000.00,1000000.00,0.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2008,"Acquire Aircraft Rescue & Fire Fighting Vehicle [Acquire ARFF vehicle 4]","3-02-0016-108-2008","ANC",1384606.00,0.00,1384606.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2008,"Rehabilitate Taxiway [Rehab. t/w G & E phase 2]","3-02-0016-109-2008","ANC",1185637.00,1185637.00,0.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2008,"Rehabilitate Taxiway [Rehab. t/w G & E phase 3]","3-02-0016-111-2008","ANC",3687169.00,3687169.00,0.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2008,"Modify Terminal Building [Phase 3]","3-02-0016-112-2008","ANC",869008.00,869008.00,0.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2009,"Rehabilitate Taxiway [LOI #2-01 [grant 6]]","3-02-0016-110-2009","ANC",1347279.00,1347279.00,0.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2009,"Rehabilitate Apron [RON 12-14]","3-02-0016-113-2009","ANC",11220857.00,6961037.00,4259820.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2009,"Rehabilitate Taxiway [Rehab. t/w G & E phase 4]","3-02-0016-114-2009","ANC",2445101.00,2445101.00,0.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2009,"Noise Mitigation Measures for Residences within 65 - 69 DNL [RSIP (phase 8), 55 homes (est.)]","3-02-0016-115-2009","ANC",3000000.00,0.00,3000000.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2009,"Modify Terminal Building [Phase 4 (FY09 Phase A)]","3-02-0016-116-2009","ANC",1139675.00,1139675.00,0.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2009,"Conduct State System Plan Study","3-02-0016-117-2009","ANC",937500.00,937500.00,0.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2009,"Improve Aircraft Rescue & Fire Fighting Building [ARFF expansion, Phase 1 (FY09 Part A)]","3-02-0016-118-2009","ANC",2142291.00,2142291.00,0.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2009,"Acquire Snow Removal Equipment [acquire SRE]","3-02-0016-119-2009","ANC",4540683.00,0.00,4540683.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2009,"Acquire Aircraft Rescue & Fire Fighting Vehicle [Acquire ARFF Truck]","3-02-0016-120-2009","ANC",1152268.00,0.00,1152268.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2009,"Rehabilitate Apron [Gate N8 Apron Rehabilitation (ARRA funded)]","3-02-0016-121-2009","ANC",2094846.00,0.00,0.00,2094846.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2009,"Improve Aircraft Rescue & Fire Fighting Building [ARFF expansion, Phase 2 (FY09 Phase B)]","3-02-0016-122-2009","ANC",1804584.00,1804584.00,0.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2009,"Modify Terminal Building [Phase 5 (FY09 Phase B)]","3-02-0016-123-2009","ANC",2371112.00,2371112.00,0.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2009,"Acquire Aircraft Rescue & Fire Fighting Vehicle [ARFF Rapid Intervention Vehicle]","3-02-0016-124-2009","ANC",265446.00,265446.00,0.00,0.00
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,2009,"Update Miscellaneous Study [Kulis Planning Grant - Air Guard Base Closure/Airport Sponsor Takeover]","3-02-0016-126-2009","ANC",468750.00,468750.00,0.00,0.00
"AGN","02-0018","Angoon","Angoon","AK","AAL","",,,"","","",,,,
"+07E","02-0476","Angoon (Proposed GA)","Angoon","AK","AAL","",1,2007,"Construct New Airport [(EIS, Phase 1)]","3-02-0476-001-2007","+07E",1147522.76,1000000.00,147522.76,0.00
"+07E","02-0476","Angoon (Proposed GA)","Angoon","AK","AAL","",1,2009,"Construct New Airport [(EIS, Phase 2)]","3-02-0476-002-2009","+07E",3000000.00,3000000.00,0.00,0.00
"ANI","02-0019","Aniak","Aniak","AK","AAL","P",1,2005,"Construct Snow Removal Equipment Building","3-02-0019-007-2005","ANI",3302222.00,3302222.00,0.00,0.00
"ANI","02-0019","Aniak","Aniak","AK","AAL","P",1,2006,"Conduct Airport Master Plan Study [Erosion Study Phase II Aniak Master Plan]","3-02-0019-008-2006","ANI",53437.57,53437.57,0.00,0.00
"ANV","02-0021","Anvik","Anvik","AK","AAL","",,,"","","",,,,
"ARC","02-0022","Arctic Village","Arctic Village","AK","AAL","",,,"","","",,,,
"AKA","02-0394","Atka","Atka","AK","AAL","GA",1,2008,"Construct Apron [construct apron w/taxiway stub], Construct Snow Removal Equipment Building [Construct Snow Removal Equipment Building], Extend Runway [Extend/Rehab Runway] - 15/33, Rehabilitate Runway [Reconstruct Runway from 15/33 to 16/34] - 15/33","3-02-0394-005-2008","AKA",21647363.00,21647363.00,0.00,0.00
"4A2","02-0379","Atmautluak","Atmautluak","AK","AAL","",,,"","","",,,,
"ATK","02-0023","Atqasuk Edward Burnell Sr Memorial","Atqasuk","AK","AAL","",,,"","","",,,,
"BNF","02-0451","Warm Spring Bay","Baranof","AK","AAL","",,,"","","",,,,
"BRW","02-0026","Wiley Post-Will Rogers Memorial","Barrow","AK","AAL","P",1,2008,"Construct Runway Safety Area [Phase 3 construction] - 06/24, Rehabilitate Runway - 06/24","3-02-0026-011-2008","BRW",3000000.00,500000.00,2500000.00,0.00
"BTI","02-0027","Barter Island LRRS","Barter Island Lrrs","AK","AAL","CS",1,2006,"Update Airport Master Plan Study [(Phase 2, Environmental)]","3-02-0027-003-2006","BTI",927772.00,927772.00,0.00,0.00
"BTI","02-0027","Barter Island LRRS","Barter Island Lrrs","AK","AAL","CS",1,2006,"Rehabilitate Runway [(Maintenance)] - 06/24","3-02-0027-004-2006","BTI",1741271.00,1741271.00,0.00,0.00
"WBQ","02-0028","Beaver","Beaver","AK","AAL","",,,"","","",,,,
"BET","02-0029","Bethel","Bethel","AK","AAL","P",1,2005,"Construct Sand and Chemical Storage Building","3-02-0029-013-2005","BET",1686972.00,1686972.00,0.00,0.00
"BET","02-0029","Bethel","Bethel","AK","AAL","P",1,2005,"Construct Runway - Plan-1, Construct Runway Safety Area - 18/36","3-02-0029-014-2005","BET",16100000.00,10100000.00,6000000.00,0.00
"BET","02-0029","Bethel","Bethel","AK","AAL","P",1,2006,"Construct Apron","3-02-0029-015-2006","BET",5701583.00,5701583.00,0.00,0.00
"BET","02-0029","Bethel","Bethel","AK","AAL","P",1,2007,"Construct Runway [Phase 2 (Paving Phase 1)] - Plan-1","3-02-0029-016-2007","BET",2733217.00,2733217.00,0.00,0.00
"BET","02-0029","Bethel","Bethel","AK","AAL","P",1,2008,"Construct Runway [Phase 3 (Paving Phase 2)] - Plan-1","3-02-0029-017-2008","BET",5877983.00,1377983.00,4500000.00,0.00
"BET","02-0029","Bethel","Bethel","AK","AAL","P",1,2009,"Construct Runway [Phase 4 (Paving Runway 1L/19R Phase 3--final phase)] - Plan-1","3-02-0029-018-2009","BET",3277634.00,1277634.00,2000000.00,0.00
"BTT","02-0030","Bettles","Bettles","AK","AAL","",,,"","","",,,,
"BGQ","02-0031","Big Lake","Big Lake","AK","AAL","",,,"","","",,,,
"Z91","02-0033","Birch Creek","Birch Creek","AK","AAL","",,,"","","",,,,
"BCV","02-0034","Birchwood","Birchwood","AK","AAL","GA",1,2009,"Conduct Airport Master Plan Study","3-02-0034-005-2009","BCV",152000.00,152000.00,0.00,0.00
"BYA","02-0036","Boundary","Boundary","AK","AAL","",,,"","","",,,,
"KTS","02-0294","Brevig Mission","Brevig Mission","AK","AAL","",,,"","","",,,,
"BVK","02-0399","Buckland","Buckland","AK","AAL","",,,"","","",,,,
"CEM","02-0045","Central","Central","AK","AAL","",,,"","","",,,,
"CIK","02-0046","Chalkyitsik","Chalkyitsik","AK","AAL","",,,"","","",,,,
"5CD","02-0431","Chandalar Shelf","Chandalar Camp","AK","AAL","",,,"","","",,,,
"WCR","02-0047","Chandalar Lake","Chandalar Lake","AK","AAL","",,,"","","",,,,
"CFK","02-0054","Chefornak","Chefornak","AK","AAL","",,,"","","",,,,
"+01G","02-0442","Chefornak (Proposed CM)","Chefornak","AK","AAL","",,,"","","",,,,
"C05","02-0419","Chenega Bay","Chenega","AK","AAL","",,,"","","",,,,
"+06W","02-0468","Chevak","Chevak","AK","AAL","",1,2005,"Construct New Airport [Phase 2 (Surfacing)], Construct Snow Removal Equipment Building","3-02-0468-001-2005","+06W",3468450.00,3468450.00,0.00,0.00
"+06W","02-0468","Chevak","Chevak","AK","AAL","",1,2007,"Construct New Airport [Phase III]","3-02-0468-002-2007","+06W",193800.00,193800.00,0.00,0.00
"VAK","02-0052","Chevak","Chevak","AK","AAL","",,,"","","",,,,
"CKX","02-0053","Chicken","Chicken","AK","AAL","GA",1,2008,"Acquire Land for Development [Acquire Land: Tract 1, Parcels B, C, D, D1, E, E1, and F], Acquire Snow Removal Equipment [Acquire Snow Removal Equipment (Motor Grader)]","3-02-0053-002-2008","CKX",493397.00,493397.00,0.00,0.00
"AJC","02-0330","Chignik","Chignik","AK","AAL","",,,"","","",,,,
"KCL","02-0056","Chignik Lagoon","Chignik Flats","AK","AAL","",,,"","","",,,,
"A79","02-0331","Chignik Lake","Chignik Lake","AK","AAL","",,,"","","",,,,
"CZN","02-0057","Chisana","Chisana","AK","AAL","",,,"","","",,,,
"CXC","02-0059","Chitina","Chitina","AK","AAL","",,,"","","",,,,
"9A3","02-0460","Chuathbaluk","Chuathbaluk","AK","AAL","",,,"","","",,,,
"CRC","02-0407","Circle City /New/","Circle","AK","AAL","",,,"","","",,,,
"CHP","02-0061","Circle Hot Springs","Circle Hot Springs","AK","AAL","",,,"","","",,,,
"CLP","02-0438","Clarks Point","Clarks Point","AK","AAL","",,,"","","",,,,
"Z84","02-0420","Clear","Clear","AK","AAL","",,,"","","",,,,
"KCC","02-0064","Coffman Cove","Coffman Cove","AK","AAL","GA",1,2006,"Construct Seaplane Base","3-02-0064-002-2006","KCC",1437164.00,1437164.00,0.00,0.00
"CDB","02-0065","Cold Bay","Cold Bay","AK","AAL","CS",1,2005,"Conduct Airport Master Plan Study [(Terminal Plan)]","3-02-0065-008-2005","CDB",200000.00,0.00,200000.00,0.00
"CDB","02-0065","Cold Bay","Cold Bay","AK","AAL","CS",1,2008,"Conduct Airport Master Plan Study","3-02-0065-009-2008","CDB",300000.00,300000.00,0.00,0.00
"CXF","02-0425","Coldfoot","Coldfoot","AK","AAL","",,,"","","",,,,
"CKU","02-0068","Cordova Municipal","Cordova","AK","AAL","",,,"","","",,,,
"CDV","02-0067","Merle K (Mudhole) Smith","Cordova","AK","AAL","P",1,2005,"Construct Runway Safety Area [(Purchase EMAS, Phase 1)] - 09/27, Repair Utilities [(Power)]","3-02-0067-009-2005","CDV",6764226.00,1500000.00,5264226.00,0.00
"CDV","02-0067","Merle K (Mudhole) Smith","Cordova","AK","AAL","P",1,2006,"Construct Runway Safety Area [(Install EMAS, Phase 2)] - 09/27","3-02-0067-010-2006","CDV",4346424.00,0.00,4346424.00,0.00
"CDV","02-0067","Merle K (Mudhole) Smith","Cordova","AK","AAL","P",1,2007,"Construct Sand and Chemical Storage Building","3-02-0067-012-2007","CDV",2700000.00,2700000.00,0.00,0.00
"CDV","02-0067","Merle K (Mudhole) Smith","Cordova","AK","AAL","P",1,2008,"Rehabilitate Runway Lighting - 09/27","3-02-0067-011-2008","CDV",4499980.00,4499980.00,0.00,0.00
"CDV","02-0067","Merle K (Mudhole) Smith","Cordova","AK","AAL","P",1,2009,"Rehabilitate Runway Lighting - 09/27","3-02-0067-013-2009","CDV",650000.00,650000.00,0.00,0.00
"K29","02-0413","Council","Council","AK","AAL","",,,"","","",,,,
"CGA","02-0071","Craig","Craig","AK","AAL","",,,"","","",,,,
"CJX","02-0073","Crooked Creek","Crooked Creek","AK","AAL","",,,"","","",,,,
"DCK","02-0075","Dahl Creek","Dahl Creek","AK","AAL","",,,"","","",,,,
"SCC","02-0339","Deadhorse","Deadhorse","AK","AAL","P",1,2005,"Expand Apron, Extend Runway Safety Area [(Phase 2)] - 04/22","3-02-0339-008-2005","SCC",8733083.00,1733083.00,7000000.00,0.00
"SCC","02-0339","Deadhorse","Deadhorse","AK","AAL","P",1,2007,"Update Airport Master Plan Study","3-02-0339-009-2007","SCC",600000.00,600000.00,0.00,0.00
"DEE","02-0400","Deering","Deering","AK","AAL","",,,"","","",,,,
"DLG","02-0078","Dillingham","Dillingham","AK","AAL","P",1,2009,"Construct Sand and Chemical Storage Building [Construct 3-Bay Sand and Chemical Storage Building]","3-02-0078-011-2009","DLG",2669171.00,2669171.00,0.00,0.00
"DM2","02-0381","Diomede","Diomede","AK","AAL","",,,"","","",,,,
"EAA","02-0083","Eagle","Eagle","AK","AAL","",,,"","","",,,,
"+078","02-0466","Edna Bay SPB (Proposed GA)","Edna Bay","AK","AAL","",,,"","","",,,,
"EEK","02-0085","Eek","Eek","AK","AAL","",,,"","","",,,,
"EII","02-0422","Egegik","Egegik","AK","AAL","",,,"","","",,,,
"KEK","02-0088","Ekwok","Ekwok","AK","AAL","GA",1,2008,"Construct Snow Removal Equipment Building","3-02-0088-003-2008","KEK",1640647.00,1640647.00,0.00,0.00
"ELV","02-0089","Elfin Cove","Elfin Cove","AK","AAL","",,,"","","",,,,
"ELI","02-0090","Elim","Elim","AK","AAL","CS",1,2008,"Rehabilitate Runway [rehabilitate runway, phase 2] - 01/19","3-02-0090-005-2008","ELI",1815456.00,1815456.00,0.00,0.00
"ENM","02-0397","Emmonak","Emmonak","AK","AAL","P",1,2008,"Rehabilitate Apron [rehabilitate apron]","3-02-0397-003-2008","ENM",7544368.00,7544368.00,0.00,0.00
"ENM","02-0397","Emmonak","Emmonak","AK","AAL","P",1,2009,"Rehabilitate Apron [rehabilitate apron, phase 2], Rehabilitate Runway Lighting - 16/34","3-02-0397-004-2009","ENM",4102939.00,4102939.00,0.00,0.00
"EXI","02-0095","Excursion Inlet","Excursion Inlet","AK","AAL","",,,"","","",,,,
"FAI","02-0096","Fairbanks International","Fairbanks","AK","AAL","P",1,2006,"Construct Apron [(Construction)], Construct Apron [(Multi-yeared in 2006)], Install Taxiway Lighting [(Centerline for Alpha & Bravo)], Rehabilitate Runway - 01R/19L","3-02-0096-032-2006","FAI",21648065.00,10648065.00,11000000.00,0.00
"FAI","02-0096","Fairbanks International","Fairbanks","AK","AAL","P",1,2007,"Rehabilitate Runway [(Phase 1)] - 01L/19R","3-02-0096-033-2007","FAI",16778236.00,0.00,16778236.00,0.00
"FAI","02-0096","Fairbanks International","Fairbanks","AK","AAL","P",1,2008,"Rehabilitate Runway [(Phase 2)] - 01L/19R","3-02-0096-034-2008","FAI",17393366.00,2393366.00,15000000.00,0.00
"FAI","02-0096","Fairbanks International","Fairbanks","AK","AAL","P",1,2008,"Rehabilitate Runway [(Phase 3)] - 01L/19R","3-02-0096-035-2008","FAI",9600000.00,823156.00,8776844.00,0.00
"FAI","02-0096","Fairbanks International","Fairbanks","AK","AAL","P",1,2009,"Improve Aircraft Rescue & Fire Fighting Building","3-02-0096-036-2009","FAI",2195109.00,2195109.00,0.00,0.00
"FAI","02-0096","Fairbanks International","Fairbanks","AK","AAL","P",1,2009,"Acquire Safety Equipment and/or Fencing [Access Control(ARRA funded)]","3-02-0096-037-2009","FAI",3500000.00,0.00,0.00,3500000.00
"KFP","02-0097","False Pass","False Pass","AK","AAL","GA",1,2005,"Conduct Environmental Study [Specialty marine studies]","3-02-0097-004-2005","KFP",308390.00,308390.00,0.00,0.00
"FLT","02-0099","Flat","Flat","AK","AAL","",,,"","","",,,,
