Indent,Category,Source,Report,2000 (Corp),2001 (Corp),2002 (Corp),2003 (Corp),2004 (Corp),2005 (Corp),2006 (Corp),2007 (Corp),2008 (Corp),2009 (Corp),2010 (Corp),2011 (Corp),2012 (Corp),2013 (Corp),2014 (Corp),2015 (Corp),2016 (Corp),2000 (Indv),2001 (Indv),2002 (Indv),2003 (Indv),2004 (Indv),2005 (Indv),2006 (Indv),2007 (Indv),2008 (Indv),2009 (Indv),2010 (Indv),2011 (Indv),2012 (Indv),2013 (Indv),2014 (Indv),2015 (Indv),2016 (Indv),Expenditure Name,Expenditure Footnotes
##+,79,Treasury,2006,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,3320.00,3410.00,3220.00,3320.00,3350.00,3420.00,3580.00,,,,,,,HOPE tax credit,,,,,,,,,,,,,,,,,
##+,95,Treasury,2007,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,3710.00,3650.00,3060.00,3090.00,3220.00,3240.00,3480.00,,,,,,HOPE tax credit,,,,,,,,,,,,,,,,,
##+,92,Treasury,2008,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,3900.00,3330.00,3350.00,3600.00,3710.00,4350.00,4730.00,,,,,HOPE tax credit,,,,,,,,,,,,,,,,,
##+,92,Treasury,2009,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,3370.00,3380.00,3640.00,3750.00,4400.00,4790.00,4980.00,,,,HOPE tax credit,,,,,,,,,,,,,,,,,
##+,95,Treasury,2010,,,,,,,,,,,,,,,,,,,,,,,,,,3770.00,3800.00,3890.00,4650.00,5100.00,5340.00,5580.00,,,HOPE tax credit,,,,,,,,,,,,,,,,,
##+,97,Treasury,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,2920.00,0.00,840.00,4250.00,4460.00,4680.00,4900.00,,HOPE tax credit,,,,,,,,,,,,,,,,,
##+,98,Treasury,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,540.00,5410.00,5510.00,5830.00,5770.00,5760.00,HOPE tax credit,,,,,,,,,,,,,,,,,
##,Lifetime Learning tax credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Lifetime Learning tax credit.&mdash;The baseline tax system would not allow credits for particular activities, investments, or industries. Under current law, however, the non-refundable Lifetime Learning tax credit allows a credit for 20 percent of an eligible student's tuition and fees, up to a maximum credit per return of $2,000. The credit is phased out ratably for taxpayers with modified AGI between $100,000 and $120,000 ($50,000 and $60,000 for singles), indexed. The credit applies to both undergraduate and graduate students. </p>"
##+,71,Treasury,2000,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,2655.00,2970.00,3015.00,3355.00,4565.00,,,,,,,,,,,,,Lifetime Learning tax credit,,,,,,,,,,,,,,,,,
##+,72,Treasury,2001,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,2375.00,2420.00,2465.00,4405.00,4430.00,4630.00,,,,,,,,,,,,Lifetime Learning tax credit,,,,,,,,,,,,,,,,,
##+,74,Treasury,2002,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,2420.00,2570.00,2580.00,2960.00,4490.00,4460.00,4660.00,,,,,,,,,,,Lifetime Learning tax credit,,,,,,,,,,,,,,,,,
##+,72,Treasury,2003,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,2370.00,2290.00,2360.00,3140.00,2980.00,2740.00,2960.00,,,,,,,,,,Lifetime Learning tax credit,,,,,,,,,,,,,,,,,
##+,72,Treasury,2004,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,2180.00,2250.00,2980.00,2840.00,2610.00,2820.00,2860.00,,,,,,,,,Lifetime Learning tax credit,,,,,,,,,,,,,,,,,
##+,72,Treasury,2005,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,1910.00,2250.00,2180.00,2120.00,2320.00,2320.00,2300.00,,,,,,,,Lifetime Learning tax credit,,,,,,,,,,,,,,,,,
##+,80,Treasury,2006,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,2190.00,2130.00,2080.00,2310.00,2340.00,2380.00,2450.00,,,,,,,Lifetime Learning tax credit,,,,,,,,,,,,,,,,,
##+,96,Treasury,2007,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,2330.00,2340.00,2020.00,2030.00,2060.00,2090.00,2220.00,,,,,,Lifetime Learning tax credit,,,,,,,,,,,,,,,,,
##+,93,Treasury,2008,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,2490.00,2190.00,2200.00,2310.00,2390.00,2780.00,3020.00,,,,,Lifetime Learning tax credit,,,,,,,,,,,,,,,,,
##+,93,Treasury,2009,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,2210.00,2220.00,2340.00,2420.00,2810.00,3050.00,3180.00,,,,Lifetime Learning tax credit,,,,,,,,,,,,,,,,,
##+,96,Treasury,2010,,,,,,,,,,,,,,,,,,,,,,,,,,2470.00,2460.00,2510.00,2980.00,3260.00,3410.00,3570.00,,,Lifetime Learning tax credit,,,,,,,,,,,,,,,,,
##+,98,Treasury,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,3860.00,2910.00,3360.00,4780.00,5010.00,5250.00,5510.00,,Lifetime Learning tax credit,,,,,,,,,,,,,,,,,
##+,99,Treasury,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,3490.00,3880.00,5530.00,5660.00,5790.00,5800.00,5840.00,Lifetime Learning tax credit,,,,,,,,,,,,,,,,,
##,Education Individual Retirement Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Education Individual Retirement Accounts (IRA).&mdash;The baseline tax system generally would tax all income under the regular tax rate schedule. It would not allow preferentially low (or zero) tax rates to apply to certain types or sources of income. Contributions to an education IRA are not tax-deductible. However, investment income earned by education IRAs is not taxed when earned, and investment income from an education IRA is tax-exempt when withdrawn to pay for a student's tuition and fees. The maximum contribution to an education IRA in 2008 is $2,000 per beneficiary. The maximum contribution is phased down ratably for taxpayers with modified AGI between $190,000 and $220,000 ($95,000 and $110,000 for singles). </p>"
##+,72,Treasury,2000,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,230.00,380.00,540.00,710.00,885.00,,,,,,,,,,,,,Education Individual Retirement Accounts,,,,,,,,,,,,,,,,,
##+,73,Treasury,2001,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,10.00,25.00,40.00,60.00,80.00,105.00,,,,,,,,,,,,Education Individual Retirement Accounts,,,,,,,,,,,,,,,,,
##+,75,Treasury,2002,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,20.00,30.00,50.00,60.00,80.00,100.00,120.00,,,,,,,,,,,Education Individual Retirement Accounts,,,,,,,,,,,,,,,,,
##+,73,Treasury,2003,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,30.00,50.00,80.00,130.00,220.00,330.00,470.00,,,,,,,,,,Education Individual Retirement Accounts,,,,,,,,,,,,,,,,,
##+,73,Treasury,2004,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,50.00,100.00,160.00,240.00,330.00,440.00,560.00,,,,,,,,,Education Individual Retirement Accounts,,,,,,,,,,,,,,,,,
##+,73,Treasury,2005,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,70.00,110.00,140.00,190.00,240.00,300.00,370.00,,,,,,,,Education Individual Retirement Accounts,,,,,,,,,,,,,,,,,
##+,81,Treasury,2006,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,110.00,140.00,190.00,240.00,300.00,370.00,440.00,,,,,,,Education Individual Retirement Accounts,,,,,,,,,,,,,,,,,
##+,97,Treasury,2007,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,70.00,90.00,110.00,140.00,180.00,230.00,280.00,,,,,,Education Individual Retirement Accounts,,,,,,,,,,,,,,,,,
##+,94,Treasury,2008,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,10.00,10.00,10.00,20.00,20.00,20.00,30.00,,,,,Education Individual Retirement Accounts,,,,,,,,,,,,,,,,,
##+,94,Treasury,2009,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,20.00,30.00,50.00,60.00,70.00,80.00,90.00,,,,Education Individual Retirement Accounts,,,,,,,,,,,,,,,,,
##+,97,Treasury,2010,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,40.00,60.00,70.00,80.00,80.00,90.00,,,Education Individual Retirement Accounts,,,,,,,,,,,,,,,,,
##+,100,Treasury,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,60.00,70.00,80.00,80.00,90.00,100.00,,Education Individual Retirement Accounts,,,,,,,,,,,,,,,,,
##+,101,Treasury,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.00,70.00,80.00,80.00,90.00,100.00,100.00,Education Individual Retirement Accounts,,,,,,,,,,,,,,,,,
##,Deductibility of student-loan interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Student-loan interest.&mdash;The baseline tax system accepts current law's general rule limiting taxpayers' ability to deduct non-business interest expenses. In contrast, taxpayers may claim an above-the-line deduction of up to $2,500 on interest paid on an education loan. Interest may only be deducted for the first five years in which interest payments are required. In 2009, the maximum deduction is phased down ratably for taxpayers with modified AGI between $110,000 and $140,000 ($55,000 and $70,000 for singles), indexed. </p>"
##+,73,Treasury,2000,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,265.00,315.00,360.00,385.00,425.00,,,,,,,,,,,,,Deductibility of student-loan interest,,,,,,,,,,,,,,,,,
##+,74,Treasury,2001,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,265.00,310.00,350.00,375.00,395.00,430.00,,,,,,,,,,,,Deductibility of student-loan interest,,,,,,,,,,,,,,,,,
##+,76,Treasury,2002,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,360.00,370.00,380.00,380.00,390.00,400.00,410.00,,,,,,,,,,,Deductibility of student-loan interest,,,,,,,,,,,,,,,,,
##+,74,Treasury,2003,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,390.00,450.00,640.00,660.00,680.00,700.00,720.00,,,,,,,,,,Deductibility of student-loan interest,,,,,,,,,,,,,,,,,
##+,74,Treasury,2004,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,450.00,640.00,660.00,680.00,700.00,720.00,720.00,,,,,,,,,Deductibility of student-loan interest,,,,,,,,,,,,,,,,,
##+,74,Treasury,2005,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,730.00,760.00,780.00,800.00,820.00,830.00,840.00,,,,,,,,Deductibility of student-loan interest,,,,,,,,,,,,,,,,,
##+,82,Treasury,2006,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,760.00,780.00,800.00,810.00,820.00,830.00,840.00,,,,,,,Deductibility of student-loan interest,,,,,,,,,,,,,,,,,
##+,98,Treasury,2007,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,780.00,800.00,810.00,820.00,830.00,840.00,780.00,,,,,,Deductibility of student-loan interest,,,,,,,,,,,,,,,,,
##+,95,Treasury,2008,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,800.00,810.00,820.00,830.00,840.00,780.00,530.00,,,,,Deductibility of student-loan interest,,,,,,,,,,,,,,,,,
##+,95,Treasury,2009,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,810.00,820.00,830.00,840.00,780.00,530.00,540.00,,,,Deductibility of student-loan interest,,,,,,,,,,,,,,,,,
##+,98,Treasury,2010,,,,,,,,,,,,,,,,,,,,,,,,,,1250.00,1260.00,1270.00,1220.00,970.00,980.00,990.00,,,Deductibility of student-loan interest,,,,,,,,,,,,,,,,,
##+,101,Treasury,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.00,1260.00,1130.00,590.00,610.00,640.00,660.00,,Deductibility of student-loan interest,,,,,,,,,,,,,,,,,
##+,102,Treasury,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480.00,1400.00,900.00,960.00,1030.00,1100.00,1170.00,Deductibility of student-loan interest,,,,,,,,,,,,,,,,,
##,Deferral for State prepaid tuition plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##+,74,Treasury,2000,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,180.00,235.00,285.00,330.00,365.00,,,,,,,,,,,,,Deferral for State prepaid tuition plans,,,,,,,,,,,,,,,,,
##+,75,Treasury,2001,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,175.00,225.00,275.00,320.00,350.00,385.00,,,,,,,,,,,,Deferral for State prepaid tuition plans,,,,,,,,,,,,,,,,,
##+,77,Treasury,2002,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,100.00,130.00,180.00,230.00,250.00,290.00,330.00,,,,,,,,,,,Deferral for state prepaid tuition plans,,,,,,,,,,,,,,,,,
##,Exclusion of interest on student-loan bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Student-loan bonds.&mdash;The baseline tax system generally would tax all income under the regular tax rate schedule. It would not allow preferentially low (or zero) tax rates to apply to certain types or sources of income. In contrast, interest earned on State and local bonds issued to finance student loans is tax-exempt under current law. The volume of all such private activity bonds that each State may issue annually is limited. </p>"
##+,75,Treasury,2000,65.00,65.00,65.00,65.00,65.00,,,,,,,,,,,,,175.00,180.00,180.00,185.00,185.00,,,,,,,,,,,,,Exclusion of interest on student-loan bonds,,,,,,,,,,,,,,,,,
##+,76,Treasury,2001,65.00,65.00,65.00,65.00,65.00,65.00,,,,,,,,,,,,185.00,190.00,190.00,190.00,195.00,195.00,,,,,,,,,,,,Exclusion of interest on student-loan bonds,,,,,,,,,,,,,,,,,
##+,78,Treasury,2002,50.00,60.00,60.00,60.00,70.00,70.00,80.00,,,,,,,,,,,160.00,170.00,170.00,180.00,200.00,220.00,250.00,,,,,,,,,,,Exclusion of interest on studentloan bonds,,,,,,,,,,,,,,,,,
##+,77,Treasury,2003,,60.00,60.00,60.00,60.00,60.00,60.00,70.00,,,,,,,,,,,170.00,170.00,180.00,200.00,230.00,250.00,280.00,,,,,,,,,,Exclusion of interest on studentloan bonds,,,,,,,,,,,,,,,,,
##+,77,Treasury,2004,,,60.00,60.00,60.00,60.00,70.00,70.00,70.00,,,,,,,,,,,180.00,200.00,230.00,250.00,270.00,280.00,300.00,,,,,,,,,Exclusion of interest on student-loan bonds,,,,,,,,,,,,,,,,,
##+,77,Treasury,2005,,,,60.00,60.00,60.00,60.00,60.00,60.00,70.00,,,,,,,,,,,200.00,220.00,250.00,260.00,280.00,300.00,310.00,,,,,,,,Exclusion of interest on student-loan bonds,,,,,,,,,,,,,,,,,
##+,85,Treasury,2006,,,,,60.00,60.00,70.00,70.00,70.00,70.00,70.00,,,,,,,,,,,230.00,250.00,270.00,280.00,300.00,310.00,320.00,,,,,,,Exclusion of interest on student-loan bonds,,,,,,,,,,,,,,,,,
##+,101,Treasury,2007,,,,,,60.00,60.00,70.00,70.00,70.00,70.00,70.00,,,,,,,,,,,220.00,240.00,250.00,280.00,300.00,310.00,320.00,,,,,,Exclusion of interest on student-loan bonds,,,,,,,,,,,,,,,,,
##+,98,Treasury,2008,,,,,,,120.00,130.00,140.00,140.00,150.00,150.00,160.00,,,,,,,,,,,380.00,420.00,450.00,460.00,480.00,490.00,510.00,,,,,Exclusion of interest on student-loan bonds,,,,,,,,,,,,,,,,,
##+,98,Treasury,2009,,,,,,,,140.00,140.00,150.00,150.00,160.00,160.00,170.00,,,,,,,,,,,300.00,320.00,330.00,340.00,350.00,360.00,370.00,,,,Exclusion of interest on student-loan bonds,,,,,,,,,,,,,,,,,
##+,101,Treasury,2010,,,,,,,,,90.00,160.00,160.00,170.00,170.00,180.00,180.00,,,,,,,,,,,120.00,310.00,330.00,360.00,390.00,410.00,420.00,,,Exclusion of interest on student-loan bonds,,,,,,,,,,,,,,,,,
##+,104,Treasury,2011,,,,,,,,,,90.00,100.00,190.00,230.00,230.00,240.00,250.00,,,,,,,,,,,350.00,300.00,360.00,440.00,480.00,500.00,530.00,,Exclusion of interest on student-loan bonds,,,,,,,,,,,,,,,,,
##+,105,Treasury,2012,,,,,,,,,,,180.00,160.00,210.00,270.00,280.00,270.00,280.00,,,,,,,,,,,370.00,400.00,450.00,520.00,580.00,620.00,660.00,Exclusion of interest on student-loan bonds,,,,,,,,,,,,,,,,,
##,Exclusion of interest on bonds for private nonprofit educational facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Bonds for private nonprofit educational institutions.&mdash;The baseline tax system generally would tax all income under the regular tax rate schedule. It would not allow preferentially low (or zero) tax rates to apply to certain types or sources of income. In contrast, under current law interest earned on State and local Government bonds issued to finance the construction of facilities used by private nonprofit educational institutions is not taxed. </p>"
##+,76,Treasury,2000,150.00,150.00,150.00,155.00,155.00,,,,,,,,,,,,,420.00,425.00,430.00,435.00,440.00,,,,,,,,,,,,,Exclusion of interest on bonds for private nonprofit educational facilities,,,,,,,,,,,,,,,,,
##+,77,Treasury,2001,150.00,150.00,150.00,155.00,155.00,155.00,,,,,,,,,,,,445.00,450.00,450.00,455.00,460.00,465.00,,,,,,,,,,,,Exclusion of interest on bonds for private nonprofit educational facilities,,,,,,,,,,,,,,,,,
##+,79,Treasury,2002,130.00,140.00,140.00,150.00,160.00,190.00,200.00,,,,,,,,,,,390.00,400.00,410.00,430.00,490.00,550.00,610.00,,,,,,,,,,,Exclusion of interest on bonds for private nonprofit educational facilities,,,,,,,,,,,,,,,,,
##+,78,Treasury,2003,,140.00,140.00,140.00,150.00,150.00,150.00,160.00,,,,,,,,,,,400.00,410.00,440.00,490.00,550.00,610.00,670.00,,,,,,,,,,Exclusion of interest on bonds for private nonprofit educational facilities,,,,,,,,,,,,,,,,,
##+,78,Treasury,2004,,,140.00,150.00,150.00,160.00,160.00,170.00,170.00,,,,,,,,,,,440.00,490.00,550.00,600.00,650.00,680.00,730.00,,,,,,,,,Exclusion of interest on bonds for private nonprofit educational facilities,,,,,,,,,,,,,,,,,
##+,78,Treasury,2005,,,,170.00,170.00,180.00,190.00,190.00,200.00,200.00,,,,,,,,,,,610.00,680.00,750.00,800.00,840.00,900.00,930.00,,,,,,,,Exclusion of interest on bonds for private nonprofit educational facilities,,,,,,,,,,,,,,,,,
##+,86,Treasury,2006,,,,,210.00,210.00,220.00,230.00,230.00,240.00,250.00,,,,,,,,,,,760.00,840.00,900.00,950.00,1020.00,1050.00,1080.00,,,,,,,Exclusion of interest on bonds for private nonprofit educational facilities,,,,,,,,,,,,,,,,,
##+,102,Treasury,2007,,,,,,230.00,240.00,250.00,260.00,260.00,270.00,280.00,,,,,,,,,,,850.00,920.00,970.00,1070.00,1150.00,1180.00,1220.00,,,,,,Exclusion of interest on bonds for private nonprofit educational facilities,,,,,,,,,,,,,,,,,
##+,99,Treasury,2008,,,,,,,510.00,570.00,600.00,620.00,640.00,660.00,680.00,,,,,,,,,,,1630.00,1810.00,1930.00,1990.00,2050.00,2110.00,2170.00,,,,,Exclusion of interest on bonds for private nonprofit educational facilities,,,,,,,,,,,,,,,,,
##+,99,Treasury,2009,,,,,,,,550.00,580.00,600.00,620.00,640.00,660.00,680.00,,,,,,,,,,,1200.00,1290.00,1330.00,1360.00,1410.00,1450.00,1490.00,,,,Exclusion of interest on bonds for private nonprofit educational facilities,,,,,,,,,,,,,,,,,
##+,102,Treasury,2010,,,,,,,,,370.00,630.00,650.00,670.00,690.00,710.00,730.00,,,,,,,,,,,490.00,1240.00,1310.00,1440.00,1570.00,1610.00,1660.00,,,Exclusion of interest on bonds for private nonprofit educational facilities,,,,,,,,,,,,,,,,,
##+,105,Treasury,2011,,,,,,,,,,380.00,400.00,750.00,940.00,940.00,970.00,1020.00,,,,,,,,,,,1400.00,1210.00,1470.00,1780.00,1910.00,2030.00,2150.00,,Exclusion of interest on bonds for private nonprofit educational facilities,,,,,,,,,,,,,,,,,
##+,106,Treasury,2012,,,,,,,,,,,760.00,690.00,910.00,1150.00,1180.00,1170.00,1210.00,,,,,,,,,,,1580.00,1710.00,1930.00,2210.00,2480.00,2660.00,2810.00,Exclusion of interest on bonds for private nonprofit educational facilities,,,,,,,,,,,,,,,,,
