Indent,Category,Source,Report,2000 (Corp),2001 (Corp),2002 (Corp),2003 (Corp),2004 (Corp),2005 (Corp),2006 (Corp),2007 (Corp),2008 (Corp),2009 (Corp),2010 (Corp),2011 (Corp),2012 (Corp),2013 (Corp),2014 (Corp),2015 (Corp),2016 (Corp),2000 (Indv),2001 (Indv),2002 (Indv),2003 (Indv),2004 (Indv),2005 (Indv),2006 (Indv),2007 (Indv),2008 (Indv),2009 (Indv),2010 (Indv),2011 (Indv),2012 (Indv),2013 (Indv),2014 (Indv),2015 (Indv),2016 (Indv),Expenditure Name,Expenditure Footnotes
##+,50,Treasury,2008,,,,,,,1780.00,1850.00,2020.00,2310.00,2560.00,2770.00,2950.00,,,,,,,,,,,17600.00,18300.00,19905.00,22750.00,25270.00,27320.00,29150.00,,,,,Exclusion of interest on life insurance savings,,,,,,,,,,,,,,,,,
##+,49,Treasury,2009,,,,,,,,2540.00,2740.00,2920.00,3100.00,3260.00,3480.00,3740.00,,,,,,,,,,,17370.00,19100.00,20580.00,22100.00,24340.00,27270.00,29850.00,,,,Exclusion of interest on life insurance savings,,,,,,,,,,,,,,,,,
##+,51,Treasury,2010,,,,,,,,,2660.00,2830.00,3010.00,3160.00,3380.00,3630.00,3880.00,,,,,,,,,,,18530.00,19960.00,21440.00,23610.00,26450.00,28950.00,30980.00,,,Exclusion of interest on life insurance savings,,,,,,,,,,,,,,,,,
##+,50,Treasury,2011,,,,,,,,,,1530.00,1590.00,1680.00,1770.00,1860.00,1970.00,2070.00,,,,,,,,,,,18750.00,19550.00,21390.00,22930.00,24560.00,26250.00,27790.00,,Exclusion of interest on life insurance savings,,,,,,,,,,,,,,,,,
##+,51,Treasury,2012,,,,,,,,,,,1500.00,1570.00,1650.00,1740.00,1840.00,1940.00,2050.00,,,,,,,,,,,18410.00,19640.00,21010.00,22480.00,23990.00,25440.00,26920.00,Exclusion of interest on life insurance savings,,,,,,,,,,,,,,,,,
##,Special alternative tax on small property and casualty insurance companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Small property and casualty insurance companies.&mdash;Under the baseline tax system, corporations pay taxes on their profits under the regular tax rate schedule. It would not allow preferentially low (or zero) tax rates to apply to certain types or sources of income. Under current law, however, stock non-life insurance companies are generally exempt from tax if their gross receipts for the taxable year do not exceed $600,000 and more than 50 percent of such gross receipts consists of premiums. Mutual non-life insurance companies are generally tax-exempt if their annual gross receipts do not exceed $150,000 and more than 35 percent of gross receipts consist of premiums. Also, non-life insurance companies with no more than $1.2 million of annual net premiums may elect to pay tax only on their taxable investment income. </p>"
##+,36,Treasury,2000,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,Special alternative tax on small property and casualty insurance companies,,,,,,,,,,,,,,,,,
##+,37,Treasury,2001,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,Special alternative tax on small property and casualty insurance companies,,,,,,,,,,,,,,,,,
##+,38,Treasury,2002,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,Special alternative tax on small property and casualty insurance companies,,,,,,,,,,,,,,,,,
##+,36,Treasury,2003,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Special alternative tax on small property and casualty insurance companies,,,,,,,,,,,,,,,,,
##+,36,Treasury,2004,,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Special alternative tax on small property and casualty insurance companies,,,,,,,,,,,,,,,,,
##+,36,Treasury,2005,,,,120.00,120.00,130.00,130.00,140.00,140.00,140.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,Special alternative tax on small property and casualty insurance companies,,,,,,,,,,,,,,,,,
##+,39,Treasury,2006,,,,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,Special alternative tax on small property and casualty insurance companies,,,,,,,,,,,,,,,,,
##+,54,Treasury,2007,,,,,,20.00,20.00,20.00,20.00,20.00,20.00,30.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,Special alternative tax on small property and casualty insurance companies,,,,,,,,,,,,,,,,,
##+,51,Treasury,2008,,,,,,,50.00,50.00,50.00,50.00,50.00,60.00,60.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,Special alternative tax on small property and casualty insurance companies,,,,,,,,,,,,,,,,,
##+,50,Treasury,2009,,,,,,,,40.00,40.00,40.00,40.00,40.00,50.00,50.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,Special alternative tax on small property and casualty insurance companies,,,,,,,,,,,,,,,,,
##+,52,Treasury,2010,,,,,,,,,40.00,40.00,40.00,40.00,50.00,50.00,60.00,,,,,,,,,,,,,,,,,,,,Special alternative tax on small property and casualty insurance companies,,,,,,,,,,,,,,,,,
##+,51,Treasury,2011,,,,,,,,,,40.00,40.00,40.00,50.00,50.00,50.00,60.00,,,,,,,,,,,,,,,,,,,Special alternative tax on small property and casualty insurance companies,,,,,,,,,,,,,,,,,
##+,52,Treasury,2012,,,,,,,,,,,40.00,40.00,40.00,40.00,40.00,40.00,40.00,,,,,,,,,,,,,,,,,,Special alternative tax on small property and casualty insurance companies,,,,,,,,,,,,,,,,,
##,Tax exemption of certain insurance companies owned by tax-exempt organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Insurance companies owned by exempt organizations.&mdash;Under the baseline tax system, corporations pay taxes on their profits under the regular tax rate schedule. It would not allow preferentially low (or zero) tax rates to apply to certain types or sources of income. Generally the income generated by life and property and casualty insurance companies is subject to tax, albeit by special rules. Insurance operations conducted by such exempt organizations as fraternal societies, voluntary employee benefit associations, and others, however, are exempt from tax. </p>"
##+,37,Treasury,2000,240.00,260.00,275.00,310.00,325.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,Tax exemption of certain insurance companies owned by tax-exempt organizations,,,,,,,,,,,,,,,,,
##+,38,Treasury,2001,225.00,235.00,240.00,250.00,255.00,265.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,Tax exemption of certain insurance companies owned by tax-exempt organizations,,,,,,,,,,,,,,,,,
##+,39,Treasury,2002,230.00,240.00,250.00,270.00,280.00,300.00,310.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,Tax exemption of certain insurance companies owned by tax-exempt organizations,,,,,,,,,,,,,,,,,
##+,37,Treasury,2003,,220.00,230.00,250.00,260.00,280.00,290.00,300.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Tax exemption of certain insurance companies owned by tax-exempt organizations,,,,,,,,,,,,,,,,,
##+,37,Treasury,2004,,,210.00,220.00,240.00,250.00,270.00,280.00,290.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Tax exemption of certain insurance companies owned by tax-exempt organizations,,,,,,,,,,,,,,,,,
##+,37,Treasury,2005,,,,190.00,210.00,220.00,240.00,250.00,260.00,280.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,Tax exemption of certain insurance companies owned by tax-exempt organizations,,,,,,,,,,,,,,,,,
##+,40,Treasury,2006,,,,,180.00,190.00,210.00,220.00,230.00,250.00,260.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,Tax exemption of certain insurance companies owned by tax-exempt organizations,,,,,,,,,,,,,,,,,
##+,55,Treasury,2007,,,,,,210.00,220.00,230.00,240.00,250.00,260.00,270.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,Tax exemption of certain insurance companies owned by tax-exempt organizations,,,,,,,,,,,,,,,,,
##+,52,Treasury,2008,,,,,,,220.00,230.00,240.00,250.00,260.00,270.00,280.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,Tax exemption of certain insurance companies owned by tax-exempt organizations,,,,,,,,,,,,,,,,,
##+,51,Treasury,2009,,,,,,,,180.00,190.00,190.00,200.00,200.00,210.00,210.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,Tax exemption of certain insurance companies owned by tax-exempt organizations,,,,,,,,,,,,,,,,,
##+,53,Treasury,2010,,,,,,,,,190.00,190.00,200.00,200.00,210.00,210.00,220.00,,,,,,,,,,,,,,,,,,,,Tax exemption of certain insurance companies owned by tax-exempt organizations,,,,,,,,,,,,,,,,,
##+,52,Treasury,2011,,,,,,,,,,190.00,200.00,200.00,210.00,210.00,220.00,220.00,,,,,,,,,,,,,,,,,,,Tax exemption of certain insurance companies owned by tax-exempt organizations,,,,,,,,,,,,,,,,,
##+,53,Treasury,2012,,,,,,,,,,,200.00,200.00,210.00,210.00,210.00,220.00,220.00,,,,,,,,,,,,,,,,,,Tax exemption of certain insurance companies owned by tax-exempt organizations,,,,,,,,,,,,,,,,,
##,Small life insurance company deduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Small life insurance company deduction.&mdash; Under the baseline tax system, corporations pay taxes on their profits under the regular tax rate schedule. It would not allow preferentially low (or zero) tax rates to apply to certain types or sources of income. However, under current law small life insurance companies (with gross assets of less than $500 million) can deduct 60 percent of the first $3 million of otherwise taxable income. The deduction phases out for otherwise taxable income between $3 million and $15 million. </p>"
##+,38,Treasury,2000,100.00,105.00,105.00,110.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,Small life insurance company deduction,,,,,,,,,,,,,,,,,
##+,39,Treasury,2001,100.00,100.00,100.00,100.00,105.00,105.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,Small life insurance company deduction,,,,,,,,,,,,,,,,,
##+,40,Treasury,2002,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,Small life insurance company deduction,,,,,,,,,,,,,,,,,
##+,38,Treasury,2003,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Small life insurance company deduction,,,,,,,,,,,,,,,,,
##+,38,Treasury,2004,,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Small life insurance company deduction,,,,,,,,,,,,,,,,,
##+,38,Treasury,2005,,,,90.00,90.00,90.00,90.00,90.00,90.00,90.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,Small life insurance company deduction,,,,,,,,,,,,,,,,,
##+,41,Treasury,2006,,,,,80.00,80.00,80.00,80.00,80.00,80.00,80.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,Small life insurance company deduction,,,,,,,,,,,,,,,,,
##+,56,Treasury,2007,,,,,,60.00,60.00,60.00,60.00,60.00,60.00,50.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,Small life insurance company deduction,,,,,,,,,,,,,,,,,
##+,53,Treasury,2008,,,,,,,60.00,60.00,60.00,60.00,60.00,50.00,50.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,Small life insurance company deduction,,,,,,,,,,,,,,,,,
##+,52,Treasury,2009,,,,,,,,50.00,50.00,50.00,50.00,50.00,60.00,60.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,Small life insurance company deduction,,,,,,,,,,,,,,,,,
##+,54,Treasury,2010,,,,,,,,,50.00,50.00,50.00,50.00,50.00,50.00,50.00,,,,,,,,,,,,,,,,,,,,Small life insurance company deduction,,,,,,,,,,,,,,,,,
##+,53,Treasury,2011,,,,,,,,,,50.00,50.00,50.00,50.00,50.00,50.00,50.00,,,,,,,,,,,,,,,,,,,Small life insurance company deduction,,,,,,,,,,,,,,,,,
##+,54,Treasury,2012,,,,,,,,,,,30.00,30.00,30.00,30.00,30.00,30.00,30.00,,,,,,,,,,,,,,,,,,Small life insurance company deduction,,,,,,,,,,,,,,,,,
##,Exclusion of interest spread of financial institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Exclusion of interest spread of financial institutions.&mdash;The baseline tax system generally would tax all income under the regular tax rate schedule. It would not allow preferentially low (or zero) tax rates to apply to certain types or sources of income. Consumers and nonprofit organizations pay for some deposit-linked services, such as check cashing, by accepting a below-market interest rate on their demand deposits. If they received a market rate of interest on those deposits and paid explicit fees for the associated services, they would pay taxes on the full market rate and (unlike businesses) could not deduct the fees. The Government thus foregoes tax on the difference between the risk-free market interest rate and below-market interest rates on demand deposits, which under competitive conditions should equal the value added of deposit services. </p>"
##+,57,Treasury,2007,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,1450.00,1540.00,1620.00,1710.00,1800.00,1890.00,1990.00,,,,,,Exclusion of interest spread of financial institutions,,,,,,,,,,,,,,,,,
##+,54,Treasury,2008,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,1350.00,1330.00,1400.00,1480.00,1550.00,1950.00,2050.00,,,,,Exclusion of interest spread of financial institutions,,,,,,,,,,,,,,,,,
##+,53,Treasury,2009,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,520.00,450.00,480.00,500.00,630.00,660.00,690.00,,,,Exclusion of interest spread of financial institutions,,,,,,,,,,,,,,,,,
##+,55,Treasury,2010,,,,,,,,,,,,,,,,,,,,,,,,,,270.00,220.00,240.00,280.00,290.00,310.00,320.00,,,Exclusion of interest spread of financial institutions,,,,,,,,,,,,,,,,,
##+,54,Treasury,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,-120.00,520.00,960.00,1070.00,1160.00,1250.00,1330.00,,Exclusion of interest spread of financial institutions,,,,,,,,,,,,,,,,,
##+,55,Treasury,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,-170.00,300.00,550.00,630.00,700.00,760.00,810.00,Exclusion of interest spread of financial institutions,,,,,,,,,,,,,,,,,
#,Housing
##,Exclusion of interest on owner-occupied mortgage subsidy bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Mortgage housing bonds.&mdash;The baseline tax system generally would tax all income under the regular tax rate schedule. It would not allow preferentially low (or zero) tax rates to apply to certain types or sources of income. In contrast, the Tax Code allows interest earned on State and local bonds used to finance homes purchased by first-time, low-to-moderate-income buyers to be exempt. These bonds are generally subject to the State privateactivity-bond annual volume cap. </p>"
##+,39,Treasury,2000,230.00,230.00,235.00,235.00,240.00,,,,,,,,,,,,,650.00,655.00,665.00,670.00,675.00,,,,,,,,,,,,,Exclusion of interest on owner-occupied mortgage subsidy bonds,,,,,,,,,,,,,,,,,
##+,40,Treasury,2001,230.00,230.00,235.00,235.00,240.00,240.00,,,,,,,,,,,,685.00,690.00,695.00,705.00,710.00,715.00,,,,,,,,,,,,Exclusion of interest on owner-occupied mortgage subsidy bonds,,,,,,,,,,,,,,,,,
##+,41,Treasury,2002,200.00,200.00,210.00,220.00,250.00,270.00,290.00,,,,,,,,,,,590.00,600.00,610.00,650.00,740.00,820.00,910.00,,,,,,,,,,,Exclusion of interest on owneroccupied mortgage subsidy bonds,,,,,,,,,,,,,,,,,
##+,39,Treasury,2003,,200.00,210.00,210.00,220.00,230.00,230.00,240.00,,,,,,,,,,,600.00,620.00,660.00,740.00,820.00,910.00,1000.00,,,,,,,,,,Exclusion of interest on owneroccupied mortgage subsidy bonds,,,,,,,,,,,,,,,,,
##+,39,Treasury,2004,,,210.00,220.00,230.00,230.00,240.00,250.00,260.00,,,,,,,,,,,660.00,740.00,820.00,910.00,970.00,1020.00,1100.00,,,,,,,,,Exclusion of interest on owner-occupied mortgage subsidy bonds,,,,,,,,,,,,,,,,,
##+,39,Treasury,2005,,,,200.00,200.00,210.00,220.00,220.00,230.00,240.00,,,,,,,,,,,710.00,790.00,870.00,930.00,980.00,1050.00,1080.00,,,,,,,,Exclusion of interest on owner-occupied mortgage subsidy bonds,,,,,,,,,,,,,,,,,
##+,42,Treasury,2006,,,,,220.00,230.00,230.00,240.00,250.00,250.00,260.00,,,,,,,,,,,800.00,880.00,950.00,990.00,1070.00,1100.00,1130.00,,,,,,,Exclusion of interest on owner-occupied mortgage subsidy bonds,,,,,,,,,,,,,,,,,
##+,58,Treasury,2007,,,,,,200.00,210.00,210.00,220.00,230.00,230.00,240.00,,,,,,,,,,,730.00,780.00,830.00,920.00,980.00,1010.00,1040.00,,,,,,Exclusion of interest on owner-occupied mortgage subsidy bonds,,,,,,,,,,,,,,,,,
##+,55,Treasury,2008,,,,,,,280.00,310.00,330.00,340.00,350.00,360.00,370.00,,,,,,,,,,,890.00,990.00,1060.00,1090.00,1120.00,1150.00,1190.00,,,,,Exclusion of interest on owner-occupied mortgage subsidy bonds,,,,,,,,,,,,,,,,,
##+,54,Treasury,2009,,,,,,,,280.00,300.00,310.00,320.00,330.00,340.00,350.00,,,,,,,,,,,620.00,660.00,680.00,700.00,730.00,750.00,770.00,,,,Exclusion of interest on owner-occupied mortgage subsidy bonds,,,,,,,,,,,,,,,,,
##+,56,Treasury,2010,,,,,,,,,200.00,330.00,340.00,350.00,360.00,370.00,390.00,,,,,,,,,,,260.00,660.00,690.00,760.00,820.00,850.00,880.00,,,Exclusion of interest on owner-occupied mortgage subsidy bonds,,,,,,,,,,,,,,,,,
