Indent,Category,Source,Report,2000 (Corp),2001 (Corp),2002 (Corp),2003 (Corp),2004 (Corp),2005 (Corp),2006 (Corp),2007 (Corp),2008 (Corp),2009 (Corp),2010 (Corp),2011 (Corp),2012 (Corp),2013 (Corp),2014 (Corp),2015 (Corp),2016 (Corp),2000 (Indv),2001 (Indv),2002 (Indv),2003 (Indv),2004 (Indv),2005 (Indv),2006 (Indv),2007 (Indv),2008 (Indv),2009 (Indv),2010 (Indv),2011 (Indv),2012 (Indv),2013 (Indv),2014 (Indv),2015 (Indv),2016 (Indv),Expenditure Name,Expenditure Footnotes
#+,84,Treasury,2008,,,,,,,20.00,20.00,20.00,20.00,20.00,20.00,20.00,,,,,,,,,,,20.00,20.00,20.00,20.00,20.00,20.00,20.00,,,,,Investment credit for rehabilitation of structures (other than historic),,,,,,,,,,,,,,,,,
#+,84,Treasury,2009,,,,,,,,20.00,20.00,20.00,20.00,20.00,20.00,20.00,,,,,,,,,,,20.00,20.00,20.00,20.00,20.00,20.00,20.00,,,,Investment credit for rehabilitation of structures (other than historic),,,,,,,,,,,,,,,,,
#+,87,Treasury,2010,,,,,,,,,20.00,20.00,20.00,20.00,20.00,20.00,20.00,,,,,,,,,,,20.00,20.00,20.00,20.00,20.00,30.00,30.00,,,Investment credit for rehabilitation of structures (other than  historic),,,,,,,,,,,,,,,,,
#+,87,Treasury,2011,,,,,,,,,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,,,,,,,,,,20.00,20.00,20.00,20.00,20.00,20.00,20.00,,Investment credit for rehabilitation of structures (other than historic),,,,,,,,,,,,,,,,,
#+,88,Treasury,2012,,,,,,,,,,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,,,,,,,,,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,Investment credit for rehabilitation of structures (other than historic),,,,,,,,,,,,,,,,,
#,"Exclusion of interest for airport, dock, and similar bonds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Airport, dock, and similar facility bonds.&mdash;The baseline tax system generally would tax all income under the regular tax rate schedule. It would not allow preferentially low (or zero) tax rates to apply to certain types or sources of income. In contrast, the Tax Code allows interest earned on State and local bonds issued to finance high-speed rail facilities and Government-owned airports, docks, wharves, and sport and convention facilities to be tax-exempt. These bonds are not subject to a volume cap. </p>"
#+,65,Treasury,2000,185.00,185.00,190.00,190.00,195.00,,,,,,,,,,,,,525.00,530.00,535.00,540.00,545.00,,,,,,,,,,,,,"Exclusion of interest for airport, dock, and similar bonds",,,,,,,,,,,,,,,,,
#+,66,Treasury,2001,185.00,185.00,190.00,190.00,195.00,195.00,,,,,,,,,,,,550.00,555.00,560.00,565.00,570.00,575.00,,,,,,,,,,,,"Exclusion of interest for airport, dock, and similar bonds",,,,,,,,,,,,,,,,,
#+,67,Treasury,2002,160.00,160.00,160.00,180.00,200.00,210.00,240.00,,,,,,,,,,,460.00,470.00,480.00,510.00,580.00,640.00,710.00,,,,,,,,,,,"Exclusion of interest for airport, dock, and similar bonds",,,,,,,,,,,,,,,,,
#+,65,Treasury,2003,,160.00,160.00,170.00,170.00,180.00,180.00,190.00,,,,,,,,,,,470.00,480.00,510.00,580.00,640.00,710.00,790.00,,,,,,,,,,"Exclusion of interest for airport, dock, and similar bonds",,,,,,,,,,,,,,,,,
#+,65,Treasury,2004,,,170.00,170.00,180.00,180.00,190.00,200.00,200.00,,,,,,,,,,,520.00,580.00,650.00,710.00,760.00,800.00,860.00,,,,,,,,,"Exclusion of interest for airport, dock, and similar bonds",,,,,,,,,,,,,,,,,
#+,65,Treasury,2005,,,,170.00,170.00,180.00,180.00,190.00,190.00,200.00,,,,,,,,,,,600.00,670.00,730.00,790.00,830.00,890.00,910.00,,,,,,,,"Exclusion of interest for airport, dock, and similar bonds",,,,,,,,,,,,,,,,,
#+,72,Treasury,2006,,,,,180.00,190.00,190.00,200.00,210.00,210.00,220.00,,,,,,,,,,,670.00,740.00,790.00,830.00,890.00,920.00,950.00,,,,,,,"Exclusion of interest for airport, dock, and similar bonds",,,,,,,,,,,,,,,,,
#+,88,Treasury,2007,,,,,,170.00,180.00,190.00,190.00,200.00,200.00,210.00,,,,,,,,,,,630.00,680.00,720.00,800.00,860.00,880.00,910.00,,,,,,"Exclusion of interest for airport, dock, and similar bonds",,,,,,,,,,,,,,,,,
#+,85,Treasury,2008,,,,,,,270.00,300.00,310.00,320.00,330.00,340.00,350.00,,,,,,,,,,,860.00,950.00,1010.00,1040.00,1070.00,1100.00,1130.00,,,,,"Exclusion of interest for airport, dock, and similar bonds",,,,,,,,,,,,,,,,,
#+,85,Treasury,2009,,,,,,,,270.00,280.00,290.00,300.00,310.00,320.00,330.00,,,,,,,,,,,580.00,620.00,640.00,660.00,680.00,700.00,720.00,,,,"Exclusion of interest for airport, dock, and similar bonds",,,,,,,,,,,,,,,,,
#+,88,Treasury,2010,,,,,,,,,160.00,280.00,280.00,290.00,300.00,310.00,320.00,,,,,,,,,,,220.00,540.00,570.00,630.00,690.00,710.00,730.00,,,"Exclusion of interest for airport, dock, and similar bonds",,,,,,,,,,,,,,,,,
#+,88,Treasury,2011,,,,,,,,,,140.00,150.00,290.00,360.00,360.00,370.00,390.00,,,,,,,,,,,540.00,460.00,560.00,680.00,730.00,770.00,820.00,,"Exclusion of interest for airport, dock, and similar bonds",,,,,,,,,,,,,,,,,
#+,89,Treasury,2012,,,,,,,,,,,270.00,250.00,330.00,410.00,420.00,420.00,440.00,,,,,,,,,,,570.00,620.00,690.00,800.00,890.00,960.00,1010.00,"Exclusion of interest for airport, dock, and similar bonds",,,,,,,,,,,,,,,,,
#,Exemption of certain mutuals- and cooperatives- income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Exemption of income of mutuals and cooperatives.&mdash;Under the baseline tax system, corporations pay taxes on their profits under the regular tax rate schedule. In contrast, the Tax Code provides for the incomes of mutual and cooperative telephone and electric companies to be exempt from tax if at least 85 percent of their revenues are derived from patron service charges. </p>"
#+,66,Treasury,2000,50.00,50.00,50.00,50.00,55.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,Exemption of certain mutuals- and cooperatives- income,,,,,,,,,,,,,,,,,
#+,67,Treasury,2001,60.00,60.00,65.00,65.00,65.00,70.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,Exemption of certain mutuals- and cooperatives- income,,,,,,,,,,,,,,,,,
#+,68,Treasury,2002,60.00,60.00,60.00,60.00,60.00,70.00,70.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,Exemption of certain mutuals- and cooperatives- income,,,,,,,,,,,,,,,,,
#+,66,Treasury,2003,,60.00,60.00,60.00,60.00,70.00,70.00,70.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Exemption of certain mutuals- and cooperatives- income,,,,,,,,,,,,,,,,,
#+,66,Treasury,2004,,,60.00,60.00,60.00,70.00,70.00,70.00,70.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Exemption of certain mutuals- and cooperatives- income,,,,,,,,,,,,,,,,,
#+,66,Treasury,2005,,,,60.00,60.00,70.00,70.00,70.00,70.00,70.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,Exemption of certain mutuals- and cooperatives- income,,,,,,,,,,,,,,,,,
#+,73,Treasury,2006,,,,,60.00,60.00,60.00,70.00,70.00,70.00,70.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,Exemption of certain mutuals- and cooperatives- income,,,,,,,,,,,,,,,,,
#+,89,Treasury,2007,,,,,,60.00,60.00,70.00,70.00,70.00,70.00,70.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,Exemption of certain mutuals- and cooperatives- income,,,,,,,,,,,,,,,,,
#+,86,Treasury,2008,,,,,,,80.00,80.00,80.00,80.00,80.00,90.00,90.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,Exemption of certain mutuals- and cooperatives- income,,,,,,,,,,,,,,,,,
#+,86,Treasury,2009,,,,,,,,70.00,70.00,70.00,70.00,70.00,70.00,80.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,Exemption of certain mutuals' and cooperatives' income,,,,,,,,,,,,,,,,,
#+,89,Treasury,2010,,,,,,,,,70.00,70.00,70.00,70.00,70.00,80.00,80.00,,,,,,,,,,,,,,,,,,,,Exemption of certain mutuals' and cooperatives' income,,,,,,,,,,,,,,,,,
#+,89,Treasury,2011,,,,,,,,,,110.00,110.00,110.00,110.00,120.00,120.00,120.00,,,,,,,,,,,,,,,,,,,Exemption of certain mutuals' and cooperatives' income,,,,,,,,,,,,,,,,,
#+,90,Treasury,2012,,,,,,,,,,,110.00,110.00,110.00,120.00,120.00,120.00,130.00,,,,,,,,,,,,,,,,,,Exemption of certain mutuals' and cooperatives' income,,,,,,,,,,,,,,,,,
#,Empowerment zones and enterprise communities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#+,67,Treasury,2000,205.00,190.00,170.00,130.00,115.00,,,,,,,,,,,,,225.00,245.00,245.00,175.00,175.00,,,,,,,,,,,,,Empowerment zones and enterprise communities,,,,,,,,,,,,,,,,,
#+,68,Treasury,2001,205.00,220.00,185.00,130.00,110.00,90.00,,,,,,,,,,,,240.00,280.00,280.00,200.00,190.00,170.00,,,,,,,,,,,,Empowerment zones and enterprise communities,,,,,,,,,,,,,,,,,
#+,69,Treasury,2002,80.00,80.00,210.00,300.00,310.00,350.00,370.00,,,,,,,,,,,230.00,240.00,450.00,840.00,900.00,990.00,1110.00,,,,,,,,,,,Empowerment zones and enterprise communities,,,,,,,,,,,,,,,,,
#,Expensing of environmental remediation costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Expensing of environmental remediation costs.&mdash;Under the baseline tax system, the costs would be amortized (or depreciated) over an estimate of the economic life of the building. This insures that the net income from the buildings is measured appropriately each year. However, the Tax Code allows taxpayers who clean up certain hazardous substances at a qualified site to expense the clean-up costs, even though the expenses will generally increase the value of the property significantly or appreciably prolong the life of the property. </p>"
#+,,JCT,2003,,<50,<50,100.00,100.00,<50,,,,,,,,,,,,,<50,100.00,100.00,100.00,<50,,,,,,,,,,,,Expensing of environmental remediation costs,,,,,,,,,,,,,,,,,
#+,68,Treasury,2000,120.00,50.00,-10.00,-20.00,-30.00,,,,,,,,,,,,,25.00,10.00,0.00,-5.00,-5.00,,,,,,,,,,,,,Expensing of environmental remediation costs,,,,,,,,,,,,,,,,,
#+,69,Treasury,2001,125.00,145.00,50.00,-25.00,-30.00,-25.00,,,,,,,,,,,,25.00,30.00,10.00,-5.00,-5.00,-5.00,,,,,,,,,,,,Expensing of environmental remediation costs,,,,,,,,,,,,,,,,,
#+,71,Treasury,2002,130.00,290.00,340.00,280.00,40.00,-110.00,-70.00,,,,,,,,,,,30.00,60.00,70.00,50.00,-10.00,-20.00,-10.00,,,,,,,,,,,Expensing of environmental remediation costs,,,,,,,,,,,,,,,,,
#+,69,Treasury,2003,,70.00,80.00,80.00,20.00,-20.00,-10.00,-10.00,,,,,,,,,,,10.00,20.00,20.00,0.00,0.00,0.00,0.00,,,,,,,,,,Expensing of environmental remediation costs,,,,,,,,,,,,,,,,,
#+,69,Treasury,2004,,,70.00,70.00,20.00,-10.00,-10.00,-10.00,-10.00,,,,,,,,,,,10.00,10.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Expensing of environmental remediation costs,,,,,,,,,,,,,,,,,
#+,69,Treasury,2005,,,,70.00,20.00,-10.00,-10.00,-10.00,-10.00,-10.00,,,,,,,,,,,10.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,Expensing of environmental remediation costs,,,,,,,,,,,,,,,,,
#+,76,Treasury,2006,,,,,70.00,60.00,20.00,-10.00,-10.00,-20.00,-10.00,,,,,,,,,,,10.00,10.00,0.00,0.00,0.00,0.00,0.00,,,,,,,Expensing of environmental remediation costs,,,,,,,,,,,,,,,,,
#+,92,Treasury,2007,,,,,,60.00,50.00,30.00,0.00,-20.00,-10.00,-10.00,,,,,,,,,,,10.00,10.00,10.00,0.00,0.00,0.00,0.00,,,,,,Expensing of environmental remediation costs,,,,,,,,,,,,,,,,,
#+,89,Treasury,2008,,,,,,,120.00,250.00,110.00,-30.00,-20.00,-20.00,-30.00,,,,,,,,,,,30.00,50.00,20.00,-10.00,0.00,0.00,0.00,,,,,Expensing of environmental remediation costs,,,,,,,,,,,,,,,,,
#+,89,Treasury,2009,,,,,,,,250.00,110.00,-30.00,-20.00,-20.00,-20.00,-10.00,,,,,,,,,,,50.00,20.00,-10.00,0.00,0.00,0.00,0.00,,,,Expensing of environmental remediation costs,,,,,,,,,,,,,,,,,
#+,92,Treasury,2010,,,,,,,,,490.00,240.00,20.00,-120.00,-120.00,-120.00,-110.00,,,,,,,,,,,100.00,50.00,0.00,-20.00,-20.00,-20.00,-20.00,,,Expensing of environmental remediation costs,,,,,,,,,,,,,,,,,
#+,92,Treasury,2011,,,,,,,,,,240.00,20.00,-120.00,-120.00,-120.00,-110.00,-100.00,,,,,,,,,,,50.00,0.00,-20.00,-20.00,-20.00,-20.00,-20.00,,Expensing of environmental remediation costs,,,,,,,,,,,,,,,,,
#+,93,Treasury,2012,,,,,,,,,,,10.00,-110.00,-120.00,-120.00,-110.00,-100.00,-90.00,,,,,,,,,,,0.00,-20.00,-20.00,-20.00,-20.00,-20.00,-20.00,Expensing of environmental remediation costs,,,,,,,,,,,,,,,,,
#,Empowerment zone tax incentives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#+,,JCT,2001,200.00,200.00,200.00,200.00,,,,,,,,,,,,,,100.00,200.00,100.00,100.00,,,,,,,,,,,,,,Empowerment zone tax incentives,,,,,,,,,,,,,,,,,
#+,,JCT,2002,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,100.00,200.00,200.00,100.00,100.00,,,,,,,,,,,,,Empowerment zone tax incentives,,,,,,,,,,,,,,,,,
#+,,JCT,2003,,100.00,200.00,300.00,300.00,300.00,,,,,,,,,,,,,100.00,300.00,400.00,400.00,400.00,,,,,,,,,,,,Empowerment zone tax incentives,,,,,,,,,,,,,,,,,
#+,,JCT,2007,,,,,,300.00,400.00,400.00,400.00,500.00,,,,,,,,,,,,,400.00,400.00,500.00,500.00,500.00,,,,,,,,Empowerment zone tax incentives,,,,,,,,,,,,,,,,,
#+,,JCT,2008,,,,,,,300.00,400.00,400.00,400.00,200.00,,,,,,,,,,,,,400.00,400.00,400.00,500.00,300.00,,,,,,,Empowerment zone tax incentives,,,,,,,,,,,,,,,,,
#+,,JCT,2009,,,,,,,,200.00,200.00,200.00,200.00,100.00,,,,,,,,,,,,,400.00,400.00,500.00,300.00,100.00,,,,,,Empowerment zone tax incentives,,,,,,,,,,,,,,,,,
#+,,JCT,2010,,,,,,,,,400.00,400.00,200.00,<50,<50,,,,,,,,,,,,,400.00,400.00,200.00,100.00,100.00,,,,,Empowerment zone tax incentives,,,,,,,,,,,,,,,,,
#+,,JCT,2010,,,,,,,,,400.00,400.00,200.00,<50,<50,,,,,,,,,,,,,400.00,400.00,200.00,100.00,100.00,,,,,Empowerment zone tax incentives,,,,,,,,,,,,,,,,,
#+,,JCT,2011,,,,,,,,,,300.00,200.00,100.00,<50,<50,,,,,,,,,,,,,400.00,300.00,100.00,<50,<50,,,,Empowerment zone tax incentives,,,,,,,,,,,,,,,,,
#+,,JCT,2012,,,,,,,,,,,200.00,200.00,100.00,<50,<50,,,,,,,,,,,,,300.00,200.00,100.00,<50,<50,,,Empowerment zone tax incentives,,,,,,,,,,,,,,,,,
#,District of Columbia tax incentives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#+,,JCT,2001,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,District of Columbia tax incentives,,,,,,,,,,,,,,,,,
#+,,JCT,2002,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,District of Columbia tax incentives,,,,,,,,,,,,,,,,,
#+,,JCT,2003,,<50,<50,<50,<50,<50,,,,,,,,,,,,,<50,<50,<50,100.00,100.00,,,,,,,,,,,,District of Columbia tax incentives,,,,,,,,,,,,,,,,,
#+,,JCT,2007,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,100.00,100.00,<50,100.00,100.00,,,,,,,,District of Columbia tax incentives,,,,,,,,,,,,,,,,,
#+,,JCT,2009,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,100.00,100.00,100.00,100.00,200.00,,,,,,District of Columbia tax incentives,,,,,,,,,,,,,,,,,
#+,,JCT,2010,,,,,,,,,<50,100.00,<50,<50,<50,,,,,,,,,,,,,100.00,200.00,100.00,100.00,100.00,,,,,District of Columbia tax incentives,,,,,,,,,,,,,,,,,
#+,,JCT,2010,,,,,,,,,<50,100.00,<50,<50,<50,,,,,,,,,,,,,100.00,200.00,100.00,100.00,100.00,,,,,District of Columbia tax incentives,,,,,,,,,,,,,,,,,
#+,,JCT,2011,,,,,,,,,,100.00,<50,<50,<50,<50,,,,,,,,,,,,,200.00,100.00,100.00,100.00,100.00,,,,District of Columbia tax incentives,,,,,,,,,,,,,,,,,
#+,,JCT,2012,,,,,,,,,,,100.00,<50,<50,<50,<50,,,,,,,,,,,,,200.00,100.00,100.00,100.00,100.00,,,District of Columbia tax incentives,,,,,,,,,,,,,,,,,
#,Indian reservation tax incentives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#+,,JCT,2001,100.00,100.00,100.00,<50,,,,,,,,,,,,,,100.00,100.00,<50,<50,,,,,,,,,,,,,,Indian reservation tax incentives,,,,,,,,,,,,,,,,,
#+,,JCT,2002,100.00,100.00,100.00,100.00,<50,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,Indian reservation tax incentives,,,,,,,,,,,,,,,,,
#+,,JCT,2003,,200.00,200.00,200.00,100.00,<50,,,,,,,,,,,,,100.00,100.00,100.00,100.00,<50,,,,,,,,,,,,Indian reservation tax incentives,,,,,,,,,,,,,,,,,
#,Expensing of redevelopment costs in certain environmentally contaminated areas (``Brownfields''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#+,,JCT,2001,100.00,100.00,<50,<50,,,,,,,,,,,,,,<50,<50,<50,<50,,,,,,,,,,,,,,Expensing of redevelopment costs in certain environmentally contaminated areas (``Brownfields''),,,,,,,,,,,,,,,,,
#+,,JCT,2002,<50,100.00,100.00,<50,<50,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,Expensing of redevelopment costs in certain environmentally contaminated areas (``Brownfields''),,,,,,,,,,,,,,,,,
#,"Tax credit for rehabilitation of structures, other than historic structures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#+,,JCT,2001,<50,<50,<50,<50,,,,,,,,,,,,,,<50,<50,<50,<50,,,,,,,,,,,,,,"Tax credit for rehabilitation of structures, other than historic structures",,,,,,,,,,,,,,,,,
#+,,JCT,2002,<50,<50,<50,<50,<50,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,"Tax credit for rehabilitation of structures, other than historic structures",,,,,,,,,,,,,,,,,
#+,,JCT,2003,,<50,<50,<50,<50,<50,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,"Tax credit for rehabilitation of structures, other than historic structures",,,,,,,,,,,,,,,,,
#+,,JCT,2007,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,"Tax credit for rehabilitation of structures, other than historic structures",,,,,,,,,,,,,,,,,
#,"Exclusion of interest on State and local government bonds for private airports, docks, and mass-commuting facilities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#+,,JCT,2001,300.00,300.00,400.00,400.00,,,,,,,,,,,,,,800.00,900.00,900.00,1000.00,,,,,,,,,,,,,,"Exclusion of interest on State and local government bonds for private airports, docks, and mass-commuting facilities",,,,,,,,,,,,,,,,,
#+,,JCT,2002,200.00,200.00,200.00,200.00,200.00,,,,,,,,,,,,,400.00,400.00,400.00,400.00,400.00,,,,,,,,,,,,,"Exclusion of interest on State and local government bonds for private airports, docks, and mass-commuting facilities",,,,,,,,,,,,,,,,,
#+,,JCT,2003,,200.00,200.00,200.00,200.00,200.00,,,,,,,,,,,,,500.00,500.00,500.00,500.00,500.00,,,,,,,,,,,,"Exclusion of interest on State and local government bonds for private airports, docks, and mass-commuting facilities",,,,,,,,,,,,,,,,,
#+,,JCT,2007,,,,,,300.00,300.00,300.00,300.00,300.00,,,,,,,,,,,,,600.00,700.00,700.00,700.00,800.00,,,,,,,,"Exclusion of interest on State and local government bonds for private airports, docks, and mass-commuting facilities",,,,,,,,,,,,,,,,,
#,New markets tax credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>New markets tax credit.&mdash;The baseline tax system would not allow credits for particular activities, investments, or industries. However, under current law taxpayers who make qualified equity investments in a community development entity (CDE), which then makes qualified investments in low-income communities, are eligible for a tax credit received over 7 years. The total equity investment available for the credit across all CDEs is $5 billion in 2009. </p>"
#+,,JCT,2003,,<50,<50,100.00,100.00,200.00,,,,,,,,,,,,,<50,<50,100.00,100.00,200.00,,,,,,,,,,,,New markets tax credit,,,,,,,,,,,,,,,,,
#+,,JCT,2007,,,,,,200.00,200.00,300.00,400.00,300.00,,,,,,,,,,,,,200.00,300.00,400.00,500.00,400.00,,,,,,,,New markets tax credit,,,,,,,,,,,,,,,,,
#+,,JCT,2008,,,,,,,200.00,300.00,400.00,300.00,300.00,,,,,,,,,,,,,300.00,400.00,500.00,500.00,400.00,,,,,,,New markets tax credit,,,,,,,,,,,,,,,,,
#+,,JCT,2009,,,,,,,,300.00,400.00,400.00,400.00,300.00,,,,,,,,,,,,,400.00,500.00,500.00,500.00,400.00,,,,,,New markets tax credit,,,,,,,,,,,,,,,,,
#+,,JCT,2010,,,,,,,,,400.00,400.00,400.00,400.00,400.00,,,,,,,,,,,,,500.00,600.00,600.00,500.00,500.00,,,,,New markets tax credit,,,,,,,,,,,,,,,,,
#+,,JCT,2010,,,,,,,,,400.00,400.00,400.00,400.00,400.00,,,,,,,,,,,,,500.00,600.00,600.00,500.00,500.00,,,,,New markets tax credit,,,,,,,,,,,,,,,,,
#+,,JCT,2011,,,,,,,,,,300.00,300.00,300.00,300.00,300.00,,,,,,,,,,,,,400.00,400.00,400.00,400.00,400.00,,,,New markets tax credit,,,,,,,,,,,,,,,,,
#+,,JCT,2012,,,,,,,,,,,300.00,300.00,300.00,300.00,300.00,,,,,,,,,,,,,400.00,400.00,400.00,400.00,400.00,,,New markets tax credit,,,,,,,,,,,,,,,,,
#+,70,Treasury,2002,0.00,0.00,20.00,50.00,80.00,110.00,160.00,,,,,,,,,,,0.00,10.00,70.00,150.00,230.00,330.00,480.00,,,,,,,,,,,New markets tax credit,,,,,,,,,,,,,,,,,
#+,68,Treasury,2003,,0.00,20.00,50.00,70.00,110.00,150.00,210.00,,,,,,,,,,,10.00,70.00,140.00,220.00,320.00,460.00,620.00,,,,,,,,,,New markets tax credit,,,,,,,,,,,,,,,,,
#+,68,Treasury,2004,,,20.00,50.00,70.00,110.00,150.00,210.00,220.00,,,,,,,,,,,70.00,140.00,220.00,320.00,460.00,620.00,650.00,,,,,,,,,New markets tax credit,,,,,,,,,,,,,,,,,
#+,68,Treasury,2005,,,,50.00,70.00,110.00,150.00,210.00,220.00,200.00,,,,,,,,,,,140.00,220.00,320.00,460.00,620.00,650.00,590.00,,,,,,,,New markets tax credit,,,,,,,,,,,,,,,,,
#+,75,Treasury,2006,,,,,70.00,110.00,150.00,210.00,220.00,200.00,170.00,,,,,,,,,,,220.00,320.00,460.00,620.00,650.00,590.00,500.00,,,,,,,New markets tax credit,,,,,,,,,,,,,,,,,
#+,91,Treasury,2007,,,,,,110.00,150.00,210.00,220.00,200.00,170.00,130.00,,,,,,,,,,,320.00,460.00,620.00,650.00,590.00,500.00,390.00,,,,,,New markets tax credit,,,,,,,,,,,,,,,,,
#+,88,Treasury,2008,,,,,,,150.00,210.00,250.00,240.00,210.00,180.00,140.00,,,,,,,,,,,440.00,600.00,740.00,730.00,650.00,550.00,450.00,,,,,New markets tax credit,,,,,,,,,,,,,,,,,
