Indent,Budget Function,Subsidyscope Title,Title as Appears in Budget,Source,Report Year,2000 Total,2001 Total,2002 Total,2003 Total,2004 Total,2005 Total,2006 Total,2007 Total,2008 Total,2009 Total,2010 Total,2011 Total,2012 Total,2013 Total,2014 Total,2015 Total,2016 Total,2000 Corp,2001 Corp,2002 Corp,2003 Corp,2004 Corp,2005 Corp,2006 Corp,2007 Corp,2008 Corp,2009 Corp,2010 Corp,2011 Corp,2012 Corp,2013 Corp,2014 Corp,2015 Corp,2016 Corp,2000 Indv,2001 Indv,2002 Indv,2003 Indv,2004 Indv,2005 Indv,2006 Indv,2007 Indv,2008 Indv,2009 Indv,2010 Indv,2011 Indv,2012 Indv,2013 Indv,2014 Indv,2015 Indv,2016 Indv
*,Energy,Alcohol fuel credits,Tax credits for alcohol fuels,JCT,2003,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,"In addition, the exemption from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $0.6 billion per year in fiscal years 2001 through 2005."
*,Energy,Alcohol fuel credits,Tax credits for alcohol fuels,JCT,2004,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,"In addition, the exemption from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $0.7 billion per year in fiscal years 2002 through 2006."
*,Energy,Alcohol fuel credits,Tax credit for alcohol fuels,JCT,2005,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,"In addition, the exemption from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $0.7 billion in fiscal year 2003, and $0.8 billion per year in fiscal years 2004 through 2007."
*,Energy,Alcohol fuel credits,Tax credit for alcohol fuel blenders,JCT,2006,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,"In addition, the exemption from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $1.1 billion in each of the fiscal years 2004 through 2006, and $1.2 billion per year in fiscal years 2007 and 2008."
*,Energy,Alcohol fuel credits,Tax credit for alcohol fuel blenders,JCT,2007,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,"In addition, the exemption from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $1.4 billion in each of the fiscal years 2005 through 2007 and $1.5 billion per year in fiscal years 2008 and 2009."
*,Energy,Alcohol fuel credits,Tax credit for alcohol fuels,JCT,2008,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,"In addition, the credit from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $11.1 billion over the fiscal years 2006 through 2010."
*,Energy,Alcohol fuel credits,Tax credits for alcohol fuels,JCT,2009,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,"In addition, the credit from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $10.9 billion over the fiscal years 2007 through 2011."
*,Energy,Alcohol fuel credits,Credits for alcohol fuels,JCT,2010,,,,,,,,,100.00,100.00,100.00,0.00,0.00,,,,,,,,,,,,,100.00,100.00,100.00,<50,0.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,"In addition, the credit from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $13.6 billion over the fiscal years 2008 through 2012."
*,Energy,Alcohol fuel credits,Credits for alcohol fuels,JCT,2011,,,,,,,,,,6500.00,10100.00,10400.00,11000.00,3900.00,,,,,,,,,,,,,6500.00,10100.00,10400.00,11000.00,3900.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,"Estimate includes the effect of ""black liquor,"" a byproduct of the kraft paper making process, qualifying for the cellulosic biofuel producer credit. In addition to the amounts above, the excise tax credit for alcohol fuel mixtures results in a reduction in excise tax receipts, net of income, of $8.8 billion over the fiscal years 2009 through 2013."
*,Energy,Alcohol fuel credits,Credits for alcohol fuels,JCT,2012,,,,,,,,,,,100.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,100.00,<50,<50,<50,<50,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,"In addition to the amounts above, the excise tax credit for alcohol fuel mixtures results in a reduction in excise tax receipts, net of income, of $5.1 bilion over the fiscal years 2010 through 2014"
*,Energy,Alcohol fuel credits,Alcohol fuel credits,Treasury,2001,15.00,15.00,15.00,15.00,15.00,15.00,,,,,,,,,,,,10.00,10.00,10.00,10.00,10.00,10.00,,,,,,,,,,,,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,,"In addition, the partial exemption from the excise tax for alcohol fuels results in a reduction in excise tax receipts (in millions of dollars) as follows: 1999 $760; 2000 $800; 2001 $805; 2002 $810; 2003 $815; 2004 $825; and 2005 $830."
*,Energy,Alcohol fuel credits,Alcohol fuel credits,Treasury,2002,20.00,20.00,20.00,20.00,20.00,20.00,20.00,,,,,,,,,,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,,,,,,,,,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,,,,,,,,,,"In addition, the partial exemption from the excise tax for alcohol fuels results in a reduction in excise tax receipts (in millions of dollars) as follows: 2000 $840; 2001 $880; 2002 $930; 2003 $950; 2004 $960; 2005 $960; and in 2006 $960."
*,Energy,Alcohol fuel credits,Alcohol fuel credits,Treasury,2003,,30.00,30.00,30.00,30.00,30.00,30.00,30.00,,,,,,,,,,,20.00,20.00,20.00,20.00,20.00,20.00,20.00,,,,,,,,,,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,,,,,,,,,"In addition, the partial exemption from the excise tax for alcohol fuels results in a reduction in excise tax receipts (in millions of dollars) as follows: 2001 $990; 2002 $1,020; 2003 $1,050; 2004 $1,080; 2005 $1,080; 2006 $1,100; and 2007 $1,120."
*,Energy,Alcohol fuel credits,Alcohol fuel credits,Treasury,2004,,,30.00,30.00,30.00,30.00,30.00,30.00,30.00,,,,,,,,,,,20.00,20.00,20.00,20.00,20.00,20.00,20.00,,,,,,,,,,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,,,,,,,,"In addition, the partial exemption from the excise tax for alcohol fuels results in a reduction in excise tax receipts (in millions of dollars) as follows: 2002 $1,070; 2003 $1,140; 2004 $1,230; 2005 $1,320; 2006 $1,370; 2007 $1,400; and 2008 $1,430."
*,Energy,Alcohol fuel credits,Alcohol fuel credits,Treasury,2005,,,,30.00,30.00,30.00,30.00,30.00,30.00,30.00,,,,,,,,,,,20.00,20.00,20.00,20.00,20.00,20.00,20.00,,,,,,,,,,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,,,,,,,"In addition, the partial exemption from the excise tax for alcohol fuels results in a reduction in excise tax receipts (in millions of dollars) as follows: 2003 $1,100; 2004 $1,260; 2005 $1,370; 2006 $1,430; 2007 $1,470; 2008 $1,510; and 2009 $1,550."
*,Energy,Alcohol fuel credits,Alcohol fuel credits,Treasury,2006,,,,,30.00,30.00,30.00,30.00,40.00,40.00,40.00,,,,,,,,,,,20.00,20.00,20.00,20.00,30.00,30.00,30.00,,,,,,,,,,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,,,,,,"In addition, the partial exemption from the excise tax and excise credits for alcohol fuels result in a reduction in excise tax receipts (in millions of dollars) as follows: 2004 $1,450; 2005 $1,490; 2006 $1,550; 2007 $1,590; 2008 $1,620; 2009 $1,650; and 2010 $1,680."
*,Energy,Alcohol fuel credits,Alcohol fuel credits,Treasury,2007,,,,,,40.00,40.00,40.00,50.00,50.00,60.00,30.00,,,,,,,,,,,30.00,30.00,30.00,40.00,40.00,50.00,20.00,,,,,,,,,,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,,,,,"In addition, the alcohol fuel credit results in a reduction in excise tax receipts (in millions of dollars) as follows: 2005 $1,500; 2006 $2,110; 2007 $2,400; 2008 $2,740; 2009 $3,080; 2010 $3,410 and 2011 $870."
*,Energy,Alcohol fuel credits,Alcohol fuel credits,Treasury,2008,,,,,,,50.00,50.00,60.00,70.00,80.00,30.00,0.00,,,,,,,,,,,40.00,40.00,50.00,50.00,60.00,20.00,0.00,,,,,,,,,,,10.00,10.00,10.00,20.00,20.00,10.00,0.00,,,,,"In addition, the alcohol fuel credit results in a reduction in excise tax receipts (in millions of dollars) as follows: 2006 $2,570; 2007 $2,990; 2008 $3,460; 2009 $4,280; 2010 $4,990; 2011 $1,440; 0 in 2012."
*,Energy,Alcohol fuel credits,Alcohol fuel credits,Treasury,2009,,,,,,,,40.00,40.00,50.00,50.00,30.00,0.00,0.00,,,,,,,,,,,30.00,30.00,40.00,40.00,20.00,0.00,0.00,,,,,,,,,,,10.00,10.00,10.00,10.00,10.00,0.00,0.00,,,,"In addition, the alcohol fuel credit results in a reduction in excise tax receipts (in millions of dollars) as follows: 2007 $3,380; 2008 $4,300; 2009 $5,140; 2010 $5,940; 2011 $1,720; 2012 $0; 2013 $0."
*,Energy,Alcohol fuel credits,Alcohol fuel credits ,Treasury,2010,,,,,,,,,50.00,60.00,90.00,190.00,390.00,230.00,0.00,,,,,,,,,,,40.00,50.00,70.00,160.00,320.00,160.00,0.00,,,,,,,,,,,10.00,10.00,20.00,30.00,70.00,70.00,0.00,,,"In addition, the alcohol fuel credit results in a reduction in excise tax receipts (in millions of dollars) as follows: 2008 $4,410; 2009 $4,730; 2010 $5,230; 2011 $1,630; 2012 $0; 2013 $0; 2014 $0."
*,Energy,Alcohol fuel credits,Alcohol fuel credits   ,Treasury,2011,,,,,,,,,,50.00,1200.00,8870.00,10940.00,6690.00,3610.00,2030.00,,,,,,,,,,,40.00,1190.00,8850.00,10900.00,6640.00,3590.00,2020.00,,,,,,,,,,,10.00,10.00,20.00,40.00,50.00,20.00,10.00,,"In addition, the alcohol fuel credit results in a reduction in excise tax receipts (in millions of dollars) as follows:  2009 $5,160; 2010 $6,100; 2011 $1,940; 2012 $0; 2013 $0; 2014 $0; 2015 $0."
*,Energy,Alcohol fuel credits,Alcohol fuel credits   ,Treasury,2012,,,,,,,,,,,70.00,90.00,130.00,110.00,50.00,30.00,10.00,,,,,,,,,,,60.00,70.00,110.00,80.00,40.00,20.00,10.00,,,,,,,,,,,10.00,20.00,20.00,30.00,10.00,10.00,0.00,"In addition, the alcohol fuel credit results in a reduction in excise tax receipts (in millions of dollars) as follows: 2010 $5680; 2011 $2990; 2012 $0; 2013 $0; 2014 $0; 2015 $0; 2016 $0."
*,Energy,Allowance of deduction for certain energy efficient commercial building property,Deduction for expenditures on energy-efficient commercial building property,JCT,2008,,,,,,,0,200.00,0,0,0,,,,,,,,,,,,,<50,100.00,<50,>-50,>-50,,,,,,,,,,,,,<50,100.00,<50,>-50,>-50,,,,,,,
*,Energy,Allowance of deduction for certain energy efficient commercial building property,Deduction for expenditures on energy-efficient commercial building property,JCT,2009,,,,,,,,0,200.00,0,0,0,,,,,,,,,,,,,<50,100.00,<50,>-50,>-50,,,,,,,,,,,,,<50,100.00,<50,>-50,>-50,,,,,,
*,Energy,Allowance of deduction for certain energy efficient commercial building property,Deduction for expenditures on energy-efficient commercial building property,JCT,2010,,,,,,,,,0,100.00,100.00,100.00,100.00,,,,,,,,,,,,,<50,100.00,100.00,100.00,100.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,
*,Energy,Allowance of deduction for certain energy efficient commercial building property,Deduction for expenditures on energy-efficient commercial building property,JCT,2011,,,,,,,,,,100.00,200.00,200.00,200.00,200.00,,,,,,,,,,,,,<50,100.00,100.00,100.00,100.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,
*,Energy,Allowance of deduction for certain energy efficient commercial building property,Deduction for expenditures on energy-efficient commercial building property,JCT,2012,,,,,,,,,,,200.00,200.00,200.00,200.00,200.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,
*,Energy,Allowance of deduction for certain energy efficient commercial building property,Allowance of deduction for certain energy efficient commercial building property,Treasury,2007,,,,,,0.00,80.00,190.00,140.00,30.00,-10.00,-10.00,,,,,,,,,,,0.00,60.00,150.00,110.00,20.00,-10.00,-10.00,,,,,,,,,,,0.00,20.00,40.00,30.00,10.00,0.00,0.00,,,,,,
*,Energy,Allowance of deduction for certain energy efficient commercial building property,Allowance of deduction for certain energy efficient commercial building property,Treasury,2008,,,,,,,80.00,190.00,170.00,90.00,30.00,-10.00,-10.00,,,,,,,,,,,60.00,140.00,130.00,70.00,20.00,-10.00,-10.00,,,,,,,,,,,20.00,50.00,40.00,20.00,10.00,0.00,0.00,,,,,
*,Energy,Allowance of deduction for certain energy efficient commercial building property,Allowance of deduction for certain energy efficient commercial building property,Treasury,2009,,,,,,,,190.00,170.00,90.00,30.00,0.00,0.00,0.00,,,,,,,,,,,140.00,130.00,70.00,20.00,0.00,0.00,0.00,,,,,,,,,,,50.00,40.00,20.00,10.00,0.00,0.00,0.00,,,,
*,Energy,Allowance of deduction for certain energy efficient commercial building property,Allowance of deduction for certain energy efficient commercial building property,Treasury,2010,,,,,,,,,170.00,200.00,210.00,190.00,200.00,20.00,60.00,,,,,,,,,,,130.00,150.00,160.00,130.00,130.00,10.00,40.00,,,,,,,,,,,40.00,50.00,50.00,60.00,70.00,10.00,20.00,,,
*,Energy,Allowance of deduction for certain energy efficient commercial building property,Allowance of deduction for certain energy efficient commercial building property,Treasury,2011,,,,,,,,,,60.00,80.00,90.00,90.00,130.00,80.00,10.00,,,,,,,,,,,50.00,60.00,70.00,70.00,100.00,60.00,10.00,,,,,,,,,,,10.00,20.00,20.00,20.00,30.00,20.00,0.00,,
*,Energy,Allowance of deduction for certain energy efficient commercial building property,Allowance of deduction for certain energy efficient commercial building property,Treasury,2012,,,,,,,,,,,60.00,80.00,90.00,100.00,70.00,30.00,10.00,,,,,,,,,,,50.00,60.00,70.00,80.00,50.00,20.00,10.00,,,,,,,,,,,10.00,20.00,20.00,20.00,20.00,10.00,0.00,
*,Energy,Alternative Fuel and Fuel Mixture tax credit,Alternative Fuel and Fuel Mixture tax credit,Treasury,2007,,,,,,150.00,170.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,150.00,170.00,0.00,0.00,0.00,0.00,0.00,,,,,,
*,Energy,Alternative fuel production credit,Tax credit for production of non-conventional fuels,JCT,2001,1300.00,1300.00,1300.00,1000.00,,,,,,,,,,,,,,1000.00,1000.00,1000.00,800.00,,,,,,,,,,,,,,300.00,300.00,300.00,200.00,,,,,,,,,,,,,,
*,Energy,Alternative fuel production credit,Tax credit for production of non-conventional fuels,JCT,2002,1300.00,1400.00,1500.00,1500.00,1500.00,,,,,,,,,,,,,1100.00,1100.00,1200.00,1200.00,1200.00,,,,,,,,,,,,,200.00,300.00,300.00,300.00,300.00,,,,,,,,,,,,,
*,Energy,Alternative fuel production credit,Tax credit for production of non-conventional fuels,JCT,2003,,1500.00,1600.00,1000.00,600.00,600.00,,,,,,,,,,,,,1200.00,1300.00,800.00,500.00,500.00,,,,,,,,,,,,,300.00,300.00,200.00,100.00,100.00,,,,,,,,,,,,
*,Energy,Alternative fuel production credit,Tax credit for production of non-conventional fuels,JCT,2004,,,1600.00,1000.00,600.00,600.00,600.00,,,,,,,,,,,,,1300.00,800.00,500.00,500.00,500.00,,,,,,,,,,,,,300.00,200.00,100.00,100.00,100.00,,,,,,,,,,,
*,Energy,Alternative fuel production credit,Tax credit for production of non-conventional fuels,JCT,2005,,,,1000.00,600.00,600.00,600.00,700.00,,,,,,,,,,,,,800.00,500.00,500.00,500.00,600.00,,,,,,,,,,,,,200.00,100.00,100.00,100.00,100.00,,,,,,,,,,
*,Energy,Alternative fuel production credit,Tax credit for production of non-conventional fuels,JCT,2006,,,,,600.00,600.00,600.00,700.00,300.00,,,,,,,,,,,,,500.00,500.00,500.00,600.00,200.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,
*,Energy,Alternative fuel production credit,Tax credit for production of non-conventional fuels,JCT,2007,,,,,,1200.00,1400.00,1600.00,600.00,100.00,,,,,,,,,,,,,1000.00,1100.00,1300.00,500.00,100.00,,,,,,,,,,,,,200.00,300.00,300.00,100.00,<50,,,,,,,,
*,Energy,Alternative fuel production credit,Tax credit for production of non-conventional fuels,JCT,2008,,,,,,,3700.00,4200.00,1400.00,0,0,,,,,,,,,,,,,2700.00,3200.00,1200.00,<50,<50,,,,,,,,,,,,,1000.00,1000.00,200.00,<50,<50,,,,,,,
*,Energy,Alternative fuel production credit,Tax credit for producing fuels from a non-conventional source,JCT,2009,,,,,,,,4500.00,1700.00,0,0,0,,,,,,,,,,,,,3700.00,1400.00,<50,<50,<50,,,,,,,,,,,,,800.00,300.00,<50,<50,<50,,,,,,
*,Energy,Alternative fuel production credit,Credit for producing fuels from a non-conventional source,JCT,2010,,,,,,,,,100.00,100.00,0,0,0,,,,,,,,,,,,,100.00,100.00,<50,<50,<50,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,
*,Energy,Alternative fuel production credit,Credit for producing fuels from a non-conventional source,JCT,2011,,,,,,,,,,100.00,0,0,0,0,,,,,,,,,,,,,100.00,<50,<50,<50,<50,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,
*,Energy,Alternative fuel production credit,Credit for producing fuels from a non-conventional source,JCT,2012,,,,,,,,,,,0,0,0,0,3000.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,<50,<50,<50,<50,3000.00,,,
*,Energy,Alternative fuel production credit,Alternative fuel production credit,Treasury,2001,960.00,905.00,845.00,125.00,125.00,125.00,,,,,,,,,,,,915.00,860.00,805.00,125.00,125.00,125.00,,,,,,,,,,,,45.00,45.00,40.00,0.00,0.00,0.00,,,,,,,,,,,,
*,Energy,Alternative fuel production credit,Alternative fuel production credit,Treasury,2002,970.00,920.00,860.00,540.00,130.00,130.00,130.00,,,,,,,,,,,930.00,880.00,820.00,520.00,120.00,120.00,120.00,,,,,,,,,,,40.00,40.00,40.00,20.00,10.00,10.00,10.00,,,,,,,,,,,
*,Energy,Alternative fuel production credit,Alternative fuel production credit,Treasury,2003,,900.00,850.00,410.00,130.00,130.00,130.00,130.00,,,,,,,,,,,860.00,810.00,390.00,120.00,120.00,120.00,120.00,,,,,,,,,,,40.00,40.00,20.00,10.00,10.00,10.00,10.00,,,,,,,,,,
*,Energy,Alternative fuel production credit,Alternative fuel production credit,Treasury,2004,,,1560.00,940.00,520.00,520.00,520.00,520.00,210.00,,,,,,,,,,,1500.00,900.00,500.00,500.00,500.00,500.00,200.00,,,,,,,,,,,60.00,40.00,20.00,20.00,20.00,20.00,10.00,,,,,,,,,
*,Energy,Alternative fuel production credit,Alternative fuel production credit,Treasury,2005,,,,1280.00,890.00,890.00,890.00,890.00,350.00,0.00,,,,,,,,,,,1230.00,850.00,850.00,850.00,850.00,340.00,0.00,,,,,,,,,,,50.00,40.00,40.00,40.00,40.00,10.00,0.00,,,,,,,,
*,Energy,Alternative fuel production credit,Alternative fuel production credit,Treasury,2006,,,,,1040.00,1040.00,1040.00,1040.00,420.00,0.00,0.00,,,,,,,,,,,1000.00,1000.00,1000.00,1000.00,400.00,0.00,0.00,,,,,,,,,,,40.00,40.00,40.00,40.00,20.00,0.00,0.00,,,,,,,
*,Energy,Alternative fuel production credit,Alternative fuel production credit,Treasury,2007,,,,,,2320.00,2390.00,2460.00,990.00,0.00,0.00,0.00,,,,,,,,,,,2220.00,2290.00,2360.00,950.00,0.00,0.00,0.00,,,,,,,,,,,100.00,100.00,100.00,40.00,0.00,0.00,0.00,,,,,,
*,Energy,Alternative fuel production credit,Alternative fuel production credit,Treasury,2008,,,,,,,2980.00,2370.00,780.00,10.00,10.00,0.00,0.00,,,,,,,,,,,2860.00,2270.00,750.00,10.00,10.00,0.00,0.00,,,,,,,,,,,120.00,100.00,30.00,0.00,0.00,0.00,0.00,,,,,
*,Energy,Alternative fuel production credit,Alternative fuel production credit,Treasury,2009,,,,,,,,2920.00,1310.00,70.00,80.00,10.00,10.00,0.00,,,,,,,,,,,2800.00,1260.00,70.00,80.00,10.00,10.00,0.00,,,,,,,,,,,120.00,50.00,0.00,0.00,0.00,0.00,0.00,,,,
*,Energy,Alternative fuel production credit,Alternative fuel production credit,Treasury,2010,,,,,,,,,590.00,70.00,80.00,10.00,10.00,0.00,0.00,,,,,,,,,,,570.00,70.00,80.00,10.00,10.00,0.00,0.00,,,,,,,,,,,20.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
*,Energy,Alternative fuel production credit,Alternative fuel production credit,Treasury,2011,,,,,,,,,,60.00,50.00,20.00,10.00,0.00,0.00,0.00,,,,,,,,,,,60.00,50.00,20.00,10.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
*,Energy,Alternative fuel production credit,Alternative fuel production credit,Treasury,2012,,,,,,,,,,,170.00,170.00,120.00,90.00,60.00,20.00,0.00,,,,,,,,,,,160.00,160.00,110.00,80.00,60.00,20.00,0.00,,,,,,,,,,,10.00,10.00,10.00,10.00,0.00,0.00,0.00,
*,Energy,Amortization of air pollution control facilities,Amortization of air pollution control facilities,JCT,2010,,,,,,,,,100.00,100.00,100.00,200.00,200.00,,,,,,,,,,,,,100.00,100.00,100.00,200.00,200.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,
*,Energy,Amortization of air pollution control facilities,Amortization of air pollution control facilities,JCT,2011,,,,,,,,,,100.00,100.00,200.00,200.00,200.00,,,,,,,,,,,,,100.00,100.00,200.00,200.00,200.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,
*,Energy,Amortization of air pollution control facilities,Amortization of air pollution control facilities,JCT,2012,,,,,,,,,,,100.00,200.00,200.00,200.00,100.00,,,,,,,,,,,,,100.00,200.00,200.00,200.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,
*,Energy,Amortize all geological and geophysical expenditures over 2 years,Amortization of geological and geophysical costs associated with oil and gas exploration,JCT,2008,,,,,,,0,100.00,300.00,300.00,100.00,,,,,,,,,,,,,>-50,100.00,200.00,200.00,100.00,,,,,,,,,,,,,>-50,<50,100.00,100.00,<50,,,,,,,
*,Energy,Amortize all geological and geophysical expenditures over 2 years,Amortization of geological and geophysical expenditures associated with oil and gas exploration,JCT,2009,,,,,,,,100.00,300.00,300.00,300.00,100.00,,,,,,,,,,,,,100.00,200.00,200.00,200.00,100.00,,,,,,,,,,,,,<50,100.00,100.00,100.00,<50,,,,,,
*,Energy,Amortize all geological and geophysical expenditures over 2 years,Amortization of geological and geophysical expenditures associated with oil and gas exploration,JCT,2010,,,,,,,,,100.00,300.00,300.00,300.00,300.00,,,,,,,,,,,,,100.00,200.00,200.00,200.00,200.00,,,,,,,,,,,,,<50,100.00,100.00,100.00,100.00,,,,,
