Indent,Category,Source,report,2000 Corp,2001 Corp,2002 Corp,2003 Corp,2004 Corp,2005 Corp,2006 Corp,2007 Corp,2008 Corp,2009 Corp,2010 Corp,2011 Corp,2012 Corp,2013 Corp,2014 Corp,2015 Corp,2016 Corp,2000 Indv,2001 Indv,2002 Indv,2003 Indv,2004 Indv,2005 Indv,2006 Indv,2007 Indv,2008 Indv,2009 Indv,2010 Indv,2011 Indv,2012 Indv,2013 Indv,2014 Indv,2015 Indv,2016 Indv,Description/Expenditure Name,Notes
#+,,JCT,2007,,,,,,100.00,<50,<50,<50,0.00,,,,,,,,,,,,,<50,<50,<50,<50,0.00,,,,,,,,Wage credit for Indian reservation employment,
#+,,JCT,2009,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,Tax credit for Indian reservation employment,
#+,,JCT,2010,,,,,,,,,<50,<50,<50,0.00,0.00,,,,,,,,,,,,,<50,<50,<50,0.00,0.00,,,,,Credit for Indian reservation employment,
#+,,JCT,2011,,,,,,,,,,<50,<50,<50,0.00,0.00,,,,,,,,,,,,,<50,<50,<50,0.00,0.00,,,,Credit for Indian reservation employment,
#+,,JCT,2012,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,Credit for Indian reservation employment,
#,Credit to holders of Gulf Tax Credit Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>The baseline tax system would not allow credits for particular activities, investments, or industries. Instead, under current law taxpayers that own Gulf and Midwest Tax Credit bonds receive a non-refundable tax credit rather than interest. The credit is included in gross income. </p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy12/pdf/BUDGET-2012-PER.pdf"">Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2012.</a>"
#+,93,Treasury,2007,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,10.00,10.00,10.00,10.00,10.00,,,,,,Credit to holders of Gulf Tax Credit Bonds,
#+,90,Treasury,2008,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,,,,Credit to holders of Gulf Tax Credit Bonds,
#+,90,Treasury,2009,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,,,Credit to holders of Gulf Tax Credit Bonds,
#+,93,Treasury,2010,,,,,,,,,0.00,0.00,20.00,20.00,20.00,10.00,10.00,,,,,,,,,,,10.00,30.00,60.00,60.00,50.00,40.00,40.00,,,Credit to holders of Gulf Tax Credit Bonds,
#+,93,Treasury,2011,,,,,,,,,,0.00,20.00,20.00,20.00,10.00,10.00,10.00,,,,,,,,,,,30.00,60.00,60.00,50.00,40.00,40.00,40.00,,Credit to holders of Gulf Tax Credit Bonds.,
#+,94,Treasury,2012,,,,,,,,,,,20.00,20.00,20.00,10.00,10.00,10.00,10.00,,,,,,,,,,,60.00,60.00,50.00,40.00,40.00,40.00,40.00,Credit to holders of Gulf Tax Credit Bonds.,
#,Deferral of capital gains with respect of dispositions of transmission property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#+,77,Treasury,2006,,,,,0.00,,,,,100.00,360.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,Deferral of capital gains with respect of dispositions of transmission property,
#,Disaster Relief: Gulf opportunity zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Following Hurricane Katrina, the Katrina Emergency Tax Relief Act of 2005 (KETRA; P.L. 109-73) provided tax relief to individuals and businesses affected by the disaster. This was followed by the Gulf Opportunity Zone Act of 2005 (GOZA; P.L. 109-135),which established the Gulf Opportunity (GO) Zone in order to provide relief to those affected by Hurricanes Rita and Wilma and assist in economic recovery. KETRA and GOZA included provisions which allowed individuals to deduct housing and insurance related recovery expenditures from gross income and provided tax credits to employers to encourage them to resume operations and retain employees. KETRA and GOZA also included other business related provisions, which allow for bonus depreciation, expensing of certain property, and a 5-year carry back of net operating losses. Other provisions increased the rehabilitation credit for historic property and expanded the number of tax-exempt bonds.</p>","Description adapted from <a href=""http://www.gpo.gov/fdsys/pkg/CPRT-111SPRT62799/pdf/CPRT-111SPRT62799.pdff""><em>Tax Expenditures: Compendium of Background Materials on Individual Provisions</em></a>, Congressional Research Service, December 2010, Washington, DC: U.S. Government Printing Office."
#+,,JCT,2010,,,,,,,,,300.00,<50,100.00,<50,<50,,,,,,,,,,,,,1300.00,600.00,400.00,300.00,200.00,,,,,Gulf opportunity zone,
#+,,JCT,2011,,,,,,,,,,<50,100.00,300.00,<50,<50,,,,,,,,,,,,,0.00,600.00,400.00,300.00,200.00,,,,Gulf opportunity zone,
#+,,JCT,2012,,,,,,,,,,,100.00,<50,<50,<50,<50,,,,,,,,,,,,,600.00,400.00,300.00,200.00,200.00,,,Gulf opportunity zone,
#,Disaster Relief: Kansas disaster relief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>There is no definition available for this tax expenditure in the 2006, 2008, or 2010 Congressional Research Service's <em>Tax Expenditures: Compendium of Background Material on Individual Provisions</em>.</p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy12/pdf/BUDGET-2012-PER.pdf"">Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2012.</a>"
#+,,JCT,2010,,,,,,,,,0.00,<50,<50,<50,<50,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,Kansas disaster relief,
#,Disaster Relief: Katrina emergency act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Following Hurricane Katrina, the Katrina Emergency Tax Relief Act of 2005 (KETRA; P.L. 109-73) provided tax relief to individuals and businesses affected by the disaster. This was followed by the Gulf Opportunity Zone Act of 2005 (GOZA; P.L. 109-135),which established the Gulf Opportunity (GO) Zone in order to provide relief to those affected by Hurricanes Rita and Wilma and assist in economic recovery. KETRA and GOZA included provisions which allowed individuals to deduct housing and insurance related recovery expenditures from gross income and provided tax credits to employers to encourage them to resume operations and retain employees. KETRA and GOZA also included other business related provisions, which allow for bonus depreciation, expensing of certain property, and a 5-year carry back of net operating losses. Other provisions increased the rehabilitation credit for historic property and expanded the number of tax-exempt bonds. </p>","Description adapted from <a href=""http://www.gpo.gov/fdsys/pkg/CPRT-111SPRT62799/pdf/CPRT-111SPRT62799.pdff""><em>Tax Expenditures: Compendium of Background Materials on Individual Provisions</em></a>, Congressional Research Service, December 2010, Washington, DC: U.S. Government Printing Office."
#+,,JCT,2010,,,,,,,,,100.00,<50,<50,<50,<50,,,,,,,,,,,,,100.00,<50,<50,<50,<50,,,,,Katrina emergency act,
#,Disaster Relief: Midwest disaster relief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>The provisions for the Midwestern disaster area are applicable to the floods, severe storms, and tornadoes declared from May 20, 2008 through August 1, 2008. The Emergency Economic Stabilization Act included tax relief for victims of the Midwestern disasters and Hurricane Ike. EESA also extended the Work Opportunity Tax Credit (WOTC), originally included KETRA for Hurricane Katrina employees. The WOTC allows businesses to claim a credit for qualified wages for employees retained in the Katrina, Rita, and Wilma zone areas, during the period a business is inoperable.</p>","Description adapted from <a href=""http://www.gpo.gov/fdsys/pkg/CPRT-111SPRT62799/pdf/CPRT-111SPRT62799.pdff""><em>Tax Expenditures: Compendium of Background Materials on Individual Provisions</em></a>, Congressional Research Service, December 2010, Washington, DC: U.S. Government Printing Office."
#+,,JCT,2010,,,,,,,,,0.00,300.00,200.00,200.00,300.00,,,,,,,,,,,,,0.00,900.00,100.00,100.00,100.00,,,,,Midwest disaster relief,
#+,,JCT,2011,,,,,,,,,,300.00,200.00,200.00,300.00,300.00,,,,,,,,,,,,,0.00,900.00,100.00,100.00,100.00,,,,Midwest disaster relief,
#+,,JCT,2012,,,,,,,,,,,200.00,200.00,300.00,300.00,300.00,,,,,,,,,,,,,900.00,100.00,100.00,100.00,200.00,,,Midwest disaster relief,
#,Disaster Relief: National disaster relief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>The Emergency Economic Stabilization Act of 2008 (EESA; P.L. 110-343) includes National disaster relief for all disasters occurring between December 31, 2007 and January 1, 2010. The EESA provisions allow: (1) an additional itemized deduction beyond the $500 per casualty threshold; (2) disaster victims to deduct immediately demolition and repair expenses as well as environmental remediation; and (3) five-year carry back of net operating losses attributable to disasters. EESA also allows the issuance of tax-exempt mortgage revenue bonds to finance low-interest loans to taxpayers in declared disaster areas whose principal residence was damaged by a disaster. Two additional provisions directed to business investment allow for special bonus depreciation and expensing of property.</p>","Description adapted from <a href=""http://www.gpo.gov/fdsys/pkg/CPRT-111SPRT62799/pdf/CPRT-111SPRT62799.pdff""><em>Tax Expenditures: Compendium of Background Materials on Individual Provisions</em></a>, Congressional Research Service, December 2010, Washington, DC: U.S. Government Printing Office."
#+,,JCT,2010,,,,,,,,,0.00,800.00,1100.00,700.00,200.00,,,,,,,,,,,,,0.00,1200.00,800.00,500.00,100.00,,,,,National disaster relief,
#+,,JCT,2011,,,,,,,,,,800.00,1100.00,700.00,200.00,,,,,,,,,,,,,,0.00,1200.00,800.00,500.00,100.00,,,,National disaster relief,
#+,,JCT,2012,,,,,,,,,,,200.00,100.00,<50,<50,<50,,,,,,,,,,,,,200.00,200.00,100.00,<50,<50,,,National disaster relief,
#,District of Columbia tax incentives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>In 1997 several tax incentives for the District of Columbia were adopted: a wage tax credit of $3,000 per employee for wages paid to a District resident, tax-exempt bond financing, and additional first-year expensing of equipment. These apply to areas with poverty rates of 20 percent or more. There is also a zero capital gains rate for business sales in areas with 10 percent poverty rates. Those provisions were originally available through December 31, 2007 and subsequently extended through 2009 by the Emergency Economic Stabilization Act of 2008 (P.L. 110-343). (A credit for first-time home buyers adopted at that time is discussed under the Commerce and Housing heading.)</p>","Description adapted from <a href=""http://www.gpo.gov/fdsys/pkg/CPRT-111SPRT62799/pdf/CPRT-111SPRT62799.pdff""><em>Tax Expenditures: Compendium of Background Materials on Individual Provisions</em></a>, Congressional Research Service, December 2010, Washington, DC: U.S. Government Printing Office."
#+,,JCT,2001,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,District of Columbia tax incentives,
#+,,JCT,2002,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,District of Columbia tax incentives,
#+,,JCT,2003,,<50,<50,<50,<50,<50,,,,,,,,,,,,,<50,<50,<50,100.00,100.00,,,,,,,,,,,,District of Columbia tax incentives,
#+,,JCT,2004,,,<50,<50,100.00,100.00,100.00,,,,,,,,,,,,,<50,100.00,100.00,100.00,100.00,,,,,,,,,,,District of Columbia tax incentives,
#+,,JCT,2005,,,,<50,100.00,100.00,100.00,100.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,District of Columbia tax incentives,
#+,,JCT,2006,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,District of Columbia tax incentives,
#+,,JCT,2007,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,100.00,100.00,<50,100.00,100.00,,,,,,,,District of Columbia tax incentives,
#+,,JCT,2009,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,100.00,100.00,100.00,100.00,200.00,,,,,,District of Columbia tax incentives,
#+,,JCT,2010,,,,,,,,,<50,100.00,<50,<50,<50,,,,,,,,,,,,,100.00,200.00,100.00,100.00,100.00,,,,,District of Columbia tax incentives,
#+,,JCT,2011,,,,,,,,,,100.00,<50,<50,<50,<50,,,,,,,,,,,,,200.00,100.00,100.00,100.00,100.00,,,,District of Columbia tax incentives,
#+,,JCT,2012,,,,,,,,,,,100.00,<50,<50,<50,<50,,,,,,,,,,,,,200.00,100.00,100.00,100.00,100.00,,,District of Columbia tax incentives,
#,Eliminate requirement that financial institutions allocate interest expense attributable to tax-exempt interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>In the 111th Congress, the American Recovery and Reinvestment Act (P.L. 111-5, ARRA) created new rules for banks (and other financial institutions) that invest in tax-exempt bonds. Banks deduct interest expense, the interest they pay to depositors, as a cost of doing business, thereby reducing their tax liability. They have to reduce this interest expense, however, if the bank has invested in tax-exempt bonds. Generally, banks and financial institutions are required to reduce their interest rate expense deduction by the same ratio as tax-exempt bonds have to all assets in their portfolio. The rule is in place to keep banks from benefitting from two tax preferences for the same investment.</p>

<p>Tax-exempt bond investments by individuals and non-financial institutions that comprise less than 2 percent of their investment portfolio, however, are not required to reduce their interest expense deduction. Also, investment by banks in qualified tax-exempt bonds receive more favorable tax treatment. Under this provision, the interest expense deduction is reduced by 20 percent of the interest expense allocable to these bonds. This confers a more favorable treatment on the qualified tax-exempt bonds and is often identified as the two percent rule.</p>
","Description adapted from <a href=""http://www.gpo.gov/fdsys/pkg/CPRT-111SPRT62799/pdf/CPRT-111SPRT62799.pdff""><em>Tax Expenditures: Compendium of Background Materials on Individual Provisions</em></a>, Congressional Research Service, December 2010, Washington, DC: U.S. Government Printing Office."
#+,,JCT,2011,,,,,,,,,,<50,300.00,300.00,300.00,300.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,Eliminate requirement that financial institutions allocate interest expense attributable to tax-exempt interest,
#+,,JCT,2012,,,,,,,,,,,200.00,300.00,300.00,300.00,300.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,Eliminate requirement that financial institutions allocate interest expense attributable to tax-exempt interest,
#,Empowerment zones and renewal communities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>The baseline tax system generally would tax all income under the regular tax rate schedule. It would not allow preferentially low (or zero) tax rates to apply to certain types or sources of income, tax credits, and writeoffs faster than economic depreciation. In contrast, under current law qualifying businesses in designated economically depressed areas can receive tax benefits such as an employer wage credit, increased expensing of investment in equipment, special tax-exempt financing, accelerated depreciation, and certain capital gains incentives. </p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy12/pdf/BUDGET-2012-PER.pdf"">Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2012.</a>"
#+,68,Treasury,2001,205.00,220.00,185.00,130.00,110.00,90.00,,,,,,,,,,,,240.00,280.00,280.00,200.00,190.00,170.00,,,,,,,,,,,,Empowerment zones and enterprise communities,
#+,69,Treasury,2002,80.00,80.00,210.00,300.00,310.00,350.00,370.00,,,,,,,,,,,230.00,240.00,450.00,840.00,900.00,990.00,1110.00,,,,,,,,,,,Empowerment zones and enterprise communities,
#+,67,Treasury,2003,,100.00,220.00,300.00,300.00,320.00,350.00,390.00,,,,,,,,,,,280.00,510.00,830.00,870.00,960.00,1060.00,1190.00,,,,,,,,,,"Empowerment zones, Enterprise communities, and Renewal communities",
#+,67,Treasury,2004,,,220.00,300.00,300.00,320.00,350.00,390.00,420.00,,,,,,,,,,,510.00,830.00,870.00,960.00,1060.00,1190.00,1330.00,,,,,,,,,"Empowerment zones, Enterprise communities, and Renewal communities",
#+,67,Treasury,2005,,,,280.00,280.00,290.00,310.00,330.00,370.00,420.00,,,,,,,,,,,790.00,800.00,830.00,900.00,990.00,1100.00,1310.00,,,,,,,,"Empowerment zones, Enterprise communities, and Renewal communities",
#+,74,Treasury,2006,,,,,280.00,290.00,310.00,340.00,370.00,420.00,190.00,,,,,,,,,,,800.00,830.00,900.00,1000.00,1110.00,1320.00,940.00,,,,,,,"Empowerment zones, Enterprise communities, and Renewal communities",
#+,90,Treasury,2007,,,,,,290.00,310.00,340.00,370.00,420.00,190.00,60.00,,,,,,,,,,,830.00,900.00,1000.00,1110.00,1320.00,940.00,360.00,,,,,,Empowerment zones and renewal communities,
#+,87,Treasury,2008,,,,,,,310.00,340.00,370.00,420.00,190.00,60.00,90.00,,,,,,,,,,,900.00,1000.00,1110.00,1320.00,940.00,360.00,480.00,,,,,Empowerment zones and renewal communities,
#+,87,Treasury,2009,,,,,,,,360.00,380.00,420.00,200.00,70.00,110.00,140.00,,,,,,,,,,,1090.00,1170.00,1340.00,970.00,410.00,550.00,650.00,,,,Empowerment zones and renewal communities,
#+,90,Treasury,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empowerment zones and renewal communities,
#+,90,Treasury,2011,,,,,,,,,,270.00,140.00,80.00,110.00,130.00,150.00,140.00,,,,,,,,,,,860.00,610.00,350.00,470.00,550.00,590.00,590.00,,Empowerment zones and renewal communities,
#+,91,Treasury,2012,,,,,,,,,,,150.00,100.00,120.00,130.00,130.00,120.00,100.00,,,,,,,,,,,580.00,400.00,450.00,490.00,500.00,480.00,420.00,Empowerment zones and renewal communities,
##,Empowerment zone tax incentives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Description from <a href=""http://www.gpoaccess.gov/usbudget/fy12/pdf/BUDGET-2012-PER.pdf"">Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2012.</a>"
##+,,JCT,2001,200.00,200.00,200.00,200.00,,,,,,,,,,,,,,100.00,200.00,100.00,100.00,,,,,,,,,,,,,,Empowerment zone tax incentives,
##+,,JCT,2002,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,100.00,200.00,200.00,100.00,100.00,,,,,,,,,,,,,Empowerment zone tax incentives,
##+,,JCT,2003,,100.00,200.00,300.00,300.00,300.00,,,,,,,,,,,,,100.00,300.00,400.00,400.00,400.00,,,,,,,,,,,,Empowerment zone tax incentives,
##+,,JCT,2004,,,200.00,300.00,300.00,300.00,300.00,,,,,,,,,,,,,300.00,400.00,400.00,400.00,400.00,,,,,,,,,,,Empowerment zone tax incentives,
##+,,JCT,2005,,,,300.00,300.00,300.00,400.00,400.00,,,,,,,,,,,,,300.00,300.00,400.00,400.00,400.00,,,,,,,,,,Empowerment zone tax incentives,
##+,,JCT,2006,,,,,300.00,300.00,400.00,400.00,400.00,,,,,,,,,,,,,300.00,400.00,400.00,400.00,500.00,,,,,,,,,Empowerment zone tax incentives,
##+,,JCT,2007,,,,,,300.00,400.00,400.00,400.00,500.00,,,,,,,,,,,,,400.00,400.00,500.00,500.00,500.00,,,,,,,,Empowerment zone tax incentives,
##+,,JCT,2008,,,,,,,300.00,400.00,400.00,400.00,200.00,,,,,,,,,,,,,400.00,400.00,400.00,500.00,300.00,,,,,,,Empowerment zone tax incentives,
##+,,JCT,2009,,,,,,,,200.00,200.00,200.00,200.00,100.00,,,,,,,,,,,,,400.00,400.00,500.00,300.00,100.00,,,,,,Empowerment zone tax incentives,
##+,,JCT,2010,,,,,,,,,400.00,400.00,200.00,<50,<50,,,,,,,,,,,,,400.00,400.00,200.00,100.00,100.00,,,,,Empowerment zone tax incentives,
##+,,JCT,2011,,,,,,,,,,300.00,200.00,100.00,<50,<50,,,,,,,,,,,,,400.00,300.00,100.00,<50,<50,,,,Empowerment zone tax incentives,
##+,,JCT,2012,,,,,,,,,,,200.00,200.00,100.00,<50,<50,,,,,,,,,,,,,300.00,200.00,100.00,<50,<50,,,Empowerment zone tax incentives,
##,Renewal community incentives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Description from <a href=""http://www.gpoaccess.gov/usbudget/fy12/pdf/BUDGET-2012-PER.pdf"">Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2012.</a>"
##+,,JCT,2003,,0.00,100.00,100.00,100.00,200.00,,,,,,,,,,,,,0.00,300.00,400.00,400.00,400.00,,,,,,,,,,,,Renewal community tax incentives,
##+,,JCT,2004,,,100.00,100.00,100.00,200.00,200.00,,,,,,,,,,,,,300.00,400.00,400.00,400.00,400.00,,,,,,,,,,,Renewal community tax incentives,
##+,,JCT,2005,,,,100.00,100.00,200.00,200.00,300.00,,,,,,,,,,,,,300.00,300.00,400.00,400.00,400.00,,,,,,,,,,Renewal community tax incentives,
##+,,JCT,2006,,,,,100.00,200.00,200.00,200.00,300.00,,,,,,,,,,,,,300.00,300.00,400.00,400.00,500.00,,,,,,,,,Renewal community tax incentives,
##+,,JCT,2007,,,,,,200.00,200.00,200.00,300.00,300.00,,,,,,,,,,,,,300.00,400.00,400.00,500.00,500.00,,,,,,,,Renewal community tax incentives,
##+,,JCT,2008,,,,,,,200.00,200.00,200.00,200.00,200.00,,,,,,,,,,,,,300.00,400.00,400.00,400.00,300.00,,,,,,,Renewal community tax incentives,
##+,,JCT,2009,,,,,,,,300.00,400.00,400.00,200.00,<50,,,,,,,,,,,,,400.00,400.00,400.00,200.00,<50,,,,,,Renewal community tax incentives,
##+,,JCT,2010,,,,,,,,,300.00,200.00,100.00,100.00,100.00,,,,,,,,,,,,,400.00,300.00,100.00,100.00,100.00,,,,,Renewal community tax incentives,
##+,,JCT,2011,,,,,,,,,,200.00,100.00,100.00,<50,<50,,,,,,,,,,,,,300.00,100.00,100.00,100.00,<50,,,,Renewal community incentives,
##+,,JCT,2012,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,200.00,100.00,100.00,100.00,100.00,,,Renewal community incentives,
#,"Exclusion of interest for airport, dock, and similar bonds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>The baseline tax system generally would tax all income under the regular tax rate schedule. It would not allow preferentially low (or zero) tax rates to apply to certain types or sources of income. In contrast, the Tax Code allows interest earned on State and local bonds issued to finance high-speed rail facilities and Government-owned airports, docks, wharves, and sport and convention facilities to be tax-exempt. These bonds are not subject to a volume cap. </p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy12/pdf/BUDGET-2012-PER.pdf"">Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2012.</a>"
#+,,JCT,2001,300.00,300.00,400.00,400.00,,,,,,,,,,,,,,800.00,900.00,900.00,1000.00,,,,,,,,,,,,,,"Exclusion of interest on State and local government bonds for private airports, docks, and mass-commuting facilities",
#+,,JCT,2002,200.00,200.00,200.00,200.00,200.00,,,,,,,,,,,,,400.00,400.00,400.00,400.00,400.00,,,,,,,,,,,,,"Exclusion of interest on State and local government bonds for private airports, docks, and mass-commuting facilities",
#+,,JCT,2003,,200.00,200.00,200.00,200.00,200.00,,,,,,,,,,,,,500.00,500.00,500.00,500.00,500.00,,,,,,,,,,,,"Exclusion of interest on State and local government bonds for private airports, docks, and mass-commuting facilities",
#+,,JCT,2004,,,200.00,200.00,200.00,200.00,200.00,,,,,,,,,,,,,500.00,500.00,500.00,500.00,500.00,,,,,,,,,,,"Exclusion of interest on State and local government bonds for private airports, docks, and mass-commuting facilities",
#+,,JCT,2005,,,,200.00,200.00,200.00,200.00,200.00,,,,,,,,,,,,,500.00,600.00,600.00,600.00,600.00,,,,,,,,,,"Exclusion of interest on State and local government bonds for private airports, docks, and mass-commuting facilities",
#+,,JCT,2006,,,,,200.00,200.00,200.00,200.00,300.00,,,,,,,,,,,,,600.00,600.00,600.00,600.00,600.00,,,,,,,,,"Exclusion of interest on State and local government bonds for private airports, docks, and mass-commuting facilities",
#+,,JCT,2007,,,,,,300.00,300.00,300.00,300.00,300.00,,,,,,,,,,,,,600.00,700.00,700.00,700.00,800.00,,,,,,,,"Exclusion of interest on State and local government bonds for private airports, docks, and mass-commuting facilities",
#+,,JCT,2008,,,,,,,300.00,300.00,300.00,300.00,400.00,,,,,,,,,,,,,700.00,800.00,800.00,900.00,900.00,,,,,,,"Exclusion of interest on State and local government qualified private activity bonds for private airports, docks, and mass-commuting facilities",
#+,,JCT,2009,,,,,,,,300.00,300.00,400.00,400.00,400.00,,,,,,,,,,,,,800.00,900.00,900.00,900.00,1000.00,,,,,,"Exclusion of interest on State and local government qualified private activity bonds for private airports, docks, and mass-communting facilities",
