Indent,Category,Source,Report,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Expenditure Name
##+,2061,JCT,2003,,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,Other fuels
##+,,JCT,2004,,,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,Other fuels
##+,,JCT,2005,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,Other fuels
##+,,JCT,2006,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,Other fuels
##+,2203,JCT,2007,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,Other fuels
##+,2360,JCT,2008,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,Other fuels
##+,2533,JCT,2009,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,Other fuels
##+,2732,JCT,2010,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,Other fuels
##+,2978,JCT,2011,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,Other fuels
#,"Excess of percentage over cost depletion, fuels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#+,10,Treasury,2000,210,215,220,225,235,,,,,,,,,,,,55,55,55,55,55,,,,,,,,,,,,"Excess of percentage over cost depletion, fuels"
#+,141,Treasury,2001,225,230,230,235,240,240,,,,,,,,,,,50,50,50,50,50,50,,,,,,,,,,,"Excess of percentage over cost depletion, fuels"
#+,273,Treasury,2002,290,290,290,290,290,300,300,,,,,,,,,,50,50,50,50,50,50,50,,,,,,,,,,"Excess of percentage over cost depletion, fuels"
#+,405,Treasury,2003,,220,230,240,250,260,270,280,,,,,,,,,,30,30,30,40,40,40,40,,,,,,,,,"Excess of percentage over cost depletion, fuels"
#+,541,Treasury,2004,,,510,550,530,500,510,530,540,,,,,,,,,,100,120,120,110,110,110,110,,,,,,,,"Excess of percentage over cost depletion, fuels"
#+,678,Treasury,2005,,,,530,510,480,490,510,510,510,,,,,,,,,,110,110,100,100,100,100,100,,,,,,,"Excess of percentage over cost depletion, fuels"
#+,815,Treasury,2006,,,,,1210,1180,1240,1310,1350,1390,1430,,,,,,,,,,110,100,110,110,120,120,120,,,,,,"Excess of percentage over cost depletion, fuels"
#+,961,Treasury,2007,,,,,,530,600,620,600,580,560,560,,,,,,,,,,60,70,70,60,60,60,60,,,,,"Excess of percentage over cost depletion, fuels"
#+,1124,Treasury,2008,,,,,,,680,710,710,710,700,680,670,,,,,,,,,,80,80,80,80,80,80,70,,,,"Excess of percentage over cost depletion, fuels"
#+,1284,Treasury,2009,,,,,,,,710,820,860,820,790,770,760,,,,,,,,,,80,90,90,90,90,80,80,,,"Excess of percentage over cost depletion, fuels"
#+,1445,Treasury,2010,,,,,,,,,830,1230,1220,1240,1250,1260,1270,,,,,,,,,,90,130,130,130,130,130,130,,"Excess of percentage over cost depletion, fuels"
#+,1610,Treasury,2011,,,,,,,,,,310,560,610,860,1030,1060,1090,,,,,,,,,,30,50,60,80,100,100,100,"Excess of percentage over cost depletion, fuels"
##,Oil and gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##+,1786,JCT,2001,400,400,400,400,,,,,,,,,,,,,100,100,100,100,,,,,,,,,,,,,Oil and gas
##+,1923,JCT,2002,500,500,500,500,500,,,,,,,,,,,,200,200,200,200,200,,,,,,,,,,,,Oil and gas
##+,2062,JCT,2003,,300,300,300,300,400,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,Oil and gas
##+,,JCT,2004,,,500,400,400,400,400,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,Oil and gas
##+,,JCT,2005,,,,400,400,400,500,500,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,Oil and gas
##+,,JCT,2006,,,,,400,400,500,500,500,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,Oil and gas
##+,2204,JCT,2007,,,,,,500,500,500,600,600,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,Oil and gas
##+,2361,JCT,2008,,,,,,,1000,1000,900,900,900,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,Oil and gas
##+,2534,JCT,2009,,,,,,,,1100,1200,1200,1200,1200,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,Oil and gas
##+,2733,JCT,2010,,,,,,,,,1300,1400,1400,1400,1400,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,Oil and gas
##+,2979,JCT,2011,,,,,,,,,,1300,1200,1300,1300,1400,,,,,,,,,,,,<+,<+,<+,<+,<+,,,Oil and gas
##,Other fuels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##+,1787,JCT,2001,200,200,200,200,,,,,,,,,,,,,100,100,100,100,,,,,,,,,,,,,Other fuels
##+,1924,JCT,2002,200,200,200,200,200,,,,,,,,,,,,100,100,100,100,100,,,,,,,,,,,,Other fuels
##+,2063,JCT,2003,,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,Other fuels
##+,,JCT,2004,,,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,Other fuels
##+,,JCT,2005,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,Other fuels
##+,,JCT,2006,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,Other fuels
##+,2205,JCT,2007,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,Other fuels
##+,2362,JCT,2008,,,,,,,100,100,100,100,100,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,Other fuels
##+,2535,JCT,2009,,,,,,,,100,100,100,100,100,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,Other fuels
##+,2734,JCT,2010,,,,,,,,,100,100,100,100,100,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,Other fuels
##+,2980,JCT,2011,,,,,,,,,,200,200,200,200,200,,,,,,,,,,,,<+,<+,<+,<+,<+,,,Other fuels
#,Alternative fuel production credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#+,11,Treasury,2000,720,680,640,420,120,,,,,,,,,,,,40,40,35,15,5,,,,,,,,,,,,Alternative fuel production credit
#+,142,Treasury,2001,915,860,805,125,125,125,,,,,,,,,,,45,45,40,0,0,0,,,,,,,,,,,Alternative fuel production credit
#+,274,Treasury,2002,930,880,820,520,120,120,120,,,,,,,,,,40,40,40,20,10,10,10,,,,,,,,,,Alternative fuel production credit
#+,406,Treasury,2003,,860,810,390,120,120,120,120,,,,,,,,,,40,40,20,10,10,10,10,,,,,,,,,Alternative fuel production credit
#+,542,Treasury,2004,,,1500,900,500,500,500,500,200,,,,,,,,,,60,40,20,20,20,20,10,,,,,,,,Alternative fuel production credit
#+,679,Treasury,2005,,,,1230,850,850,850,850,340,0,,,,,,,,,,50,40,40,40,40,10,0,,,,,,,Alternative fuel production credit
#+,816,Treasury,2006,,,,,1000,1000,1000,1000,400,0,0,,,,,,,,,,40,40,40,40,20,0,0,,,,,,Alternative fuel production credit
#+,962,Treasury,2007,,,,,,2220,2290,2360,950,0,0,0,,,,,,,,,,100,100,100,40,0,0,0,,,,,Alternative fuel production credit
#+,1125,Treasury,2008,,,,,,,2860,2270,750,10,10,0,0,,,,,,,,,,120,100,30,0,0,0,0,,,,Alternative fuel production credit
#+,1285,Treasury,2009,,,,,,,,2800,1260,70,80,10,10,0,,,,,,,,,,120,50,0,0,0,0,0,,,Alternative fuel production credit
#+,1446,Treasury,2010,,,,,,,,,570,70,80,10,10,0,0,,,,,,,,,,20,0,0,0,0,0,0,,Alternative fuel production credit
#+,1611,Treasury,2011,,,,,,,,,,60,50,20,10,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,Alternative fuel production credit
#+,1789,JCT,2001,1000,1000,1000,800,,,,,,,,,,,,,300,300,300,200,,,,,,,,,,,,,Tax credit for production of non-conventional fuels
#+,1926,JCT,2002,1100,1100,1200,1200,1200,,,,,,,,,,,,200,300,300,300,300,,,,,,,,,,,,Tax credit for production of non-conventional fuels
#+,2065,JCT,2003,,1200,1300,800,500,500,,,,,,,,,,,,300,300,200,100,100,,,,,,,,,,,Tax credit for production of non-conventional fuels
#+,,JCT,2004,,,1300,800,500,500,500,,,,,,,,,,,,300,200,100,100,100,,,,,,,,,,Tax credit for production of non-conventional fuels
#+,,JCT,2005,,,,800,500,500,500,600,,,,,,,,,,,,200,100,100,100,100,,,,,,,,,Tax credit for production of non-conventional fuels
#+,,JCT,2006,,,,,500,500,500,600,200,,,,,,,,,,,,100,100,100,100,100,,,,,,,,Tax credit for production of non-conventional fuels
#+,2208,JCT,2007,,,,,,1000,1100,1300,500,100,,,,,,,,,,,,200,300,300,100,<+,,,,,,,Tax credit for production of non-conventional fuels
#+,2364,JCT,2008,,,,,,,2700,3200,1200,<+,<+,,,,,,,,,,,,1000,1000,200,<+,<+,,,,,,Tax credit for production of non-conventional fuels
#+,2538,JCT,2009,,,,,,,,3700,1400,<+,<+,<+,,,,,,,,,,,,800,300,<+,<+,<+,,,,,Tax credit for producing fuels from a non-conventional source
#+,2705,JCT,2010,,,,,,,,,100,100,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,Credit for producing fuels from a non-conventional source
#+,2950,JCT,2011,,,,,,,,,,100,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,Credit for producing fuels from a non-conventional source
#,Exception from passive loss limitation for working interests in oil and gas properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#+,12,Treasury,2000,0,0,0,0,0,,,,,,,,,,,,35,35,40,40,40,,,,,,,,,,,,Exception from passive loss limitation for working interests in oil and gas properties
#+,143,Treasury,2001,0,0,0,0,0,0,,,,,,,,,,,25,25,25,25,25,25,,,,,,,,,,,Exception from passive loss limitation for working interests in oil and gas properties
#+,275,Treasury,2002,0,0,0,0,0,0,0,,,,,,,,,,20,20,20,20,20,20,20,,,,,,,,,,Exception from passive loss limitation for working interests in oil and gas properties
#+,407,Treasury,2003,,0,0,0,0,0,0,0,,,,,,,,,,20,20,20,20,20,20,20,,,,,,,,,Exception from passive loss limitation for working interests in oil and gas properties
#+,543,Treasury,2004,,,0,0,0,0,0,0,0,,,,,,,,,,10,10,10,10,10,10,10,,,,,,,,Exception from passive loss limitation for working interests in oil and gas properties
#+,680,Treasury,2005,,,,0,0,0,0,0,0,0,,,,,,,,,,20,20,20,20,20,20,20,,,,,,,Exception from passive loss limitation for working interests in oil and gas properties
#+,817,Treasury,2006,,,,,0,0,0,0,0,0,0,,,,,,,,,,20,20,20,20,20,20,20,,,,,,Exception from passive loss limitation for working interests in oil and gas properties
#+,963,Treasury,2007,,,,,,0,0,0,0,0,0,0,,,,,,,,,,40,40,40,40,40,40,40,,,,,Exception from passive loss limitation for working interests in oil and gas properties
#+,1126,Treasury,2008,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,30,30,30,30,30,30,30,,,,Exception from passive loss limitation for working interests in oil and gas properties
#+,1286,Treasury,2009,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,30,20,20,20,30,30,30,,,Exception from passive loss limitation for working interests in oil and gas properties
#+,1447,Treasury,2010,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,,Exception from passive loss limitation for working interests in oil and gas properties
#+,1612,Treasury,2011,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,20,20,20,20,Exception from passive loss limitation for working interests in oil and gas properties
#,Capital gains treatment of royalties on coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#+,13,Treasury,2000,0,0,0,0,0,,,,,,,,,,,,65,70,70,75,80,,,,,,,,,,,,Capital gains treatment of royalties on coal
#+,144,Treasury,2001,0,0,0,0,0,0,,,,,,,,,,,65,70,70,75,80,85,,,,,,,,,,,Capital gains treatment of royalties on coal
#+,276,Treasury,2002,0,0,0,0,0,0,0,,,,,,,,,,70,70,80,80,80,90,90,,,,,,,,,,Capital gains treatment of royalties on coal
#+,408,Treasury,2003,,0,0,0,0,0,0,0,,,,,,,,,,100,100,110,120,120,130,140,,,,,,,,,Capital gains treatment of royalties on coal
#+,544,Treasury,2004,,,0,0,0,0,0,0,0,,,,,,,,,,100,110,110,120,120,130,140,,,,,,,,Capital gains treatment of royalties on coal
#+,681,Treasury,2005,,,,0,0,0,0,0,0,0,,,,,,,,,,100,110,120,120,130,130,140,,,,,,,Capital gains treatment of royalties on coal
#+,818,Treasury,2006,,,,,0,0,0,0,0,0,0,,,,,,,,,,70,70,80,80,100,70,60,,,,,,Capital gains treatment of royalties on coal
#+,964,Treasury,2007,,,,,,0,0,0,0,0,0,0,,,,,,,,,,90,90,90,100,70,60,80,,,,,Capital gains treatment of royalties on coal
#+,1127,Treasury,2008,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,160,170,170,170,190,180,130,,,,Capital gains treatment of royalties on coal
#+,1287,Treasury,2009,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,180,190,190,200,190,140,150,,,Capital gains treatment of royalties on coal
#+,1448,Treasury,2010,,,,,,,,,,,,,,,,,,,,,,,,,110,110,140,110,110,130,140,,Capital gains treatment of royalties on coal
#+,1613,Treasury,2011,,,,,,,,,,,,,,,,,,,,,,,,,,70,60,60,60,70,80,100,Capital gains treatment of royalties on coal
#,Exclusion of interest on energy facility bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#+,14,Treasury,2000,30,30,30,30,30,,,,,,,,,,,,80,85,85,85,85,,,,,,,,,,,,Exclusion of interest on energy facility bonds
#+,145,Treasury,2001,30,30,30,30,30,30,,,,,,,,,,,85,85,90,90,90,90,,,,,,,,,,,Exclusion of interest on energy facility bonds
#+,277,Treasury,2002,20,20,20,20,30,40,40,,,,,,,,,,70,70,70,80,80,90,100,,,,,,,,,,Exclusion of interest on energy facility bonds
#+,409,Treasury,2003,,20,20,20,30,30,30,30,,,,,,,,,,70,70,80,90,100,110,120,,,,,,,,,Exclusion of interest on energy facility bonds
#+,545,Treasury,2004,,,30,30,30,30,30,30,30,,,,,,,,,,80,90,100,110,110,120,130,,,,,,,,Exclusion of interest on energy facility bonds
#+,682,Treasury,2005,,,,20,20,20,20,20,20,20,,,,,,,,,,70,80,90,90,100,110,110,,,,,,,Exclusion of interest on energy facility bonds
#+,819,Treasury,2006,,,,,20,20,20,20,20,20,20,,,,,,,,,,80,80,90,90,100,100,110,,,,,,Exclusion of interest on energy facility bonds
#+,965,Treasury,2007,,,,,,20,20,20,20,20,20,20,,,,,,,,,,60,70,70,80,80,90,90,,,,,Exclusion of interest on energy facility bonds
#+,1128,Treasury,2008,,,,,,,10,10,10,10,10,10,10,,,,,,,,,,30,30,40,40,40,40,40,,,,Exclusion of interest on energy facility bonds
#+,1288,Treasury,2009,,,,,,,,10,10,10,10,10,10,10,,,,,,,,,,20,20,20,20,20,20,20,,,Exclusion of interest on energy facility bonds
#+,1449,Treasury,2010,,,,,,,,,0,10,10,10,10,10,10,,,,,,,,,,10,10,10,20,20,20,20,,Exclusion of interest on energy facility bonds
#+,1614,Treasury,2011,,,,,,,,,,0,0,10,10,10,10,10,,,,,,,,,,10,10,20,20,20,20,20,Exclusion of interest on energy facility bonds
#+,1791,JCT,2001,<+,<+,<+,<+,,,,,,,,,,,,,100,100,100,100,,,,,,,,,,,,,Exclusion of interest on State and local government industrial development bonds for energy production facilities
#+,1928,JCT,2002,<+,<+,<+,<+,<+,,,,,,,,,,,,100,100,100,100,100,,,,,,,,,,,,Exclusion of interest on State and local government industrial development bonds for energy production facilities
#+,2067,JCT,2003,,<+,<+,<+,<+,<+,,,,,,,,,,,,100,100,100,100,100,,,,,,,,,,,Exclusion of interest on State and local government industrial development bonds for energy production facilities
#+,,JCT,2004,,,<+,<+,<+,<+,<+,,,,,,,,,,,,100,100,100,100,100,,,,,,,,,,Exclusion of interest on State and local government industrial development bonds for energy production facilities
#+,,JCT,2005,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,100,100,100,100,100,,,,,,,,,Exclusion of interest on State and local government industrial development bonds for energy production facilities
#+,,JCT,2006,,,,,<+,<+,<+,100,100,,,,,,,,,,,,100,100,100,100,100,,,,,,,,Exclusion of interest on State and local government industrial development bonds for energy production facilities
#+,2211,JCT,2007,,,,,,100,100,100,100,100,,,,,,,,,,,,100,100,100,100,200,,,,,,,Exclusion of interest on State and local government bonds for energy production facilities
#+,2367,JCT,2008,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,100,100,100,100,100,,,,,,Exclusion of interest on State and local government qualified private activity bonds for energy production facilities
#+,2541,JCT,2009,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,100,100,100,100,100,,,,,Exclusion of interest on State and local government qualified private activity bonds for energy production facilities
#+,2728,JCT,2010,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,100,100,100,100,100,,,,Exclusion of interest on State and local government qualified private activity bonds for energy production facilities
#+,2975,JCT,2011,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,100,100,100,100,100,,,Exclusion of interest on State and local government qualified private activity bonds for energy production facilities
#,Enhanced oil recovery credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#+,15,Treasury,2000,170,195,225,260,300,,,,,,,,,,,,10,15,15,15,20,,,,,,,,,,,,Enhanced oil recovery credit
#+,146,Treasury,2001,235,270,310,355,410,470,,,,,,,,,,,25,25,30,35,40,45,,,,,,,,,,,Enhanced oil recovery credit
#+,278,Treasury,2002,280,340,400,480,580,700,830,,,,,,,,,,30,30,40,50,50,70,80,,,,,,,,,,Enhanced oil recovery credit
#+,410,Treasury,2003,,280,330,400,480,580,690,830,,,,,,,,,,30,30,40,50,60,70,80,,,,,,,,,Enhanced oil recovery credit
#+,546,Treasury,2004,,,300,310,320,330,330,340,350,,,,,,,,,,30,30,30,30,30,30,40,,,,,,,,Enhanced oil recovery credit
#+,683,Treasury,2005,,,,360,360,370,380,390,400,410,,,,,,,,,,40,40,40,40,40,40,40,,,,,,,Enhanced oil recovery credit
#+,820,Treasury,2006,,,,,300,310,310,320,330,340,350,,,,,,,,,,30,30,30,30,30,30,40,,,,,,Enhanced oil recovery credit
#+,966,Treasury,2007,,,,,,270,0,0,0,0,0,20,,,,,,,,,,30,0,0,0,0,0,0,,,,,Enhanced oil recovery credit
#+,1788,JCT,2001,<+,<+,<+,<+,,,,,,,,,,,,,<+,<+,<+,<+,,,,,,,,,,,,,Tax credit for enhanced oil recovery costs
#+,1925,JCT,2002,100,100,100,100,100,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,Tax credit for enhanced oil recovery costs
#+,2064,JCT,2003,,100,100,100,100,100,,,,,,,,,,,,100,100,100,100,100,,,,,,,,,,,Tax credit for enhanced oil recovery costs
#+,,JCT,2004,,,200,200,200,200,200,,,,,,,,,,,,100,100,100,100,100,,,,,,,,,,Tax credit for enhanced oil recovery costs
#+,,JCT,2005,,,,200,200,200,200,200,,,,,,,,,,,,100,100,100,100,100,,,,,,,,,Tax credit for enhanced oil recovery costs
#+,,JCT,2006,,,,,200,200,200,200,200,,,,,,,,,,,,100,100,100,100,100,,,,,,,,Tax credit for enhanced oil recovery costs
#+,2207,JCT,2007,,,,,,200,300,300,300,400,,,,,,,,,,,,100,100,100,100,100,,,,,,,Tax credit for enhanced oil recovery costs
#+,2537,JCT,2009,,,,,,,,100,<+,<+,<+,<+,,,,,,,,,,,,100,<+,<+,<+,<+,,,,,Tax credit for enhanced oil recovery costs
#,New technology credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#+,16,Treasury,2000,35,40,40,35,35,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,New technology credit
#+,147,Treasury,2001,50,60,70,70,70,65,,,,,,,,,,,10,20,20,20,20,20,,,,,,,,,,,New technology credit
#+,279,Treasury,2002,40,60,70,90,90,90,90,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,New technology credit
#+,411,Treasury,2003,,60,80,100,100,100,90,90,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,New technology credit
#+,547,Treasury,2004,,,100,180,250,270,270,270,270,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,New technology credit
#+,684,Treasury,2005,,,,280,350,370,370,370,370,370,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,New technology credit
#+,821,Treasury,2006,,,,,330,470,620,700,800,820,690,,,,,,,,,,0,0,0,0,0,0,0,,,,,,New technology credit
#+,967,Treasury,2007,,,,,,220,470,640,750,800,810,810,,,,,,,,,,20,40,50,50,50,50,50,,,,,New technology credit
#+,1129,Treasury,2008,,,,,,,470,640,900,1060,1090,1090,1090,,,,,,,,,,40,50,60,60,60,60,60,,,,New technology credit
#+,1289,Treasury,2009,,,,,,,,380,730,910,940,920,910,880,,,,,,,,,,30,70,90,90,90,90,90,,,New technology credit
#+,1450,Treasury,2010,,,,,,,,,840,1030,1070,1070,1050,1040,1020,,,,,,,,,,80,100,110,110,100,100,100,,Energy production credit
#+,1615,Treasury,2011,,,,,,,,,,380,770,1010,1230,1300,1290,1260,,,,,,,,,,50,110,150,200,230,240,240,Energy production credit 
##,Tax credit for investments in solar and geothermal energy facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##+,1793,JCT,2001,<+,<+,<+,<+,,,,,,,,,,,,,<+,<+,<+,<+,,,,,,,,,,,,,Tax credit for investments in solar and geothermal energy facilities
##+,1930,JCT,2002,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,Tax credit for investments in solar and geothermal energy facilities
##+,2069,JCT,2003,,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,Tax credit for investments in solar and geothermal energy facilities
##+,,JCT,2004,,,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,Tax credit for investments in solar and geothermal energy facilities
##+,,JCT,2005,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,Tax credit for investments in solar and geothermal energy facilities
##+,,JCT,2006,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,Tax credit for investments in solar and geothermal energy facilities
##+,2213,JCT,2007,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,Tax credit for investments in solar and geothermal energy facilities
##,"Tax credit for electricity production from wind, biomass, and poultry waste",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##+,1794,JCT,2001,<+,<+,<+,<+,,,,,,,,,,,,,100,100,100,100,,,,,,,,,,,,,Tax credit for electricity production from wind and biomass
