Last_Report_Year,TRS_ID,System_Name,City,State,UZA_Name,UZA,UZA_Area_SQ_Miles,UZA_Population,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
2001,1089,Transit Express ,Springfield,MA,"Springfield, MA-CT",57,302,"532,747","$3,232,363",,,,,,"$3,922,369","$4,430,001","$4,570,459","$4,888,053","$4,966,248",,,,,,,
2008,1095,"Northeast Transportation Company, Inc.",Waterbury,CT,"Waterbury, CT",159,98,"189,026","$997,406","$1,000,331","$1,044,358","$1,173,327","$1,204,583","$1,203,303","$1,267,136","$1,271,037","$1,238,736","$1,252,358","$1,430,769","$1,420,322","$1,381,485","$1,443,232","$1,627,737","$1,845,220","$1,806,700","$1,962,979"
2008,1096,City of Bangor - BAT Community Connector,Bangor,ME,"Bangor, ME",385,39,"58,983","$241,694","$232,819","$224,123","$251,096","$240,152","$230,219","$233,809","$257,480","$261,946","$251,587","$280,278","$297,925","$333,947","$377,608","$429,782","$488,406","$549,125","$676,082"
1993,1097,"Eastern Transportation Services, Inc.",Bangor,ME,"Bangor, ME",328,71,"61,402","$226,749","$346,532","$430,344",,,,,,,,,,,,,,,
2007,1098,"Western Maine Transportation Services, Inc.",Auburn,ME,"Lewiston, ME",447,21,"50,567","$36,011","$43,191","$39,509","$57,328","$58,433",,,"$82,466","$86,669","$90,956","$98,777","$108,472","$113,354","$123,376","$174,367","$169,968","$157,370",
1991,1100,National Railroad Passenger Corporation,Boston,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,,
1995,1101,Kenneth Hudson Inc. dba Hudson Bus Lines,Lewiston,ME,"Lewiston--Auburn, ME",292,84,"71,598","$87,860","$83,535","$88,019","$86,343","$76,986",,,,,,,,,,,,,
2008,1102,Connecticut Department of Transportation,Newington,CT,"Hartford, CT",45,469,"851,535","$177,948","$692,237","$642,222","$767,676","$745,537","$2,775,248","$2,895,415","$2,855,264","$2,815,534","$2,880,911","$3,199,013","$3,234,811","$3,352,753","$3,508,767","$3,837,785","$4,304,355","$4,239,842","$2,181,888"
2004,1103,City of Stamford Dial-A-Ride,Stamford,CT,"Bridgeport-Stamford, CT-NY",41,465,"888,890",,$0,$0,$0,,,,,,,,,,,,,,
2000,1104,Greater Waterbury Transit District ,Waterbury,CT,"Waterbury, CT",144,73,"175,067",$0,$0,$0,$0,,,"$100,299","$109,180","$117,582","$154,702",,,,,,,,
2008,1105,Cape Cod Regional Transit Authority,Hyannis,MA,"Barnstable Town, MA",128,286,"243,667",,,"$1,158,504","$1,311,216","$1,496,476","$1,503,085","$1,687,421","$1,854,010","$1,347,530","$1,245,360","$1,273,295","$1,230,508","$1,103,551","$810,452","$3,062,680","$3,141,460","$3,537,349","$1,050,612"
2008,1107,Milford Transit District,Milford,CT,"Bridgeport-Stamford, CT-NY",41,465,"888,890",,,,,"$300,329","$248,312","$185,982","$260,903","$298,915","$444,187","$621,858",$0,"$676,487","$590,407","$659,258","$741,114","$716,166","$679,484"
2008,1108,Greater Hartford Ridesharing Corporation - The Rideshare Company,Windsor,CT,"Hartford, CT",45,469,"851,535",,,,,,,,"$1,934,278","$1,638,993","$1,430,106","$1,915,958","$2,902,259",,"$2,752,370","$2,911,734","$2,997,042","$3,665,711","$4,050,917"
2002,1109,"Comsis Mobility Services, Inc., dba: Intelitran",Providence,RI,"Providence, RI-MA",34,504,"1,174,548",,,,,,,,,,"$181,395","$230,237","$265,772",,,,,,
2008,1110,"2Plus Partners in Transportation, Inc",Rocky Hill,CT,"Bridgeport-Stamford, CT-NY",41,465,"888,890",,,,,,,,,,,,,,,,,"$327,537","$158,767"
2008,1115,Northern New England Passenger Rail Authority,Portland,ME,"Portland, ME",160,124,"188,080",,,,,,,,,,,,,,,"$3,365,584","$3,054,734","$4,565,294","$6,089,045"
2008,1116,Bonanza,Providence,RI,"Providence, RI-MA",34,504,"1,174,548",,,,,,,,,,,,,,,"$4,302,621","$3,101,125","$2,359,590","$2,126,953"
2008,1117,Plymouth & Brockton Street Railway Company,Plymouth,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484",,,,,,,,,,,,,,,,,,$0
2008,1118,MetroWest Regional Transit Authority,Framingham,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484",,,,,,,,,,,,,,,,,,"$632,201"
1991,1902,Brush Hill Transportation Company ,Boston,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,,
1991,1905,Hudson Bus Lines ,Medford,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,,
1991,1906,Plymouth & Brockton Street Railway Company,Plymouth,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,,
1991,1907,"A Yankee Line, Inc. ",Boston,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,,
1991,1908,American Eagle Motor Coach ,Fairhaven,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,,
1991,1910,"H & L Bloom, Inc. ",Taunton,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,,
1991,1913,"Big W Transit, Inc. ",Ashland,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,,
1991,1917,"Michaud Bus Lines, Inc. ",Salem,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,,
2008,2002,Capital District Transportation Authority,Albany,NY,"Albany, NY",62,284,"558,947","$8,022,201","$7,816,623","$7,773,855","$7,786,176","$7,871,758","$9,124,558","$9,177,732","$9,111,811","$9,256,422","$9,522,010","$9,451,216","$9,323,334","$8,782,740","$8,735,074","$8,933,634","$8,845,866","$10,283,671","$11,403,774"
2008,2003,Broome County Department of Public Transportation,Vestal,NY,"Binghamton, NY-PA",182,76,"158,884","$1,214,901","$1,273,152","$1,248,573","$1,524,662","$1,489,146","$1,829,519","$1,701,753","$1,790,829","$1,985,713","$1,918,421","$1,737,886","$1,969,385","$1,904,091","$2,171,564","$2,269,164","$2,308,124","$2,555,524","$2,643,414"
2008,2004,Niagara Frontier Transportation Authority,Buffalo,NY,"Buffalo, NY",38,367,"976,703","$22,321,053","$22,631,872","$21,886,959","$21,015,861","$20,815,304","$21,341,636","$21,718,253","$21,685,727","$21,219,715","$21,531,840","$21,307,082","$20,442,653","$19,913,504","$22,369,933","$23,264,391","$24,495,512","$25,404,306","$26,726,826"
2008,2005,Chemung County Transit System,Elmira,NY,"Elmira, NY",350,35,"67,159","$1,141,786","$1,197,034","$1,259,490","$1,246,501","$1,504,968","$1,701,650","$1,662,585","$1,762,827","$1,902,159","$1,774,787","$2,059,183","$1,620,387","$2,308,179","$1,939,150","$2,255,612","$2,356,922","$2,491,795","$2,782,503"
2008,2006,City of Long Beach,Long Beach,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,"$423,894","$444,564","$473,109","$468,840","$443,931","$424,890","$418,181","$392,723","$417,753","$415,109","$409,312","$390,344","$394,013",,"$401,000","$428,163","$358,380"
2008,2007,"Metropolitan Suburban Bus Authority, dba: MTA Long Island Bus",Garden City,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861","$28,596,433","$28,102,971","$29,253,684","$30,215,833","$29,435,551","$30,906,171","$31,201,084","$28,323,543","$29,826,884","$31,077,473","$31,809,198","$32,558,081","$36,675,561","$38,040,176","$41,117,416","$41,337,711","$41,738,889","$43,547,083"
2008,2008,MTA New York City Transit,New York,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861","$1,476,467,994","$1,594,858,229","$1,635,732,250","$1,702,560,234","$1,752,044,895","$2,039,814,397","$2,038,334,490","$1,960,361,249","$1,994,918,625","$2,100,520,684","$2,128,531,077","$2,125,417,830","$2,351,105,766","$2,548,965,991","$2,625,814,058","$2,728,959,320","$2,811,715,386","$2,988,779,509"
