Indent,Category,Source,Report,2000 (Corp),2001 (Corp),2002 (Corp),2003 (Corp),2004 (Corp),2005 (Corp),2006 (Corp),2007 (Corp),2008 (Corp),2009 (Corp),2010 (Corp),2011 (Corp),2012 (Corp),2013 (Corp),2014 (Corp),2015 (Corp),2016 (Corp),2000 (Indv),2001 (Indv),2002 (Indv),2003 (Indv),2004 (Indv),2005 (Indv),2006 (Indv),2007 (Indv),2008 (Indv),2009 (Indv),2010 (Indv),2011 (Indv),2012 (Indv),2013 (Indv),2014 (Indv),2015 (Indv),2016 (Indv),Expenditure Name,Expenditure Footnotes
#,Workers- compensation insurance premiums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#+,96,Treasury,2000,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,4585.00,4755.00,4935.00,5120.00,5315.00,,,,,,,,,,,,,Workers- compensation insurance premiums,,,,,,,,,,,,,,,,,
#+,97,Treasury,2001,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,4585.00,4555.00,4935.00,5120.00,5315.00,5515.00,,,,,,,,,,,,Workers- compensation insurance premiums,,,,,,,,,,,,,,,,,
#+,99,Treasury,2002,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,4620.00,4850.00,5090.00,5350.00,5620.00,5900.00,6190.00,,,,,,,,,,,Workers- compensation insurance premiums,,,,,,,,,,,,,,,,,
#+,99,Treasury,2003,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,4730.00,4870.00,5080.00,5230.00,5410.00,5570.00,5790.00,,,,,,,,,,Workers- compensation insurance premiums,,,,,,,,,,,,,,,,,
#+,99,Treasury,2004,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,5280.00,5770.00,6190.00,6630.00,7020.00,7490.00,8000.00,,,,,,,,,Workers- compensation insurance premiums,,,,,,,,,,,,,,,,,
#,Medical Savings Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#+,,JCT,2002,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,Medical savings accounts,,,,,,,,,,,,,,,,,
#+,,JCT,2003,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,Medical savings accounts,,,,,,,,,,,,,,,,,
#+,97,Treasury,2000,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,25.00,25.00,20.00,20.00,15.00,,,,,,,,,,,,,Medical Savings Accounts,,,,,,,,,,,,,,,,,
#+,98,Treasury,2001,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,30.00,30.00,30.00,30.00,30.00,25.00,,,,,,,,,,,,Medical Savings Accounts,,,,,,,,,,,,,,,,,
#+,100,Treasury,2002,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,20.00,20.00,30.00,20.00,20.00,20.00,20.00,,,,,,,,,,,Medical Savings Accounts,,,,,,,,,,,,,,,,,
#+,100,Treasury,2003,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,20.00,20.00,20.00,20.00,20.00,20.00,20.00,,,,,,,,,,Medical Savings Accounts,,,,,,,,,,,,,,,,,
#+,100,Treasury,2004,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,20.00,30.00,30.00,30.00,30.00,30.00,20.00,,,,,,,,,Medical Savings Accounts,,,,,,,,,,,,,,,,,
#,Deductibility of medical expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Medical care expenses.&mdash;The baseline tax system would not allow a deduction for personal expenditures. In contrast, under current law personal expenditures for medical care (including the costs of prescription drugs) exceeding 7.5 percent of the taxpayer's adjusted gross income are deductible. </p>"
#+,98,Treasury,2000,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,3985.00,4215.00,4475.00,4750.00,5035.00,,,,,,,,,,,,,Deductibility of medical expenses,,,,,,,,,,,,,,,,,
#+,99,Treasury,2001,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,3910.00,4160.00,4440.00,4720.00,5005.00,5305.00,,,,,,,,,,,,Deductibility of medical expenses,,,,,,,,,,,,,,,,,
#+,101,Treasury,2002,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,4250.00,4560.00,4870.00,5170.00,5480.00,5790.00,6110.00,,,,,,,,,,,Deductibility of medical expenses,,,,,,,,,,,,,,,,,
#+,101,Treasury,2003,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,4990.00,5260.00,5530.00,5840.00,6280.00,6600.00,7100.00,,,,,,,,,,Deductibility of medical expenses,,,,,,,,,,,,,,,,,
#+,101,Treasury,2004,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,5710.00,6060.00,6340.00,6490.00,6610.00,6980.00,7380.00,,,,,,,,,Deductibility of medical expenses,,,,,,,,,,,,,,,,,
#+,101,Treasury,2005,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,6240.00,6880.00,7900.00,8480.00,9180.00,10200.00,10990.00,,,,,,,,Deductibility of medical expenses,,,,,,,,,,,,,,,,,
#+,110,Treasury,2006,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,7380.00,8590.00,9140.00,9970.00,11100.00,11890.00,12670.00,,,,,,,Deductibility of medical expenses,,,,,,,,,,,,,,,,,
#+,127,Treasury,2007,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,6110.00,4410.00,5310.00,6490.00,7720.00,9220.00,12260.00,,,,,,Deductibility of medical expenses,,,,,,,,,,,,,,,,,
#+,124,Treasury,2008,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,3770.00,4240.00,4920.00,5820.00,6840.00,9250.00,10780.00,,,,,Deductibility of medical expenses,,,,,,,,,,,,,,,,,
#+,125,Treasury,2009,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,4470.00,5060.00,5920.00,6800.00,9150.00,10550.00,11490.00,,,,Deductibility of medical expenses,,,,,,,,,,,,,,,,,
#+,129,Treasury,2010,,,,,,,,,,,,,,,,,,,,,,,,,,9320.00,9660.00,10760.00,12540.00,14750.00,16850.00,19260.00,,,Deductibility of medical expenses,,,,,,,,,,,,,,,,,
#+,134,Treasury,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,8760.00,9090.00,10030.00,10980.00,11970.00,13260.00,14910.00,,Deductibility of medical expenses,,,,,,,,,,,,,,,,,
#+,134,Treasury,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,9090.00,10030.00,10010.00,9930.00,11240.00,13390.00,15450.00,Deductibility of medical expenses,,,,,,,,,,,,,,,,,
#,Exclusion of interest on hospital construction bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Hospital construction bonds.&mdash;The baseline tax system generally would tax all income under the regular tax rate schedule. It would not allow preferentially low (or zero) tax rates to apply to certain types or sources of income. In contrast, under current law interest earned on State and local government debt issued to finance hospital construction is excluded from income subject to tax. </p>"
#+,99,Treasury,2000,310.00,310.00,315.00,320.00,320.00,,,,,,,,,,,,,875.00,880.00,890.00,900.00,910.00,,,,,,,,,,,,,Exclusion of interest on hospital construction bonds,,,,,,,,,,,,,,,,,
#+,100,Treasury,2001,310.00,310.00,315.00,320.00,320.00,325.00,,,,,,,,,,,,915.00,925.00,935.00,945.00,955.00,965.00,,,,,,,,,,,,Exclusion of interest on hospital construction bonds,,,,,,,,,,,,,,,,,
#+,102,Treasury,2002,270.00,280.00,290.00,310.00,340.00,370.00,410.00,,,,,,,,,,,810.00,820.00,840.00,900.00,1010.00,1120.00,1250.00,,,,,,,,,,,Exclusion of interest on hospital construction bonds,,,,,,,,,,,,,,,,,
#+,102,Treasury,2003,,280.00,290.00,290.00,300.00,310.00,320.00,320.00,,,,,,,,,,,820.00,840.00,900.00,1010.00,1130.00,1250.00,1380.00,,,,,,,,,,Exclusion of interest on hospital construction bonds,,,,,,,,,,,,,,,,,
#+,102,Treasury,2004,,,290.00,300.00,310.00,320.00,330.00,340.00,350.00,,,,,,,,,,,910.00,1020.00,1130.00,1240.00,1330.00,1400.00,1500.00,,,,,,,,,Exclusion of interest on hospital construction bonds,,,,,,,,,,,,,,,,,
#+,102,Treasury,2005,,,,350.00,360.00,370.00,390.00,400.00,410.00,420.00,,,,,,,,,,,1270.00,1420.00,1560.00,1670.00,1760.00,1880.00,1940.00,,,,,,,,Exclusion of interest on hospital construction bonds,,,,,,,,,,,,,,,,,
#+,111,Treasury,2006,,,,,400.00,410.00,430.00,440.00,450.00,460.00,480.00,,,,,,,,,,,1470.00,1610.00,1730.00,1820.00,1950.00,2010.00,2070.00,,,,,,,Exclusion of interest on hospital construction bonds,,,,,,,,,,,,,,,,,
#+,128,Treasury,2007,,,,,,410.00,420.00,430.00,440.00,460.00,470.00,490.00,,,,,,,,,,,1470.00,1590.00,1680.00,1860.00,1990.00,2050.00,2110.00,,,,,,Exclusion of interest on hospital construction bonds,,,,,,,,,,,,,,,,,
#+,125,Treasury,2008,,,,,,,820.00,900.00,950.00,980.00,1010.00,1040.00,1070.00,,,,,,,,,,,2600.00,2870.00,3060.00,3150.00,3250.00,3340.00,3440.00,,,,,Exclusion of interest on hospital construction bonds,,,,,,,,,,,,,,,,,
#+,126,Treasury,2009,,,,,,,,870.00,920.00,950.00,970.00,1000.00,1030.00,1060.00,,,,,,,,,,,1890.00,2030.00,2090.00,2150.00,2210.00,2280.00,2350.00,,,,Exclusion of interest on hospital construction bonds,,,,,,,,,,,,,,,,,
#+,130,Treasury,2010,,,,,,,,,580.00,990.00,1020.00,1050.00,1080.00,1110.00,1150.00,,,,,,,,,,,770.00,1950.00,2050.00,2260.00,2450.00,2530.00,2600.00,,,Exclusion of interest on hospital construction bonds,,,,,,,,,,,,,,,,,
#+,135,Treasury,2011,,,,,,,,,,570.00,610.00,1130.00,1420.00,1420.00,1470.00,1550.00,,,,,,,,,,,2120.00,1830.00,2220.00,2690.00,2890.00,3070.00,3240.00,,Exclusion of interest on hospital construction bonds,,,,,,,,,,,,,,,,,
#+,135,Treasury,2012,,,,,,,,,,,1140.00,1040.00,1380.00,1730.00,1780.00,1770.00,1830.00,,,,,,,,,,,2390.00,2590.00,2910.00,3350.00,3740.00,4020.00,4250.00,Exclusion of interest on hospital construction bonds,,,,,,,,,,,,,,,,,
#,Deductibility of charitable contributions (health),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Charitable contributions to health institutions.&mdash;The baseline tax system would not allow a deduction for personal expenditures. In contrast, the Tax Code provides individuals and corporations a deduction for contributions to nonprofit health institutions. Tax expenditures resulting from the deductibility of contributions to other charitable institutions are listed under the education, training, employment, and social services function. </p>"
#+,100,Treasury,2000,620.00,640.00,670.00,695.00,730.00,,,,,,,,,,,,,2110.00,2220.00,2330.00,2450.00,2570.00,,,,,,,,,,,,,Deductibility of charitable contributions (health),,,,,,,,,,,,,,,,,
#+,101,Treasury,2001,620.00,660.00,720.00,740.00,735.00,780.00,,,,,,,,,,,,2180.00,2270.00,2360.00,2470.00,2580.00,2710.00,,,,,,,,,,,,Deductibility of charitable contributions (health),,,,,,,,,,,,,,,,,
#+,103,Treasury,2002,730.00,720.00,710.00,760.00,740.00,710.00,830.00,,,,,,,,,,,2180.00,2280.00,2390.00,2510.00,2640.00,2770.00,2910.00,,,,,,,,,,,Deductibility of charitable contributions (health),,,,,,,,,,,,,,,,,
#+,103,Treasury,2003,,710.00,820.00,920.00,1010.00,1010.00,1080.00,1150.00,,,,,,,,,,,3300.00,3360.00,3500.00,3680.00,3840.00,4020.00,4170.00,,,,,,,,,,Deductibility of charitable contributions (health),,,,,,,,,,,,,,,,,
#+,103,Treasury,2004,,,870.00,850.00,860.00,1010.00,990.00,980.00,980.00,,,,,,,,,,,3370.00,3510.00,3720.00,3890.00,4080.00,4240.00,4510.00,,,,,,,,,Deductibility of charitable contributions (health),,,,,,,,,,,,,,,,,
#+,103,Treasury,2005,,,,140.00,150.00,160.00,160.00,170.00,180.00,190.00,,,,,,,,,,,3250.00,2940.00,3190.00,3510.00,3720.00,3970.00,4260.00,,,,,,,,Deductibility of charitable contributions (health),,,,,,,,,,,,,,,,,
#+,112,Treasury,2006,,,,,150.00,160.00,160.00,170.00,180.00,190.00,200.00,,,,,,,,,,,2940.00,3190.00,3510.00,3720.00,3970.00,4260.00,4570.00,,,,,,,Deductibility of charitable contributions (health),,,,,,,,,,,,,,,,,
#+,129,Treasury,2007,,,,,,160.00,160.00,170.00,180.00,190.00,200.00,210.00,,,,,,,,,,,3190.00,3510.00,3720.00,3970.00,4260.00,4570.00,4900.00,,,,,,Deductibility of charitable contributions (health),,,,,,,,,,,,,,,,,
#+,126,Treasury,2008,,,,,,,170.00,180.00,190.00,200.00,210.00,220.00,230.00,,,,,,,,,,,4020.00,4380.00,4970.00,5370.00,5750.00,6160.00,6620.00,,,,,Deductibility of charitable contributions (health),,,,,,,,,,,,,,,,,
#+,127,Treasury,2009,,,,,,,,180.00,190.00,200.00,210.00,220.00,230.00,240.00,,,,,,,,,,,4130.00,4700.00,5100.00,5490.00,5940.00,6430.00,6840.00,,,,Deductibility of charitable contributions (health),,,,,,,,,,,,,,,,,
#+,131,Treasury,2010,,,,,,,,,180.00,190.00,200.00,210.00,220.00,230.00,240.00,,,,,,,,,,,4130.00,4700.00,5100.00,5490.00,5940.00,6430.00,6840.00,,,Deductibility of charitable contributions (health),,,,,,,,,,,,,,,,,
#+,136,Treasury,2011,,,,,,,,,,180.00,180.00,190.00,200.00,210.00,230.00,240.00,,,,,,,,,,,3970.00,4080.00,4760.00,5180.00,5600.00,6000.00,6400.00,,Deductibility of charitable contributions (health),,,,,,,,,,,,,,,,,
#+,138,Treasury,2012,,,,,,,,,,,180.00,190.00,200.00,210.00,230.00,240.00,250.00,,,,,,,,,,,3670.00,4280.00,4670.00,5040.00,5400.00,5760.00,6110.00,Deductibility of charitable contributions (health),,,,,,,,,,,,,,,,,
#,Tax credit for orphan drug research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Orphan drugs.&mdash;The baseline tax system would not allow credits for particular activities, investments, or industries. In contrast, under current law drug firms can claim a tax credit of 50 percent of the costs for clinical testing required by the Food and Drug Administration for drugs that treat rare physical conditions or rare diseases. </p>"
#+,,JCT,2002,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,Tax credit for orphan drug research,,,,,,,,,,,,,,,,,
#+,,JCT,2003,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,Tax credit for orphan drug research,,,,,,,,,,,,,,,,,
#+,,JCT,2007,,,,,,200.00,200.00,200.00,300.00,300.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,Tax credit for orphan drug research,,,,,,,,,,,,,,,,,
#+,,JCT,2008,,,,,,,200.00,300.00,300.00,300.00,300.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Tax credit for orphan drug research,,,,,,,,,,,,,,,,,
#+,,JCT,2009,,,,,,,,300.00,300.00,300.00,300.00,400.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,Tax credit for orphan drug research,,,,,,,,,,,,,,,,,
#+,101,Treasury,2000,55.00,60.00,70.00,80.00,90.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,Tax credit for orphan drug research,,,,,,,,,,,,,,,,,
#+,102,Treasury,2001,80.00,90.00,100.00,115.00,130.00,140.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,Tax credit for orphan drug research,,,,,,,,,,,,,,,,,
#+,104,Treasury,2002,100.00,110.00,130.00,140.00,160.00,180.00,200.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,Tax credit for orphan drug research,,,,,,,,,,,,,,,,,
#+,104,Treasury,2003,,140.00,150.00,170.00,190.00,220.00,240.00,270.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Tax credit for orphan drug research,,,,,,,,,,,,,,,,,
#+,104,Treasury,2004,,,140.00,160.00,180.00,200.00,220.00,250.00,280.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Tax credit for orphan drug research,,,,,,,,,,,,,,,,,
#+,104,Treasury,2005,,,,160.00,180.00,200.00,220.00,250.00,280.00,310.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,Tax credit for orphan drug research,,,,,,,,,,,,,,,,,
#+,113,Treasury,2006,,,,,180.00,210.00,230.00,260.00,290.00,330.00,360.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,Tax credit for orphan drug research,,,,,,,,,,,,,,,,,
#+,130,Treasury,2007,,,,,,210.00,230.00,260.00,290.00,320.00,360.00,410.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,Tax credit for orphan drug research,,,,,,,,,,,,,,,,,
#+,127,Treasury,2008,,,,,,,230.00,260.00,290.00,320.00,360.00,410.00,460.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,Tax credit for orphan drug research,,,,,,,,,,,,,,,,,
#+,128,Treasury,2009,,,,,,,,260.00,290.00,320.00,360.00,410.00,460.00,510.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,Tax credit for orphan drug research,,,,,,,,,,,,,,,,,
#+,132,Treasury,2010,,,,,,,,,290.00,320.00,360.00,410.00,460.00,510.00,570.00,,,,,,,,,,,,,,,,,,,,Tax credit for orphan drug research,,,,,,,,,,,,,,,,,
#+,137,Treasury,2011,,,,,,,,,,270.00,290.00,320.00,350.00,380.00,410.00,450.00,,,,,,,,,,,,,,,,,,,Tax credit for orphan drug research,,,,,,,,,,,,,,,,,
#+,139,Treasury,2012,,,,,,,,,,,470.00,550.00,650.00,770.00,900.00,1060.00,1250.00,,,,,,,,,,,,,,,,,,Tax credit for orphan drug research,,,,,,,,,,,,,,,,,
#,Special Blue Cross/Blue Shield deduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Blue Cross and Blue Shield.&mdash;The baseline tax system generally would tax all profits under the regular tax rate schedule. It would not allow preferentially low (or zero) tax rates to apply to certain types or sources of income. In contrast, Blue Cross and Blue Shield health insurance providers in existence on August 16, 1986 and certain other nonprofit health insurers are provided exceptions from otherwise applicable insurance company income tax accounting rules that substantially reduce (or even eliminate) their tax liabilities. </p>"
#+,102,Treasury,2000,250.00,280.00,325.00,290.00,250.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,Special Blue Cross/Blue Shield deduction,,,,,,,,,,,,,,,,,
#+,103,Treasury,2001,315.00,200.00,135.00,180.00,245.00,315.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,Special Blue Cross/Blue Shield deduction,,,,,,,,,,,,,,,,,
#+,105,Treasury,2002,230.00,250.00,280.00,320.00,290.00,280.00,250.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,Special Blue Cross/Blue Shield deduction,,,,,,,,,,,,,,,,,
#+,105,Treasury,2003,,270.00,300.00,340.00,310.00,300.00,270.00,300.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Special Blue Cross/Blue Shield deduction,,,,,,,,,,,,,,,,,
