"PSC CODE","PRODUCT AND SERVICE CODE NAME","START DATE","END DATE","PRODUCT AND SERVICE CODE FULL NAME","PRODUCT AND SERVICE CODE EXCLUDES","PRODUCT AND SERVICE CODE NOTES","PRODUCT AND SERVICE CODE INICLUDES"
"1130","CONVERSION KITS, NUCLEAR ORDNANCE",6/15/1979,,"CONVERSION KITS, NUCLEAR ORDNANCE",,"THIS CLASS INCLUDES COLLECTIONS OF ITEMS USED FOR THE PURPOSE OF  CONVERTING NUCLEAR WEAPONS FROM ONE CONFIGURATION TO ANOTHER.",
"1135","FUZING & FIRING DEVICES, NUCLEAR OR",11/15/1978,,"FUZING AND FIRING DEVICES, NUCLEAR ORDNANCE",,,"SUCH ITEMS AS FUZES, POWER SUPPLIES, FIRING SETS, X-UNITS, CABLES, SAFING DEVICES, ADAPTION KITS, AND  RE-ENTRY VEHICLE NUCLEAR ORDNANCE ARMING AND FUZING SYSTEMS."
"1140","NUCLEAR COMPONENTS",10/15/1978,,"NUCLEAR COMPONENTS","END ITEMS, SUCH AS BOMBS, PROJECTILES, WARHEADS, AND THE LIKE.",,"ALL COMPONENTS WHICH CONTAIN OR SIMULATE NUCLEAR ACTIVE MATERIALS."
"1145","EXPLOSIVE & PYROTECHNIC COMPS, NUCL",9/15/1979,,"EXPLOSIVE AND PYROTECHNIC COMPONENTS, NUCLEAR ORDNANCE",,"THIS CLASS INCLUDES ACTUAL AND SIMULATED EXPLOSIVE AND PYROTECHNIC COMPONENTS PECULIAR TO ALL NUCLEAR ORDNANCE END ITEMS SUCH AS BOMBS, DEMOLITION CHARGES, ROCKETS, PROJECTILES, WARHEADS, AND RELATED SYSTEMS.  EXCLUDED FROM THIS CLASS ARE ALL EXPLOSIVE AND PYROTECHNIC COMPONENTS DESIGNED FOR OTHER THAN NUCLEAR ORDNANCE APPLICATIONS.",
"1190","SPEC TEST & HANDLING EQ, NUCLEAR EQ",11/15/1978,,"SPECIALIZED TEST AND HANDLING EQUIPMENT, NUCLEAR ORDNANCE","HAND TOOLS; INSTRUMENTS FOR USE ON BOTH NUCLEAR ORDNANCE AND OTHER EQUIPMENT; BASIC TYPES OF ELECTRICAL AND ELECTRONIC TEST INSTRUMENTS, INCLUDING THOSE SPECIALLY DESIGNED, SUCH AS AMMETERS, VOLTMETERS, OHMMETERS, MULTIMETERS, AND SIMILAR INSTRUMENTS, AS SHOWN IN THE INDEXES IN THE FSC.",,"SPECIALLY DESIGNED TRUCKS AND TRAILERS FOR NUCLEAR ORDNANCE; SPECIALLY DESIGNED SLINGS AND HOISTS; OPERATIONAL, TEST, AND SETTING DEVICES, AND CRADLES; CONDITIONING KITS AND SETS, CONTROLLED ENVIRONMENT."
"1195","MISCELLANEOUS NUCLEAR ORDNANCE",10/15/1978,,"MISCELLANEOUS NUCLEAR ORDNANCE",,,"ITEMS COMMON TO MORE THAN ONE CLASS OR ITEMS NOT PROPERLY FITTING INTO THE FOREGOING CLASSES OF NUCLEAR ORDNANCE"
"12","FIRE CONTROL EQPT.",10/1/1979,,,,"FIRE CONTROL ASSEMBLIES, SUBASSEMBLIES, AND COMPONENTS ARE CLASSIFIED: A.  IN APPROPRIATE CLASSES OF THIS GROUP WHEN:  (1)  DESIGNED FOR MULTIPLE APPLICATIONS TO DIFFERENT KINDS OF FIRE CONTROL EQUIPMENT. (2)  MODIFIED FOR USE WITH GUIDED MISSILE REMOTE CONTROL SYSTEMS. (3)  DESIGNED SPECIFICALLY FOR SHIPBORNE GUIDED MISSILE  REMOTE CONTROL SYSTEMS. (4)  RADAR EQUIPMENT, DESIGNED SPECIFICALLY FOR FIRE CONTROL SYSTEMS. (5)  BOTH DAY AND NIGHT VIEWING CHARACTERISTICS ARE INCORPORATED INTO AN INTEGRAL UNIT.  B.  IN CLASS 1270 OR 1280, WHEN DESIGNED SPECIFICALLY FOR  AIRCRAFT GUNNERY OR AIRCRAFT BOMBING FIRE CONTROL,  RESPECTIVELY.  C.  IN CLASS 1430, WHEN DESIGNED SPECIFICALLY FOR GUIDED MISSILE REMOTE CONTROL SYSTEMS, EXCEPT SHIPBOARD TYPE. D.  IN APPROPRIATE CLASSES OF GROUP 58, WHEN DESIGNED FOR  MULTIPLE APPLICATIONS TO BOTH FIRE CONTROL AND  COMMUNICATION EQUIPMENT. E.  IN APPROPRIATE CLASSES OF GROUP 58 WHEN DESIGNED FOR NIGHT VISION.",
"1210","FIRE CONTROL DIRECTORS",10/15/1978,,"FIRE CONTROL DIRECTORS",,,
"1220","FIRE CONT COMPUTING SIGHTS & DEVICE",10/15/1978,,"FIRE CONTROL COMPUTING SIGHTS AND DEVICES",,,
"1230","FIRE CONTROL SYSTEMS, COMPLETE",10/15/1978,,"FIRE CONTROL SYSTEMS, COMPLETE",,"THIS CLASS INCLUDES ONLY COMPLETE FIRE CONTROL SYSTEMS. ANYTHING LESS THAN A COMPLETE SYSTEM, SUCH AS INDIVIDUAL END ITEMS, ASSEMBLIES, PARTS, ATTACHMENTS, OR ACCESSORIES FOR USE IN FIRE CONTROL SYSTEMS ARE CLASSIFIED IN CLASSES OTHER THAN THIS CLASS.",
"1240","OPTICAL SIGHTING & RANGING EQUIPMEN",10/15/1978,,"OPTICAL SIGHTING AND RANGING EQUIPMENT",,,"PERISCOPES FOR SUBMARINES; RANGE AND HEIGHT  FINDERS; TELESCOPIC SIGHTS;  OPTICAL INSTRUMENTS INTEGRATED WITH FIRE CONTROL EQUIPMENT."
"1250","FIRE CONTROL STABILIZING MECHANISMS",10/15/1978,,"FIRE CONTROL STABILIZING MECHANISMS",,,
"1260","FIRE CONT DESIGNATING-INDICATING EQ",10/15/1978,,"FIRE CONTROL DESIGNATING AND INDICATING EQUIPMENT",,,"TURRET, GUN, TORPEDO MOUNT, AND SEARCHLIGHT INDICATING EQUIPMENT; TARGET DESIGNATING EQUIPMENT; SYNCHRO SYSTEMS."
"1265","FIRE CONT EQ EXCEPT AIRBORNE",10/15/1978,,"FIRE CONTROL TRANSMITTING AND RECEIVING EQUIPMENT, EXCEPT AIRBORNE","FIRE CONTROL TRANSMITTING AND RECEIVING EQUIPMENT, SPECIALLY DESIGNED FOR USE ON OR WITH FIRE CONTROL RADAR EQUIPMENT.",,"FIRE CONTROL TRANSMITTERS, TRANSMITTER-RECEIVERS, RECEIVERS, RECEIVER-REGULATORS."
"1270","AIRCRAFT GUNNERY FIRE CONT COMPS",10/15/1978,,"AIRCRAFT GUNNERY FIRE CONTROL COMPONENTS","GUN CHARGERS; AMMUNITION BOXES; GUN HEATERS; FIELD AND LINK CHUTES; AMMUNITION BOOSTERS; GYRO COMPONENTS; COMPLETE FIRE CONTROL SYSTEMS.",,"TURRETS, AIRCRAFT; COMPUTERS, SPECIFICALLY DESIGNED; COMPLETE GYRO MECHANISMS."
"1280","AIRCRAFT BOMBING FIRE CONT COMPS",10/15/1978,,"AIRCRAFT BOMBING FIRE CONTROL COMPONENTS","GYRO COMPONENTS; OPTICAL ELEMENTS, SUCH AS LENS, PRISMS, FILTERS.",,"COMPUTERS, SPECIFICALLY DESIGNED; COMPLETE GYRO MECHANISMS; OPTICAL INSTRUMENTS FOR BOMBING FIRE CONTROL."
"1285","FIRE CONT RADAR EQ EXCEPT AIRBORNE",10/15/1978,,"FIRE CONTROL RADAR EQUIPMENT, EXCEPT AIRBORNE",,,"RADAR SETS, ASSEMBLIES, SUBASSEMBLIES, AND COMPONENTS SPECIALLY DESIGNED FOR USE ON OR WITH FIRE CONTROL EQUIPMENT."
"1287","FIRE CONTROL SONAR EQUIPMENT",1/15/1979,,"FIRE CONTROL SONAR EQUIPMENT",,"THIS CLASS INCLUDES AIRBORNE, SHIPBORNE, AND SUBMARINEBORNE SONAR SETS, ASSEMBLIES, SUBASSEMBLIES, AND COMPONENTS DESIGNED SPECIFICALLY FOR USE WITH UNDERWATER FIRE CONTROL EQUIPMENT.",
"1290","MISC FIRE CONT EQUIPMENT",10/15/1978,,"MISCELLANEOUS FIRE CONTROL EQUIPMENT",,,"FUZE SETTERS; ORDNANCE CABLE SYSTEMS;  AIMING CIRCLES; FLASH AND SOUND RANGING SETS; FIRE  CONTROL COMPONENTS AND SUBASSEMBLIES NOT CLASSIFIABLE IN OTHER CLASSES OF GROUP 12."
"13","AMMUNITION AND EXPLOSIVES",10/1/1979,,,,"EXCLUDED FROM THIS GROUP ARE ITEMS SPECIALLY DESIGNED FOR NUCLEAR ORDNANCE APPLICATION.",
"1305","AMMUNITION, THROUGH 30 MM",10/15/1978,,"AMMUNITION, THROUGH 30 MM",,,"COMPONENTS."
"1310","AMMUNITION, OVER 30 MM UP TO 75 MM",12/15/1978,,"AMMUNITION, OVER 30 MM UP TO 75 MM","FUZES AND PRIMERS.",,"COMPONENTS, EXCEPT FUZES AND PRIMERS; CHEMICAL WARFARE CARTRIDGES."
"1315","AMMUNITION, 75 MM THROUGH 125 MM.",10/15/1978,,"AMMUNITION, 75 MM THROUGH 125 MM.","FUZES AND PRIMERS.",,"COMPONENTS EXCEPT FUZES AND PRIMERS; PYROTECHNIC CARTRIDGES AND PROJECTILES; CHEMICAL WARFARE CARTRIDGES AND PROJECTILES"
"1320","AMMUNITION, OVER 125 MM",10/15/1978,,"AMMUNITION, OVER 125 MM","FUZES AND PRIMERS.",,"COMPONENTS, EXCEPT FUZES AND PRIMERS; CHEMICAL  WARFARE PROJECTILES."
"1325","BOMBS",11/15/1978,,"BOMBS",,,"COMPONENTS; PHOTOFLASH BOMBS; CHEMICAL WARFARE BOMBS; BOMB CLUSTERS."
"1330","GRENADES",10/15/1978,,"GRENADES","FIRING DEVICES (LAUNCHERS).",,"COMPONENTS; HAND AND RIFLE GRENADES; SMOKE GRENADES."
"1336","GUIDED MSL WARHDS-EXPLOSIVE COMPS",10/15/1978,,"GUIDED MISSILE WARHEADS AND EXPLOSIVE COMPONENTS","ATOMIC ORDNANCE WARHEADS; ALL OTHER WARHEADS FOR USE ON OTHER THAN GUIDED MISSILES; LIQUID PROPULSION UNITS; ROCKET ENGINES (LIQUID PROPELLENT UNITS); JATO UNITS; ROCKET MOTORS (SOLID PROPELLANT UNITS) FOR GUIDED MISSILES; SOLID FUEL PROPULSION UNITS; PROPELLANT CHEMICALS ENCASED IN CONSUMABLE CONTAINERS, SUCH AS SQUIBS AND CARTRIDGES FOR INSERTION INTO MISSILE PROPULSION SYSTEMS AS INTEGRAL PARTS.",,"WARHEADS CONTAINING MILITARY CHEMICAL AGENTS; EXERCISE HEADS, GUIDED MISSILE."
"1337","MSL & SPACE VEH EXPLOSIVE PROPULSN",11/15/1978,,"GUIDED MISSILE AND SPACE VEHICLE EXPLOSIVE PROPULSION UNITS, SOLID FUEL; AND COMPONENTS","ROCKET MOTORS (SOLID PROPELLANT UNITS) FOR GUIDED MISSILES, INERT-LOADED OR EMPTY; ALL INERT (NONEXPLOSIVE) COMPONENTS FOR GUIDED MISSILE AND SPACE VEHICLE SOLID FUEL PROPULSION UNITS; GUIDED MISSILE WARHEADS AND COMPONENTS; ROCKET PROPULSION UNITS; ROCKET MOTORS (SOLID PROPELLENT UNITS) FOR ROCKETS; SOLID PROPELLANTS PREDETERMINED TO SPECIFIC QUANTITY AND QUALITY, BUT PACKAGED IN REUSABLE CONTAINERS.",,"ROCKET MOTORS (SOLID PROPELLANT UNITS) FOR GUIDED MISSILES, EXPLOSIVE- LOADED; ALL EXPLOSIVE COMPONENTS FOR GUIDED MISSILE AND SPACE VEHICLE SOLID FUEL PROPULSION UNITS; SOLID PROPELLANTS ENCASED IN CONSUMABLE CONTAINERS, SUCH AS SQUIBS AND CARTRIDGES, INTENDED FOR INSERTION INTO MISSILE PROPULSION SYSTEMS AS INTEGRAL PARTS."
"1338","MSL & SPACE VEH INERT PROPULSION",11/15/1978,,"GUIDED MISSILE AND SPACE VEHICLE INERT PROPULSION UNITS, SOLID FUEL; AND COMPONENTS","ROCKET MOTORS (SOLID PROPELLANT UNITS) FOR GUIDED MISSILES, EXPLOSIVE-LOADED; GUIDED MISSILE WARHEADS AND COMPONENTS; ROCKET PROPULSION UNITS; ROCKET MOTORS (SOLID PROPELLANT UNITS) FOR ROCKETS.",,"ROCKET MOTORS (SOLID PROPELLANT UNITS) FOR GUIDED MISSILES, INERT-LOADED OR EMPTY; ALL INERT  (NONEXPLOSIVE) COMPONENTS FOR GUIDED MISSILE AND SPACE VEHICLE SOLID FUEL PROPULSION UNITS."
"1340","ROCKETS & ROCKET AMMUNITION",10/15/1978,,"ROCKETS, ROCKET AMMUNITION AND ROCKET COMPONENTS","NUCLEAR ROCKETS, NUCLEAR WARHEADS; ALL OTHER WARHEADS FOR USE ON OTHER THAN ROCKETS; AND ROCKETS WITH BUILT-IN GUIDING DEVICES.",,"COMPLETE ROUNDS; EXPLOSIVE COMPONENTS,  INCLUDING WARHEADS; PYROTECHNIC ROCKETS; SOLID FUEL JATO UNITS; ROCKET MOTORS (SOLID PROPELLANT UNITS) FOR ROCKETS; COVERS, PROTECTIVE ROCKET WARHEAD; JETTISONABLE ROCKET LAUNCHERS; CONDITIONING KITS AND SETS, CONTROLLED ENVIRONMENT; AND OTHER PECULIAR COMPONENTS WHICH ARE NOT CLASSIFIED ELSEWHERE."
"1345","LAND MINES",11/15/1978,,"LAND MINES",,,"COMPONENTS; ANTIPERSONNEL MINES; ANTITANK MINES; FUZES."
"1346","REMOTE MUNITIONS",5/1/2005,,"MUNITIONS ITEMS-SYSTEMS THAT ARE NOT HELD BY THE SOLDIER BUT ARE DEPLOYED FOR FUTURE ACTIVATION.",,,
"1350","UNDERWATER MINE INERT COMPONENTS",10/15/1978,,"UNDERWATER MINE INERT COMPONENTS",,,"PARACHUTE PACKS; INERT MINE CASES; BOOSTER CANS; CLOCK DELAYS; CLOCK STARTERS; SEARCH COILS; EXTENDERS."
"1351","UNDERWATER MINE EXPLOSIVE COMPS",12/15/1978,,"UNDERWATER MINE EXPLOSIVE COMPONENTS",,,"LOADED CASES; BOOSTERS; DETONATORS."
"1352","UNDERWATER MINE DISPOAL INERT DEVICES",5/1/2005,,"VERSION OF UNDERWATER MINE DISPOSAL EXPLOSIVE DEVICE WITHOUT DESTRUCTIVE CHARGE.","TORPEDO INERT COMPONENTS,DEPTH CHARGES, AND UNDERWATER MINES.","INTENDED FOR UNDERWATER MINE HUNTING AND RECONNAISSANCE.MAY ALSO BE USED FOR TRAINING PURPOSES.","COMPLETE OPERATING UNITS, SUCH AS AN UNDERWATER MINE RECONNAISSANCE DEVICE, AS WELL AS COMPONENT PARTS, PRACTICE,TRAINING, BLANK, AND DUMMIES."
"1353","UNDERWATER MINE DISPOAL EXPLOSIVE DEVICES",5/1/2005,,"COMPLETE EXPLOSIVE DEVICES, INCLUDING DESTRUCTIVE CHARGE.","UNDERWATER MINE EXPLOSIVE COMPONENTS (FSC 1351), TORPEDO EXPLOSIVE COMPONENTS (FSC 1356), MILITARY CHEMICAL AGENTS (FSC 1365).","IT IS FIRED,GUIDED TO TARGET AND DETONATED FROM A VESSEL OR OTHER REMOTE SITE.","COMPLETE EXPLOSIVE DEVICE, INCLUDING AMMUNITION, DETONATING CHARGE,AND COMPONENT PARTS."
"1355","TORPEDO INERT COMPONENTS",10/15/1978,,"TORPEDO INERT COMPONENTS",,,
"1356","TORPEDO EXPLOSIVE COMPONENTS",11/15/1978,,"TORPEDO EXPLOSIVE COMPONENTS",,,"WARHEADS; BOOSTERS; DETONATORS."
"1360","DEPTH CHARGE INERT COMPONENTS",5/15/1981,,"DEPTH CHARGE INERT COMPONENTS",,,"INERT FIRING MECHANISMS; PISTOLS WITHOUT DETONATORS; EXTENDERS."
"1361","DEPTH CHARGE EXPLOSIVE COMPONENTS",7/15/1979,,"DEPTH CHARGE EXPLOSIVE COMPONENTS",,,"CASES; BOOSTERS; DETONATOR."
"1365","MILITARY CHEMICAL AGENTS",11/15/1978,,"MILITARY CHEMICAL AGENTS","AMMUNITION CONTAINING MILITARY CHEMICAL AGENTS.",,"WAR GASES; SCREENING SMOKES; INCENDIARY AND THICKENING AGENTS; SIGNALING SMOKES."
"1367","TACTICAL SETS, KITS, AND OUTFITS",5/1/2005,,"A COLLECTION OF ITEMS, WHICH ARE USED FOR A SPECIFIC PURPOSE.",,"THESE SETS,KITS AND OUTFITS MAY INCLUDE SUCH ITEMS AS UNIFORMS, WEAPONS, BODY ARMOR, AND THE LIKE. BY THEMSELVES, EACH OF THESE COMPONENTS BELONGS IN AN FSC OTHER THAN 1367.","EACH COLLECTION MUST INCLUDE AT LEAST ONE ITEM OF ORDNANCE CLASSIFIED IN GROUP 13. ORDNANCE MAY BE NON-LETHAL (AS DEFINED IN THE DEPARTMENT OF DEFENSE DIRECTIVE 3000.3)"
"1370","PYROTECHNICS",10/15/1978,,"PYROTECHNICS","PYROTECHNIC CARTRIDGES AND PROJECTILES; PHOTOFLASH BOMBS; PYROTECHNIC ROCKETS.",,"FLARES; SIGNALS; FIREWORKS; PISTOL ROCKET SIGNALS."
"1375","DEMOLITION MATERIALS",11/15/1978,,"DEMOLITION MATERIALS","LIQUID PROPELLANT FUELS AND OXIDIZERS; SOLID PROPELLANTS ENCASED IN CONSUMABLE CONTAINERS, FOR INSERTION INTO MISSILE PROPULSION SYSTEMS AS INTEGRAL PARTS; GUIDED MISSILE EXPLOSIVE DEVICES; SAFETY-IN-FLIGHT EXPLOSIVE ITEMS AND DEVICES SUCH AS, IMPULSE CARTRIDGES, DELAY CARTRIDGES, AIRCRAFT EJECTION SEAT CATAPULTS, AIRCRAFT CANOPY REMOVERS, AND SIMILAR ITEMS, AS SHOWN IN THE INDEXES TO THE FSC; SOLID PROPELLANTS, PREDETERMINED TO SPECIFIC QUANTITY AND QUALITY, PACKAGED IN REUSABLE CONTAINERS; NUCLEAR ORDNANCE COMPONENTS; ROCKET AND GUIDED MISSILE MOTORS, WARHEADS, AND PROPULSION SECTIONS.",,"ITEMS FOR CONSTRUCTION, QUARRYING AND DEMOLITION WORK SUCH AS DYNAMITE AND OTHER EXPLOSIVES PACKED IN CYLINDRICAL PAPER CARTRIDGES OR IN BAGS, DEMOLITION CHARGES; BLASTING CAPS; BLASTING TIME FUSES; DETONATING CORD; DEMOLITION FIRING DEVICES; BOOBY TRAP MECHANISMS; BANGALORE TORPEDOES; INERT ACCESSORIES AND COMPONENTS SUCH AS BLASTING MACHINES, PRIMING ADAPTERS, AND DETONATING CORD CLIPS."
