"Indent","Category","Source","Report","2000 (Corp)","2001 (Corp)","2002 (Corp)","2003 (Corp)","2004 (Corp)","2005 (Corp)","2006 (Corp)","2007 (Corp)","2008 (Corp)","2009 (Corp)","2010 (Corp)","2011 (Corp)","2012 (Corp)","2013 (Corp)","2014 (Corp)","2015 (Corp)","2016 (Corp)","2000 (Indv)","2001 (Indv)","2002 (Indv)","2003 (Indv)","2004 (Indv)","2005 (Indv)","2006 (Indv)","2007 (Indv)","2008 (Indv)","2009 (Indv)","2010 (Indv)","2011 (Indv)","2012 (Indv)","2013 (Indv)","2014 (Indv)","2015 (Indv)","2016 (Indv)","Description/Expenditure Name","Notes",,
"#+",,"JCT",2007,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,,,,,0,0,0,0,0,,,,,,,,"Tax credit for alcohol fuel blenders ","In addition, the exemption from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $1.4 billion in each of the fiscal years 2005 through 2007 and $1.5 billion per year in fiscal years 2008 and 2009.",,
"#+",,"JCT",2008,,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,,,,,0,0,0,0,0,,,,,,,"Tax credit for alcohol fuels ","In addition, the credit from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $11.1 billion over the fiscal years 2006 through 2010.",,
"#+",,"JCT",2009,,,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,,,,,0,0,0,0,0,,,,,,"Tax credits for alcohol fuels ","In addition, the credit from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $10.9 billion over the fiscal years 2007 through 2011.",,
"#+",,"JCT",2010,,,,,,,,,100,100,100,"<50",0,,,,,,,,,,,,,0,0,0,0,0,,,,,"Credits for alcohol fuels ","In addition, the credit from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $13.6 billion over the fiscal years 2008 through 2012.",,
"#+",,"JCT",2011,,,,,,,,,,6500,10100,10400,11000,3900,,,,,,,,,,,,,0,0,0,0,0,,,,"Credits for alcohol fuels ","Estimate includes the effect of ""black liquor,"" a byproduct of the kraft paper making process, qualifying for the cellulosic biofuel producer credit. In addition to the amounts above, the excise tax credit for alcohol fuel mixtures results in a reduction in excise tax receipts, net of income, of $8.8 billion over the fiscal years 2009 through 2013.",,
"#+",,"JCT",2012,,,,,,,,,,,100,"<50","<50","<50","<50",,,,,,,,,,,,,0,0,0,0,0,,,"Credits for alcohol fuels ",,,
"#+",18,"Treasury",2001,10,10,10,10,10,10,,,,,,,,,,,,5,5,5,5,5,5,,,,,,,,,,,,"Alcohol fuel credits","In addition, the partial exemption from the excise tax for alcohol fuels results in a reduction in excise tax receipts (in millions of dollars) as follows: 1999 $760; 2000 $800; 2001 $805; 2002 $810; 2003 $815; 2004 $825; and 2005 $830.",,
"#+",19,"Treasury",2002,10,10,10,10,10,10,10,,,,,,,,,,,10,10,10,10,10,10,10,,,,,,,,,,,"Alcohol fuel credits","In addition, the partial exemption from the excise tax for alcohol fuels results in a reduction in excise tax receipts (in millions of dollars) as follows: 2000 $840; 2001 $880; 2002 $930; 2003 $950; 2004 $960; 2005 $960; and in 2006 $960.",,
"#+",18,"Treasury",2003,,20,20,20,20,20,20,20,,,,,,,,,,,10,10,10,10,10,10,10,,,,,,,,,,"Alcohol fuel credits","In addition, the partial exemption from the excise tax for alcohol fuels results in a reduction in excise tax receipts (in millions of dollars) as follows: 2001 $990; 2002 $1,020; 2003 $1,050; 2004 $1,080; 2005 $1,080; 2006 $1,100; and 2007 $1,120.",,
"#+",18,"Treasury",2004,,,20,20,20,20,20,20,20,,,,,,,,,,,10,10,10,10,10,10,10,,,,,,,,,"Alcohol fuel credits","In addition, the partial exemption from the excise tax for alcohol fuels results in a reduction in excise tax receipts (in millions of dollars) as follows: 2002 $1,070; 2003 $1,140; 2004 $1,230; 2005 $1,320; 2006 $1,370; 2007 $1,400; and 2008 $1,430.",,
"#+",18,"Treasury",2005,,,,20,20,20,20,20,20,20,,,,,,,,,,,10,10,10,10,10,10,10,,,,,,,,"Alcohol fuel credits","In addition, the partial exemption from the excise tax for alcohol fuels results in a reduction in excise tax receipts (in millions of dollars) as follows: 2003 $1,100; 2004 $1,260; 2005 $1,370; 2006 $1,430; 2007 $1,470; 2008 $1,510; and 2009 $1,550.",,
"#+",18,"Treasury",2006,,,,,20,20,20,20,30,30,30,,,,,,,,,,,10,10,10,10,10,10,10,,,,,,,"Alcohol fuel credits","In addition, the partial exemption from the excise tax and excise credits for alcohol fuels result in a reduction in excise tax receipts (in millions of dollars) as follows: 2004 $1,450; 2005 $1,490; 2006 $1,550; 2007 $1,590; 2008 $1,620; 2009 $1,650; and 2010 $1,680.",,
"#+",18,"Treasury",2007,,,,,,30,30,30,40,40,50,20,,,,,,,,,,,10,10,10,10,10,10,10,,,,,,"Alcohol fuel credits","In addition, the alcohol fuel credit results in a reduction in excise tax receipts (in millions of dollars) as follows: 2005 $1,500; 2006 $2,110; 2007 $2,400; 2008 $2,740; 2009 $3,080; 2010 $3,410 and 2011 $870.",,
"#+",17,"Treasury",2008,,,,,,,40,40,50,50,60,20,0,,,,,,,,,,,10,10,10,20,20,10,0,,,,,"Alcohol fuel credits","In addition, the alcohol fuel credit results in a reduction in excise tax receipts (in millions of dollars) as follows: 2006 $2,570; 2007 $2,990; 2008 $3,460; 2009 $4,280; 2010 $4,990; 2011 $1,440; 0 in 2012.",,
"#+",16,"Treasury",2009,,,,,,,,30,30,40,40,20,0,0,,,,,,,,,,,10,10,10,10,10,0,0,,,,"Alcohol fuel credits","In addition, the alcohol fuel credit results in a reduction in excise tax receipts (in millions of dollars) as follows: 2007 $3,380; 2008 $4,300; 2009 $5,140; 2010 $5,940; 2011 $1,720; 2012 $0; 2013 $0.",,
"#+",17,"Treasury",2010,,,,,,,,,40,50,70,160,320,160,0,,,,,,,,,,,10,10,20,30,70,70,0,,,"Alcohol fuel credits ","In addition, the alcohol fuel credit results in a reduction in excise tax receipts (in millions of dollars) as follows: 2008 $4,410; 2009 $4,730; 2010 $5,230; 2011 $1,630; 2012 $0; 2013 $0; 2014 $0.",,
"#+",17,"Treasury",2011,,,,,,,,,,40,1190,8850,10900,6640,3590,2020,,,,,,,,,,,10,10,20,40,50,20,10,,"Alcohol fuel credits   ","In addition, the alcohol fuel credit results in a reduction in excise tax receipts (in millions of dollars) as follows:  2009 $5,160; 2010 $6,100; 2011 $1,940; 2012 $0; 2013 $0; 2014 $0; 2015 $0. (Some footnotes in the FY2011 OMB document are misaligned.  Subsidyscope has shifted these footnotes to their appropriate place.)",,
"#+",17,"Treasury",2012,,,,,,,,,,,60,70,110,80,40,20,10,,,,,,,,,,,10,20,20,30,10,10,0,"Alcohol fuel credits   ",,,
"#","Allowance of deduction for certain energy efficient commercial building property",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>The baseline tax system would not allow deductions in addition to normal depreciation allowances for particular investments in particular industries. Instead, it generally would seek to tax uniformly all returns from investment-like activities. In contrast, the Tax Code allows a deduction, per square foot, for certain energy efficient commercial buildings. </p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy11/pdf/spec.pdf""><em>Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2011</em>.</a>",,
"#+",,"JCT",2008,,,,,,,"<50",100,"<50",">-50",">-50",,,,,,,,,,,,,"<50",100,"<50",">-50",">-50",,,,,,,"Deduction for expenditures on energy-efficient commercial building property",,,
"#+",,"JCT",2009,,,,,,,,"<50",100,"<50",">-50",">-50",,,,,,,,,,,,,"<50",100,"<50",">-50",">-50",,,,,,"Deduction for expenditures on energy-efficient commercial building property",,,
"#+",,"JCT",2010,,,,,,,,,"<50",100,100,100,100,,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,"Deduction for expenditures on energy-efficient commercial building property",,,
"#+",,"JCT",2011,,,,,,,,,,"<50",100,100,100,100,,,,,,,,,,,,,100,100,100,100,100,,,,"Deduction for expenditures on energy-efficient commercial building property",,,
"#+",,"JCT",2012,,,,,,,,,,,100,100,100,100,100,,,,,,,,,,,,,100,100,100,100,100,,,"Deduction for expenditures on energy-efficient commercial building property",,,
"#+",29,"Treasury",2007,,,,,,0,60,150,110,20,-10,-10,,,,,,,,,,,0,20,40,30,10,0,0,,,,,,"Allowance of deduction for certain energy efficient commercial building property",,,
"#+",26,"Treasury",2008,,,,,,,60,140,130,70,20,-10,-10,,,,,,,,,,,20,50,40,20,10,0,0,,,,,"Allowance of deduction for certain energy efficient commercial building property",,,
"#+",26,"Treasury",2009,,,,,,,,140,130,70,20,0,0,0,,,,,,,,,,,50,40,20,10,0,0,0,,,,"Allowance of deduction for certain energy efficient commercial building property",,,
"#+",27,"Treasury",2010,,,,,,,,,130,150,160,130,130,10,40,,,,,,,,,,,40,50,50,60,70,10,20,,,"Allowance of deduction for certain energy efficient commercial building property",,,
"#+",27,"Treasury",2011,,,,,,,,,,50,60,70,70,100,60,10,,,,,,,,,,,10,20,20,20,30,20,0,,"Allowance of deduction for certain energy efficient commercial building property",,,
"#+",27,"Treasury",2012,,,,,,,,,,,50,60,70,80,50,20,10,,,,,,,,,,,10,20,20,20,20,10,0,"Allowance of deduction for certain energy efficient commercial building property",,,
"#","Alternative Fuel and Fuel Mixture tax credit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>This provision was introduced in the Safe, Accountable,
Flexible, Efficient Transportation Equity Act of
2005. A tax credit is available against the excise tax
imposed on the retail sale or use of alternative fuels
or mixture of alternative fuel and other taxable fuel.
The credit is 50 cents per gallon of alternative fuel.</p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy07/pdf/spec.pdf""><em>Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2007</em>.</a>
",,
"#+",35,"Treasury",2007,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,150,170,0,0,0,0,0,,,,,,"Alternative Fuel and Fuel Mixture tax credit",,,
"#","Alternative fuel production credit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>The baseline tax system would not allow credits for particular activities, investments, or industries. Instead, it generally would seek to tax uniformly all returns from investmentlike activities. In contrast, the Tax Code provides a credit of $3 per oil-equivalent barrel of production (in 2004 dollars) for coke or coke gas during a four-year period for qualified facilities placed in service before January 1, 2010. </p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy11/pdf/spec.pdf""><em>Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2011</em>.</a>",,
"#+",,"JCT",2001,1000,1000,1000,800,,,,,,,,,,,,,,300,300,300,200,,,,,,,,,,,,,,"Tax credit for production of non-conventional fuels",,,
"#+",,"JCT",2002,1100,1100,1200,1200,1200,,,,,,,,,,,,,200,300,300,300,300,,,,,,,,,,,,,"Tax credit for production of non-conventional fuels",,,
"#+",,"JCT",2003,,1200,1300,800,500,500,,,,,,,,,,,,,300,300,200,100,100,,,,,,,,,,,,"Tax credit for production of non-conventional fuels",,,
"#+",,"JCT",2004,,,1300,800,500,500,500,,,,,,,,,,,,,300,200,100,100,100,,,,,,,,,,,"Tax credit for production of non-conventional fuels",,,
"#+",,"JCT",2005,,,,800,500,500,500,600,,,,,,,,,,,,,200,100,100,100,100,,,,,,,,,,"Tax credit for production of non-conventional fuels",,,
"#+",,"JCT",2006,,,,,500,500,500,600,200,,,,,,,,,,,,,100,100,100,100,100,,,,,,,,,"Tax credit for production of non-conventional fuels",,,
"#+",,"JCT",2007,,,,,,1000,1100,1300,500,100,,,,,,,,,,,,,200,300,300,100,"<50",,,,,,,,"Tax credit for production of non-conventional fuels",,,
"#+",,"JCT",2008,,,,,,,2700,3200,1200,"<50","<50",,,,,,,,,,,,,1000,1000,200,"<50","<50",,,,,,,"Tax credit for production of non-conventional fuels",,,
"#+",,"JCT",2009,,,,,,,,3700,1400,"<50","<50","<50",,,,,,,,,,,,,800,300,"<50","<50","<50",,,,,,"Tax credit for producing fuels from a non-conventional source",,,
"#+",,"JCT",2010,,,,,,,,,100,100,"<50","<50","<50",,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,"Credit for producing fuels from a non-conventional source",,,
"#+",,"JCT",2011,,,,,,,,,,100,"<50","<50","<50","<50",,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,"Credit for producing fuels from a non-conventional source",,,
"#+",,"JCT",2012,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,,,,,"<50","<50","<50","<50",3000,,,"Credit for producing fuels from a non-conventional source",,,
"#+",12,"Treasury",2001,915,860,805,125,125,125,,,,,,,,,,,,45,45,40,0,0,0,,,,,,,,,,,,"Alternative fuel production credit",,,
"#+",13,"Treasury",2002,930,880,820,520,120,120,120,,,,,,,,,,,40,40,40,20,10,10,10,,,,,,,,,,,"Alternative fuel production credit",,,
"#+",12,"Treasury",2003,,860,810,390,120,120,120,120,,,,,,,,,,,40,40,20,10,10,10,10,,,,,,,,,,"Alternative fuel production credit",,,
"#+",12,"Treasury",2004,,,1500,900,500,500,500,500,200,,,,,,,,,,,60,40,20,20,20,20,10,,,,,,,,,"Alternative fuel production credit",,,
"#+",12,"Treasury",2005,,,,1230,850,850,850,850,340,0,,,,,,,,,,,50,40,40,40,40,10,0,,,,,,,,"Alternative fuel production credit",,,
"#+",12,"Treasury",2006,,,,,1000,1000,1000,1000,400,0,0,,,,,,,,,,,40,40,40,40,20,0,0,,,,,,,"Alternative fuel production credit",,,
"#+",12,"Treasury",2007,,,,,,2220,2290,2360,950,0,0,0,,,,,,,,,,,100,100,100,40,0,0,0,,,,,,"Alternative fuel production credit",,,
"#+",12,"Treasury",2008,,,,,,,2860,2270,750,10,10,0,0,,,,,,,,,,,120,100,30,0,0,0,0,,,,,"Alternative fuel production credit",,,
"#+",11,"Treasury",2009,,,,,,,,2800,1260,70,80,10,10,0,,,,,,,,,,,120,50,0,0,0,0,0,,,,"Alternative fuel production credit",,,
"#+",11,"Treasury",2010,,,,,,,,,570,70,80,10,10,0,0,,,,,,,,,,,20,0,0,0,0,0,0,,,"Alternative fuel production credit",,,
"#+",11,"Treasury",2011,,,,,,,,,,60,50,20,10,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,,"Alternative fuel production credit",,,
"#+",11,"Treasury",2012,,,,,,,,,,,160,160,110,80,60,20,0,,,,,,,,,,,10,10,10,10,0,0,0,"Alternative fuel production credit",,,
"#","Amortization of air pollution control facilities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>This provision makes the pre-1976 5-year option to amortize investments in pollution control equipment for coal-fired electric generation plants available to those plants placed in service on or after January 1, 1976.</p> <p>Qualifying pollution control equipment means any technology that is installed in or on a qualifying facility to reduce air emissions of any pollutant regulated by the Environmental Protection Agency (EPA) under the Clean Air Act. This includes scrubber systems, particulate collectors and removal equipment (such as electrostatic precipitators), thermal oxidizers, vapor recovery systems, low nitric oxide burners, flare systems, bag houses, cyclones, and continuous emission monitoring systems. The pollution control equipment needs to have been placed in service after April 11, 2005.</p>","Description adapted from <a href=""http://frwebgate.access.gpo.gov/cgi-bin/getdoc.cgi?dbname=110_cong_senate_committee_prints&docid=f:45728.pdf""><em>Tax Expenditures: Compendium of Background Materials on Individual Provisions</em></a>, Congressional Research Service, December 2008, Washington, DC: U.S. Government Printing Office.",,
"#+",,"JCT",2010,,,,,,,,,100,100,100,200,200,,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,"Amortization of air pollution control facilities",,,
"#+",,"JCT",2011,,,,,,,,,,100,100,200,200,200,,,,,,,,,,,,,0,0,0,0,0,,,,"Amortization of air pollution control facilities",,,
"#+",,"JCT",2012,,,,,,,,,,,100,200,200,200,100,,,,,,,,,,,,,0,0,0,0,0,,,"Amortization of air pollution control facilities",,,
"#","Amortize all geological and geophysical expenditures over 2 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>The baseline tax system allows taxpayers to deduct the decline in the economic value of an investment over time. However, the Tax Code allows geological and geophysical expenditures incurred in connection with oil and gas exploration in the United States to be amortized over two years for non-integrated oil companies. </p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy11/pdf/spec.pdf""><em>Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2011</em>.</a>",,
"#+",,"JCT",2008,,,,,,,">-50",100,200,200,100,,,,,,,,,,,,,">-50","<50",100,100,"<50",,,,,,,"Amortization of geological and geophysical costs associated with oil and gas exploration",,,
"#+",,"JCT",2009,,,,,,,,100,200,200,200,100,,,,,,,,,,,,,"<50",100,100,100,"<50",,,,,,"Amortization of geological and geophysical expenditures associated with oil and gas exploration",,,
"#+",,"JCT",2010,,,,,,,,,100,200,200,200,200,,,,,,,,,,,,,"<50",100,100,100,100,,,,,"Amortization of geological and geophysical expenditures associated with oil and gas exploration",,,
"#+",,"JCT",2011,,,,,,,,,,"<50",100,100,100,100,,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,"Amortization of geological and geophysical expenditures associated with oil and gas exploration",,,
"#+",,"JCT",2012,,,,,,,,,,,100,100,100,100,100,,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,"Amortization of geological and geophysical expenditures associated with oil and gas exploration",,,
"#+",28,"Treasury",2007,,,,,,0,30,120,140,110,80,50,,,,,,,,,,,0,10,30,40,30,20,10,,,,,,"Amortize all geological and geophysical expenditures over",,,
"#+",25,"Treasury",2008,,,,,,,10,50,70,60,30,10,10,,,,,,,,,,,0,10,20,10,10,0,0,,,,,"Amortize all geological and geophysical expenditures over",,,
"#+",25,"Treasury",2009,,,,,,,,40,30,20,10,10,10,10,,,,,,,,,,,10,10,10,0,0,0,0,,,,"Amortize all geological and geophysical expenditures over",,,
"#+",26,"Treasury",2010,,,,,,,,,20,70,100,100,70,50,30,,,,,,,,,,,0,20,30,20,20,10,10,,,"Amortize all geological and geophysical expenditures over 2 years",,,
"#+",26,"Treasury",2011,,,,,,,,,,30,120,190,190,150,110,70,,,,,,,,,,,10,30,50,50,40,30,20,,"Amortize all geological and geophysical expenditures over 2 years",,,
"#+",26,"Treasury",2012,,,,,,,,,,,120,90,70,50,30,20,20,,,,,,,,,,,30,20,20,10,10,10,10,"Amortize all geological and geophysical expenditures over 2 years",,,
"#","Bio-Diesel and small agri-biodiesel producer tax credits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>The baseline tax system would not allow credits for particular activities, investments, or industries. Instead, it generally would seek to tax uniformly all returns from investment-like activities. However, the Tax Code allows an income tax credit for biodiesel used or sold and for bio-diesel derived from virgin sources. In lieu of the bio-diesel credit, the taxpayer may claim a refundable excise tax credit. In addition, small agri-biodiesel producers are eligible for a separate income tax credit for ethanol production and a separate credit is available for qualified renewable diesel fuel mixtures. </p><p>This tax expenditure may correspond with <a href=”/tax_expenditures/db/group/68/?estimate=3&year=2001"">“Tax credit for biodiesel blenders”</a>. Subsidyscope could not determine for certain that they are the same tax expenditure, so the items are presented separately.</p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy11/pdf/spec.pdf""><em>Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2011</em>.</a>",,
"#+",,"JCT",2008,,,,,,,"<50",100,100,"<50",0,,,,,,,,,,,,,0,0,0,0,0,,,,,,,"Tax credit for biodiesel fuels ","In addition, the credit from excise tax for biodiesel results in a reduction in excise tax reciepts, net of income tax effect, of less than  $50 million in each of the fiscal years 2006 through 2010. ",,
"#+",,"JCT",2009,,,,,,,,100,100,"<50",0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,,"Tax credits for biodiesel fuels ","In addition, the credit from excise tax for biodiesel results in a reduction in excise tax reciepts, net of income tax effect, of less than  $50 million in each of the fiscal years 2007 through 2011. ",,
"#+",17,"Treasury",2009,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,180,200,30,20,10,10,10,,,,"Bio-Diesel and small agri-biodiesel producer tax credits",,,
"#+",18,"Treasury",2010,,,,,,,,,30,20,20,0,0,0,0,,,,,,,,,,,10,10,0,0,0,0,0,,,"Bio-Diesel and small agri-biodiesel producer tax credits ","In addition, the bio-diesel producer tax credit results in a reduction in excise tax receipts (in millions of dollars) as follows: 2008 $940; 2009 $780; 2010 $70; 2011 $60; 2012 $40; 2013 $40; 2014 $10.",,
"#+",18,"Treasury",2011,,,,,,,,,,20,10,10,0,0,0,0,,,,,,,,,,,10,0,0,0,0,0,0,,"Bio-Diesel and small agri-biodiesel producer tax credits   ","In addition, the biodiesel producer tax credit results in a reduction in excise tax receipts (in millions of dollars) as follows:  2009 $810; 2010 $200; 2011 $0; 2012 $0; 2013 $0; 2014 $0; 2015 $0. (Some footnotes in the FY2011 OMB document are misaligned.  Subsidyscope has shifted these footnotes to their appropriate place.)",,
"#+",18,"Treasury",2012,,,,,,,,,,,20,10,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,"Bio-Diesel and small agri-biodiesel producer tax credits   ",,,
