"#","Program Title","Agency/Office","Types of Assistance","Date Modified","Date Published"
"10.164","Wholesale Farmers and Alternative Market Development","Department of Agriculture / Agricultural Marketing Service","K - ADVISORY SERVICES AND COUNSELING, M - TRAINING",11/26/2010 10:41,1/1/1982 0:00
"10.165","Perishable Agricultural Commodities Act","Department of Agriculture / Agricultural Marketing Service","N - INVESTIGATION OF COMPLAINTS",9/17/2010 7:35,1/1/1982 0:00
"10.167","Transportation Services","Department of Agriculture / Agricultural Marketing Service","K - ADVISORY SERVICES AND COUNSELING, M - TRAINING",9/17/2010 7:35,1/1/1991 0:00
"10.168","Farmers' Market Promotion Program","Department of Agriculture / Agricultural Marketing Service","B - PROJECT GRANTS",11/26/2010 10:41,1/1/2006 0:00
"10.169","Specialty Crop Block Grant Program","Department of Agriculture / Agricultural Marketing Service","B - PROJECT GRANTS",9/17/2010 7:36,1/1/2006 0:00
"10.170","Specialty Crop Block Grant Program - Farm Bill","Department of Agriculture / Agricultural Marketing Service","B - PROJECT GRANTS",9/17/2010 7:36,1/1/2008 0:00
"10.200","Grants for Agricultural Research, Special Research Grants","Department of Agriculture / National Institute of Food and Agriculture","B - PROJECT GRANTS",9/14/2010 14:37,1/1/1969 0:00
"10.202","Cooperative Forestry Research","Department of Agriculture / National Institute of Food and Agriculture","A - FORMULA GRANTS",9/15/2010 7:51,1/1/1970 0:00
"10.203","Payments to Agricultural Experiment Stations Under the Hatch Act","Department of Agriculture / National Institute of Food and Agriculture","A - FORMULA GRANTS",9/15/2010 7:52,1/1/1970 0:00
"10.205","Payments to 1890 Land-Grant Colleges and Tuskegee University","Department of Agriculture / National Institute of Food and Agriculture","A - FORMULA GRANTS",9/14/2010 14:38,1/1/1981 0:00
"10.206","Grants for Agricultural Research_Competitive Research Grants","Department of Agriculture / National Institute of Food and Agriculture","B - PROJECT GRANTS",1/10/2011 10:58,1/1/1981 0:00
"10.207","Animal Health and Disease Research","Department of Agriculture / National Institute of Food and Agriculture","A - FORMULA GRANTS",8/17/2010 12:37,1/1/1981 0:00
"10.210","Food and Agricultural Sciences National Needs Graduate Fellowship Grants","Department of Agriculture / National Institute of Food and Agriculture","B - PROJECT GRANTS",9/17/2010 9:28,1/1/1985 0:00
"10.212","Small Business Innovation Research","Department of Agriculture / National Institute of Food and Agriculture","B - PROJECT GRANTS",1/10/2011 10:59,1/1/1986 0:00
"10.215","Sustainable Agriculture Research and Education","Department of Agriculture / National Institute of Food and Agriculture","B - PROJECT GRANTS",8/17/2010 14:57,1/1/1988 0:00
"10.216","1890 Institution Capacity Building Grants","Department of Agriculture / National Institute of Food and Agriculture","B - PROJECT GRANTS",9/14/2010 14:38,1/1/1990 0:00
"10.219","Biotechnology Risk Assessment Research","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants",9/14/2010 14:39,1/1/1993 0:00
"10.220","Higher Education Multicultural Scholars Program","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants",8/18/2010 10:06,1/1/1994 0:00
"10.225","Community Food Projects","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants",9/17/2010 7:36,1/1/1997 0:00
"10.227","1994 Institutions Research Program","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants (Cooperative Agreements)",8/18/2010 12:55,1/1/2000 0:00
"10.250","Agricultural and Rural Economic Research","Department of Agriculture / Economic Research Service","L - DISSEMINATION OF TECHNICAL INFORMATION",11/29/2010 14:11,1/1/1969 0:00
"10.253","Food Assistance and Nutrition Research Programs (FANRP)","Department of Agriculture / Economic Research Service","L - DISSEMINATION OF TECHNICAL INFORMATION",10/30/2008 0:00,1/1/2008 0:00
"10.254","Program of Research on the Economic of Invasive Species Management (PREISM)","Department of Agriculture / Economic Research Service","L - DISSEMINATION OF TECHNICAL INFORMATION",10/30/2008 0:00,1/1/2008 0:00
"10.255","Research Innovation and Development Grants in Economic (RIDGE)","Department of Agriculture / Economic Research Service","L - DISSEMINATION OF TECHNICAL INFORMATION",10/30/2008 0:00,1/1/2008 0:00
"10.256","Consumer Data and Information Program","Department of Agriculture / Economic Research Service","L - DISSEMINATION OF TECHNICAL INFORMATION",11/29/2010 14:14,1/1/2007 0:00
"10.290","Agricultural Market and Economic Research","Department of Agriculture / The Office of the Chief Economist","B - PROJECT GRANTS",1/15/2010 9:54,1/1/2008 0:00
"10.303","Integrated Programs","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants",9/14/2010 14:40,1/1/2000 0:00
"10.307","Organic Agriculture Research and Extension Initiative","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants",8/18/2010 13:50,1/1/2005 0:00
"10.309","Specialty Crop Research Initiative","Department of Agriculture / National Institute of Food and Agriculture","B - PROJECT GRANTS",8/19/2010 7:33,1/1/2008 0:00
"10.310","Agriculture and Food Research Initiative (AFRI)","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants",9/17/2010 9:28,7/15/2009 10:06
"10.311","Beginning Farmer and Rancher Development Program","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants",8/19/2010 7:35,7/15/2009 10:23
"10.312","Biomass Research and Development Initiative Competitive Grants Program (BRDI)","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants",9/14/2010 14:47,7/15/2009 10:20
"10.313","Veterinary Medicine Loan Repayment Program","Department of Agriculture / National Institute of Food and Agriculture","C - Direct Payments for Specified Use",9/15/2010 7:56,8/2/2010 6:57
"10.317","Food Aid Nutrition Enhancement Program","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants (Discretionary)",8/20/2010 9:25,3/1/2010 8:09
"10.319","Farm Business Management and Benchmarking Competitive Grants Program","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants (Cooperative Agreements)",9/17/2010 9:29,3/17/2010 14:06
"10.320","Sun Grant Program","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants (Cooperative Agreements)",9/14/2010 14:41,3/24/2010 7:24
"10.350","Technical Assistance to Cooperatives","Department of Agriculture / Rural Development","J - PROVISION OF SPECIALIZED SERVICES, K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION, M - TRAINING",8/2/2005 0:00,1/1/1965 0:00
"10.352","Value-Added Producer Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS",9/23/2010 7:51,1/1/2005 0:00
"10.404","Emergency Loans","Department of Agriculture / Farm Service Agency","E - DIRECT LOANS",9/1/2010 9:28,1/1/1965 0:00
"10.406","Farm Operating Loans","Department of Agriculture / Farm Service Agency","E - DIRECT LOANS, F - GUARANTEED/INSURED LOANS",8/23/2010 8:58,1/1/1965 0:00
"10.407","Farm Ownership Loans","Department of Agriculture / Farm Service Agency","E - DIRECT LOANS, F - GUARANTEED/INSURED LOANS",8/23/2010 8:59,1/1/1965 0:00
"10.435","State Mediation Grants","Department of Agriculture / Farm Service Agency","B - PROJECT GRANTS",8/30/2010 9:52,1/1/1988 0:00
"10.437","Interest Assistance Program","Department of Agriculture / Farm Service Agency","F - GUARANTEED/INSURED LOANS",9/1/2010 9:29,1/1/1989 0:00
"10.441","Technical and Supervisory Assistance Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS",8/23/2010 9:01,1/1/1993 0:00
"10.443","Outreach and Assistance for Socially Disadvantaged Farmers and Ranchers","Department of Agriculture / Departmental Management","B - PROJECT GRANTS",3/31/2011 5:00,1/1/1994 0:00
"10.449","Boll Weevil Eradication Loan Program","Department of Agriculture / Farm Service Agency","E - DIRECT LOANS",8/23/2010 9:04,1/1/2000 0:00
"10.450","Crop Insurance","Department of Agriculture / Risk Management Agency","G - INSURANCE",9/12/2008 0:00,1/1/1969 0:00
"10.455","Community Outreach and Assistance Partnership Program","Department of Agriculture / Risk Management Agency","L - DISSEMINATION OF TECHNICAL INFORMATION, M - TRAINING",9/12/2008 0:00,1/1/2004 0:00
"10.456","Partnership Agreements to Develop Non-Insurance Risk Management Tools for Producers (Farmers)","Department of Agriculture / Risk Management Agency","B - PROJECT GRANTS",8/30/2010 9:58,1/1/2004 0:00
"10.458","Crop Insurance Education in Targeted States","Department of Agriculture / Risk Management Agency","B - PROJECT GRANTS",10/8/2008 0:00,1/1/2004 0:00
"10.459","Commodity Partnerships for Small Agricultural Risk Management Education Sessions","Department of Agriculture / Risk Management Agency","B - PROJECT GRANTS",10/8/2008 0:00,1/1/2005 0:00
"10.475","Cooperative Agreements with States for Intrastate Meat and Poultry Inspection","Department of Agriculture / Food Safety and Inspection Service","B - PROJECT GRANTS",8/30/2010 9:58,1/1/1977 0:00
"10.477","Meat, Poultry, and Egg Products Inspection","Department of Agriculture / Food Safety and Inspection Service","J - PROVISION OF SPECIALIZED SERVICES",8/30/2010 10:00,1/1/1977 0:00
"10.479","Food Safety Cooperative Agreements","Department of Agriculture / Food Safety and Inspection Service","B - PROJECT GRANTS",8/30/2010 10:00,1/1/2006 0:00
"10.500","Cooperative Extension Service","Department of Agriculture / National Institute of Food and Agriculture","A - FORMULA GRANTS, B - PROJECT GRANTS",9/14/2010 14:40,1/1/1970 0:00
"10.574","Team Nutrition Grants","Department of Agriculture / Food and Nutrition Service","B - PROJECT GRANTS",8/23/2010 9:05,1/1/1997 0:00
"10.576","Senior Farmers Market Nutrition Program","Department of Agriculture / Food and Nutrition Service","B - PROJECT GRANTS",7/18/2010 22:51,1/1/2004 0:00
"10.580","Supplemental Nutrition Assistance Program, Outreach/Participation Program","Department of Agriculture / Food and Nutrition Service","B - PROJECT GRANTS",8/26/2010 7:59,1/1/2004 0:00
"10.600","Foreign Market Development Cooperator Program","Department of Agriculture / Foreign Agricultural Service","C - DIRECT PAYMENTS FOR A SPECIFIED USE",10/30/2008 0:00,1/1/1967 0:00
"10.601","Market Access Program","Department of Agriculture / Foreign Agricultural Service","C - DIRECT PAYMENTS FOR A SPECIFIED USE",9/15/2008 0:00,1/1/1987 0:00
"10.603","Emerging Markets Program","Department of Agriculture / Foreign Agricultural Service","C - DIRECT PAYMENTS FOR A SPECIFIED USE",10/30/2008 0:00,1/1/2002 0:00
"10.604","Technical Assistance for Specialty Crops Program","Department of Agriculture / Foreign Agricultural Service","C - DIRECT PAYMENTS FOR A SPECIFIED USE",9/15/2008 0:00,1/1/2004 0:00
"10.605","Quality Samples Program","Department of Agriculture / Foreign Agricultural Service","C - DIRECT PAYMENTS FOR A SPECIFIED USE",3/30/2011 13:55,1/1/2004 0:00
"10.608","Food for Education","Department of Agriculture / Foreign Agricultural Service","H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS",10/30/2008 0:00,1/1/2003 0:00
"10.609","Trade Adjustment Assistance","Department of Agriculture / Foreign Agricultural Service","D - DIRECT PAYMENTS WITH UNRESTRICTED USE",11/13/2008 0:00,1/1/2004 0:00
"10.610","Export Guarantee Program","Department of Agriculture / Foreign Agricultural Service","F - Guaranteed/Insured Loans",3/21/2011 13:29,11/26/2010 10:42
"10.652","Forestry Research","Department of Agriculture / Forest Service","B - PROJECT GRANTS",8/18/2010 13:37,1/1/1970 0:00
"10.664","Cooperative Forestry Assistance","Department of Agriculture / Forest Service","A - FORMULA GRANTS, B - PROJECT GRANTS",8/17/2010 15:57,1/1/1978 0:00
"10.665","Schools and Roads - Grants to States","Department of Agriculture / Forest Service","A - FORMULA GRANTS",8/26/2010 8:04,1/1/1980 0:00
"10.666","Schools and Roads - Grants to Counties","Department of Agriculture / Forest Service","A - Formula Grants",8/26/2010 8:06,10/7/2009 8:24
"10.672","Rural Development, Forestry, and Communities","Department of Agriculture / Forest Service","B - PROJECT GRANTS",8/6/2010 14:58,4/28/2000 0:00
"10.674","Forest Products Lab: Technology Marketing Unit  (TMU)","Department of Agriculture / Forest Service","B - PROJECT GRANTS",8/9/2010 8:26,1/1/2003 0:00
"10.675","Urban and Community Forestry Program","Department of Agriculture / Forest Service","B - PROJECT GRANTS",8/16/2010 11:03,1/1/2003 0:00
"10.676","Forest Legacy Program","Department of Agriculture / Forest Service","B - PROJECT GRANTS",8/25/2010 9:37,1/1/2003 0:00
"10.678","Forest Stewardship Program","Department of Agriculture / Forest Service","B - PROJECT GRANTS",8/18/2010 7:46,1/1/2003 0:00
"10.679","Collaborative Forest Restoration","Department of Agriculture / Forest Service","B - PROJECT GRANTS",9/17/2010 7:32,1/1/2005 0:00
"10.680","Forest Health Protection","Department of Agriculture / Forest Service","A - FORMULA GRANTS, B - PROJECT GRANTS",8/18/2010 7:47,1/1/2005 0:00
"10.681","Wood  Education and Resource  Center (WERC)","Department of Agriculture / Forest Service","B - Project Grants (Discretionary)",8/18/2010 10:19,1/1/2008 0:00
"10.682","National Forest Foundation","Department of Agriculture / Forest Service","C - Direct Payments for Specified Use",8/18/2010 7:47,10/1/2009 7:46
"10.683","National Fish and Wildlife Foundation","Department of Agriculture / Forest Service","C - Direct Payments for Specified Use",8/16/2010 11:13,10/1/2009 7:49
"10.684","International Forestry Programs","Department of Agriculture / Forest Service","B - PROJECT GRANTS",8/25/2010 9:37,1/1/2008 0:00
"10.687","Recovery Act of 2009: Capital Improvement and Maintenance","Department of Agriculture / Forest Service","B - Cooperative Agreements, B - Project Grants",8/18/2010 7:49,9/22/2009 13:02
"10.688","Recovery Act of 2009: Wildland Fire Management","Department of Agriculture / Forest Service","B - Cooperative Agreements, B - Project Grants",8/18/2010 10:08,9/22/2009 13:11
"10.689","Community Forest and Open Space Conservation Program (CFP)","Department of Agriculture / Forest Service","B - Project Grants (Discretionary)",8/16/2010 11:16,10/1/2009 7:49
"10.690","Lake Tahoe Erosion Control Grant Program","Department of Agriculture / Forest Service","B - Project Grants",8/16/2010 11:16,9/22/2009 13:18
"10.691","Good Neighbor Authority","Department of Agriculture / Forest Service","B - Cooperative Agreements (Discretionary Grants)",8/16/2010 11:17,10/1/2009 7:50
"10.693","Watershed Restoration and Enhancement Agreement Authority","Department of Agriculture / Forest Service","B - Cooperative Agreements",8/16/2010 11:18,12/20/2009 17:32
"10.694","Southwest Forest Health and Wildfire Prevention","Department of Agriculture / Forest Service","C - Direct Payments for Specified Use",5/21/2010 7:51,5/21/2010 7:51
"10.695","Eastern Nevada Landscape Restoration Project (ENLRP)","Department of Agriculture / Forest Service","B - Project Grants",6/15/2010 13:47,6/15/2010 13:47
"10.700","National Agricultural Library","Department of Agriculture / Agricultural Research Service","L - DISSEMINATION OF TECHNICAL INFORMATION",7/28/2010 7:41,1/1/1969 0:00
"10.761","Technical Assistance and Training Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS",9/8/2010 12:24,1/1/1993 0:00
"10.763","Emergency Community Water Assistance Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS",9/8/2010 12:25,1/1/1993 0:00
"10.769","Rural Business Enterprise Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS",11/26/2010 10:43,1/1/1993 0:00
"10.771","Rural Cooperative Development Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS",9/29/2010 7:45,1/1/1994 0:00
"10.777","Norman E. Borlaug International Agricultural Science and Technology Fellowship","Department of Agriculture / Foreign Agricultural Service","C - Direct Payments for Specified Use",9/7/2010 18:42,9/7/2010 18:42
"10.778","Research on the Economic Impact of Cooperatives","Department of Agriculture / Rural Business-Cooperative Service","C - DIRECT PAYMENTS FOR A SPECIFIED USE",11/5/2008 0:00,1/1/2006 0:00
"10.855","Distance Learning and Telemedicine Loans and Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS, E - DIRECT LOANS",11/28/2010 12:56,1/1/1992 0:00
"10.856","1890 Land Grant Institutions Rural Entrepreneurial Outreach Program","Department of Agriculture / Rural Development","C - DIRECT PAYMENTS FOR A SPECIFIED USE",9/16/2008 0:00,1/1/2004 0:00
"10.864","Grant Program to Establish a Fund for Financing Water and Wastewater Projects","Department of Agriculture / Rural Development","B - PROJECT GRANTS",9/8/2010 12:28,1/1/2005 0:00
"10.865","Biorefinery Assistance","Department of Agriculture / Rural Business-Cooperative Service","F - Guaranteed/Insured Loans",12/23/2009 9:02,12/23/2009 9:02
"10.886","Rural Broadband Access Loans and Loan Guarantees","Department of Agriculture / Rural Development","E - DIRECT LOANS, F - GUARANTEED/INSURED LOANS",11/28/2010 12:57,1/1/2005 0:00
"10.901","Resource Conservation and Development","Department of Agriculture / Natural Resources Conservation Service","K - ADVISORY SERVICES AND COUNSELING",11/28/2010 12:58,1/1/1970 0:00
"10.902","Soil and Water Conservation","Department of Agriculture / Natural Resources Conservation Service","K - ADVISORY SERVICES AND COUNSELING",8/27/2010 7:46,1/1/1970 0:00
"10.903","Soil Survey","Department of Agriculture / Natural Resources Conservation Service","L - DISSEMINATION OF TECHNICAL INFORMATION",8/30/2010 12:44,1/1/1969 0:00
"10.905","Plant Materials for Conservation","Department of Agriculture / Natural Resources Conservation Service","J - PROVISION OF SPECIALIZED SERVICES",8/30/2010 12:46,1/1/1971 0:00
"10.907","Snow Survey and Water Supply Forecasting","Department of Agriculture / Natural Resources Conservation Service","L - DISSEMINATION OF TECHNICAL INFORMATION",8/30/2010 12:46,1/1/1971 0:00
"10.912","Environmental Quality Incentives Program","Department of Agriculture / Natural Resources Conservation Service","C - DIRECT PAYMENTS FOR A SPECIFIED USE",8/30/2010 12:51,1/1/1997 0:00
"10.913","Farm and Ranch Lands Protection Program","Department of Agriculture / Natural Resources Conservation Service","C - DIRECT PAYMENTS FOR A SPECIFIED USE",8/30/2010 12:51,1/1/1997 0:00
"10.914","Wildlife Habitat Incentive Program","Department of Agriculture / Natural Resources Conservation Service","C - DIRECT PAYMENTS FOR A SPECIFIED USE",8/30/2010 12:52,1/1/1997 0:00
"10.916","Watershed Rehabilitation Program","Department of Agriculture / Natural Resources Conservation Service","K - ADVISORY SERVICES AND COUNSELING",9/1/2010 9:30,1/1/2003 0:00
"10.920","Grassland Reserve Program","Department of Agriculture / Natural Resources Conservation Service","C - DIRECT PAYMENTS FOR A SPECIFIED USE",9/1/2010 9:31,1/1/2004 0:00
"10.921","Conservation Security Program","Department of Agriculture / Natural Resources Conservation Service","C - DIRECT PAYMENTS FOR A SPECIFIED USE",9/1/2010 9:31,1/1/2004 0:00
"10.922","Healthy Forests Reserve Program (HFRP)","Department of Agriculture / Natural Resources Conservation Service","C - DIRECT PAYMENTS FOR A SPECIFIED USE",9/9/2010 8:38,1/1/2007 0:00
"10.950","Agricultural Statistics Reports","Department of Agriculture / National Agricultural Statistics Service","L - DISSEMINATION OF TECHNICAL INFORMATION",9/17/2008 0:00,1/1/1969 0:00
"10.960","Technical Agricultural Assistance","Department of Agriculture / Foreign Agricultural Service","B - PROJECT GRANTS",9/17/2008 0:00,1/1/1986 0:00
"10.961","Scientific Cooperation and Research","Department of Agriculture / Foreign Agricultural Service","B - PROJECT GRANTS, C - DIRECT PAYMENTS FOR A SPECIFIED USE, M - Training",9/17/2010 7:37,1/1/1986 0:00
"10.962","Cochran Fellowship Program-International Training-Foreign Participant","Department of Agriculture / Foreign Agricultural Service","C - Direct Payments for Specified Use (Cooperative Agreements)",8/23/2010 9:08,1/1/1986 0:00
"10.999","Long Term Standing Agreements For Storage, Transportation And Lease","Department of Agriculture / Farm Service Agency","C - DIRECT PAYMENTS FOR A SPECIFIED USE",10/14/2008 0:00,1/1/2008 0:00
"11.419","Coastal Zone Management Administration Awards","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","A - FORMULA GRANTS, B - PROJECT GRANTS",7/14/2009 11:00,1/1/1974 0:00
"11.433","Marine Fisheries Initiative","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 9:31,1/1/1990 0:00
"11.460","Special Oceanic and Atmospheric Projects","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - Cooperative Agreements",6/30/2009 9:42,1/1/1992 0:00
"12.110","Planning Assistance to States","Department of Defense / Department of the Army, Office of the Chief of Engineers","J - PROVISION OF SPECIALIZED SERVICES",3/20/2011 5:00,1/1/1975 0:00
"15.034","Agriculture on Indian Lands","Department of the Interior / Bureau of Indian Affairs","C - DIRECT PAYMENTS FOR A SPECIFIED USE, J - PROVISION OF SPECIALIZED SERVICES, K - ADVISORY SERVICES AND COUNSELING",9/23/2010 7:52,1/1/1997 0:00
"15.035","Forestry on Indian Lands","Department of the Interior / Bureau of Indian Affairs","C - DIRECT PAYMENTS FOR A SPECIFIED USE, J - PROVISION OF SPECIALIZED SERVICES, K - ADVISORY SERVICES AND COUNSELING",9/27/2010 8:55,1/1/1997 0:00
"15.233","Forests and Woodlands Resource Management","Department of the Interior / Bureau of Land Management","B - Cooperative Agreements (Discretionary Grants), K - ADVISORY SERVICES AND COUNSELING, M - TRAINING",9/17/2010 8:00,1/1/2008 0:00
"15.234","Secure Rural Schools and Community Self-Determination","Department of the Interior / Bureau of Land Management","B - Cooperative Agreements",9/19/2010 20:08,1/1/2008 0:00
"15.236","Environmental Quality and Protection Resource Management","Department of the Interior / Bureau of Land Management","B - Cooperative Agreements (Discretionary Grants), K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION, M - TRAINING",9/19/2010 20:09,1/1/2008 0:00
"15.237","Rangeland Resource Management","Department of the Interior / Bureau of Land Management","B - Cooperative Agreements, K - ADVISORY SERVICES AND COUNSELING, M - TRAINING",9/19/2010 20:10,1/1/2008 0:00
"15.238","Challenge Cost Share","Department of the Interior / Bureau of Land Management","B - Cooperative Agreements, I - USE OF PROPERTY, FACILITIES, OR EQUIPMENT, K - ADVISORY SERVICES AND COUNSELING, M - TRAINING",9/19/2010 20:10,1/1/2008 0:00
"15.518","Garrison Diversion Unit","Department of the Interior / Bureau of Reclamation","B - Project Grants (Cooperative Agreements or Contracts)",4/16/2011 5:00,1/1/2007 0:00
"15.520","Lewis and Clark Rural Water System","Department of the Interior / Bureau of Reclamation","B - Cooperative Agreements",4/16/2011 5:00,1/1/2007 0:00
"15.533","California Water Security and Environmental Enhancement","Department of the Interior / Bureau of Reclamation","B - Cooperative Agreements",4/16/2011 5:00,1/1/2007 0:00
"15.535","Upper Colorado River Basin Fish and Wildlife Mitigation Program.","Department of the Interior","B - Cooperative Agreements (Discretionary Grants)",4/16/2011 5:00,5/26/2009 15:39
"15.649","Service Training and Technical Assistance (Generic Training)","Department of the Interior / Fish and Wildlife Service","B - PROJECT GRANTS",8/19/2010 7:48,1/1/2007 0:00
"15.666","Endangered Species Conservation-Wolf Livestock Loss Compensation and Prevention","Department of the Interior / Fish and Wildlife Service","B - Project Grants",12/1/2010 10:44,12/1/2010 10:44
"15.921","Rivers, Trails and Conservation Assistance","Department of the Interior / National Park Service","K - ADVISORY SERVICES AND COUNSELING",11/10/2008 0:00,1/1/1994 0:00
"15.930","Chesapeake Bay Gateways Network","Department of the Interior / National Park Service","B - PROJECT GRANTS",11/5/2008 0:00,1/1/2007 0:00
"19.016","Iraq Assistance Programs","U.S. Department of State / Bureau of Near Eastern Affairs","B - Cooperative Agreements",7/22/2009 12:02,7/22/2009 12:02
"19.124","U.S. Department of State","U.S. Department of State / Bureau of East Asian and  Pacific Affairs","B - Cooperative Agreements, B - Cooperative Agreements (Discretionary Grants), B - Project Grants, B - Project Grants (for specified projects)",12/7/2010 10:06,12/7/2010 10:06
"78.004","Commodity Futures Reparations Claims","Commodity Futures Trading Commission","N - INVESTIGATION OF COMPLAINTS",9/17/2008 0:00,1/1/1977 0:00
"85.003","MCC Domestic Assistance for Overseas Programs","Millennium Challenge Corporation","B - Project Grants (Contracts), C - Direct Payments for Specified Use",6/18/2010 7:36,6/18/2010 7:36
"85.105","Agriscience Awards","Christopher Columbus Fellowship Foundation","C - Direct Payments for Specified Use, D - Direct Payments with Unrestricted Use",12/10/2010 7:56,2/19/2010 7:51
