"#","Program Title","Agency/Office","Types of Assistance","Date Modified","Date Published"
"16.200","Community Relations Service","Department of Justice / Community Relations Service","J - PROVISION OF SPECIALIZED SERVICES",9/17/2008 0:00,1/1/1967 0:00
"16.305","Law Enforcement Assistance_Uniform Crime Reports","Department of Justice / Federal Bureau of Investigation","L - DISSEMINATION OF TECHNICAL INFORMATION",6/30/2009 10:25,1/1/1969 0:00
"16.603","Corrections_Technical Assistance/Clearinghouse","Department of Justice / Bureau of Prisons","B - PROJECT GRANTS, J - PROVISION OF SPECIALIZED SERVICES, L - DISSEMINATION OF TECHNICAL INFORMATION",11/6/2008 0:00,1/1/1976 0:00
"16.750","Support for Adam Walsh Act Implementation Grant Program","Department of Justice","B - PROJECT GRANTS",6/30/2010 13:50,1/1/2008 0:00
"17.002","Labor Force Statistics","Department of Labor / Bureau of Labor Statistics","B - PROJECT GRANTS, L - DISSEMINATION OF TECHNICAL INFORMATION",11/17/2010 10:53,1/1/1969 0:00
"17.003","Prices and Cost of Living Data","Department of Labor / Bureau of Labor Statistics","L - DISSEMINATION OF TECHNICAL INFORMATION",8/23/2010 9:35,1/1/1969 0:00
"17.004","Productivity and Technology Data","Department of Labor / Bureau of Labor Statistics","L - DISSEMINATION OF TECHNICAL INFORMATION",8/23/2010 9:35,1/1/1969 0:00
"17.005","Compensation and Working Conditions","Department of Labor / Bureau of Labor Statistics","B - PROJECT GRANTS, L - DISSEMINATION OF TECHNICAL INFORMATION",8/23/2010 9:37,1/1/1969 0:00
"19.016","Iraq Assistance Programs","U.S. Department of State / Bureau of Near Eastern Affairs","B - Cooperative Agreements",7/22/2009 12:02,7/22/2009 12:02
"20.600","State and Community Highway Safety","Department of Transportation / National Highway Traffic Safety Administration (NHTSA)","A - FORMULA GRANTS",6/7/2010 8:17,1/1/1971 0:00
"21.004","Exchange of Federal Tax Information With State Tax Agencies","Department of the Treasury / Internal Revenue Service (IRS)","J - PROVISION OF SPECIALIZED SERVICES",9/27/2010 9:02,1/1/1972 0:00
"29.001","Clearinghouse Services, Civil Rights Discrimination Complaints","U.S. Commission on Civil Rights","L - DISSEMINATION OF TECHNICAL INFORMATION",9/23/2008 0:00,1/1/1967 0:00
"40.001","Depository Libraries for Government Publications","Government Printing Office","L - DISSEMINATION OF TECHNICAL INFORMATION",9/18/2008 0:00,1/1/1969 0:00
"40.002","Government Publications Sales and Distribution","Government Printing Office","H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS, L - DISSEMINATION OF TECHNICAL INFORMATION",9/18/2008 0:00,1/1/1969 0:00
"42.001","Books for the Blind and Physically Handicapped","Library of Congress","I - USE OF PROPERTY, FACILITIES, OR EQUIPMENT",9/23/2008 0:00,1/1/1965 0:00
"42.002","Copyright Service","Library of Congress","L - DISSEMINATION OF TECHNICAL INFORMATION",9/23/2008 0:00,1/1/1969 0:00
"43.001","Science","National Aeronautics and Space Administration","B - Cooperative Agreements, B - Cooperative Agreements (Discretionary Grants), B - Project Grants, B - Project Grants (Capacity Building and Complaint Processing, Training), B - Project Grants (Cooperative Agreements), B - Project Grants (Discretionary), B - Project Grants (Fellowships), B - Project Grants (for collaborative design of curriculum, production of, B - Project Grants (for specified projects), B - Project Grants (including individual awards), B - Project Grants (including travel grants), C - Direct Payments for Specified Use, C - Direct Payments for Specified Use (Cooperative Agreements), I - Use of Property, Facilities, and Equipment, M - Training",11/1/2010 7:36,1/1/1969 0:00
"43.002","Aeronautics","National Aeronautics and Space Administration","L - DISSEMINATION OF TECHNICAL INFORMATION",11/1/2010 7:36,1/1/1967 0:00
"43.011","Office of Inspector General","National Aeronautics and Space Administration","B - Cooperative Agreements, B - Cooperative Agreements (Discretionary Grants), B - Project Grants, B - Project Grants (Capacity Building and Complaint Processing, Training), B - Project Grants (Contracts), B - Project Grants (Cooperative Agreements or Contracts), B - Project Grants (Cooperative Agreements), B - Project Grants (Discretionary), B - Project Grants (Fellowships), B - Project Grants (for collaborative design of curriculum, production of, B - Project Grants (for specified projects), B - Project Grants (including individual awards), B - Project Grants (including travel grants), B - Project Grants (Special), C - Direct Payments for Specified Use, C - Direct Payments for Specified Use (Cooperative Agreements), I - Use of Property, Facilities, and Equipment, J - Provision of Specialized Services, K - Advisory Services and Counseling, K - Advisory Services on Compliance, L - Dissemination of Technical Information, L - Information, N - Investigation of Complaints, N - Investigation of Complaints (Compliance Reviews), N - Resolution of Disputes",11/1/2010 7:36,11/1/2010 7:36
"45.310","Grants to States","Institute of Museum and Library Services","A - FORMULA GRANTS",11/7/2008 0:00,1/1/1998 0:00
"45.312","National Leadership Grants","Institute of Museum and Library Services","B - PROJECT GRANTS",11/14/2008 0:00,1/1/1998 0:00
"78.004","Commodity Futures Reparations Claims","Commodity Futures Trading Commission","N - INVESTIGATION OF COMPLAINTS",9/17/2008 0:00,1/1/1977 0:00
"81.036","Inventions and Innovations","Department of Energy","B - PROJECT GRANTS, K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION",9/27/2010 9:04,1/1/1978 0:00
"88.001","Architectural and Transportation Barriers Compliance Board","Architectural and Transportation Barriers Compliance Board","L - DISSEMINATION OF TECHNICAL INFORMATION",9/17/2008 0:00,1/1/1984 0:00
"89.001","National Archives Reference Services_Historical Research","National Archives and Records Administration","I - USE OF PROPERTY, FACILITIES, OR EQUIPMENT, K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION",8/13/2010 7:52,1/1/1985 0:00
"89.003","National Historical Publications and Records Grants","National Archives and Records Administration","B - PROJECT GRANTS",8/13/2010 7:52,1/1/1985 0:00
"89.005","Cooperative Agreements to Support the Programs of the National Archives and Records Administration (NARA)","National Archives and Records Administration","C - DIRECT PAYMENTS FOR A SPECIFIED USE",8/13/2010 7:53,1/1/2006 0:00
"91.001","Annual Grant Competition","United States Institute of Peace","B - PROJECT GRANTS",9/29/2010 7:56,1/1/1990 0:00
"91.002","Priority Grant Competition","United States Institute of Peace","B - PROJECT GRANTS",9/29/2010 7:56,1/1/1990 0:00
"91.003","91.003 Annual Senior Fellowship Competition","United States Institute of Peace","B - Project Grants (Cooperative Agreements or Contracts)",6/27/2010 8:22,6/27/2010 8:22
"93.289","President's Council on Fitness, Sports, and Nutrition","Department of Health and Human Services / President's Council on Physical Fitness and Sports","K - ADVISORY SERVICES AND COUNSELING",10/26/2010 10:16,1/1/1990 0:00
"93.600","Head Start","Department of Health and Human Services / Administration for Children and Families","B - PROJECT GRANTS",7/12/2010 8:36,1/1/1990 0:00
