"#","Program Title","Agency/Office","Types of Assistance","Date Modified","Date Published"
"15.227","Distribution of Receipts to State and Local Governments","Department of the Interior / Bureau of Land Management","C - DIRECT PAYMENTS FOR A SPECIFIED USE, D - DIRECT PAYMENTS WITH UNRESTRICTED USE",9/17/2010 8:00,1/1/2001 0:00
"15.234","Secure Rural Schools and Community Self-Determination","Department of the Interior / Bureau of Land Management","B - Cooperative Agreements",9/19/2010 20:08,1/1/2008 0:00
"15.622","Sportfishing and Boating Safety Act","Department of the Interior / Fish and Wildlife Service","B - PROJECT GRANTS",8/19/2010 7:42,1/1/1999 0:00
"15.942","Environmental Education and Conservation - North Cascades Bioregion","Department of the Interior / National Park Service","C - Direct Payments for Specified Use (Cooperative Agreements), J - Provision of Specialized Services",12/2/2010 7:59,12/2/2010 7:59
"19.016","Iraq Assistance Programs","U.S. Department of State / Bureau of Near Eastern Affairs","B - Cooperative Agreements",7/22/2009 12:02,7/22/2009 12:02
"19.021","Investing in People in The Middle East and North Africa","U.S. Department of State / Bureau of Near Eastern Affairs","B - Cooperative Agreements",7/9/2010 7:56,7/9/2010 7:56
"19.878","EUR-Other","U.S. Department of State","B - Project Grants",1/28/2011 7:16,1/28/2011 7:16
"20.223","Transportation Infrastructure Finance and Innovation Act (TIFIA) Program","Department of Transportation / Federal Highway Administration (FHWA)","E - DIRECT LOANS, F - GUARANTEED/INSURED LOANS",7/28/2010 7:50,1/1/2007 0:00
"23.001","Appalachian Regional Development (See individual Appalachian Programs)","Appalachian Regional Commission","B - PROJECT GRANTS",9/24/2010 8:17,1/1/1969 0:00
"23.003","Appalachian Development Highway System","Appalachian Regional Commission","B - PROJECT GRANTS",9/23/2010 7:53,1/1/1970 0:00
"23.009","Appalachian Local Development District Assistance","Appalachian Regional Commission","B - PROJECT GRANTS",9/24/2010 8:17,1/1/1970 0:00
"23.011","Appalachian Research, Technical Assistance, and Demonstration Projects","Appalachian Regional Commission","B - PROJECT GRANTS",9/23/2010 7:54,1/1/1970 0:00
"43.002","Aeronautics","National Aeronautics and Space Administration","L - DISSEMINATION OF TECHNICAL INFORMATION",11/1/2010 7:36,1/1/1967 0:00
"59.041","504 Certified Development Loans","Small Business Administration","F - GUARANTEED/INSURED LOANS",6/17/2009 12:48,1/1/1986 0:00
"85.001","Harry S Truman Scholarship Program","Harry S Truman Scholarship Foundation","C - DIRECT PAYMENTS FOR A SPECIFIED USE",11/7/2008 0:00,1/1/1980 0:00
"88.001","Architectural and Transportation Barriers Compliance Board","Architectural and Transportation Barriers Compliance Board","L - DISSEMINATION OF TECHNICAL INFORMATION",9/17/2008 0:00,1/1/1984 0:00
"91.003","91.003 Annual Senior Fellowship Competition","United States Institute of Peace","B - Project Grants (Cooperative Agreements or Contracts)",6/27/2010 8:22,6/27/2010 8:22
"93.239","Policy Research and Evaluation Grants","Department of Health and Human Services / Office of the Secretary","B - PROJECT GRANTS",9/12/2008 0:00,1/1/1998 0:00
"93.528","National Forum for State and Territorial Chief Executives","Department of Health and Human Services / Health Resources and Services Administration","B - Cooperative Agreements",1/19/2011 11:15,1/19/2011 11:15
"93.568","Low-Income Home Energy Assistance","Department of Health and Human Services / Administration for Children and Families","A - FORMULA GRANTS",7/12/2010 8:35,1/1/1992 0:00
"93.727","ARRA - Health Information Technology - Beacon Communities","Department of Health and Human Services / Office of the Secretary","B - Cooperative Agreements",7/8/2010 9:13,12/1/2009 14:49
"94.006","AmeriCorps","Corporation for National and Community Service","B - PROJECT GRANTS",12/20/2009 17:32,1/1/1995 0:00
"94.019","Social Innovation Fund","Corporation for National and Community Service","B - Cooperative Agreements",8/23/2010 10:32,1/28/2010 7:44
"97.109","Disaster Housing Assistance Grant","Department of Homeland Security","B - PROJECT GRANTS",6/15/2010 14:03,1/1/2007 0:00
"97.117","TSA Airport Checked Baggage Inspection System Program  (ARRA)","Department of Homeland Security","B - Project Grants",6/30/2010 19:18,5/1/2009 16:59
