"#","Program Title","Agency/Office","Types of Assistance","Date Modified","Date Published"
"10.781","Water and Waste Disposal Systems for Rural Communities - ARRA","Department of Agriculture / Rural Development","B - Project Grants, E - Direct Loans",9/7/2010 18:59,9/30/2009 13:32
"10.901","Resource Conservation and Development","Department of Agriculture / Natural Resources Conservation Service","K - ADVISORY SERVICES AND COUNSELING",11/28/2010 12:58,1/1/1970 0:00
"11.008","NOAA Mission-Related Education Awards","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - Cooperative Agreements",6/30/2009 9:24,6/30/2009 9:24
"11.419","Coastal Zone Management Administration Awards","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","A - FORMULA GRANTS, B - PROJECT GRANTS",7/14/2009 11:00,1/1/1974 0:00
"11.426","Financial Assistance for National Centers for Coastal Ocean Science","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/4/2009 8:33,1/1/1980 0:00
"11.429","Marine Sanctuary Program","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/18/2009 11:57,1/1/1985 0:00
"11.432","National Oceanic and Atmospheric Administration (NOAA) Cooperative Institutes","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - Cooperative Agreements",8/11/2010 7:54,1/1/1990 0:00
"11.460","Special Oceanic and Atmospheric Projects","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - Cooperative Agreements",6/30/2009 9:42,1/1/1992 0:00
"11.473","Coastal Services Center","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 10:17,1/1/1995 0:00
"11.482","Coral Reef Conservation Program","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - Cooperative Agreements",7/2/2010 7:25,7/2/2010 7:25
"12.100","Aquatic Plant Control","Department of Defense / Department of the Army, Office of the Chief of Engineers","J - PROVISION OF SPECIALIZED SERVICES, L - DISSEMINATION OF TECHNICAL INFORMATION",9/19/2008 0:00,1/1/1967 0:00
"12.101","Beach Erosion Control Projects","Department of Defense / Department of the Army, Office of the Chief of Engineers","J - PROVISION OF SPECIALIZED SERVICES",3/20/2011 5:00,1/1/1967 0:00
"12.118","North Dakota Environmental Infrastructure (Section 594) - ARRA","Department of Defense / Department of the Army, Office of the Chief of Engineers","B - Project Grants (Cooperative Agreements)",1/21/2011 7:47,1/29/2010 8:02
"14.218","Community Development Block Grants/Entitlement Grants","Department of Housing and Urban Development / Office of Community Planning and Development","A - Formula Grants",7/16/2010 8:01,1/1/1975 0:00
"14.318","Assisted Housing Stability and Energy and Green Retrofit Investments Program (Recovery Act Funded)","Department of Housing and Urban Development / Office of Housing-Federal Housing Commissioner","B - Project Grants (Special)",9/29/2010 7:47,5/13/2009 9:17
"14.523","Transformation Initiative Research Grants: Sustainable Community Research Grant Program","Department of Housing and Urban Development / Office of Policy Development and Research","B - Project Grants",9/19/2010 20:05,7/12/2010 6:56
"15.041","Environmental Management_Indian Programs","Department of the Interior / Bureau of Indian Affairs","C - DIRECT PAYMENTS FOR A SPECIFIED USE",12/1/2010 10:29,1/1/1997 0:00
"15.230","Invasive and Noxious Plant Management","Department of the Interior / Bureau of Land Management","B - PROJECT GRANTS, K - ADVISORY SERVICES AND COUNSELING, M - TRAINING",9/24/2010 8:17,1/1/2008 0:00
"15.235","Southern Nevada Public Land Management","Department of the Interior / Bureau of Land Management","B - PROJECT GRANTS",9/29/2010 7:47,1/1/2008 0:00
"15.236","Environmental Quality and Protection Resource Management","Department of the Interior / Bureau of Land Management","B - Cooperative Agreements (Discretionary Grants), K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION, M - TRAINING",9/19/2010 20:09,1/1/2008 0:00
"15.252","Abandoned Mine Land Reclamation (AMLR) Program","Department of the Interior / Office of Surface Mining","A - FORMULA GRANTS, B - PROJECT GRANTS",6/1/2010 11:29,1/1/1979 0:00
"15.253","Not-for-Profit AMD Reclamation","Department of the Interior / Office of Surface Mining","B - Cooperative Agreements",6/1/2010 11:30,1/1/1999 0:00
"15.254","Summer Watershed Intern","Department of the Interior / Office of Surface Mining","C - DIRECT PAYMENTS FOR A SPECIFIED USE",6/1/2010 11:30,1/1/2002 0:00
"15.428","Marine Gas Hydrate Research Activities","Department of the Interior / The Bureau of Ocean Energy Management, Regulation, and Enforcement","B - PROJECT GRANTS",9/30/2010 15:41,1/1/2008 0:00
"15.506","Water Desalination Research and Development Program","Department of the Interior / Bureau of Reclamation","B - Cooperative Agreements",4/15/2011 5:00,1/1/1999 0:00
"15.522","Mni Wiconi Rural Water Supply Project","Department of the Interior / Bureau of Reclamation","B - Project Grants (Cooperative Agreements or Contracts)",4/16/2011 5:00,1/1/2007 0:00
"15.525","Rocky Boy's/North Central Montana Regional Water System","Department of the Interior / Bureau of Reclamation","B - Project Grants (Cooperative Agreements or Contracts)",4/16/2011 5:00,1/1/2008 0:00
"15.531","Yakima River Basin Water Enhancement Project (YRBWEP)","Department of the Interior / Bureau of Reclamation","B - Cooperative Agreements",4/16/2011 5:00,1/1/2007 0:00
"15.630","Coastal Program","Department of the Interior / Fish and Wildlife Service","C - Direct Payments for Specified Use",8/19/2010 7:43,1/1/2002 0:00
"15.649","Service Training and Technical Assistance (Generic Training)","Department of the Interior / Fish and Wildlife Service","B - PROJECT GRANTS",8/19/2010 7:48,1/1/2007 0:00
"19.017","Environmental and Scientific Partnerships and Programs","U.S. Department of State / Bureau of Oceans and International Environmental and Scientific Affairs","B - Cooperative Agreements, B - Project Grants",10/14/2009 10:32,10/14/2009 10:32
"19.087","International Fisheries Commissions","U.S. Department of State / Bureau of Oceans and International Environmental and Scientific Affairs","A - Formula Grants (Apportionments)",2/14/2011 7:22,2/14/2011 7:22
"19.124","U.S. Department of State","U.S. Department of State / Bureau of East Asian and  Pacific Affairs","B - Cooperative Agreements, B - Cooperative Agreements (Discretionary Grants), B - Project Grants, B - Project Grants (for specified projects)",12/7/2010 10:06,12/7/2010 10:06
"43.002","Aeronautics","National Aeronautics and Space Administration","L - DISSEMINATION OF TECHNICAL INFORMATION",11/1/2010 7:36,1/1/1967 0:00
"43.010","Construction & Environmental Compliance & Remediation","National Aeronautics and Space Administration","B - Cooperative Agreements, B - Cooperative Agreements (Discretionary Grants), B - Project Grants, B - Project Grants (Contracts), B - Project Grants (Cooperative Agreements or Contracts), B - Project Grants (Cooperative Agreements), B - Project Grants (Discretionary), B - Project Grants (Fellowships), B - Project Grants (for collaborative design of curriculum, production of, B - Project Grants (for specified projects), B - Project Grants (including individual awards), B - Project Grants (including travel grants)",11/1/2010 7:35,11/1/2010 7:35
"66.001","Air Pollution Control Program Support","Environmental Protection Agency / Office of Air and Radiation","B - PROJECT GRANTS",5/25/2010 13:12,1/1/1971 0:00
"66.032","State Indoor Radon Grants","Environmental Protection Agency / Office of Air and Radiation","B - PROJECT GRANTS",5/24/2010 7:03,1/1/1989 0:00
"66.033","Ozone Transport Commission","Environmental Protection Agency / Office of Air and Radiation","B - PROJECT GRANTS",5/25/2010 12:58,1/1/1997 0:00
"66.034","Surveys, Studies, Research, Investigations, Demonstrations, and Special Purpose Activities Relating to the Clean Air Act","Environmental Protection Agency / Office of Air and Radiation","B - PROJECT GRANTS",5/25/2010 12:49,1/1/2002 0:00
"66.035","Community Action for a Renewed Environment (CARE) Program","Environmental Protection Agency / Office of Solid Waste and Emergency Response","B - PROJECT GRANTS",4/27/2010 7:34,1/1/2005 0:00
"66.036","Clean School Bus USA","Environmental Protection Agency / Office of Air and Radiation","B - PROJECT GRANTS",5/24/2010 7:04,1/1/2005 0:00
"66.037","Internships, Training and Workshops for the Office of Air and Radiation","Environmental Protection Agency / Office of Air and Radiation","B - PROJECT GRANTS",5/25/2010 13:10,1/1/2006 0:00
"66.038","Training, Investigations, and Special Purpose Activities of Federally-Recognized Indian Tribes Consistent With the Clean Air Act (CAA), Tribal Sovereignty and the Protection and Management of Air Quality","Environmental Protection Agency / Office of Air and Radiation","B - PROJECT GRANTS",5/24/2010 7:04,10/8/2008 0:00
"66.039","National Clean Diesel Emissions Reduction Program","Environmental Protection Agency / Office of Air and Radiation","B - PROJECT GRANTS",10/22/2010 11:30,1/1/2008 0:00
"66.040","State Clean Diesel Grant Program","Environmental Protection Agency / Office of Air and Radiation","A - Formula Grants",6/2/2010 7:51,1/1/2008 0:00
"66.041","Climate Showcase Communities Grant Program","Environmental Protection Agency / Office of Air and Radiation","B - Project Grants",5/24/2010 7:15,5/28/2009 10:52
"66.042","Temporally Integrated Monitoring of Ecosystems (TIME) and Long-Term Monitoring (LTM) Program","Environmental Protection Agency / Office of Air and Radiation","B - Project Grants",3/15/2010 8:46,3/15/2010 8:46
"66.050","Potomac Highlands Implementation Grants","Environmental Protection Agency","B - Project Grants",6/8/2010 12:35,6/8/2010 12:35
"66.110","Healthy Communities Grant Program","Environmental Protection Agency / Region 1","B - PROJECT GRANTS",10/15/2009 14:52,1/1/2005 0:00
"66.111","Regional Environmental Priority Projects","Environmental Protection Agency / Region 7","B - Cooperative Agreements",6/2/2010 7:52,1/1/2005 0:00
"66.113","Region 3 Environmental Priority Projects","Environmental Protection Agency / Region 3","B - PROJECT GRANTS",6/7/2010 8:12,1/1/2006 0:00
"66.117","Region 9 Multi-Media and Geographic Priority Projects","Environmental Protection Agency / Region 9","B - Cooperative Agreements",10/15/2009 14:52,1/1/2007 0:00
"66.119","West Coast Estuaries Initiative","Environmental Protection Agency / Region 10","B - Cooperative Agreements",4/27/2010 7:34,1/1/2008 0:00
"66.120","Puget Sound Watershed Management Assistance","Environmental Protection Agency / Region 10","B - Cooperative Agreements",4/27/2010 7:35,10/22/2009 7:46
"66.202","Congressionally Mandated Projects","Environmental Protection Agency / Office of the Chief Financial Officer","B - Cooperative Agreements",4/27/2010 7:36,1/1/2006 0:00
"66.203","Environmental Finance Center Grants","Environmental Protection Agency / Office of the Chief Financial Officer","B - Cooperative Agreements",5/25/2010 13:11,1/1/2008 0:00
"66.305","Compliance Assistance Support for Services to the Regulated Community and Other Assistance Providers","Environmental Protection Agency / Office of Enforcement and Compliance Assurance","B - PROJECT GRANTS",4/27/2010 7:36,1/1/2002 0:00
"66.309","Surveys, Studies, Investigations and Special Purpose Activities Relating to Environmental Justice","Environmental Protection Agency / Office of Enforcement and Compliance Assurance","B - Cooperative Agreements",4/27/2010 7:36,1/1/2005 0:00
"66.310","Capacity Building Grants and Cooperative Agreements for Compliance Assurance and Enforcement Activities in Indian Country and Other Tribal Areas","Environmental Protection Agency / Office of Enforcement and Compliance Assurance","B - PROJECT GRANTS",4/27/2010 7:36,1/1/2005 0:00
"66.312","State Environmental Justice Cooperative Agreement Program","Environmental Protection Agency / Office of Enforcement and Compliance Assurance","B - Cooperative Agreements",4/27/2010 7:37,1/1/2008 0:00
"66.313","International Compliance and Enforcement Projects","Environmental Protection Agency / Office of Enforcement and Compliance Assurance","B - Project Grants",11/8/2010 12:42,11/8/2010 12:42
"66.418","Construction Grants for Wastewater Treatment Works","Environmental Protection Agency / Office of Water","B - PROJECT GRANTS",4/27/2010 7:37,1/1/1974 0:00
"66.419","Water Pollution Control State, Interstate, and Tribal Program Support","Environmental Protection Agency / Office of Water","A - FORMULA GRANTS",4/27/2010 7:37,1/1/1974 0:00
"66.424","Surveys, Studies, Investigations, Demonstrations, and Training Grants - Section 1442 of the Safe Drinking Water Act","Environmental Protection Agency / Office of Water","B - PROJECT GRANTS",4/27/2010 7:37,1/1/2003 0:00
"66.432","State Public Water System Supervision","Environmental Protection Agency / Office of Water","A - FORMULA GRANTS",4/27/2010 7:38,1/1/1975 0:00
"66.433","State Underground Water Source Protection","Environmental Protection Agency / Office of Water","A - FORMULA GRANTS",4/27/2010 7:38,1/1/1975 0:00
"66.436","Surveys, Studies, Investigations, Demonstrations, and Training Grants and Cooperative Agreements - Section 104(b)(3) of the Clean Water Act","Environmental Protection Agency / Office of Water","B - PROJECT GRANTS",9/7/2010 19:09,1/1/2003 0:00
"66.437","Long Island Sound Program","Environmental Protection Agency / Office of Water","B - PROJECT GRANTS",4/27/2010 7:38,1/1/2004 0:00
"66.439","Targeted Watersheds Grants","Environmental Protection Agency / Office of Water","B - Cooperative Agreements",4/27/2010 7:38,1/1/2003 0:00
"66.454","Water Quality Management Planning","Environmental Protection Agency / Office of Water","A - FORMULA GRANTS",4/27/2010 7:39,1/1/1983 0:00
"66.456","National Estuary Program","Environmental Protection Agency / Office of Water","B - Cooperative Agreements",4/27/2010 7:39,1/1/1985 0:00
"66.458","Capitalization Grants for Clean Water State Revolving Funds","Environmental Protection Agency / Office of Water","A - FORMULA GRANTS",4/27/2010 7:39,1/1/1988 0:00
"66.460","Nonpoint Source Implementation Grants","Environmental Protection Agency / Office of Water","A - FORMULA GRANTS",4/27/2010 7:39,1/1/1990 0:00
"66.461","Regional Wetland Program Development Grants","Environmental Protection Agency / Office of Water","B - Cooperative Agreements",4/27/2010 7:40,1/1/1989 0:00
"66.463","Water Quality Cooperative Agreements","Environmental Protection Agency / Office of Water","B - PROJECT GRANTS",4/27/2010 7:40,1/1/1991 0:00
"66.466","Chesapeake Bay Program","Environmental Protection Agency / Office of Water","B - PROJECT GRANTS",4/27/2010 7:40,1/1/1994 0:00
"66.467","Wastewater Operator Training Grant Program","Environmental Protection Agency / Office of Water","B - PROJECT GRANTS",4/27/2010 7:40,1/1/1994 0:00
"66.468","Capitalization Grants for Drinking Water State Revolving Funds","Environmental Protection Agency / Office of Water","A - FORMULA GRANTS",4/27/2010 7:41,1/1/1997 0:00
"66.469","Great Lakes Program","Environmental Protection Agency / Office of Water","B - PROJECT GRANTS, I - USE OF PROPERTY, FACILITIES, OR EQUIPMENT, L - DISSEMINATION OF TECHNICAL INFORMATION",4/27/2010 7:41,1/1/1997 0:00
"66.471","State Grants to Reimburse Operators of Small Water Systems for Training and Certification Costs","Environmental Protection Agency / Office of Water","A - FORMULA GRANTS",6/8/2010 7:45,1/1/2001 0:00
"66.472","Beach Monitoring and Notification Program Implementation Grants","Environmental Protection Agency / Office of Water","A - FORMULA GRANTS",4/27/2010 7:41,1/1/2001 0:00
"66.473","Direct Implementation Tribal Cooperative Agreements","Environmental Protection Agency / Office of International and Tribal Affairs","B - PROJECT GRANTS",4/27/2010 7:41,1/1/2001 0:00
"66.474","Water Protection Grants to the States","Environmental Protection Agency / Office of Water","A - FORMULA GRANTS",4/27/2010 7:42,1/1/2002 0:00
"66.475","Gulf of Mexico Program","Environmental Protection Agency / Office of Water","B - Cooperative Agreements",4/27/2010 7:42,1/1/2002 0:00
"66.478","Water Security Training and Technical Assistance and Water Security Initiative Contamination Warning System Pilots","Environmental Protection Agency / Office of Water","B - Cooperative Agreements",4/27/2010 7:42,1/1/2003 0:00
"66.479","Wetland Program Grants -  State/Tribal Environmental Outcome Wetland Demonstration Program","Environmental Protection Agency / Office of Water","B - PROJECT GRANTS",4/29/2010 8:11,1/1/2005 0:00
"66.480","Assessment and Watershed Protection Program Grants","Environmental Protection Agency / Office of Water","B - PROJECT GRANTS",4/29/2010 8:12,1/1/2005 0:00
"66.481","Lake Champlain Basin Program","Environmental Protection Agency / Office of Water","B - PROJECT GRANTS",4/29/2010 8:12,1/1/2005 0:00
"66.508","Senior Environmental Employment Program","Environmental Protection Agency / Office of Administration and Resources Management","B - Cooperative Agreements",4/29/2010 9:46,1/1/1986 0:00
"66.509","Science To Achieve Results (STAR) Research Program","Environmental Protection Agency / Office of Research and Development","B - PROJECT GRANTS",9/7/2010 19:10,1/1/2002 0:00
"66.510","Surveys, Studies, Investigations and Special Purpose Grants within the Office of Research and Development","Environmental Protection Agency / Office of Research and Development","B - PROJECT GRANTS",4/29/2010 9:47,1/1/2003 0:00
"66.511","Office of Research and Development Consolidated Research/Training/Fellowships","Environmental Protection Agency / Office of Research and Development","B - PROJECT GRANTS",4/29/2010 9:48,1/1/2002 0:00
"66.512","Regional Environmental Monitoring and Assessment Program (REMAP) Research Projects","Environmental Protection Agency / Office of Research and Development","B - Project Grants",4/29/2010 9:48,1/1/2005 0:00
"66.513","Greater Research Opportunities (GRO) Fellowships For Undergraduate Environmental Study","Environmental Protection Agency / Office of Research and Development","B - PROJECT GRANTS",9/7/2010 19:10,1/1/2004 0:00
"66.514","Science To Achieve Results (STAR) Fellowship Program","Environmental Protection Agency / Office of Research and Development","B - PROJECT GRANTS",9/7/2010 19:11,1/1/2004 0:00
"66.516","P3 Award: National Student Design Competition for Sustainability","Environmental Protection Agency / Office of Research and Development","B - PROJECT GRANTS",9/7/2010 19:11,1/1/2004 0:00
"66.517","Regional Applied Research Efforts (RARE)","Environmental Protection Agency / Office of Research and Development","B - PROJECT GRANTS",4/29/2010 9:50,1/1/2007 0:00
"66.518","State Senior Environmental Employment Program","Environmental Protection Agency / Office of Administration and Resources Management","B - Cooperative Agreements",4/29/2010 9:51,1/1/2005 0:00
"66.600","Environmental Protection Consolidated Grants for the Insular Areas - Program Support","Environmental Protection Agency / Region 9","B - Cooperative Agreements",4/29/2010 9:51,1/1/1973 0:00
"66.604","Environmental Justice Small Grant Program","Environmental Protection Agency / Office of Enforcement and Compliance Assurance","B - PROJECT GRANTS",1/26/2011 8:19,1/1/1994 0:00
"66.605","Performance Partnership Grants","Environmental Protection Agency / Office of the Administrator","A - FORMULA GRANTS, B - PROJECT GRANTS",4/29/2010 9:51,1/1/1997 0:00
"66.608","Environmental Information Exchange Network Grant Program and Related Assistance","Environmental Protection Agency / Office of Environmental Information","B - PROJECT GRANTS",4/29/2010 9:52,1/1/1997 0:00
"66.609","Protection of Children and Older Adults (Elderly) from Environmental Health Risks","Environmental Protection Agency / Office of the Administrator","B - Cooperative Agreements",4/29/2010 9:52,1/1/2003 0:00
"66.610","Surveys, Studies, Investigations and Special Purpose Grants within the Office of the Administrator","Environmental Protection Agency / Office of the Administrator","B - PROJECT GRANTS",4/29/2010 9:53,1/1/2003 0:00
"66.611","Environmental Policy and Innovation Grants","Environmental Protection Agency / Office of the Administrator","B - PROJECT GRANTS",1/10/2011 10:06,1/1/2002 0:00
"66.700","Consolidated Pesticide Enforcement Cooperative Agreements","Environmental Protection Agency / Office of Enforcement and Compliance Assurance","B - Cooperative Agreements",4/29/2010 9:58,1/1/1977 0:00
"66.701","Toxic Substances Compliance Monitoring Cooperative Agreements","Environmental Protection Agency / Office of Enforcement and Compliance Assurance","B - Cooperative Agreements",4/29/2010 9:59,1/1/1984 0:00
"66.707","TSCA Title IV State Lead Grants Certification of Lead-Based Paint Professionals","Environmental Protection Agency / Office of Pollution Prevention and Toxics Substances","B - PROJECT GRANTS",4/29/2010 9:59,1/1/1994 0:00
"66.708","Pollution Prevention Grants Program","Environmental Protection Agency / Office of Pollution Prevention and Toxics Substances","B - PROJECT GRANTS",4/29/2010 9:59,1/1/1994 0:00
"66.709","Multi-Media Capacity Building Grants for States and Tribes","Environmental Protection Agency / Office of Enforcement and Compliance Assurance","B - Cooperative Agreements",4/29/2010 9:59,1/1/2001 0:00
"66.714","Pesticide Environmental Stewardship Regional Grants","Environmental Protection Agency / Office of Pollution Prevention and Toxics Substances","B - PROJECT GRANTS",4/29/2010 10:00,1/1/1999 0:00
"66.715","Lead Educational Outreach and Baseline Assessment of Tribal Children's Exposure and Risks Associated With Lead","Environmental Protection Agency / Office of Pollution Prevention and Toxics Substances","B - PROJECT GRANTS",4/29/2010 10:00,1/1/2001 0:00
"66.716","Research, Development, Monitoring, Public Education, Training, Demonstrations, and Studies","Environmental Protection Agency / Office of Pollution Prevention and Toxics Substances","B - PROJECT GRANTS",8/20/2010 7:48,1/1/2003 0:00
"66.717","Source Reduction Assistance","Environmental Protection Agency / Office of Pollution Prevention and Toxics Substances","B - PROJECT GRANTS",4/30/2010 7:34,1/1/2002 0:00
"66.801","Hazardous Waste Management State Program Support","Environmental Protection Agency / Office of Solid Waste and Emergency Response","A - Formula Grants (Cooperative Agreements)",4/30/2010 7:35,1/1/1983 0:00
"66.802","Superfund State, Political Subdivision, and Indian Tribe Site-Specific Cooperative Agreements","Environmental Protection Agency / Office of Solid Waste and Emergency Response","B - Cooperative Agreements",4/30/2010 7:35,1/1/1983 0:00
"66.804","Underground Storage Tank Prevention, Detection and Compliance Program","Environmental Protection Agency / Office of Solid Waste and Emergency Response","A - FORMULA GRANTS",4/30/2010 7:35,1/1/1985 0:00
"66.805","Leaking Underground Storage Tank Trust Fund Corrective Action Program","Environmental Protection Agency / Office of Solid Waste and Emergency Response","A - FORMULA GRANTS",4/30/2010 7:35,1/1/1987 0:00
"66.806","Superfund Technical Assistance Grants (TAG) for Community Groups at National Priority List (NPL) Sites","Environmental Protection Agency / Office of Solid Waste and Emergency Response","B - PROJECT GRANTS",4/30/2010 7:35,1/1/1988 0:00
"66.808","Solid Waste Management Assistance Grants","Environmental Protection Agency / Office of Solid Waste and Emergency Response","B - Cooperative Agreements",4/30/2010 7:36,1/1/1989 0:00
"66.809","Superfund State and Indian Tribe Core Program Cooperative Agreements","Environmental Protection Agency / Office of Solid Waste and Emergency Response","B - Cooperative Agreements",4/30/2010 7:36,1/1/1991 0:00
"66.810","Chemical Emergency Preparedness and Prevention (CEPP) Technical Assistance Grants Program","Environmental Protection Agency / Office of Solid Waste and Emergency Response","B - Cooperative Agreements",4/30/2010 7:36,1/1/1993 0:00
"66.812","Hazardous Waste Management Grant Program for Tribes","Environmental Protection Agency / Office of Solid Waste and Emergency Response","B - Cooperative Agreements",4/30/2010 7:36,1/1/2002 0:00
"66.813","Alternative or Innovative Treatment Technology Research, Demonstration, Training, and Hazardous Substance Research Grants","Environmental Protection Agency / Office of Solid Waste and Emergency Response","B - PROJECT GRANTS",4/30/2010 7:36,1/1/2002 0:00
"66.814","Brownfields Training, Research, and Technical Assistance Grants and Cooperative Agreements","Environmental Protection Agency / Office of Solid Waste and Emergency Response","B - Cooperative Agreements",4/30/2010 7:37,1/1/2003 0:00
"66.815","Brownfield Job Training Cooperative Agreements","Environmental Protection Agency / Office of Solid Waste and Emergency Response","B - Cooperative Agreements",4/30/2010 7:37,1/1/2003 0:00
"66.816","Headquarters and Regional Underground Storage Tanks Program","Environmental Protection Agency / Office of Solid Waste and Emergency Response","B - PROJECT GRANTS",4/30/2010 8:04,1/1/2002 0:00
"66.817","State and Tribal Response Program Grants","Environmental Protection Agency / Office of Solid Waste and Emergency Response","A - FORMULA GRANTS",4/30/2010 8:04,1/1/2002 0:00
"66.818","Brownfields Assessment and Cleanup Cooperative Agreements","Environmental Protection Agency / Office of Solid Waste and Emergency Response","B - Cooperative Agreements",4/30/2010 8:07,1/1/2002 0:00
"66.926","Indian Environmental General Assistance Program (GAP)","Environmental Protection Agency / Office of Water","B - PROJECT GRANTS",4/30/2010 8:07,1/1/1993 0:00
"66.931","International Financial Assistance Projects Sponsored by the Office of International and Tribal Affairs","Environmental Protection Agency / Office of International and Tribal Affairs","B - PROJECT GRANTS",5/3/2010 8:18,1/1/2002 0:00
"66.940","Environmental Policy and State Sustainability Grants","Environmental Protection Agency / Office of the Administrator","B - PROJECT GRANTS",1/10/2011 10:06,1/1/2005 0:00
"66.950","National Environmental Education Training Program","Environmental Protection Agency / Office of the Administrator","B - Cooperative Agreements",5/3/2010 8:18,1/1/1992 0:00
"66.951","Environmental Education Grants","Environmental Protection Agency / Office of the Administrator","B - PROJECT GRANTS",5/3/2010 8:17,1/1/1992 0:00
"66.952","National Network for Environmental Management Studies Fellowship Program","Environmental Protection Agency / Office of the Administrator","B - PROJECT GRANTS",5/3/2010 8:17,1/1/2005 0:00
"81.105","National Industrial Competitiveness through Energy, Environment, and Economics","Department of Energy","B - PROJECT GRANTS",10/1/2010 8:20,1/1/1993 0:00
"81.106","Transport of Transuranic Wastes to the Waste Isolation Pilot Plant: States and Tribal Concerns, Proposed Solutions","Department of Energy","B - Project Grants (Cooperative Agreements)",9/29/2010 7:48,1/1/1993 0:00
"81.136","Long-Term Surveillance and Maintenance","Department of Energy","B - Project Grants (Cooperative Agreements)",10/1/2010 12:28,7/20/2009 7:56
"81.214","Environmental Monitoring/Cleanup, Cultural and Resource Mgmt., Emergency Response Research, Outreach, Technical Analysis","Department of Energy","B - Cooperative Agreements (Discretionary Grants)",11/28/2010 12:58,11/28/2010 12:58
"93.113","Environmental Health","Department of Health and Human Services / National Institutes of Health","B - PROJECT GRANTS",7/6/2010 10:52,1/1/1990 0:00
"93.142","NIEHS Hazardous Waste Worker Health and Safety Training","Department of Health and Human Services / National Institutes of Health","B - Project Grants (Cooperative Agreements)",8/24/2010 7:31,1/1/1990 0:00
"93.143","NIEHS Superfund Hazardous Substances_Basic Research and Education","Department of Health and Human Services / National Institutes of Health","B - PROJECT GRANTS",7/6/2010 11:14,1/1/1990 0:00
"93.202","Capacity Building Among American Indian Tribes","Department of Health and Human Services / Agency for Toxic Substances and Disease Registry","B - PROJECT GRANTS",7/15/2010 7:41,1/1/2002 0:00
"93.206","Human Health Studies_Applied Research and Development","Department of Health and Human Services / Agency for Toxic Substances and Disease Registry","B - PROJECT GRANTS",10/1/2010 8:22,1/1/1994 0:00
"93.581","Improving the Capability of Indian Tribal Governments to Regulate Environmental Quality","Department of Health and Human Services / Administration for Children and Families","B - PROJECT GRANTS",7/6/2010 15:35,1/1/1994 0:00
"97.106","Securing the Cities","Department of Homeland Security","B - Cooperative Agreements, H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS, I - USE OF PROPERTY, FACILITIES, OR EQUIPMENT, L - DISSEMINATION OF TECHNICAL INFORMATION",9/21/2010 11:47,1/1/2007 0:00
