"#","Program Title","Agency/Office","Types of Assistance","Date Modified","Date Published"
"10.569","Emergency Food Assistance Program (Food Commodities)","Department of Agriculture / Food and Nutrition Service","A - FORMULA GRANTS",8/16/2010 9:12,1/1/1989 0:00
"10.572","WIC Farmers' Market Nutrition Program (FMNP)","Department of Agriculture / Food and Nutrition Service","A - FORMULA GRANTS",7/18/2010 22:51,1/1/1993 0:00
"10.574","Team Nutrition Grants","Department of Agriculture / Food and Nutrition Service","B - PROJECT GRANTS",8/23/2010 9:05,1/1/1997 0:00
"10.578","WIC Grants To States (WGS)","Department of Agriculture / Food and Nutrition Service","B - PROJECT GRANTS",12/12/2010 12:30,1/1/2004 0:00
"10.579","Child Nutrition Discretionary Grants Limited Availability","Department of Agriculture / Food and Nutrition Service","B - PROJECT GRANTS",8/23/2010 9:06,1/1/2004 0:00
"10.582","Fresh Fruit and Vegetable Program","Department of Agriculture / Food and Nutrition Service","B - PROJECT GRANTS",8/13/2010 7:46,1/1/2005 0:00
"10.583","Hunger Free Communities","Department of Agriculture / Food and Nutrition Service","B - Cooperative Agreements (Discretionary Grants)",3/4/2011 5:00,4/15/2010 7:31
"10.585","FNS Food Safety Grants","Department of Agriculture / Food and Nutrition Service","B - Cooperative Agreements (Discretionary Grants)",10/28/2010 7:53,3/17/2010 14:05
"10.586","Office of Research and Analysis (ORA) Grants/Cooperative Agreements to Meet Food, Nutrition and Health Needs of Program Eligible Participants","Department of Agriculture / Food and Nutrition Service","B - Cooperative Agreements",4/16/2011 5:00,4/16/2011 5:00
"10.606","Food for Progress","Department of Agriculture / Foreign Agricultural Service","H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS",9/15/2008 0:00,1/1/2003 0:00
"10.608","Food for Education","Department of Agriculture / Foreign Agricultural Service","H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS",10/30/2008 0:00,1/1/2003 0:00
"10.777","Norman E. Borlaug International Agricultural Science and Technology Fellowship","Department of Agriculture / Foreign Agricultural Service","C - Direct Payments for Specified Use",9/7/2010 18:42,9/7/2010 18:42
"11.413","Fishery Products Inspection and Certification","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","J - PROVISION OF SPECIALIZED SERVICES",6/30/2009 9:28,1/1/1971 0:00
"11.444","Hawaii Sustainable Fisheries Development (Aquaculture Program)","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 9:37,1/1/1991 0:00
"11.445","Hawaii Stock Management Program","Department of Commerce / National Oceanic and Atmospheric Administration (NOAA)","B - PROJECT GRANTS",6/30/2009 9:38,1/1/1991 0:00
"43.010","Construction & Environmental Compliance & Remediation","National Aeronautics and Space Administration","B - Cooperative Agreements, B - Cooperative Agreements (Discretionary Grants), B - Project Grants, B - Project Grants (Contracts), B - Project Grants (Cooperative Agreements or Contracts), B - Project Grants (Cooperative Agreements), B - Project Grants (Discretionary), B - Project Grants (Fellowships), B - Project Grants (for collaborative design of curriculum, production of, B - Project Grants (for specified projects), B - Project Grants (including individual awards), B - Project Grants (including travel grants)",11/1/2010 7:35,11/1/2010 7:35
"84.040","Impact Aid_Facilities Maintenance","Department of Education / Office of Elementary and Secondary Education","B - PROJECT GRANTS",8/30/2010 13:03,1/1/1980 0:00
"91.003","91.003 Annual Senior Fellowship Competition","United States Institute of Peace","B - Project Grants (Cooperative Agreements or Contracts)",6/27/2010 8:22,6/27/2010 8:22
"93.045","Special Programs for the Aging_Title III, Part C_Nutrition Services","Department of Health and Human Services / Administration on Aging","A - FORMULA GRANTS",8/5/2010 7:48,1/1/1992 0:00
"93.053","Nutrition Services Incentive Program","Department of Health and Human Services / Administration on Aging","A - FORMULA GRANTS",8/5/2010 7:49,1/1/2003 0:00
"93.103","Food and Drug Administration_Research","Department of Health and Human Services / Food and Drug Administration","B - Cooperative Agreements, B - Project Grants, B - Project Grants (for specified projects)",9/13/2010 12:03,1/1/1990 0:00
"93.448","Food Safety and Security Monitoring Project","Department of Health and Human Services / Food and Drug Administration","B - Cooperative Agreements",9/13/2010 12:02,1/1/2005 0:00
"93.449","Ruminant Feed Ban Support Project","Department of Health and Human Services / Food and Drug Administration","B - Cooperative Agreements",7/13/2009 8:03,1/1/2005 0:00
"93.522","Affordable Care Act (ACA) Prevention Center for Healthy Weight","Department of Health and Human Services / Health Resources and Services Administration","B - Cooperative Agreements",7/12/2010 8:35,7/12/2010 8:35
"93.569","Community Services Block Grant","Department of Health and Human Services / Administration for Children and Families","A - FORMULA GRANTS",7/18/2010 23:01,1/1/1992 0:00
"93.708","ARRA - Head Start","Department of Health and Human Services / Administration for Children and Families","B - Project Grants",9/19/2010 20:40,5/26/2009 15:39
"93.709","ARRA - Early Head Start","Department of Health and Human Services / Administration for Children and Families","B - Project Grants",9/19/2010 20:40,5/26/2009 15:39
"97.114","Emergency Food and Shelter National Board Program (ARRA)","Department of Homeland Security","B - Project Grants",6/23/2010 8:02,5/1/2009 16:59
"98.005","Institutional Capacity Building (ICB)","Agency for International Development","B - PROJECT GRANTS",11/7/2008 0:00,1/1/2004 0:00
"98.007","Food for Peace Development Assistance Program (DAP)","Agency for International Development","B - PROJECT GRANTS, H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS",9/23/2008 0:00,1/1/2004 0:00
"98.008","Food for Peace Emergency Program (EP)","Agency for International Development","B - PROJECT GRANTS, H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS",9/23/2008 0:00,1/1/2004 0:00
