1,NEVADA,Ely,1864717.00,Order 2008-6-26,LYU
1,NEW HAMPSHIRE,Lebanon,2245669.00,Order 2008-7-27,LEB
1,NEW MEXICO,Alamogordo/Holloman,994623.00,Order 2007-9-29,ALM
1,NEW MEXICO,Carlsbad,303554.00,Order 2007-3-22,CNM
1,NEW MEXICO,Clovis,1182645.00,Order 2007-5-19,CVN
1,NEW MEXICO,Hobbs,303554.00,Order 2007-3-22,HOB
1,NEW MEXICO,Silver City/Hurley/Deming,1182645.00,Order 2007-5-19,SVC
1,NEW YORK,Jamestown,1350802.50,Order 2008-6-37,JHW
1,NEW YORK,Massena,1297613.00,Order 2008-3-15,MSS
1,NEW YORK,Ogdensburg,1353916.00,Order 2008-3-15,OGS
1,NEW YORK,Plattsburgh,1379257.00,Order 2008-1-12,PLB
1,NEW YORK,Saranac Lake/Lake Placid,1431875.00,Order 2008-1-12,SLK
1,NEW YORK,Watertown,1228334.00,Order 2008-3-15,ART
1,NORTH DAKOTA,Devils Lake,1331664.00,Order 2007-8-16,DVL
1,NORTH DAKOTA,Dickinson,1696977.00,Order 2006-11-21,DIK
1,NORTH DAKOTA,Jamestown,1355011.00,Order 2007-8-16,JMS
1,OREGON,Pendleton,1566729.00,Order 2008-10-25,PDT
1,PENNSYLVANIA,Altoona,1394422.50,Order 2008-6-10,AOO
1,PENNSYLVANIA,Bradford,1350802.50,Order 2008-6-37,BFD
1,PENNSYLVANIA,DuBois,2020095.00,Order 2008-5-3,DUJ
1,PENNSYLVANIA,Johnstown,1394422.50,Order 2008-6-10,JST
1,PENNSYLVANIA,Lancaster,1831504.00,Order 2008-12-33,LNS
1,PENNSYLVANIA,Oil City/Franklin,1226773.00,Order 2008-5-3,FKL
1,PUERTO RICO,Mayaguez,735660.00,Order 2007-4-18,MAZ
1,PUERTO RICO,Ponce,661399.00,Order 2007-4-18,PSE
1,SOUTH DAKOTA,Brookings,1887110.00,Order 2008-12-30,BKX
1,SOUTH DAKOTA,Huron,1781159.00,Order 2008-7-34,HON
1,SOUTH DAKOTA,Watertown,1189606.00,Order 2007-8-19,ATY
1,TENNESSEE,Jackson,1598291.00,Order 2008-2-1,MKL
1,TEXAS,Victoria,610049.00,Order 2007-4-8,VCT
1,UTAH,Cedar City,1242256.00,Order 2007-10-7,CDC
1,UTAH,Moab,1607903.00,Order 2007-10-7,CNY
1,UTAH,Vernal,1147786.00,Order 2007-10-7,VEL
1,VERMONT,Rutland,839746.00,Order 2007-9-13,RUT
1,VIRGINIA,Staunton,1389727.00,Order 2007-1-17,SHD
1,WEST VIRGINIA,Beckley,2092844.00,Order 2008-6-14,BKW
1,WEST VIRGINIA,Clarksburg,1058325.00,Order 2008-5-37,CKB
1,WEST VIRGINIA,Greenbrier,2330725.00,Order 2008-5-3,LWB
1,WEST VIRGINIA,Morgantown,1058325.00,Order 2008-5-37,MGW
1,WEST VIRGINIA,Parkersburg,2190281.00,Order 2008-7-22,PKB
1,WYOMING,Laramie,1215603.00,Order 2008-7-3,LAR
1,WYOMING,Worland,1735814.00,Order 2008-7-3,WRL
