/AA|Anchorage, AK: (Anchorage Mean)
/FR|Frankfurt, Germany: (Frankfurt Mean)
/FS|Fresno, CA: (Fresno Mean)
/FV|Fayetteville, AR: (Fayetteville, Ar Mean)
/FY|Fayetteville, NC: (Fayetteville, Nc Mean)
/GC|Grand Canyon, AZ: (Grand Canyon Mean)
/GF|Great Falls, MT: (Great Falls Mean)
/GL|Glasgow/Prestwick, United Kingdom: /Gl Glasgow/Prestwick
/GM|Guam, TT: (Guam Mean)
/GR|Georgetown, Guyana: Timehri International
/GT|Gothenburg, Sweden: (Gothenburg Mean)
/GV|Greenville/Spartanburg, SC: (Greenville Mean)
/HA|Shanghai, China: (Shanghai Mean)
/HB|Helsingborg, Sweden: (Helsingborg Mean)
/HK|Hong Kong, Hong Kong-China: (Hong Kong Mean)
/HM|Medellin, Colombia: (Medellin Mean)
/HN|Haines, AK: (Haines Mean)
/HO|Houston, TX: Houston Airport
/HR|Hartford, CT: (Hartford Mean)
/HU|Humacao, PR: Humacao Airport
/HV|Huntsville, AL: (Huntsville Mean)
/IE|Kiev, Ukraine: (Kiev Mean)
/IN|Singapore, Singapore: (Singapore Mean)
/IR|Tehran, Iran: (Tehran Mean)
/IW|Ironwood, MI: Ironwood Mich   Up 1
/IZ|Izmir, Turkey: Izmir Airport
/JK|Jakarta, Indonesia: Jakarta Airport
/JU|Juneau, AK: Juneau Municipal
/JX|Jacksonville, FL: (Jacksonville Mean)
/KD|Kodiak, AK: Kodiak Ns
/KI|Kingston, Jamaica: Norman Manley International
/KS|Seoul, South Korea: (Seoul Mean)
/KT|Ketchikan, AK: (Ketchikan Mean)
/KU|Kuala Lumpur, Malaysia: (Kuala Lumpur Mean)
/KW|Key West, FL: (Key West Mean)
/LA|Los Angeles, CA: Los Angeles International
/LB|Lubbock, TX: (Lubbock Mean)
/LC|Lake Charles, LA: (Lake Charles Mean)
/LE|Lae, Papua New Guinea: Lae Papua
/LI|Lima, Peru: /Lima Peru
/LK|Little Rock, AR: (Little Rock Mean)
/LM|Lompoc, CA: (Lompoc Mean)
/LO|London, United Kingdom: (London Mean)
/LR|Laredo, TX: Laredo Airport
/LU|Louisville, KY: Louisville Kentucky
/LV|Las Vegas, NV: (Las Vegas Mean)
/LY|Lyon, France: Lyon France
/LZ|Luzon Island, Philippines: (Luzon Island Mean)
/MA|Mobile, AL: Mobile/Pascagoula
/MB|Melbourne, Australia: Melbourne
/MC|Macon, GA: (Macon Mean)
/MD|Harrisburg/York, PA: Harrisburg International  Olmsted Field
/ME|Moline, IL: (Moline/Davenport Mean)
/MF|Miami, FL: Miami Airport
/MG|Moses Lake, WA: (Moses Lake Mean)
/MH|Memphis, TN: (Memphis Mean)
/MI|Milan, Italy: (Milan Mean)
/MJ|Mildenhall, United Kingdom: (Mildenhall Mean)
/MK|Kansas City, MO: (Kansas City Mean)
/ML|Monrovia/Robertsfield, Liberia: /Ml Monrovia/Robertsfield
/MM|Malmo, Sweden: (Malmo Mean)
/MN|Minneapolis/St. Paul, MN: Minneapolis
/MO|Montreal, Canada: (Montreal Mean)
/MP|Madrid, Spain: (Madrid Mean)
/MQ|Marquette, MI: (Marquette Mean)
/MR|Moroni, Comoro Islands: Moroni Airport
/MS|Moscow, Russia (European): (Moscow Mean)
/MT|Manitowoc/Sheboygan, WI: Manitowoc/Sheboyan
/MU|Moultrie/Thomasville, GA: Moultrie
/MV|Montgomery, AL: Montgomery Airport
/MW|Monterrey, Mexico: (Monterrey, Mx Mean)
/MX|Minot, ND: (Minot Mean)
/MY|Myrtle Beach, SC: Myrtle Beach S.C.
/MZ|Midland/Odessa, TX: (Midland/Odessa Mean)
/NA|Nanaimo, Canada: Nanaimo Airport
/NB|New Bern/Morehead/Beaufort, NC: New Bern
/NI|Nairobi, Kenya: /Nairobi
/NO|Noumea, New Caledonia - France: Noumea Metro
/NP|Newport News/Wmsburg, VA: (Newport News Mean)
/NR|New Orleans, LA: New Orleans
/NS|Nassau, Bahamas: (Nassau Mean)
/NT|Newcastle, Australia: Newcastle Airport
/NY|New York, NY: /Ny New York/Newark
/OA|Oakland, CA: Oakland Airport
/OD|Oakland, MD: (Oakland,md Mean)
/OF|Norfolk, VA: Norfolk Va
/OH|Omaha, NE: (Omaha Mean)
/OJ|Osaka, Japan: (Osaka Mean)
/OK|Okinawa, Japan: /Ok Okinawa
/OL|Oklahoma City, OK: (Oklahoma City Mean)
/OM|Oran, Algeria: Oran Airport
/ON|Ontario San Bernardino, CA: Ontario International
/OR|Orlando, FL: /Or Orlando
/OS|Oslo, Norway: (Oslo Mean)
/OU|Columbia, MO: Columbia Airport
/PB|San Luis Obispo/Paso Robls, CA: /Pb San Luis Obispo/Paso Robles
/PC|Panama City, FL: (Panama Cty, Fl Mean)
/PD|Palmdale/Lancaster, CA: Palmdale/Lancaster Airport
/PE|Penang, Malaysia: Penang Sea Plane Base
/PH|Philadelphia, PA: /Ph Philadelphia/Camden
/PI|Prince Rupert, Canada: (Prince Rupert Mean)
/PM|Paramaribo, Surinam: /Pm Up 1 From Pbm Mean
/PN|Pensacola, FL: (Pensacola Mean)
/PP|Pilot Point, AK: (Pilot Point Mean)
/PR|Paris, France: /Pr Paris
/PS|Clearfld/Philisbg/Bellefnte, PA: /Ps Clfld/Phlpsbg/Blfnt
/PT|Balboa C.Z/Panama City, Panama Canal Zone: /Pt Balbao/Panama City
/PU|Pittsburgh, PA: Pittsburgh
/PX|Phoenix, AZ: (Phoenix Mean)
/RA|Riverside, CA: (Riverside Mean)
/RE|Reykjavik, Iceland: (Reykjavik Mean)
/RI|Rio De Janeiro, Brazil: Rio De Jan
/RM|Rocky Mount, NC: Wilson Municipal
/RO|Rome, Italy: /Ro Rome
/RP|Rapid City, SD: (Rapid City Mean)
/RS|Santa Rosa, CA: (Santa Rosa Mean)
/RX|Riga, U.S.S.R. (European): (Riga Mean)
/RY|Riyadh, Saudi Arabia: (Riyadh Mean)
/SA|Sao Paulo, Brazil: /Sa Sao Paulo
/SB|Steamboat Springs/Hayden, CO: /Sb Steamboat Springs/Hayden
/SC|Santiago, Chile: Santiago Airport
/SD|Santo Domingo, Dominican Republic: Santo Domingo Airport
/SE|Seattle, WA: Seattle Tacoma
/SF|San Francisco, CA: /Sf San Francisco
/SG|San Diego, CA: (San Diego Mean)
/SH|Oshkosh/Appleton, WI: /Sh Oshkosh/Appleton
/SI|St. Martin, Netherlands Antilles: St Martin
/SJ|San Jose, CA: San Jose Municipal
/SK|Spokane, WA: (Spokane Mean)
/SL|St. Lucia, St. Lucia: /Sl St. Lucia
/SM|Santa Maria, CA: /Sm Santa Maria Cal Metro-Up 1
/SN|Santa Ana, CA: (Santa Ana Mean)
/SO|San Antonio, TX: (San Antonio Mean)
/SP|Sapporo, Japan: Sakuramori
/SQ|Sacramento, CA: (Sacramento Mean)
/SR|Santa Cruz, Bolivia: (Santa Cruz Mean)
/SS|Sault Ste. Marie, MI: /Sault Ste.Marie
/ST|Stockholm, Sweden: /St Stockholm
/SU|San Juan, PR: San Juan Airport
/SV|Savannah, GA: (Savannah Mean)
/SX|Christiansted, VI: Christiansted Airport
/SY|Salinas/Monterey, CA: /Sy Salinas Metro-Up 1
/SZ|St. Louis, MO: (St. Louis Mean)
/TA|Taipei, Taiwan: Taipei Airport
/TC|Toronto, Canada: Toronto Airport
/TE|Tenerife, Spain: (Tenerife-Mean)
/TH|Tullahoma, TN: (Tullahoma Mean)
/TK|Topeka, KS: Topeka
/TL|Tel Aviv, Israel: Lod
/TM|Tacoma, WA: (Tacoma Mean)
/TN|Tonopah, NV: (Tonopah Mean)
/TO|Tokyo, Japan: /To Tokyo
/TP|Tampa/St.Ptsbg/Clwtr/Lklnd, FL: /Tp Tpa/St Pete/Clrwtr/Laklnd Up 1     Tp1
/TR|Tortola, British Virgin Islands-UK: Tortola
/TU|Tucson, AZ: (Tucson Mean)
/UM|Umnak, AK: (Umnak Mean)
/UT|Salt Lake City, UT: (Salt Lake Mean)
/VA|Vancouver, Canada: Vancouver Airport
/VC|Victoria, Canada: /Vc  Victoria
/VE|Venice, Italy: (Venice Mean)
/VL|Valdosta, GA: Valdosta Airport
/WC|Waco, TX: (Waco Mean)
/WD|Windhoek, Namibia: Windhoek Airport
/WI|Wichita, KS: (Wichita Mean)
/WS|Washington, DC: /Ws Washington
/XI|Xi An, China: (Xi An Mean)
/YA|Yaounde, Cameroons: (Yaounde Mean)
/YE|Edmonton, Canada: Edmonton Airport
01A|Afognak Lake, AK: Afognak Lake Airport
02A|Chief Cove, AK: Chief Cove Airport
03A|Granite Mountain, AK: Bear Creek Mining Strip
04A|Lik, AK: Lik Mining Camp
05A|Little Squaw, AK: Little Squaw Airport
06A|Kizhuyak, AK: Kizhuyak Bay
07A|Klawock, AK: Klawock Seaplane Base
08A,Seldovia AK: Elizabeth Island
09A|Homer, AK: Augustin Island
1G4|Peach Springs, AZ: Grand Canyon West
1N7|Blairstown, NJ: Blairstown
8F3|Crosbyton, TX: Crosbyton Municipal
A01|Blair Lakes, AK: Blair Lakes Airport
A02|Deadmans Bay, AK: Deadmans Bay Airport
A03|Hallo Bay, AK: Hallo Bay Airport
A04|Red Lake, AK: Red Lake Airport
A05|Shell Lake, AK: Shell Lake Airport
A06|Kougarok, AK: Navigator Airstrip
A07|Selawik, AK: Roland Norton Memorial Airstrip
A08|Pillar Bay, AK: Pillar Bay Airport
A09|Johnstone Point, AK: Johnstone Point Airport
A10|Tikchik Lodge, AK: Tikchik Lodge Airport
A11|Bell Creek, AK: Bell Creek Airport
A12|Cinnabar, AK: Cinnabar Airport
A13|Mountaintop Mine, AK: Mountaintop Mine Airport
A14|Whitebear, AK: Whitebear Airport
A15|Puviaq, AK: Puviaq Airport
A16|Arley Lake, AK: Arley Lake Airport
A17|Port Vita, AK: Port Vita Airport
A18|Kantishna, AK: Kantishna Airport
A19|Lonely, AK: Lonely Air Station
A20|Alpine, AK: Alpine Airstrip
A21|Serpentine, AK: Serpentine Airport
A22|Driftwood Bay, AK: Driftwood Bay Airport
A23|Bradley Lake, AK: Bradley Lake Airport
A24|Chilkat Lake, AK: Chilkat Lake Airport
A25|Nugget Creek, AK: Nugget Creek Airport
A26|Ivotuk, AK: Ivotuk Airstrip
A27|Pogo Mines, AK: Pogo Mines Airport
A28|Ayakulik River, AK: Ayakulik River Airport
A29|Kiluda Bay, AK: Kiluda Bay Airport
A30|Terror Lake, AK: Terror Lake Airport
A31|Selief Bay, AK: Selief Bay Airport
A32|Hidden Basin, AK: Hidden Basin Airport
A33|Hidden Lake, AK: Hidden Lake Airport
A34|Laura Lake, AK: Laura Lake Airport
A35|Kaktovik, AK: Bullen Point Air Force Base
A36|Deep Bay, AK: Deep Bay Airport
A37|Kako, AK: Kako Airport
A38|Molly Creek, AK: Molly Creek Airport
A39|Ptarmigan Lake, AK: Ptarmigan Lake Airport
A40|Cape Simpson, AK: Cape Simpson Airport
A41|Kogru River, AK: Kogru River Airport
A42|Teshepkuk Lake, AK: Teshepkuk Lake Airport
A43|Kodiak Island, AK: Trident Basin Seaplane Base
A44|Bear Creek, AK: Bear Creek  3
A45|Lake Florence, AK: Lake Florence Airport
A46|Lake Hasselborg, AK: Lake Hasselborg Airport
A47|Distin Lake, AK: Distin Lake Airport
A48|Port Hobron, AK: Port Hobron Airport
A49|Mooseville Airstrip, AK: Mooseville Airstrip Airport
A50|Big Bay, AK: Big Bay Airport
A51|Wien Lake, AK: Wien Lake Airport
A52|Silver Salmon Creek, AK: Silver Salmon Creek Airport
A53|Blear Lake, AK: Blear Lake Airport
A54|Cannery Bay, AK: Cannery Bay Airport
A55|Windslow Bay, AK: Windslow Bay Airport
A56|Bear Lake, AK: Johnsons Landing
A57|International Seafoods, AK: International Seafoods Airport
A58|Cosna River, AK: Cosna River Airport
A59|Ivatuk, AK: Ivatuk
A60|Deadhorse, AK: Inigok
A61|Cape Sarichef, AK: Cape Sarichef Afs
A62|Taylor Mountain Mine, AK: Taylor Mountain
A63|Yukon Charley Rivvers, AK: Coal Creek
A64|Halibut Bay, AK: Halibut Bay Airport
A65|Karluk Portage, AK: Karluk Portage Airport
A66|Hope, AK: Hope
A67|Viekoda Bay, AK: Viekoda Bay Airport
A68|Curly Warren, AK: Curly Warren Airport
A69|Cold Bay, AK: Cathedral Strip
A70|Village Islands, AK: Village Islands Airport
A71|Homer, AK: Bear Cove Farm
A72|Chinitna Bay, AK: Chinitna Bay Airport
A73|Mckinley Park, AK: Mckinley National Park
A74|Dogfish Bay, AK: Dogfish Bay Airport
A75|Malina Bay, AK: Malina Bay Airport
A76|Red Fox Bay, AK: Red Fox Bay Airport
A77|Shearwater, AK: Shearwater
A78|Cape Simpson, AK: Lake
A79|Cape Simpson, AK: Cape Simpson No. 1
A80|Cape Simpson, AK: Cape Simpson No. 7
A81|Aglaq, AK: Cape Simpson #1
A82|Nikiski, AK: Nikiski Private Airstrip
A83|Petrof Point, AK: Petrof Point Airport
A84|Denali, AK: Denali West Lodge Private
A85|Big River, AK: Big River Airport
A86|Busch Creek, AK: Busch Creek Mining
A87|Carry Inlet, AK: Carry Inlet Airport
A88|Ayakulik Lagoon, AK: Ayakulik Lagoon Airport
A89|Montague Island, AK: Montague Island Airport
A90|Shannon Pond, AK: Shannon Pond Airport
A91|Omalik Lagoon, AK: Omalik Lagoon Airport
A92|Omolik Lagoon, AK: Omolik Lagoon Airport
A93|Bradley Lake Project, AK: Bradley Lake Project Airport
A94|Barrow, AK: Ice Strip
A95|Barrow, AK: Ice Strip
A96|Barrow, AK: Ice Strip
A97|Akulik, AK: Akulik Air Strip
A98|Deadfall, AK: Deadfall Air Strip
A99|Eagle Creek, AK: Eagle Creek Airport
AA1|Bethel, AK: Ice Kong
AAA|Anaa, French Polynesia: Anaa Airport
AAB|Arrabury, Australia: Arrabury Station
AAC|Al Arish, Arab Republic Of Egypt: El Arish
AAE|Annaba, Algeria: Annaba Airport
AAF|Apalachicola, FL: Apalachicola Municipal
AAH|Andravida, Greece: Andravida Airport
AAI|Arraias, Brazil: Arraias Airport
AAK|Aranuka, Ki|
AAL|Aalborg, Denmark: Aalborg Airport
AAM|Mala Mala, Republic Of South Africa: Malamala
AAN|Al Ain, United Arab Emirates: Al Ain Airport
AAO|Anaco, Venezuela: Anaco Airport
AAQ|Anapa, Russia (European): Anapa Airport
AAR|Aarhus, Denmark: Tirstrup
AAS|Apalapsili, Id|
AAT|Altay, Cn|
AAU|Asau, Western Samoa: Asau W Sam
AAW|Abbottabad, Pk|
AAX|Araxa, Brazil: Araxa Airport
AAY|Al Ghaydah, Ye|
ABA|Adaba, Ethiopia: Adaba Airport
ABD|Abadan, Iran: Abadan International
ABE|Allentown/Bethlehem/Easton, PA: Lehigh Valley International
ABF|Abaiang, Ki|
ABI|Abilene, TX: Abilene Municipal
ABJ|Abidjan, Cote d Ivoire (formerly Ivory Coast): Abidjan/Port Bouet
ABK|Kabri Dar, Ethiopia: Kabri Dar
ABL|Ambler, AK: Ambler River
ABM|Bamaga, Au|
ABQ|Albuquerque, NM: Albuquerque International
ABR|Aberdeen, SD: Aberdeen Regional
ABS|Abu Simbel, Arab Republic Of Egypt: Abu Simbil
ABT|Al-Baha, Saudi Arabia: Al Aqiq
ABV|Abuja, Nigeria: Abuja International
ABX|Albury, Australia: Albury Airport
ABY|Albany, GA: Albany Dougherty County
ABZ|Aberdeen, United Kingdom: Dyce
ACA|Acapulco, Mexico: Gen Juan N Alverez International
ACB|Bellaire, MI: Bellaire/Antrim County
ACC|Accra, Ghana: Kotoka
ACD|Acandi, Co|
ACE|Arrecife, Spain: Lanzarote
ACH|Altenrhein, Switzerland: Altenrhein Airport
ACI|Alderney, United Kingdom: Alderney Airport
ACK|Nantucket, MA: Nantucket Memorial
ACP|Unknown Code Description|
ACR|Araracuara, Co|
ACT|Waco, TX: Waco Municipal
ACU|Achutupo, Panama Republic: Achutupo Airport
ACV|Eureka/Arcata, CA: Arcata/Eureka
ACY|Atlantic City, NJ: Atlantic City International
ADA|Adana, Turkey: Adana Sakirpasa
ADB|Izmir, Turkey: Adnan Menderes
ADC|Andakombe, Papua New Guinea: Andakombe Airport
ADD|Addis Ababa, Ethiopia: Haile Selassie I International
ADE|Aden, Yemen: Aden International
ADF|Adiyaman, Tr|
ADH|Aldan, Russia|
ADJ|Amman, Jordan: Marka International
ADK|Adak Island, AK: Adak Ns
ADL|Adelaide, Australia: Adelaide Airport
ADM|Ardmore, OK: Ardmore Municipal
ADN|Andes, Colombia: Andes Airport
ADO|Andamooka, Australia: Andamooka Airport
ADQ|Kodiak, AK: Kodiak
ADS|Dallas/Ft.Worth, TX: Addison
ADU|Ardabil, Ir|
ADW|Camp Springs, MD: Andrews Air Force Base /Naf
ADX|St Andrews, United Kingdom: Leuchars
ADZ|San Andres Island, Colombia: Sesquicentenario
AE1|Al Dhafra, United Arab Emirates: Al Dhafra Air Base
AEA|Abemama Atoll, Ki|
AED|Aleneva, AK: Aleneva Airport
AEH|Abecher, Chad: Abeche
AEJ|Al Jaber, Kuwait: Ahmed Al Jaber Air Base
AEO|Aioun El Atrouss, Mauritania: Aioun El Atrouss Airport
AEP|Buenos Aires, Argentina: Jorge Newburg
AER|Adler/Sochi, Russia (European): Adler/Sochi Airport
AES|Aalesund, Norway: Vigra
AET|Allakaket, AK: Allakaket Airport
AEX|Alexandria, LA: Alexandria International
AEY|Akureyri, Iceland: Akureyri Airport
AF1|Bagram, Afghanistan: Bagram Airbase
AFA|San Rafael, Argentina: San Rafael Airport
AFF|Colorado Springs, CO: USAF Academy
AFK|Nebraska, NE: Nebraska City Municipal
AFL|Alta Floresta, Br|
AFO|Afton, WY: Afton Municipal
AFT|Afutara, Sb|
AFU|Al Udeid, Qatar: Al Udeid Airbase
AFW|Dallas/Ft.Worth, TX: Fort Worth Alliance
AFY|Afyon, Turkey: Afyon Airport
AGA|Agadir, Morocco: Agadir/Inezgane
AGB|Augsburg, Germany: Augsburg Airport
AGC|Pittsburgh, PA: Allegheny County
AGD|Anggi, Id|
AGE|Unknown Code Description|
AGF|Agen, France: Agen/La Garenne
AGG|Angoram, Papua New Guinea: Angoram
AGH|Helsingborg, Sweden: Angelholm
AGJ|Aguni, Jp|
AGK|Kagua, Papua New Guinea: Kagua Airport
AGL|Wanigela, Papua New Guinea: Wanigela Airport
AGN|Angoon, AK: Angoon Sea Plane Base
AGP|Malaga, Spain: Malaga Airport
AGQ|Agrinion, Greece: Agrinion New
AGR|Agra, India: Agra Airport
AGS|Augusta, GA: Bush Field
AGT|Ciudad Del Este, Paraguay: Alejo Garcia
AGU|Aguascalientes, Mexico: Aguascalientes Airport
AGV|Acarigua, Venezuela: Acarigua Airport
AGX|Agatti Island, India: Agatti Island Airport
AHA|Okinawa, Japan: Naha Air Force Base
AHB|Abha, Saudi Arabia: Abha Airport
AHD|Ardmore, OK: Downtown Executive
AHE|Ahe, Pf|
AHI|Amahai, Id|
AHN|Athens, GA: Athens Municipal
AHO|Alghero/Sassari, Italy: Alghero
AHS|Ahuas, Honduras: Ahuas
AHT|Amchitka Island, AK: Amchitka
AHU|Al Hoceima, Morocco: Al Hoceima
AIA|Alliance, NE: Alliance Municipal
AIB|Anita Bay, AK: Anita Bay Airport
AIC|Airok, Mh|
AID|Anderson, IN: Anderson Municipal
AIE|Aiome, Pg|
AIK|Aiken, SC: Aiken Mun.
AIM|Ailuk Island, Mh|
AIN|Wainwright, AK: Wainwright Airport
AIR|Aripuana, Br|
AIS|Arorae Island, Ki|
AIT|Aitutaki, Cook Islands-New Zealand: Aitutaki
AIU|Atiu Island, Ck|
AIY|Atlantic City, NJ: Bader Field
AIZ|Lake Of The Ozarks, MO: Lee C Fine Memorial
AJA|Ajaccio, France: Ajaccio/Campo Dell Oro
AJF|Jouf, Saudi Arabia: Al Jouf
AJI|Agri, Tr|
AJJ|Akjoujt, Mauritania: Akjoujt Airport
AJL|Aizawl, India: Aizawl Airport
AJN|Anjouan, Comoro Islands: Anjouan/Ouani
AJR|Arvidsjaur, Sweden: Arvidsjaur Airport
AJU|Aracaju, Brazil: Aracaju / Santa Maria
AJY|Agades, Niger: Agades
AKA|Ankang, Cn|
AKB|Atka, AK: Atka Airport
AKC|Akron/canton, Oh|
AKD|Akola, In|
AKE|Akieni, Ga|
AKF|Kufrah, Libya: Kufra
AKG|Anguganak, Pg|
AKH|Al Kharj, Saudi Arabia: Prince Sultan Airbase
AKI|Akiak, AK: Akiak Airport
AKJ|Asahikawa, Japan: Asahikawa Airport
AKK|Akhiok, AK: Akhiok
AKL|Auckland, New Zealand: Auckland International
AKN|King Salmon, AK: King Salmon Airport
AKO|Akron, CO: Akron Washington County
AKP|Anaktuvuk Pass, AK: Anaktuvuk Pass Airport
AKR|Akure, Nigeria: Akure Airport
AKS|Auki, Solomon Islands: Auki
AKT|Akrotiri, Cyprus: Akrotiri Airport
AKU|Aksu, Cn|
AKV|Akulivik, Ca|
AKX|Aktyubinsk, Kazakhstan: Aktyubinsk Airport
AKY|Sittwe, Myanmar: Sittwe Airport
AL1|Albertville, AL: Thomas J Brumlik Field
AL2|Alabaster, AL: Shelby County
AL3|Huntsville, AL: Madison County Executive
ALA|Alma-Ata, Kazakhstan: Alma-Ata Airport
ALB|Albany, NY: Albany County
ALC|Alicante, Spain: La Rabasa
ALE|Alpine, TX: Alpine Casparis Municipal
ALF|Alta, Norway: Alta Airport
ALG|Algiers, Algeria: Alger/Dar El Beida
ALH|Albany, Australia: Albany Airport
ALI|Alice, TX: Alice International
ALJ|Alexander Bay, Republic Of South Africa: Alexander Bay Airport
ALK|Asela, Ethiopia: Asela Airport
ALL|Unknown Code Description|
ALM|Alamogordo, NM: Alamogordo White Sands Rgnl
ALN|Alton, IL: Alton
ALO|Waterloo, IA: Waterloo Municipal
ALP|Aleppo, Syrian Arab Republic: Neirab
ALQ|Alegrete, Brazil: Alegrete Airport
ALR|Alexandra, New Zealand: Alexandra Airport
ALS|Alamosa, CO: Alamosa Municipal
ALT|Alenquer, Brazil: Alenquer Airport
ALU|Alula, Somalia: Alula Airport
ALW|Walla Walla, WA: Walla Walla City County
ALX|Alexander City, AL: Thomas C Russell
ALY|Alexandria, Arab Republic Of Egypt: Alexandria Airport
ALZ|Alitak, AK: Alitak Airport
AMA|Amarillo, TX: Amarillo Airport
AMB|Ambilobe, Mg|
AMD|Ahmedabad, India: Ahmedabad Airport
AMF|Ama, Papua New Guinea: Ama Papua N.G.
AMG|Amboin, Papua New Guinea: Amboin Airport
AMH|Arba Mintch, Ethiopia: Arba Mintch Ethiopia
AMI|Mataram, Indonesia: Selaparang
AMK|Durango, CO: Animas Air Park
AML|Puerto Armuelles, Panama Republic: Puerto Armuelles Airport
AMM|Amman, Jordan: Queen Alia
AMN|Alma, MI: Gratiot Community
AMO|Mao, Chad: Mao Chad
AMP|Ampanihy, Madagascar: Ampanihy Airport
AMQ|Ambon, Indonesia: Laha
AMS|Amsterdam, Netherlands: Schiphol
AMT|Amata, Australia: Amata Airport
AMU|Amanab, Pg|
AMV|Unknown Code Description|
AMW|Ames, IA: Ames Municipal
AMX|Ammaroo, Australia: Ammaroo Station
AMY|Ambatomainty, Madagascar: Ambatomainty Airport
ANA|Anaheim, CA: Anaheim-Disneyland Helipad
ANB|Anniston, AL: Anniston/Calhoun County
ANC|Anchorage, AK: Anchorage International
AND|Anderson, SC: Anderson County
ANE|Angers, France: Avrille
ANF|Antofagasta, Chile: Cerro Moreno
ANG|Angouleme, France: Brie-Champniers
ANI|Aniak, AK: Aniak Airport
ANJ|Zanaga, Cg|
ANK|Ankara, Turkey: Etimesgut
ANM|Antalaha, Madagascar: Antalaha/Antsirabato
ANN|Annette, AK: Annette Island
ANO|Angoche, Mozambique: Antonio Enes
ANP|Annapolis, MD: Lee
ANR|Antwerp, Belgium: Antwerp-Brussels North
ANS|Andahuaylas, Peru: Huancabamba
ANU|Antigua, Antigua and Barbuda: V C Bird International
ANV|Anvik, AK: Anvik Airport
ANX|Andeness, Norway: Andoya
AOA|Aroa, Papua New Guinea: Aroa Airport
AOB|Annanberg, Pg|
AOC|Altenburg, De|
AOD|Abou Deia, Chad: Abou Deia Airport
AOE|Eskisehir, Tr|
