Last_Report_Year,TRS_ID,System_Name,City,State,UZA_Name,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
2008,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",MB,"$24,733,469","$5,029,985","$10,305,823","$11,365,526","$6,712,607","$14,928,079","$18,506,881","$19,751,031","$30,020,082","$5,484,909","$9,844,906","$4,705,138","$16,907,833","$17,021,735","$11,601,783","$17,384,703","$21,875,998"
2008,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",VP,,,,,,"$651,531",,,,,"$615,446","$190,077","$1,153,724","$853,868","$942,714","$1,483,619","$692,606"
2008,0005,Everett Transit,Everett,WA,"Seattle, WA",14,954,"2,712,205",DR,"$396,144","$503,709","$124,595","$102,354","$207,058","$37,978","$28,728","$1,072,205","$472,186","$1,180,919","$2,165","$585,114","$8,173","$5,231",$0,"$1,255,152","$46,532"
2008,0005,Everett Transit,Everett,WA,"Seattle, WA",14,954,"2,712,205",MB,"$1,243,396","$1,233,884","$855,467","$156,476","$1,080,105","$2,339,658","$503,116","$7,320,253","$11,109,438","$22,331,849","$7,706,545","$1,240,673","$218,498","$692,638","$4,548,879","$3,787,028","$1,815,755"
2008,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816",DR,,,,,,,,,,,$0,$0,$0,$0,"$73,482",$0,"$245,598"
2008,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816",MB,"$1,476,533","$3,064,490","$1,756,270","$55,943","$64,309","$374,563","$233,996","$900,187","$46,357","$221,811","$2,317,738","$26,180","$1,132,722","$241,670","$2,180,169","$14,751","$1,448,144"
2008,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816",VP,,,,,,,,,,,"$73,801","$190,398",$0,"$234,365",$0,$0,"$276,446"
2008,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049",DR,,,,,,,"$116,860","$274,487",,"$355,711","$605,727","$419,428","$2,130,607","$3,029,710","$62,634","$1,023,306","$2,000"
2008,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049",MB,"$326,358","$521,254","$6,133,712","$879,111","$2,915,121","$6,657,195","$8,862,766","$7,356,761","$2,470,419","$2,748,988","$4,385,640","$9,753,009","$11,251,735","$7,269,633","$13,261,472","$16,837,022","$11,409,443"
2008,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049",VP,,,,,,,,,,,,,,$0,$0,$0,$0
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",AG,,,,,,,,,,,$0,,,,,,
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",AR,,,,,,,,,,,$0,,,,,,
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",CC,,,,,,,,,,,$0,,,,,,
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",CR,,,,,,,,,,,$0,,,,,"$51,623,745","$82,001,968"
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",DR,,"$1,925,327","$1,567,119","$2,186,501","$2,117,115","$1,649,196","$4,605,363","$2,556,407","$1,944,736","$2,291,743","$3,661,370","$649,238","$181,662","$358,128","$100,830","$2,878,474","$3,803,267"
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",FB,,,,,,,,,,,$0,,,,,,
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",HR,,,,,,,,,,,$0,,,,,,
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",IP,,,,,,,,,,,$0,,,,,,
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",JT,,,,,,,,,,,$0,,,,,,
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",LR,"$14,265,667","$44,255,896","$108,727,952","$221,949,435","$233,664,553","$235,690,498","$174,714,374","$60,938,525","$111,521,414","$85,558,886","$125,390,322","$99,422,935","$72,894,711","$35,831,746","$43,293,116","$133,417,321","$227,708,430"
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",MB,"$15,592,963","$13,641,890","$11,989,251","$18,473,327","$12,711,541","$8,100,833","$34,734,394","$47,289,289","$14,994,183","$30,226,133","$10,588,487","$30,666,394","$12,893,164","$3,428,286","$19,703,745","$2,098,669","$4,010,647"
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",MO,,,,,,,,,,,$0,,,,,,
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",OR,,,,,,,,,,,$0,,,,,,
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",PB,,,,,,,,,,,$0,,,,,,
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",TB,,,,,,,,,,,$0,,,,,,
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",TR,,,,,,,,,,,$0,,,,,,
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",VP,,,,,,,,,,,$0,,,,,,
2008,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625",DR,,,,,,,,,,,"$37,002","$462,930",$0,"$13,630","$23,367","$21,420","$55,871"
2008,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625",MB,"$23,005","$498,091","$96,005","$4,830,113","$1,654,675","$711,272","$1,851,719","$525,522","$442,959","$2,785,249","$4,164,914","$221,737","$253,288","$1,000,158","$320,603","$423,350","$1,312,546"
2008,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744",DR,,"$179,390","$172,487",,"$404,530","$672,291","$650,314","$20,990","$242,810","$451,969","$626,279","$11,057","$13,414","$1,403,811","$990,160","$2,031,350","$3,395,255"
2008,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744",MB,"$32,661","$548,960","$817,131","$394,175","$5,056,863","$818,282","$914,701","$10,466,797","$712,240","$646,558","$1,332,965","$1,478,624","$3,411,017","$1,612,497","$1,672,971","$2,108,877","$7,384,773"
2008,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744",VP,,,,,"$60,000",,"$195,000",$297,"$197,831",,"$508,177",$0,$0,"$361,913","$1,011,488",$0,"$248,679"
2008,0016,Community Urban Bus Service,Longview,WA,"Longview, WA-OR",378,27,"60,443",DR,,,,,,,"$156,396",,"$156,761",,$0,"$67,171","$261,361",$0,$0,"$266,720",$0
2008,0016,Community Urban Bus Service,Longview,WA,"Longview, WA-OR",378,27,"60,443",MB,"$258,500","$341,066","$446,350",,,"$7,609","$249,012",,,"$154,857","$1,069,772","$590,077","$5,309",$0,"$21,300","$28,740","$103,590"
2008,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",DR,"$613,495",,,,"$821,463","$73,537",,,,,"$135,260","$1,423,945",,"$2,041,100","$1,073,033",$0,$0
2008,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",MB,"$1,537,837",,"$167,784","$1,178,216",,"$277,182","$201,322",,"$69,269","$893,599","$35,593","$2,019,690",,"$3,690,447","$2,848,620","$1,918,372","$1,199,992"
2008,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",VP,,"$53,218",,,"$350,680",,,,,,$0,"$597,422",,"$411,154","$299,574","$792,387","$3,158,771"
2008,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",DR,,,,,,,,,"$279,170","$592,884","$445,604","$247,118","$1,568,297","$859,352","$725,279","$705,006","$749,019"
2008,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",MB,"$1,070,268","$6,072,845","$4,665,675","$2,830,913","$2,757,524","$1,102,788","$3,861,791","$259,985","$139,254","$504,480","$131,859","$616,447","$2,515,511","$8,268,828","$2,963,082","$10,186,114","$1,354,059"
2008,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",VP,"$281,364",,,,,,,"$249,828","$215,141","$184,665","$418,473","$451,968","$502,677","$1,110,302","$720,862","$985,708","$1,054,634"
2008,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",DR,,"$30,292","$221,506","$725,369","$168,485",,,"$221,344","$2,369,684","$22,475","$2,069,705","$1,686,147","$1,184,045","$479,990","$9,524","$18,550","$1,309,983"
2008,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",FB,,,,,,,,,,,"$1,285,050","$1,651,083","$1,560,723","$3,278,442","$1,575,950","$1,908,771","$1,839,371"
2008,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",MB,"$310,592","$417,711","$2,550,312","$3,984,636","$1,705,273","$4,262,701","$5,982,843","$23,566,242","$10,456,210","$5,830,482","$1,739,932","$11,733,598","$11,715,261","$5,480,146","$801,725","$3,313,816","$2,944,767"
2008,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",VP,"$30,749","$869,245",,"$461,699","$695,975",,,"$152,318",,,"$1,352,205","$168,035","$681,809","$347,511","$714,824","$37,184","$259,922"
2008,0021,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",301,35,"84,324",DR,,,"$192,988","$490,971","$823,416","$345,648",,,,,"$1,278,579","$126,970","$451,459","$319,316","$141,208","$2,386,015","$125,638"
2008,0021,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",301,35,"84,324",MB,"$661,209","$1,006,245","$5,635,338","$4,517,544","$679,794","$1,058,113","$6,296,178","$2,902,744","$2,912,718","$8,105,925","$1,452,865","$1,999,728","$2,587,287","$1,121,021","$1,743,222","$7,698,258","$1,820,920"
2008,0021,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",301,35,"84,324",VP,,,,"$206,466",,,,,,,,,,,,,
2008,0022,City of Pocatello - Pocatello Regional Transit,Pocatello,ID,"Pocatello, ID",370,30,"62,498",DR,"$42,598",,,"$104,493","$1,694","$8,645",,,,,"$135,744",$0,$0,"$55,542","$5,036","$340,182","$289,794"
2008,0022,City of Pocatello - Pocatello Regional Transit,Pocatello,ID,"Pocatello, ID",370,30,"62,498",MB,"$17,323","$9,171",,"$8,913","$44,577","$66,975","$211,894","$1,048,933","$84,421","$235,376","$25,863","$49,357","$16,213","$23,612",$0,"$633,804","$366,639"
2008,0023,City of Seattle - Seattle Center Monorail Transit,Seattle,WA,"Seattle, WA",14,954,"2,712,205",AG,"$194,997",,,,,,,,,,,,,,,,
2008,0023,City of Seattle - Seattle Center Monorail Transit,Seattle,WA,"Seattle, WA",14,954,"2,712,205",MO,,"$66,816",,,,"$244,355",,,,,"$1,048,799",$0,$0,$0,"$602,000","$934,803",$0
2008,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138",DR,"$39,316","$339,108","$713,401","$35,815","$196,366","$1,687,632","$187,900",,,,$0,"$352,676","$422,684",$0,"$836,298","$1,166,037","$609,912"
2008,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138",MB,"$581,662","$699,419","$471,241","$10,172,571","$7,096,674","$4,678,842","$2,013,782","$8,191,857","$4,004,121","$4,363,432","$1,067,009","$13,172,290","$5,048,426","$2,571,721","$3,882,229","$11,026,140","$14,800,292"
2008,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138",VP,,"$3,832",,,,,,,,,$0,$0,$0,$0,,,"$198,010"
2008,0025,Salem Area Mass Transit District,Salem,OR,"Salem, OR",145,69,"207,229",DR,,,,,,,,,,,$0,$0,$0,$0,$0,"$564,676","$422,118"
2008,0025,Salem Area Mass Transit District,Salem,OR,"Salem, OR",145,69,"207,229",MB,"$1,348,128",,"$337,648","$57,102","$29,785","$3,210,249","$1,232,562","$2,527,712","$807,967","$707,707","$397,092","$3,879,168","$3,794,964","$1,358,219","$3,886,397","$671,361","$6,425,603"
2008,0025,Salem Area Mass Transit District,Salem,OR,"Salem, OR",145,69,"207,229",VP,,,,,,,,,,,,,,$0,$0,$0,$0
2008,0028,Pierce County Ferry Operations,University Place,WA,"Seattle, WA",14,954,"2,712,205",FB,"$247,392","$3,187,387","$2,754,417","$369,474","$127,200","$5,849,379","$1,012,415","$61,463","$5,152","$172,731","$21,523","$100,203","$1,631,386","$2,924,642","$10,433,163","$183,660",$0
2008,0029,Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,"Seattle, WA",14,954,"2,712,205",DR,,,,,"$860,598","$1,501,600","$75,667","$1,065,118",,"$598,916","$2,919","$3,117,812","$151,983","$151,744","$644,474","$670,092",$0
2008,0029,Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,"Seattle, WA",14,954,"2,712,205",MB,"$912,074","$727,372","$1,154,400","$6,922,830","$726,157","$3,254,021","$15,623,678","$4,227,640","$10,661,710","$747,297","$108,826","$16,545,690","$6,048,530","$24,203,219","$4,961,622","$19,783,798","$32,169,943"
2008,0029,Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,"Seattle, WA",14,954,"2,712,205",VP,,"$383,818","$14,180","$937,214","$838,065","$121,000","$94,165",,"$578,297",,$0,"$847,392","$14,132","$804,491","$2,184,248","$2,719,994","$1,125,301"
2006,0033,Senior Services of Snohomish County,Mukilteo,WA,"Seattle, WA",14,954,"2,712,205",DR,"$45,256","$47,372","$91,735","$53,310",,,,,,,$0,$0,$0,$0,"$90,752",,
2008,0034,Rogue Valley Transportation District,Medford,OR,"Medford, OR",210,59,"128,780",DR,,,,"$112,658",,,,,,"$207,602",$0,"$32,414",$0,"$231,147","$436,784","$75,670",$0
2008,0034,Rogue Valley Transportation District,Medford,OR,"Medford, OR",210,59,"128,780",MB,"$58,995","$92,493","$1,046,885","$2,347,214","$18,500","$240,427","$396,452","$321,304","$112,717",,"$39,648",$0,"$406,507","$3,464,262","$739,903","$208,372","$31,758"
2008,0035,Washington State Ferries,Seattle,WA,"Seattle, WA",14,954,"2,712,205",FB,"$42,667,205","$59,146,309","$83,135,471","$69,549,733","$84,506,982","$127,184,018","$96,236,062","$119,469,784","$107,310,196","$51,881,470","$76,353,751","$84,238,568","$70,450,011","$108,415,105","$90,289,817","$94,050,826","$65,414,130"
1998,0038,Community and Rural Transportation ,Idaho Falls,ID,"Idaho Falls, ID",362,21,"56,356",MB,,,,"$74,174",,,,,,,,,,,,,
2008,0040,Central Puget Sound Regional Transit Authority,Seattle,WA,"Seattle, WA",14,954,"2,712,205",CR,,,,,,,,"$75,258,763","$89,255,681","$95,415,602","$110,608,986","$199,716,470","$156,266,264","$70,727,269","$94,754,865","$105,068,937","$65,306,147"
2008,0040,Central Puget Sound Regional Transit Authority,Seattle,WA,"Seattle, WA",14,954,"2,712,205",LR,,,,,,,,"$62,807,134","$106,198,209","$73,794,252","$119,264,601","$117,155,810","$247,714,428","$436,122,557","$532,012,381","$559,334,103","$438,696,720"
2008,0040,Central Puget Sound Regional Transit Authority,Seattle,WA,"Seattle, WA",14,954,"2,712,205",MB,,,,,,,,"$74,478,832","$55,149,294","$55,394,149","$45,142,293","$79,164,220","$105,414,791","$93,555,979","$83,724,987","$81,976,893","$55,023,284"
2008,0040,Central Puget Sound Regional Transit Authority,Seattle,WA,"Seattle, WA",14,954,"2,712,205",TB,,,,,,,,,,,$0,$0,$0,,,,
2008,0041,Alaska Railroad Corporation,Anchorage,AK,"Anchorage, AK",135,79,"225,744",AR,,,,,,,,,,,"$6,801,409","$8,040,518","$8,506,196","$8,094,411","$8,296,598","$9,803,464","$9,173,352"
2008,0041,Alaska Railroad Corporation,Anchorage,AK,"Anchorage, AK",135,79,"225,744",CR,,,,,,,,,,"$6,185,715",,,,,,,
2008,0042,Targhee Regional Public Transit Authority,Idaho Falls,ID,"Idaho Falls, ID",351,31,"66,973",DR,,,,,,,,,,,$0,,,,"$60,667",,
2008,0042,Targhee Regional Public Transit Authority,Idaho Falls,ID,"Idaho Falls, ID",351,31,"66,973",MB,,,,,,,,,"$27,000",,"$264,765",,,,"$144,408",,
2008,0043,Link Transit,Wenatchee,WA,"Wenatchee, WA",411,27,"55,425",DR,,,,,,,,,,,,,"$547,141","$399,953","$120,137","$137,753",$0
2008,0043,Link Transit,Wenatchee,WA,"Wenatchee, WA",411,27,"55,425",MB,,,,,,,,,,,,,"$1,298,025","$1,504,818","$328,017","$1,265,282","$1,339,000"
2008,0043,Link Transit,Wenatchee,WA,"Wenatchee, WA",411,27,"55,425",VP,,,,,,,,,,,,,,,,$0,$0
2008,0044,Skagit Transit,Burlington,WA,"Mount Vernon, WA",440,32,"51,174",DR,,,,,,,,,,,,,"$309,454","$128,502","$15,146",$0,"$406,571"
2008,0044,Skagit Transit,Burlington,WA,"Mount Vernon, WA",440,32,"51,174",MB,,,,,,,,,,,,,"$77,693","$1,198,005","$2,473,338","$1,084,493","$1,585,133"
2008,0044,Skagit Transit,Burlington,WA,"Mount Vernon, WA",440,32,"51,174",VP,,,,,,,,,,,,,"$186,174","$168,575","$365,230","$91,510","$205,692"
2008,0045,Fairbanks North Star Borough Transit,Fairbanks,AK,"Fairbanks, AK",434,43,"51,926",DR,,,,,,,,,,,,,$0,"$196,549","$473,980","$54,357",$0
2008,0045,Fairbanks North Star Borough Transit,Fairbanks,AK,"Fairbanks, AK",434,43,"51,926",MB,,,,,,,,,,,,,"$15,000","$39,933","$1,767,996","$80,381","$2,912,283"
2008,0046,South Metro Area Regional Transit,Wilsonville,OR,"Portland, OR-WA",23,474,"1,583,138",DR,,,,,,,,,,,"$796,240","$153,211","$50,286",$0,$0,$0,$605
2008,0046,South Metro Area Regional Transit,Wilsonville,OR,"Portland, OR-WA",23,474,"1,583,138",MB,,,,,,,,,,,$0,$0,"$365,259","$2,246,424","$121,185","$798,458","$1,477,566"
2008,0049,"VPSI, Anchorage",Anchorage,AK,"Anchorage, AK",135,79,"225,744",VP,,,,,,,,,,,,,,,$0,$0,$0
2008,0050,"City of Bend, Public Works Department",Bend,OR,"Bend, OR",401,36,"57,525",DR,,,,,,,,,,,,,,,,"$490,466","$118,326"
2008,0050,"City of Bend, Public Works Department",Bend,OR,"Bend, OR",401,36,"57,525",MB,,,,,,,,,,,,,,,,$0,"$11,200"
2008,1001,Rhode Island Public Transit Authority,Providence,RI,"Providence, RI-MA",34,504,"1,174,548",CR,,,,,,,"$5,729,508",,,,,$0,,,,,
2008,1001,Rhode Island Public Transit Authority,Providence,RI,"Providence, RI-MA",34,504,"1,174,548",DR,,,,"$330,040","$1,504,687","$1,293,033","$321,540","$775,171",,,$0,"$737,158","$2,285,839",$0,"$769,760","$2,160,217",$0
2008,1001,Rhode Island Public Transit Authority,Providence,RI,"Providence, RI-MA",34,504,"1,174,548",MB,"$4,335,818","$10,134,003","$3,801,893","$5,317,439","$2,324,017","$3,039,451","$3,516,765","$18,555,807","$17,593,414","$33,848,881","$23,942,300","$5,941,418","$5,503,507","$5,115,961","$9,442,341","$3,009,623","$4,104,084"
2008,1002,Manchester Transit Authority,Manchester,NH,"Manchester, NH",196,71,"143,549",DR,,,"$135,640",,,,,,,,"$3,000",$0,$0,"$110,699",$0,"$154,210",$0
2008,1002,Manchester Transit Authority,Manchester,NH,"Manchester, NH",196,71,"143,549",MB,,,,"$15,225","$730,816","$394,973","$497,044","$50,450","$512,089","$186,327","$254,566","$80,267","$337,403","$723,610","$1,731,199","$28,283","$898,990"
2008,1003,Massachusetts Bay Transportation Authority,Boston,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484",CR,"$157,847,425","$88,756,149","$164,686,098","$338,613,960","$421,798,266","$407,096,605","$229,543,095","$88,825,691","$65,229,518","$124,837,251","$84,769,164","$85,973,041","$125,662,419","$105,169,414","$153,716,796","$125,649,164","$83,440,692"
2008,1003,Massachusetts Bay Transportation Authority,Boston,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484",DR,"$16,665,047","$4,215,054",,,"$2,331,334","$1,568,205","$279,880","$620,525",,,"$1,313,320",$0,$0,"$528,353","$47,205","$420,000","$38,270"
2008,1003,Massachusetts Bay Transportation Authority,Boston,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484",FB,"$3,281,528",,,,,"$1,044,361","$313,601","$1,541",,,"$1,336,104","$3,851,762","$179,127","$254,837","$1,003,096","$741,899","$530,482"
2008,1003,Massachusetts Bay Transportation Authority,Boston,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484",HR,"$71,391,230","$79,549,441","$92,716,704","$180,101,673","$58,070,668","$57,123,386","$44,737,450","$55,021,243","$65,647,520","$76,998,297","$93,334,413","$116,201,564","$108,880,686","$177,207,546","$184,697,925","$202,462,992","$175,109,312"
2008,1003,Massachusetts Bay Transportation Authority,Boston,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484",LR,"$63,902,200","$32,957,640","$4,741,556","$12,988,367","$56,112,552","$87,477,667","$94,769,779","$90,800,945","$58,224,404","$31,964,241","$73,057,893","$74,276,779","$85,383,200","$63,145,581","$96,027,540","$98,209,592","$90,599,240"
2008,1003,Massachusetts Bay Transportation Authority,Boston,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484",MB,"$39,362,731","$29,955,333","$383,038","$52,808,332","$74,006,696","$25,005,761","$15,049,488","$2,223,950","$3,433,701","$15,386,957","$48,538,510","$44,419,003","$188,241,276","$106,772,152","$45,732,235","$113,788,592","$43,478,153"
2008,1003,Massachusetts Bay Transportation Authority,Boston,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484",TB,"$6,563,060",,"$16,112,000",,,"$31,243,213","$36,276,991","$56,861,640","$107,761,282","$95,015,289","$75,632,461","$62,580,705","$91,601,294","$53,875,958","$22,573,364","$10,126,335","$9,734,398"
2008,1004, Brockton Area Transit Authority,Brockton,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484",DR,"$74,300","$298,111","$267,498","$22,250","$234,073","$5,465","$311,406","$427,651","$200,008",,$0,"$266,301","$595,951","$478,038",$0,"$690,173","$497,792"
2008,1004, Brockton Area Transit Authority,Brockton,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484",MB,"$4,991,438","$23,560","$38,155","$590,768","$3,882,662","$288,859","$1,450,178","$1,911,804","$351,603","$1,287,603","$1,193,474","$2,023,987","$2,669,418","$634,635","$6,915,832","$212,088","$2,444,443"
2008,1005,Lowell Regional Transit Authority,Lowell,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484",DR,,,,"$48,263","$61,482","$80,850","$88,662","$90,000",,,"$30,000","$279,189",$0,$0,$0,$0,$0
2008,1005,Lowell Regional Transit Authority,Lowell,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484",MB,"$5,767,923","$453,003","$688,319","$3,025,945","$425,893","$419,361","$1,225,862","$1,893,703","$3,471,985","$2,835,450","$7,993,589","$2,764,386","$2,024,715","$3,951,738","$1,384,955","$2,804,587","$2,853,350"
2008,1006,Southeastern Regional Transit Authority,New Bedford,MA,"New Bedford, MA",193,63,"146,730",DR,"$42,009",,"$429,552",,"$616,683","$211,284","$571,194","$203,290","$372,394","$431,532","$780,244","$374,325","$155,100","$166,241","$241,476","$235,800",$0
2008,1006,Southeastern Regional Transit Authority,New Bedford,MA,"New Bedford, MA",193,63,"146,730",MB,"$5,886,233","$141,192","$408,245",,"$5,974,531","$669,063","$2,978,277","$813,155","$1,320,305","$333,410","$80,887","$772,325","$537,009","$604,190","$433,470","$72,734","$3,139,047"
