Last_Report_Year,TRS_ID,System_Name,City,State,UZA_Name,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,TOS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
2008,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816",MB,DO,"$2,758,740","$3,066,849","$3,476,620","$3,511,278","$3,121,699","$3,178,835","$3,271,971","$3,307,122","$3,461,189","$3,340,598","$3,427,379","$3,768,008","$3,957,559","$4,285,977","$4,582,787","$4,960,124","$5,165,839","$5,636,754"
2008,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816",VP,DO,,,,,,,,,,,,"$36,084","$64,869","$78,531","$111,862","$136,032","$197,476","$295,255"
2008,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049",DR,PT,"$442,521","$733,465","$822,637","$886,798","$786,408","$883,986","$997,425","$1,043,350","$1,113,212","$1,244,050","$1,579,574","$1,930,674","$2,125,281","$2,126,289","$2,326,441","$2,636,441","$3,133,939","$3,432,854"
2008,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049",MB,DO,"$9,684,896","$10,432,547","$11,254,153","$12,024,017","$13,464,295","$14,310,975","$15,310,262","$16,866,583","$18,649,899","$20,097,039","$21,406,695","$22,367,336","$22,162,443","$23,305,977","$25,247,343","$26,868,693","$29,461,278","$31,939,788"
2008,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049",VP,PT,,,,,,,,,,,,,,,"$16,068","$38,347","$40,873","$88,059"
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",DR,DO,,,,,"$187,000","$599,919","$721,059","$817,460","$646,155",,,,,,,,,
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",DR,PT,"$5,927,852","$5,311,236","$5,690,843","$6,629,682","$11,178,334","$13,192,851","$14,941,457","$10,916,064","$12,611,230","$16,039,333","$15,559,002","$17,082,690","$18,421,275","$22,047,636","$24,879,279","$27,025,361","$28,982,675","$30,754,404"
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",LR,DO,"$7,557,140","$11,440,988","$11,675,773","$14,450,117","$16,397,499","$18,406,745","$20,021,756","$22,255,163","$34,435,225","$41,340,661","$40,035,484","$56,257,767","$55,295,890","$56,965,750","$67,590,404","$69,990,063","$73,656,174","$84,120,139"
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",MB,DO,"$65,462,933","$84,992,620","$96,047,449","$100,614,986","$111,504,650","$112,595,218","$118,527,989","$120,935,926","$136,289,240","$146,744,971","$153,860,651","$170,037,154","$171,402,358","$183,577,437","$200,999,113","$203,266,221","$207,701,265","$223,177,624"
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",MB,PT,"$149,310","$482,637","$480,801","$471,521","$369,822",,,,,,,,,,,,,
2008,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625",DR,DO,"$66,375","$78,289","$141,298","$272,072","$312,533","$367,402","$367,247","$449,315","$287,253","$543,543","$549,655","$673,827","$885,910","$892,807","$838,552","$865,847","$1,136,493","$1,235,811"
2008,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625",DR,PT,,,,,,,,,,,,,"$18,088","$120,426","$111,331","$100,198","$129,260","$133,510"
2008,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625",MB,DO,"$1,792,147","$1,920,920","$2,279,057","$2,683,167","$2,730,214","$2,891,678","$3,011,482","$3,457,720","$3,524,809","$3,892,649","$4,393,511","$4,595,980","$5,353,046","$5,577,881","$5,477,158","$5,158,247","$5,560,363","$5,856,756"
2008,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625",MB,PT,,,,,,,,,,,,,"$306,511","$749,872","$1,201,386","$1,156,359","$1,194,443","$1,602,283"
2008,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744",DR,PT,"$465,649","$475,060","$560,238","$606,118","$809,050","$1,017,945","$1,186,434","$1,953,439","$2,046,070","$2,096,253","$2,689,109","$3,237,580","$3,425,188","$3,625,753","$3,885,526","$4,697,388","$5,089,787","$5,235,681"
2008,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744",MB,DO,"$10,389,114","$10,355,779","$10,093,929","$9,913,965","$10,022,398","$10,039,845","$10,092,857","$10,511,109","$10,608,455","$10,587,160","$11,719,129","$12,681,744","$13,564,209","$15,826,686","$17,584,120","$17,595,005","$19,956,753","$21,719,335"
2008,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744",VP,PT,,,,,,"$144,147","$169,994","$175,753","$205,437","$228,219","$265,591","$301,409","$393,434","$437,113","$500,354","$68,583","$58,698","$85,060"
1992,0015,Snohomish County Transportation Authority,Lynnwood,WA,"Seattle, WA",18,588,"1,744,086",MB,DO,,"$31,771",,,,,,,,,,,,,,,,
1992,0015,Snohomish County Transportation Authority,Lynnwood,WA,"Seattle, WA",18,588,"1,744,086",MB,PT,"$33,789",,,,,,,,,,,,,,,,,
2008,0016,Community Urban Bus Service,Longview,WA,"Longview, WA-OR",378,27,"60,443",DR,PT,"$63,900","$166,753","$168,149","$252,000",,,"$401,108","$415,694","$466,172","$458,272","$488,913","$575,379","$635,131","$662,195","$674,769","$735,576","$787,410","$789,075"
2008,0016,Community Urban Bus Service,Longview,WA,"Longview, WA-OR",378,27,"60,443",MB,DO,"$820,883","$834,814","$946,929","$1,061,405",,,"$1,177,760","$1,334,876","$1,292,184","$1,027,100","$1,089,660","$1,119,861","$1,128,396","$1,190,722","$1,264,402","$1,295,703","$1,407,810","$1,587,119"
2008,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",DR,DO,"$1,052,626","$1,455,854","$1,917,372","$2,128,794","$2,625,468","$2,998,888","$3,551,361","$4,120,047","$4,662,344","$4,248,588","$4,315,434","$5,040,238","$5,976,275",,"$7,818,336","$8,893,588","$9,709,478","$11,149,642"
2008,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",DR,PT,"$40,384","$69,159","$87,778","$116,444","$141,696","$150,799","$799,493","$1,087,632","$862,727","$636,736","$880,802","$948,784","$1,224,075",,"$2,368,464","$3,066,212","$3,209,243","$3,796,531"
2008,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",MB,DO,"$4,828,463","$6,154,279","$6,369,171","$6,871,733","$7,034,538","$7,375,174","$7,432,645","$7,833,406","$8,313,586","$7,647,952","$7,576,466","$7,573,976","$8,803,684",,"$11,199,386","$11,759,384","$12,152,958","$13,512,037"
2008,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",MB,PT,"$9,905","$48,098","$38,535","$300,281","$518,629","$628,641",,,,,,,,,,,,
2008,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",VP,DO,"$243,808","$335,071","$406,457","$556,406","$946,173","$911,923","$1,065,012","$980,352","$967,287","$1,075,390","$1,011,462","$890,065","$1,088,104",,"$1,661,543","$1,793,184","$2,045,021","$2,651,248"
2008,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",DR,DO,$0,"$1,006,217","$1,347,250","$1,920,660","$2,499,017","$2,527,372","$3,304,495","$3,345,046","$3,517,965","$3,067,661","$3,474,398","$3,331,906","$3,069,576","$3,434,138","$4,258,938","$4,349,834","$4,714,233","$5,134,911"
2008,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",DR,PT,"$682,768",,,,,,,,,,,,,,,,,
2008,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",MB,DO,"$7,267,225","$8,019,442","$9,968,391","$11,482,318","$11,361,607","$11,921,990","$11,766,725","$11,598,883","$12,548,736","$9,303,066","$9,471,336","$9,232,966","$10,512,780","$11,928,544","$13,399,443","$15,840,927","$16,757,249","$19,976,245"
2008,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",MB,PT,"$15,681",,,,,,,,,,,,,,,,,
2008,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",VP,DO,"$77,003","$100,094","$121,820","$121,229","$120,861","$152,875","$144,464","$170,524","$236,966","$288,229","$311,078","$326,065","$381,726","$556,279","$703,061","$906,604","$1,149,724","$1,447,008"
2008,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",DR,DO,,$0,,,"$2,427,087","$3,350,545","$3,618,083","$3,893,188","$4,443,057","$3,597,287","$4,130,131","$5,343,243","$6,818,871","$8,067,521","$8,435,736","$8,865,673","$9,582,098","$9,548,676"
2008,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",DR,PT,"$3,338,494","$3,657,656","$2,929,465","$3,265,379","$1,018,179","$271,350",,,,,,,,,,,,
2008,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",FB,PT,,"$1,467","$136,204","$643,225","$560,309","$541,669","$515,122","$561,212","$689,665","$418,907","$615,465","$700,912","$897,427","$1,152,829","$1,313,502","$1,446,134","$1,580,603","$1,886,367"
2008,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",MB,DO,"$5,019,896","$5,835,494","$7,261,876","$8,685,218","$9,981,234","$10,590,661","$10,968,193","$11,351,906","$12,240,375","$10,430,049","$11,699,378","$13,536,108","$15,026,507","$15,665,179","$16,845,529","$18,105,115","$18,801,120","$20,286,896"
2008,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",OR,PT,$0,,,,,,,,,,,,,,,,,
2008,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",VP,DO,"$208,123","$252,497","$213,858","$270,023","$321,729","$631,485","$616,311","$777,169","$917,097","$527,822","$492,217","$474,730","$667,108","$867,144","$1,270,784","$1,260,428","$1,281,229","$1,455,127"
2008,0021,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",301,35,"84,324",DR,DO,,,,"$1,887,027","$2,226,730","$2,682,073","$2,713,734","$2,893,379","$3,027,099","$3,050,505","$3,241,136","$3,555,746","$3,408,828","$3,877,809","$3,929,608","$3,976,866","$5,544,469","$5,803,260"
2008,0021,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",301,35,"84,324",DR,PT,"$788,472","$955,360","$1,206,038","$23,551","$2,487","$41,317","$32,673","$41,256","$37,754","$20,439","$21,379","$36,983","$26,252","$26,818","$27,566","$30,211","$37,549","$48,713"
2008,0021,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",301,35,"84,324",MB,DO,"$4,199,424","$4,783,181","$5,061,583","$5,517,576","$5,882,089","$6,857,545","$6,871,616","$7,103,236","$7,365,642","$7,506,854","$7,492,217","$7,701,628","$8,764,543","$9,050,934","$10,904,118","$11,761,103","$12,886,196","$15,396,728"
2008,0021,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",301,35,"84,324",VP,PT,,,,,"$91,481",,,,,,,,,,,,,
2008,0022,City of Pocatello - Pocatello Regional Transit,Pocatello,ID,"Pocatello, ID",370,30,"62,498",DR,DO,"$54,433","$78,229","$98,387","$118,620","$138,555","$142,796","$148,184","$196,336","$223,557","$300,124","$327,192","$375,432","$450,474","$515,089","$554,098","$542,856","$1,161,436","$1,541,476"
2008,0022,City of Pocatello - Pocatello Regional Transit,Pocatello,ID,"Pocatello, ID",370,30,"62,498",MB,DO,"$337,890","$437,116","$469,362","$511,210","$493,645","$475,483","$475,955","$535,025","$559,643","$661,758","$640,761","$655,238","$674,151","$704,789","$775,454","$741,584","$763,427","$913,017"
2008,0022,City of Pocatello - Pocatello Regional Transit,Pocatello,ID,"Pocatello, ID",370,30,"62,498",MB,PT,,,,,,,,,,,,,,,,,,$0
2008,0023,City of Seattle - Seattle Center Monorail Transit,Seattle,WA,"Seattle, WA",14,954,"2,712,205",MO,PT,,,"$1,373,158","$1,484,751","$1,469,333","$1,542,695","$1,599,143","$1,971,854","$2,143,959","$2,252,944","$2,366,890","$2,167,065","$2,084,437","$1,485,247","$1,711,859","$320,558","$2,530,405","$2,273,249"
2008,0023,City of Seattle - Seattle Center Monorail Transit,Seattle,WA,"Seattle, WA",14,954,"2,712,205",OR,DO,$0,"$1,383,397",,,,,,,,,,,,,,,,
2008,0023,City of Seattle - Seattle Center Monorail Transit,Seattle,WA,"Seattle, WA",14,954,"2,712,205",OR,PT,"$1,272,658",,,,,,,,,,,,,,,,,
2008,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138",DR,DO,,,,,,,,,"$2,066,088","$3,713,625","$3,921,158","$4,230,820","$4,489,742","$5,115,421","$5,122,262","$6,785,043","$7,760,124","$8,799,279"
2008,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138",DR,PT,"$769,333","$857,030","$1,160,475","$1,252,655","$1,486,101","$2,747,996","$3,544,665","$4,507,156","$2,307,107",,,,,,,,,
2008,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138",MB,DO,"$8,711,605","$9,654,753","$9,720,527","$10,652,664","$12,346,873","$14,209,482","$16,572,015","$18,151,993","$20,042,070","$18,347,197","$18,085,091","$19,946,477","$19,731,628","$19,724,094","$19,864,065","$21,079,481","$23,728,349","$28,240,702"
2008,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138",MB,PT,"$141,648",,,,,,,,,,,,,,,,,
2008,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138",VP,DO,"$22,963","$32,658","$35,384","$33,888","$35,106","$68,554","$102,967","$90,148","$114,135","$94,840","$81,357","$77,832","$64,318","$42,956","$26,687",,,
2008,0025,Salem Area Mass Transit District,Salem,OR,"Salem, OR",145,69,"207,229",DR,PT,,,,,,,,,,"$636,780","$740,696","$878,761","$2,367,700","$2,945,952","$3,075,454","$4,426,714","$9,148,118","$9,459,013"
2008,0025,Salem Area Mass Transit District,Salem,OR,"Salem, OR",145,69,"207,229",MB,DO,"$5,222,754","$5,868,778","$5,990,196","$6,504,033","$6,358,718","$6,533,752","$7,779,014","$8,134,378","$9,082,429","$10,550,196","$13,102,682","$13,649,033","$14,488,013","$15,069,446","$16,878,744","$18,013,506","$17,104,414","$17,707,826"
2008,0025,Salem Area Mass Transit District,Salem,OR,"Salem, OR",145,69,"207,229",VP,PT,,,,,,,,,,,,,,,"$20,113","$233,704","$208,195","$106,615"
2008,0028,Pierce County Ferry Operations,University Place,WA,"Seattle, WA",14,954,"2,712,205",FB,DO,"$763,873","$1,257,609",,,,,,,,,,,,,,,,
2008,0028,Pierce County Ferry Operations,University Place,WA,"Seattle, WA",14,954,"2,712,205",FB,PT,,,"$666,970","$920,262","$861,126","$1,021,667","$1,579,758","$1,344,832","$1,120,093","$1,701,906","$1,450,495","$2,088,384","$1,623,689","$2,306,283","$2,000,848","$2,537,170","$2,792,242","$4,740,516"
2008,0029,Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,"Seattle, WA",14,954,"2,712,205",DR,PT,$0,$0,$0,$0,$0,,$0,$0,$0,$0,$0,"$403,848","$448,882","$659,603","$676,299","$903,567","$7,820,608","$8,401,128"
2008,0029,Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,"Seattle, WA",14,954,"2,712,205",MB,DO,"$15,356,045","$20,042,557","$21,399,805","$23,238,632","$24,538,864","$25,182,943","$27,402,187","$30,544,743","$33,226,746","$29,597,203","$34,008,946","$37,102,476","$43,845,113","$47,981,180","$52,992,092","$56,013,022","$62,049,317","$66,554,958"
2008,0029,Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,"Seattle, WA",14,954,"2,712,205",MB,PT,,"$4,441,250","$4,182,081","$5,318,412","$7,452,810","$8,607,479","$8,499,972","$8,069,196","$9,231,368","$11,926,749","$13,066,766","$13,065,692","$14,606,895","$16,667,808","$11,125,668","$12,607,216","$13,310,543","$13,945,316"
2008,0029,Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,"Seattle, WA",14,954,"2,712,205",VP,DO,"$189,419","$498,566","$808,429","$887,104",,"$768,861","$1,222,327","$1,627,742","$1,887,435","$2,130,756","$2,059,200","$1,932,745","$2,033,904","$2,270,234","$2,545,613","$2,743,222","$3,328,647","$3,493,988"
2006,0033,Senior Services of Snohomish County,Mukilteo,WA,"Seattle, WA",14,954,"2,712,205",DR,DO,"$1,012,384","$1,383,541","$1,890,098","$2,195,811","$2,572,383","$2,666,391","$3,103,565","$3,411,457","$4,001,752","$3,683,208","$4,062,274","$4,720,788","$5,049,505","$5,142,225","$5,646,336","$5,865,066",,
2008,0034,Rogue Valley Transportation District,Medford,OR,"Medford, OR",210,59,"128,780",DR,DO,,,,,,,,,,,,"$85,046","$121,432","$243,409",,,,
2008,0034,Rogue Valley Transportation District,Medford,OR,"Medford, OR",210,59,"128,780",DR,PT,,,"$27,789","$36,774","$95,000","$546,234","$644,596","$890,399","$795,326","$906,558","$793,105","$832,924","$814,623","$1,622,345","$1,745,508","$2,257,348","$1,697,730","$1,614,378"
2008,0034,Rogue Valley Transportation District,Medford,OR,"Medford, OR",210,59,"128,780",MB,DO,"$2,031,696","$1,808,047","$1,959,030","$2,016,710","$2,332,135","$2,240,103","$2,090,714","$2,782,426","$2,852,856","$2,556,502","$3,082,473","$2,788,525","$2,538,882","$4,335,099","$3,980,085","$4,212,057","$4,464,428","$4,223,473"
2008,0035,Washington State Ferries,Seattle,WA,"Seattle, WA",14,954,"2,712,205",FB,DO,"$92,854,313","$96,848,733","$107,020,033","$113,521,292","$113,537,714","$117,035,290","$123,260,743","$128,714,642","$136,526,238","$142,047,379","$158,610,582","$162,312,719","$159,445,754","$158,648,160","$170,254,002","$188,959,048","$208,763,329","$233,049,968"
1991,0036,"ATE Management & Service Company, Inc.",Mukilteo,WA,"Seattle, WA",18,588,"1,744,086",MB,DO,"$3,696,119",,,,,,,,,,,,,,,,,
1998,0038,Community and Rural Transportation,Idaho Falls,ID,"Idaho Falls, ID",362,21,"56,356",DR,DO,,,"$575,640","$658,740","$574,031","$585,932","$626,117","$686,786",,,,,,,,,,
2008,0040,Central Puget Sound Regional Transit Authority,Seattle,WA,"Seattle, WA",14,954,"2,712,205",CR,PT,,,,,,,,,,"$3,845,826","$10,497,989","$12,052,321","$13,302,752","$16,019,009","$20,983,108","$22,594,175","$24,631,997","$31,084,795"
2008,0040,Central Puget Sound Regional Transit Authority,Seattle,WA,"Seattle, WA",14,954,"2,712,205",LR,DO,,,,,,,,,,,,,"$1,627,564","$2,543,779","$2,808,141","$2,904,075","$2,979,882","$3,046,657"
2008,0040,Central Puget Sound Regional Transit Authority,Seattle,WA,"Seattle, WA",14,954,"2,712,205",LR,PT,,,,,,,,,,,,$0,,,,,,
2008,0040,Central Puget Sound Regional Transit Authority,Seattle,WA,"Seattle, WA",14,954,"2,712,205",MB,DO,,,,,,,,,,,,,,,,,"$60,017,310","$68,995,224"
2008,0040,Central Puget Sound Regional Transit Authority,Seattle,WA,"Seattle, WA",14,954,"2,712,205",MB,PT,,,,,,,,,$0,$0,$0,$0,"$5,099,063","$6,621,036","$57,151,186","$63,434,045","$10,783,628","$12,163,858"
2008,0040,Central Puget Sound Regional Transit Authority,Seattle,WA,"Seattle, WA",14,954,"2,712,205",TB,PT,,,,,,,,,"$41,685",$0,$0,$0,"$37,730","$53,632",,,,
2008,0041,Alaska Railroad Corporation,Anchorage,AK,"Anchorage, AK",135,79,"225,744",AR,DO,,,,,,,,,,,"$1,701,832","$1,651,289","$1,868,869","$1,920,451","$2,501,380","$2,902,371","$3,352,222","$3,595,366"
2008,0042,Targhee Regional Public Transit Authority,Idaho Falls,ID,"Idaho Falls, ID",351,31,"66,973",DR,DO,,,,,,,,,,,,,,,,"$210,162",,
2008,0042,Targhee Regional Public Transit Authority,Idaho Falls,ID,"Idaho Falls, ID",351,31,"66,973",DR,PT,,,,,,,,,,"$621,410","$562,220","$351,731",,,,,,
2008,0042,Targhee Regional Public Transit Authority,Idaho Falls,ID,"Idaho Falls, ID",351,31,"66,973",MB,DO,,,,,,,,,,,,"$50,420",,,,"$350,614",,
2008,0042,Targhee Regional Public Transit Authority,Idaho Falls,ID,"Idaho Falls, ID",351,31,"66,973",MB,PT,,,,,,,,,,"$231,344","$238,556","$99,585",,,,,,
2008,0043,Link Transit,Wenatchee,WA,"Wenatchee, WA",411,27,"55,425",DR,DO,,,,,,,,,,,,,,"$1,945,534","$1,704,482","$1,594,764","$1,919,696","$2,007,071"
2008,0043,Link Transit,Wenatchee,WA,"Wenatchee, WA",411,27,"55,425",DR,PT,,,,,,,,,,,,,,"$250,097","$273,467","$347,570","$189,621","$221,751"
