#,Program Title,Agency/Office,Types of Assistance,Date Modified,Date Published
10.567,Food Distribution Program on Indian Reservations,Department of Agriculture / Food and Nutrition Service,"B - PROJECT GRANTS, H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS",8/9/2010 8:12,1/1/1983 0:00
10.572,WIC Farmers' Market Nutrition Program (FMNP),Department of Agriculture / Food and Nutrition Service,A - FORMULA GRANTS,7/18/2010 22:51,1/1/1993 0:00
10.700,National Agricultural Library,Department of Agriculture / Agricultural Research Service,L - DISSEMINATION OF TECHNICAL INFORMATION,7/28/2010 7:41,1/1/1969 0:00
11.001,Census Bureau Data Products,Department of Commerce / U.S. Census Bureau,L - DISSEMINATION OF TECHNICAL INFORMATION,9/17/2008 0:00,1/1/1965 0:00
11.002,Census Customer Services,Department of Commerce / U.S. Census Bureau,"K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION, M - TRAINING",9/17/2008 0:00,1/1/1970 0:00
11.801,Native American Business Enterprise Centers,Department of Commerce / Minority Business Development Agency,B - PROJECT GRANTS,9/19/2008 0:00,1/1/1986 0:00
12.599,Congressionally Directed Assistance,Department of Defense / Office of the Secretary of Defense,"B - Cooperative Agreements, B - Project Grants",3/5/2010 12:50,3/5/2010 12:50
14.231,Emergency Shelter Grants Program,Department of Housing and Urban Development / Office of Community Planning and Development,A - FORMULA GRANTS,7/15/2010 13:23,1/1/1987 0:00
14.235,Supportive Housing Program,Department of Housing and Urban Development / Office of Community Planning and Development,"B - PROJECT GRANTS, C - DIRECT PAYMENTS FOR A SPECIFIED USE",9/9/2010 12:02,1/1/1990 0:00
14.316,Housing Counseling Training Program,Department of Housing and Urban Development / Office of Housing-Federal Housing Commissioner,B - PROJECT GRANTS,8/16/2010 9:52,1/1/2006 0:00
14.400,Equal Opportunity in Housing,Department of Housing and Urban Development / Office of Fair Housing and Equal Opportunity,N - INVESTIGATION OF COMPLAINTS,7/18/2010 22:52,1/1/1969 0:00
14.879,Mainstream Vouchers,Department of Housing and Urban Development / Office of Public and Indian Housing,C - DIRECT PAYMENTS FOR A SPECIFIED USE,7/8/2010 7:38,1/1/2006 0:00
14.880,Family Unification Program (FUP),Department of Housing and Urban Development / Office of Public and Indian Housing,C - DIRECT PAYMENTS FOR A SPECIFIED USE,7/8/2010 7:37,1/1/2008 0:00
15.025,"Services to Indian Children, Elderly and Families",Department of the Interior / Bureau of Indian Affairs,C - DIRECT PAYMENTS FOR A SPECIFIED USE,9/27/2010 8:48,1/1/1997 0:00
15.043,Indian Child and Family Education,Department of the Interior / Bureau of Indian Education,"B - PROJECT GRANTS, M - TRAINING",9/27/2010 8:56,1/1/1997 0:00
15.113,Indian Social Services_Welfare Assistance,Department of the Interior / Bureau of Indian Affairs,C - DIRECT PAYMENTS FOR A SPECIFIED USE,9/23/2010 7:52,1/1/1965 0:00
15.144,Indian Child Welfare Act_Title II Grants,Department of the Interior / Bureau of Indian Affairs,B - PROJECT GRANTS,12/2/2010 7:56,1/1/1980 0:00
15.147,Tribal Courts_Trust Reform Initiative,Department of the Interior / Bureau of Indian Affairs,B - PROJECT GRANTS,12/23/2010 0:31,1/1/2003 0:00
16.001,Law Enforcement Assistance_Narcotics and Dangerous Drugs_Laboratory Analysis,Department of Justice / Drug Enforcement Administration,J - PROVISION OF SPECIALIZED SERVICES,7/30/2009 11:35,1/1/1969 0:00
16.003,Law Enforcement Assistance_Narcotics and Dangerous Drugs Technical Laboratory Publications,Department of Justice / Drug Enforcement Administration,L - DISSEMINATION OF TECHNICAL INFORMATION,7/30/2009 11:35,1/1/1970 0:00
16.100,Desegregation of Public Education,Department of Justice / Civil Rights Division,J - PROVISION OF SPECIALIZED SERVICES,8/27/2010 7:50,1/1/1965 0:00
16.103,Fair Housing and Equal Credit Opportunity,Department of Justice / Civil Rights Division,J - PROVISION OF SPECIALIZED SERVICES,8/27/2010 7:51,1/1/1970 0:00
16.104,Protection of Voting Rights,Department of Justice / Civil Rights Division,J - PROVISION OF SPECIALIZED SERVICES,8/27/2010 7:51,1/1/1965 0:00
16.200,Community Relations Service,Department of Justice / Community Relations Service,J - PROVISION OF SPECIALIZED SERVICES,9/17/2008 0:00,1/1/1967 0:00
16.301,Law Enforcement Assistance_FBI Crime Laboratory Support,Department of Justice / Federal Bureau of Investigation,"J - PROVISION OF SPECIALIZED SERVICES, M - TRAINING",6/30/2009 10:23,1/1/1965 0:00
16.303,Law Enforcement Assistance_FBI Fingerprint Identification,Department of Justice / Federal Bureau of Investigation,J - PROVISION OF SPECIALIZED SERVICES,6/30/2009 10:24,1/1/1969 0:00
16.304,Law Enforcement Assistance_National Crime Information Center,Department of Justice / Federal Bureau of Investigation,J - PROVISION OF SPECIALIZED SERVICES,6/30/2009 10:24,1/1/1969 0:00
16.305,Law Enforcement Assistance_Uniform Crime Reports,Department of Justice / Federal Bureau of Investigation,L - DISSEMINATION OF TECHNICAL INFORMATION,6/30/2009 10:25,1/1/1969 0:00
16.525,"Grants to Reduce Domestic Violence, Dating Violence, Sexual Assault, and Stalking on Campus",Department of Justice / Violence Against Women Office,B - PROJECT GRANTS,11/17/2010 10:50,1/1/1999 0:00
16.527,"Supervised Visitation, Safe Havens for Children",Department of Justice / Violence Against Women Office,B - PROJECT GRANTS,11/17/2010 10:50,1/1/2002 0:00
16.528,Enhanced Training and Services to End Violence and Abuse of Women Later in Life,Department of Justice / Violence Against Women Office,B - PROJECT GRANTS,11/17/2010 10:51,1/1/2002 0:00
16.529,"Education, Training, and Enhanced Services to End Violence Against and Abuse of Women with Disabilities",Department of Justice / Violence Against Women Office,B - PROJECT GRANTS,11/17/2010 10:51,1/1/2002 0:00
16.541,"Part E - Developing, Testing and Demonstrating Promising New Programs",Department of Justice / Office of Juvenile Justice and Delinquency Prevention,"B - PROJECT GRANTS, J - PROVISION OF SPECIALIZED SERVICES",7/6/2010 6:33,1/1/1980 0:00
16.571,Public Safety Officers' Benefits Program,Department of Justice / Bureau of Justice Assistance,D - DIRECT PAYMENTS WITH UNRESTRICTED USE,7/9/2010 7:49,1/1/1982 0:00
16.587,Violence Against Women Discretionary Grants for Indian Tribal Governments,Department of Justice / Violence Against Women Office,B - PROJECT GRANTS,10/21/2010 13:11,1/1/1995 0:00
16.589,"Rural Domestic Violence, Dating Violence, Sexual Assault, and Stalking Assistance Program",Department of Justice / Violence Against Women Office,B - PROJECT GRANTS,10/21/2010 13:11,1/1/1996 0:00
16.601,Corrections_Training and Staff Development,Department of Justice / Bureau of Prisons,"B - PROJECT GRANTS, J - PROVISION OF SPECIALIZED SERVICES, L - DISSEMINATION OF TECHNICAL INFORMATION, M - TRAINING",11/5/2008 0:00,1/1/1976 0:00
16.800,Recovery Act - Internet Crimes against Children Task Force Program (ICAC),Department of Justice,"B - Project Grants, B - Project Grants (Cooperative Agreements)",7/8/2010 7:45,5/22/2009 9:42
17.150,Employee Benefits Security Administration,Department of Labor / Employee Benefits Security Administration,L - DISSEMINATION OF TECHNICAL INFORMATION,6/7/2010 8:16,1/1/1984 0:00
17.207,Employment Service/Wagner-Peyser Funded Activities,Department of Labor / Employment Training Administration,"A - FORMULA GRANTS, B - Project Grants",8/27/2010 7:52,1/1/1965 0:00
17.235,Senior Community Service Employment Program,Department of Labor / Employment Training Administration,"A - FORMULA GRANTS, B - PROJECT GRANTS",9/27/2010 9:01,1/1/1975 0:00
17.302,Longshore and Harbor Workers' Compensation,Department of Labor / Office of Workers' Compensation Programs,D - DIRECT PAYMENTS WITH UNRESTRICTED USE,8/20/2010 7:48,1/1/1969 0:00
17.306,Consumer Credit Protection,Department of Labor / Wage and Hour Division,"K - ADVISORY SERVICES AND COUNSELING, N - INVESTIGATION OF COMPLAINTS",8/27/2010 8:00,1/1/1970 0:00
17.307,Coal Mine Workers' Compensation,Department of Labor / Office of Workers' Compensation Programs,D - DIRECT PAYMENTS WITH UNRESTRICTED USE,8/20/2010 7:52,1/1/2004 0:00
17.700,Women's Bureau,"Department of Labor / Office of the Secretary, Women's Bureau",K - ADVISORY SERVICES AND COUNSELING,8/20/2010 7:52,1/1/1978 0:00
17.803,Uniformed Services Employment and Reemployment Rights,Department of Labor / Veteran's Employment and Training Service,"K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION, N - INVESTIGATION OF COMPLAINTS",8/27/2010 8:01,1/1/1984 0:00
17.806,Veteran's Preference in Federal Employment,Department of Labor / Veteran's Employment and Training Service,O - FEDERAL EMPLOYMENT,8/27/2010 8:02,1/1/2000 0:00
19.018,Overseas Processing Entities (OPEs) for U.S. Refugee Resettlement,"U.S. Department of State / Bureau of Population, Refugees, and Migration",B - Cooperative Agreements,10/16/2009 8:49,10/16/2009 8:49
19.510,U.S. Refugee Admissions Program,"U.S. Department of State / Bureau of Population, Refugees, and Migration",B - Cooperative Agreements,10/17/2009 14:26,1/1/2004 0:00
19.511,Overseas Refugee Assistance Programs for East Asia,"U.S. Department of State / Bureau of Population, Refugees, and Migration",B - Cooperative Agreements,10/17/2009 14:26,1/1/2005 0:00
19.518,Overseas Refugee Assistance Programs for Western Hemisphere,"U.S. Department of State / Bureau of Population, Refugees, and Migration",B - Cooperative Agreements,10/8/2009 11:10,1/1/2005 0:00
19.522,Overseas Refugee Assistance Programs for Strategic Global Priorities,"U.S. Department of State / Bureau of Population, Refugees, and Migration",B - Cooperative Agreements,10/16/2009 8:50,1/1/2005 0:00
20.513,Capital Assistance Program for Elderly Persons and Persons with Disabilities,Department of Transportation / Federal Transit Administration (FTA),A - FORMULA GRANTS,7/2/2010 7:23,1/1/1987 0:00
20.600,State and Community Highway Safety,Department of Transportation / National Highway Traffic Safety Administration (NHTSA),A - FORMULA GRANTS,6/7/2010 8:17,1/1/1971 0:00
20.900,Transportation_Consumer Affairs,Department of Transportation / Office of the Secretary (OST) Administration Secretariate,N - INVESTIGATION OF COMPLAINTS,6/13/2010 21:28,1/1/1985 0:00
21.003,Taxpayer Service,Department of the Treasury / Internal Revenue Service (IRS),K - ADVISORY SERVICES AND COUNSELING,8/9/2010 8:12,1/1/1969 0:00
21.006,Tax Counseling for the Elderly,Department of the Treasury / Internal Revenue Service (IRS),B - PROJECT GRANTS,8/9/2010 8:13,1/1/1980 0:00
21.009,Volunteer Income Tax Assistance (VITA) Matching Grant Program,Department of the Treasury,B - Project Grants,8/9/2010 8:13,7/30/2009 7:55
27.002,Federal Employment Assistance for Veterans,Office of Personnel Management,O - FEDERAL EMPLOYMENT,9/1/2006 0:00,1/1/1969 0:00
27.005,Federal Employment for Individuals With Disabilities,Office of Personnel Management,O - FEDERAL EMPLOYMENT,3/28/2008 0:00,1/1/1970 0:00
27.006,Federal Summer Employment,Office of Personnel Management,O - FEDERAL EMPLOYMENT,7/8/2005 0:00,1/1/1970 0:00
30.005,Employment Discrimination_Private Bar Program,Equal Employment Opportunity Commission,J - PROVISION OF SPECIALIZED SERVICES,8/27/2010 8:06,1/1/1978 0:00
30.008,Employment Discrimination_Age Discrimination in Employment,Equal Employment Opportunity Commission,"K - ADVISORY SERVICES AND COUNSELING, N - INVESTIGATION OF COMPLAINTS",8/27/2010 8:06,1/1/1979 0:00
30.010,Employment Discrimination Equal Pay Act,Equal Employment Opportunity Commission,"K - ADVISORY SERVICES AND COUNSELING, N - INVESTIGATION OF COMPLAINTS",8/27/2010 8:06,1/1/1979 0:00
32.001,Communications Information and Assistance and Investigation of Complaints,Federal Communications Commission,"L - DISSEMINATION OF TECHNICAL INFORMATION, N - INVESTIGATION OF COMPLAINTS",7/8/2005 0:00,1/1/1969 0:00
36.001,Fair Competition Counseling and Investigation of Complaints,Federal Trade Commission,"K - ADVISORY SERVICES AND COUNSELING, N - INVESTIGATION OF COMPLAINTS",7/14/2008 0:00,1/1/1967 0:00
42.001,Books for the Blind and Physically Handicapped,Library of Congress,"I - USE OF PROPERTY, FACILITIES, OR EQUIPMENT",9/23/2008 0:00,1/1/1965 0:00
43.010,Construction & Environmental Compliance & Remediation,National Aeronautics and Space Administration,"B - Cooperative Agreements, B - Cooperative Agreements (Discretionary Grants), B - Project Grants, B - Project Grants (Contracts), B - Project Grants (Cooperative Agreements or Contracts), B - Project Grants (Cooperative Agreements), B - Project Grants (Discretionary), B - Project Grants (Fellowships), B - Project Grants (for collaborative design of curriculum, production of, B - Project Grants (for specified projects), B - Project Grants (including individual awards), B - Project Grants (including travel grants)",11/1/2010 7:35,11/1/2010 7:35
57.001,Social Insurance for Railroad Workers,Railroad Retirement Board,D - DIRECT PAYMENTS WITH UNRESTRICTED USE,8/30/2010 12:55,1/1/1965 0:00
57.005,Economic Recovery Payments,Railroad Retirement Board,D - Direct Payments with Unrestricted Use,8/30/2010 12:56,5/26/2009 15:39
59.044,Veterans Business Development,Small Business Administration,B - PROJECT GRANTS,6/17/2009 12:50,1/1/1990 0:00
64.005,Grants to States for Construction of State Home Facilities,Department of Veterans Affairs / VA Health Administration Center,B - PROJECT GRANTS,10/19/2009 7:48,1/1/1970 0:00
64.007,Blind Rehabilitation Centers,Department of Veterans Affairs / VA Health Administration Center,J - PROVISION OF SPECIALIZED SERVICES,7/16/2008 0:00,1/1/1967 0:00
64.008,Veterans Domiciliary Care,Department of Veterans Affairs / VA Health Administration Center,J - PROVISION OF SPECIALIZED SERVICES,6/19/2008 0:00,1/1/1965 0:00
64.010,Veterans Nursing Home Care,Department of Veterans Affairs / VA Health Administration Center,J - PROVISION OF SPECIALIZED SERVICES,6/16/2008 0:00,1/1/1967 0:00
64.013,Veterans Prosthetic Appliances,Department of Veterans Affairs / VA Health Administration Center,J - PROVISION OF SPECIALIZED SERVICES,6/19/2008 0:00,1/1/1967 0:00
64.014,Veterans State Domiciliary Care,Department of Veterans Affairs / VA Health Administration Center,A - FORMULA GRANTS,6/19/2008 0:00,1/1/1970 0:00
64.019,Veterans Rehabilitation_Alcohol and Drug Dependence,Department of Veterans Affairs / VA Health Administration Center,J - PROVISION OF SPECIALIZED SERVICES,7/16/2008 0:00,1/1/1971 0:00
64.030,Life Insurance for Veterans – Face Amount of New Life Insurance Policies Issued,Department of Veterans Affairs,G - Insurance,10/28/2010 7:48,10/28/2010 7:48
64.031,Life Insurance for Veterans - Direct Payments for Insurance,Department of Veterans Affairs,G - Insurance,10/28/2010 7:49,10/28/2010 7:49
64.100,Automobiles and Adaptive Equipment for Certain Disabled Veterans and Members of the Armed Forces,Department of Veterans Affairs / Veterans Benefits Administration,C - DIRECT PAYMENTS FOR A SPECIFIED USE,7/16/2008 0:00,1/1/1967 0:00
64.101,Burial Expenses Allowance for Veterans,Department of Veterans Affairs / Veterans Benefits Administration,C - DIRECT PAYMENTS FOR A SPECIFIED USE,7/30/2009 12:25,1/1/1967 0:00
64.103,Life Insurance for Veterans,Department of Veterans Affairs / Veterans Benefits Administration,E - DIRECT LOANS,6/19/2008 0:00,1/1/1967 0:00
64.104,Pension for Non-Service-Connected Disability for Veterans,Department of Veterans Affairs / Veterans Benefits Administration,D - DIRECT PAYMENTS WITH UNRESTRICTED USE,7/30/2009 12:26,1/1/1965 0:00
64.105,"Pension to Veterans Surviving Spouses, and Children",Department of Veterans Affairs / Veterans Benefits Administration,D - DIRECT PAYMENTS WITH UNRESTRICTED USE,7/16/2008 0:00,1/1/1965 0:00
64.106,Specially Adapted Housing for Disabled Veterans,Department of Veterans Affairs / Veterans Benefits Administration,C - DIRECT PAYMENTS FOR A SPECIFIED USE,6/19/2008 0:00,1/1/1967 0:00
64.109,Veterans Compensation for Service-Connected Disability,Department of Veterans Affairs / Veterans Benefits Administration,D - DIRECT PAYMENTS WITH UNRESTRICTED USE,7/16/2008 0:00,1/1/1965 0:00
64.110,Veterans Dependency and Indemnity Compensation for Service-Connected Death,Department of Veterans Affairs / Veterans Benefits Administration,D - DIRECT PAYMENTS WITH UNRESTRICTED USE,7/16/2008 0:00,1/1/1965 0:00
64.115,Veterans Information and Assistance,Department of Veterans Affairs / Veterans Benefits Administration,K - ADVISORY SERVICES AND COUNSELING,7/16/2008 0:00,1/1/1967 0:00
64.116,Vocational Rehabilitation for Disabled Veterans,Department of Veterans Affairs / Veterans Benefits Administration,"C - DIRECT PAYMENTS FOR A SPECIFIED USE, D - DIRECT PAYMENTS WITH UNRESTRICTED USE, E - DIRECT LOANS, K - ADVISORY SERVICES AND COUNSELING",7/30/2009 12:26,1/1/1965 0:00
64.117,Survivors and Dependents Educational Assistance,Department of Veterans Affairs / Veterans Benefits Administration,C - DIRECT PAYMENTS FOR A SPECIFIED USE,6/16/2008 0:00,1/1/1965 0:00
64.118,Veterans Housing_Direct Loans for Certain Disabled Veterans,Department of Veterans Affairs / Veterans Benefits Administration,E - DIRECT LOANS,7/16/2008 0:00,1/1/1971 0:00
64.125,Vocational and Educational Counseling for Servicemembers and Veterans,Department of Veterans Affairs / Veterans Benefits Administration,K - ADVISORY SERVICES AND COUNSELING,7/30/2009 12:26,1/1/1992 0:00
64.126,Native American Veteran Direct Loan Program,Department of Veterans Affairs / Veterans Benefits Administration,E - DIRECT LOANS,6/19/2008 0:00,1/1/1993 0:00
64.201,National Cemeteries,Department of Veterans Affairs / National Cemetery System,J - PROVISION OF SPECIALIZED SERVICES,7/30/2009 12:27,1/1/1973 0:00
64.202,Procurement of Headstones and Markers and/or Presidential Memorial Certificates,Department of Veterans Affairs / National Cemetery System,"C - DIRECT PAYMENTS FOR A SPECIFIED USE, J - PROVISION OF SPECIALIZED SERVICES",7/30/2009 12:27,1/1/1973 0:00
64.203,State Cemetery Grants,Department of Veterans Affairs / National Cemetery System,B - PROJECT GRANTS,7/30/2009 12:27,1/1/1979 0:00
78.004,Commodity Futures Reparations Claims,Commodity Futures Trading Commission,N - INVESTIGATION OF COMPLAINTS,9/17/2008 0:00,1/1/1977 0:00
84.011,Migrant Education_State Grant Program,Department of Education / Office of Elementary and Secondary Education,A - FORMULA GRANTS,9/3/2010 19:05,1/1/1980 0:00
84.044,TRIO_Talent Search,Department of Education / Office of Postsecondary Education,B - PROJECT GRANTS,8/23/2010 9:50,1/1/1980 0:00
84.047,TRIO_Upward Bound,Department of Education / Office of Postsecondary Education,B - PROJECT GRANTS,8/23/2010 9:51,1/1/1980 0:00
84.126,Rehabilitation Services_Vocational Rehabilitation Grants to States,Department of Education / Office of Special Education and Rehabilitative Services,A - FORMULA GRANTS,9/25/2010 8:58,1/1/1980 0:00
84.128,Rehabilitation Services_Service Projects,Department of Education / Office of Special Education and Rehabilitative Services,B - PROJECT GRANTS,9/25/2010 8:58,1/1/1980 0:00
84.129,Rehabilitation Long-Term Training,Department of Education / Office of Special Education and Rehabilitative Services,B - PROJECT GRANTS,9/25/2010 8:58,1/1/1980 0:00
84.132,Centers for Independent Living,Department of Education / Office of Special Education and Rehabilitative Services,B - Project Grants (Discretionary),9/25/2010 8:58,1/1/1980 0:00
84.133,National Institute on Disability and Rehabilitation Research,Department of Education / Office of Special Education and Rehabilitative Services,B - PROJECT GRANTS,9/25/2010 8:59,1/1/1980 0:00
84.144,Migrant Education_Coordination Program,Department of Education / Office of Elementary and Secondary Education,B - PROJECT GRANTS,9/3/2010 19:05,1/1/1980 0:00
84.149,Migrant Education_College Assistance Migrant Program,Department of Education / Office of Elementary and Secondary Education,B - PROJECT GRANTS,9/23/2010 7:58,1/1/1981 0:00
86.001,Pension Plan Termination Insurance,Pension Benefit Guaranty Corporation,G - INSURANCE,11/5/2008 0:00,1/1/1980 0:00
91.003,91.003 Annual Senior Fellowship Competition,United States Institute of Peace,B - Project Grants (Cooperative Agreements or Contracts),6/27/2010 8:22,6/27/2010 8:22
93.001,Civil Rights and Privacy Rule Compliance Activities,Department of Health and Human Services / Office of the Secretary,"K - ADVISORY SERVICES AND COUNSELING, N - INVESTIGATION OF COMPLAINTS",9/20/2010 10:23,1/1/1976 0:00
93.003,Public Health and Social Services Emergency Fund,Department of Health and Human Services / Office of the Secretary,B - PROJECT GRANTS,9/12/2008 0:00,1/1/1992 0:00
93.041,"Special Programs for the Aging_Title VII, Chapter 3_Programs for Prevention of Elder Abuse, Neglect, and Exploitation",Department of Health and Human Services / Administration on Aging,A - FORMULA GRANTS,10/1/2010 8:21,1/1/1992 0:00
93.042,"Special Programs for the Aging_Title VII, Chapter 2_Long Term Care Ombudsman Services for Older Individuals",Department of Health and Human Services / Administration on Aging,A - FORMULA GRANTS,8/9/2010 8:24,1/1/1992 0:00
93.043,"Special Programs for the Aging_Title III, Part D_Disease Prevention and Health Promotion Services",Department of Health and Human Services / Administration on Aging,A - FORMULA GRANTS,8/16/2010 10:10,1/1/1992 0:00
93.044,"Special Programs for the Aging_Title III, Part B_Grants for Supportive Services and Senior Centers",Department of Health and Human Services / Administration on Aging,A - FORMULA GRANTS,7/6/2010 10:17,1/1/1992 0:00
93.045,"Special Programs for the Aging_Title III, Part C_Nutrition Services",Department of Health and Human Services / Administration on Aging,A - FORMULA GRANTS,8/5/2010 7:48,1/1/1992 0:00
93.047,"Special Programs for the Aging_Title VI, Part A, Grants to Indian Tribes_Part B, Grants to Native Hawaiians",Department of Health and Human Services / Administration on Aging,B - PROJECT GRANTS,8/5/2010 7:48,1/1/1992 0:00
93.048,Special Programs for the Aging_Title IV_and Title II_Discretionary Projects,Department of Health and Human Services / Administration on Aging,B - PROJECT GRANTS,10/1/2010 8:22,1/1/1992 0:00
93.054,"National Family Caregiver Support, Title VI, Part C, Grants To Indian Tribes And Native Hawaiians",Department of Health and Human Services / Administration on Aging,B - PROJECT GRANTS,8/5/2010 7:49,1/1/2007 0:00
93.072,Lifespan Respite Care Program,Department of Health and Human Services / Administration on Aging,B - Cooperative Agreements,8/5/2010 7:49,5/14/2009 12:42
93.090,Guardianship Assistance,Department of Health and Human Services / Administration for Children and Families,A - Formula Grants,7/2/2010 7:22,7/22/2009 15:11
93.091,Social Services and Income Maintenance Benefits Enrollment Coordination Grants,Department of Health and Human Services / Administration for Children and Families,B - Project Grants (Discretionary),7/2/2010 7:22,1/29/2010 10:54
93.105,Bilingual/Bicultural Service Demonstration Grants,Department of Health and Human Services / Office of Minority Health,B - PROJECT GRANTS,10/1/2010 8:22,1/1/1993 0:00
93.138,Protection and Advocacy for Individuals with Mental Illness,Department of Health and Human Services / Substance Abuse and Mental Health Services Administration,A - FORMULA GRANTS,8/9/2010 8:15,1/1/1990 0:00
93.150,Projects for Assistance in Transition from Homelessness (PATH),Department of Health and Human Services / Substance Abuse and Mental Health Services Administration,A - FORMULA GRANTS,8/10/2010 7:46,1/1/1990 0:00
93.197,Childhood Lead Poisoning Prevention Projects_State and Local Childhood Lead Poisoning Prevention and Surveillance of Blood Lead Levels in Children,Department of Health and Human Services / Centers for Disease Control and Prevention,B - PROJECT GRANTS,7/16/2010 8:09,1/1/1990 0:00
93.210,Tribal Self-Governance Program: IHS Compacts/Funding Agreements,Department of Health and Human Services / Indian Health Service,C - Direct Payments for Specified Use,7/8/2010 7:51,1/1/1994 0:00
93.217,Family Planning_Services,Department of Health and Human Services / Office of Population Affairs,B - PROJECT GRANTS,9/29/2010 7:57,1/1/1990 0:00
93.228,Indian Health Service_Health Management Development Program,Department of Health and Human Services / Indian Health Service,B - PROJECT GRANTS,7/8/2010 7:52,1/1/1990 0:00
93.260,Family Planning_Personnel Training,Department of Health and Human Services / Office of Population Affairs,B - PROJECT GRANTS,10/1/2010 8:23,1/1/1990 0:00
93.268,Immunization Grants,Department of Health and Human Services / Centers for Disease Control and Prevention,B - PROJECT GRANTS,9/22/2010 7:29,1/1/1990 0:00
93.269,Complex Humanitarian Emergency and War-Related Injury Public Health Activities,Department of Health and Human Services / Centers for Disease Control and Prevention,B - PROJECT GRANTS,7/16/2010 8:10,1/1/2008 0:00
93.283,Centers for Disease Control and Prevention_Investigations and Technical Assistance,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,9/22/2010 7:29,1/1/1990 0:00
93.289,"President's Council on Fitness, Sports, and Nutrition",Department of Health and Human Services / President's Council on Physical Fitness and Sports,K - ADVISORY SERVICES AND COUNSELING,10/26/2010 10:16,1/1/1990 0:00
93.508,"Affordable Care Act (ACA) Tribal Maternal, Infant, and Early Childhood Home Visiting Program",Department of Health and Human Services / Administration for Children and Families,B - Project Grants,6/24/2010 16:20,6/24/2010 16:20
93.511,Affordable Care Act (ACA) Grants to States for Health Insurance Premium Review,Department of Health and Human Services / Office of the Secretary,B - Project Grants,6/4/2010 12:10,6/4/2010 12:10
93.517,Affordable Care Act – Aging and Disability Resource Center,Department of Health and Human Services / Administration on Aging,B - Cooperative Agreements (Discretionary Grants),7/9/2010 11:56,7/9/2010 11:56
93.518,93.518 - Affordable Care Act - Medicare Improvements for Patients and Providers,Department of Health and Human Services / Administration on Aging,"A - Formula Grants, B - Project Grants",7/9/2010 12:08,7/9/2010 12:08
93.550,Transitional Living for Homeless Youth,Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,7/18/2010 23:00,1/1/1990 0:00
93.551,Abandoned Infants,Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,7/6/2010 14:37,1/1/1990 0:00
93.556,Promoting Safe and Stable Families,Department of Health and Human Services / Administration for Children and Families,"A - FORMULA GRANTS, B - PROJECT GRANTS",7/27/2010 11:38,1/1/1993 0:00
93.558,Temporary Assistance for Needy Families,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,7/18/2010 23:00,1/1/1997 0:00
93.560,Family Support Payments to States_Assistance Payments,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,7/6/2010 14:37,1/1/1992 0:00
93.563,Child Support Enforcement,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,7/15/2010 7:49,1/1/1992 0:00
93.564,Child Support Enforcement Research,Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,7/15/2010 7:50,1/1/1992 0:00
