Last_Report_Year,TRS_ID,System_Name,City,State,UZA_NAME,UZA,UZA_Area_SQ_Miles,UZA_Population,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
2007,0021,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",301,35,"84,324","$1,024,580","$558,725","$729,723","$894,200","$904,285","$1,303,656","$1,561,590","$1,527,092","$1,510,641","$2,517,477","$1,358,606","$847,618","$646,089","$582,937","$908,807","$907,642","$1,615,963"
2007,0022,City of Pocatello - Pocatello Regional Transit,Pocatello,ID,"Pocatello, ID",370,30,"62,498","$40,920","$2,848","$9,576","$10,814","$8,144","$12,451","$11,533","$6,702","$29,525","$83,369","$68,514","$37,968","$43,047","$47,100","$24,384","$132,527","$272,951"
2007,0023,City of Seattle - Seattle Center Monorail Transit,Seattle,WA,"Seattle, WA",14,954,"2,712,205",$0,"$6,910","$12,254","$1,162,189","$1,404,099",$0,$0,$0,$0,$0,$0,"$2,526",$0,$0,"$7,576",$0,$0
2007,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138","$2,182,371","$1,909,987","$2,183","$1,359,766","$1,917,253","$2,476,279","$3,916,450","$4,648,496","$2,993,589","$5,354,200","$4,323,986","$2,275,400","$1,358,652","$1,014,885","$1,880,297","$2,991,348","$3,118,087"
2007,0025,Salem Area Mass Transit District,Salem,OR,"Salem, OR",145,69,"207,229","$429,042","$446,462",$0,"$826,305","$73,196",$0,$0,$0,$0,"$485,229","$583,499","$380,179","$476,130","$420,026","$971,526","$865,880","$1,105,657"
2007,0028,Pierce County Ferry Operations,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$53,095",$0,"$384,003","$3,088","$531,219","$15,682","$154,850","-$1,297,979"
2007,0029,Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,"Seattle, WA",14,954,"2,712,205","$2,488,537","$2,690,985","$3,026,242","$4,068,140","$5,106,888","$1,671,789","$2,414,108","$1,891,613","$3,557,595","$7,807,018","$8,429,443","$8,165,337","$6,355,479","$8,499,913","$10,385,965","$11,826,380","$10,748,254"
2006,0033,Senior Services of Snohomish County,Mukilteo,WA,"Seattle, WA",14,954,"2,712,205",$0,"$1,657,170","$1,838,985","$2,503,344","$2,772,300","$3,026,817","$3,069,843","$3,643,985","$3,959,734","$3,660,556","$4,155,473","$4,806,803","$5,005,718","$5,234,855","$5,597,227","$5,732,187",
2007,0034,Rogue Valley Transportation District,Medford,OR,"Medford, OR",210,59,"128,780","$64,214","$68,656","$64,054","$45,207","$15,726","$52,000","$159,592","$110,653","$120,269",$0,"$170,586","$491,021",$0,"$108,250","$225,087","$175,716","$131,194"
2007,0035,Washington State Ferries,Seattle,WA,"Seattle, WA",14,954,"2,712,205","$51,690,351","$53,601,584","$53,457,786","$59,659,632","$64,972,327","$61,842,557","$62,826,400","$64,095,042","$71,468,046","$67,154,955","$78,930,508","$83,990,481","$71,654,400","$72,776,956","$76,313,717","$106,927,345","$116,661,688"
1991,0036,"ATE Management & Service Company, Inc.",Mukilteo,WA,"Seattle, WA",18,588,"1,744,086","$238,454",,,,,,,,,,,,,,,,
1998,0038,Community and Rural Transportation ,Idaho Falls,ID,"Idaho Falls, ID",362,21,"56,356",,,"$119,604",$0,"$95,131","$83,469","$101,895","$77,241",,,,,,,,,
2007,0040,Central Puget Sound Regional Transit Authority,Seattle,WA,"Seattle, WA",14,954,"2,712,205",,,,,,,,,"$19,347,418","$37,767,202","$34,748,391","$28,057,377","$2,291,154","$2,541,482","$2,770,973","$3,227,614","$4,005,749"
2007,0041,Alaska Railroad Corporation,Anchorage,AK,"Anchorage, AK",135,79,"225,744",,,,,,,,,,,"$681,095","$657,472","$642,273","$935,176","$1,350,563","$1,332,081","$1,951,386"
2007,0042,Targhee Regional Public Transit Authority,Idaho Falls,ID,"Idaho Falls, ID",351,31,"66,973",,,,,,,,,,$0,"$1,676",$0,,,,"$128,106",
2007,0043,Link Transit,Wenatchee,WA,"Wenatchee, WA",411,27,"55,425",,,,,,,,,,,,,,"$130,106","$213,467","$287,362","$363,668"
2007,0044,Skagit Transit,Burlington,WA,"Mount Vernon, WA",440,32,"51,174",,,,,,,,,,,,,,"$118,601","$237,374","$400,952","$473,931"
2007,0045,Fairbanks North Star Borough Transit,Fairbanks,AK,"Fairbanks, AK",434,43,"51,926",,,,,,,,,,,,,,"$3,646","$13,963","$13,813","$23,688"
2007,0046,South Metro Area Regional Transit,Wilsonville,OR,"Portland, OR-WA",23,474,"1,583,138",,,,,,,,,,,,"$22,571","$25,848","$36,174","$28,963","$43,860","$117,819"
2007,0049,"VPSI, Anchorage",Anchorage,AK,"Anchorage, AK",135,79,"225,744",,,,,,,,,,,,,,,,"$136,661","$242,665"
2007,0050,"City of Bend, Public Works Department",Bend,OR,"Bend, OR",401,36,"57,525",,,,,,,,,,,,,,,,,$0
2007,1001,Rhode Island Public Transit Authority,Providence,RI,"Providence, RI-MA",34,504,"1,174,548","$471,119","$478,664","$759,654","$1,270,269","$670,419","$683,465","$789,226","$1,098,169","$1,118,614","$1,753,987","$2,470,161","$852,282","$7,523,426","$920,722","$1,106,036","$1,175,995","$886,237"
2007,1002,Manchester Transit Authority,Manchester,NH,"Manchester, NH",196,71,"143,549","$173,825","$177,015",,"$236,870","$149,757","$177,453","$255,698","$169,994","$161,627","$168,527","$114,720","$249,829","$297,191","$290,626","$149,715","$141,657","$112,928"
2007,1003,Massachusetts Bay Transportation Authority,Boston,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484","$17,364,291","$15,652,977","$15,298,103","$13,393,302","$13,517,964","$18,389,063","$17,622,471","$20,229,646","$41,117,433","$30,018,357","$45,281,818","$50,475,108","$54,301,771","$53,972,032","$54,007,763","$65,531,612","$58,636,446"
2007,1004, Brockton Area Transit Authority,Brockton,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484","$210,362","$366,027","$64,758","$284,685","$518,329","$163,487","$221,407","$164,856","$172,586","$498,670","$328,783","$244,017","$221,828","$159,375","$365,176","$286,624","$235,249"
2007,1005,Lowell Regional Transit Authority,Lowell,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484","$455,636","$361,837","$5,435,022","$5,449,157","$5,473,985","$6,499,272","$5,825,772","$6,437,927","$7,326,387","$427,239","$414,440","$767,265","$1,395,198","$1,036,690","$980,639","$1,209,713","$1,237,540"
2007,1006,Southeastern Regional Transit Authority,New Bedford,MA,"New Bedford, MA",193,63,"146,730","$281,857","$134,065","$112,642","$1,670,249",,"$122,322","$161,245","$170,245","$162,456","$129,030","$126,158","$186,577","$182,093","$75,861","$135,489","$201,036","$561,819"
2007,1007,Berkshire Regional Transit Authority,Pittsfield,MA,"Pittsfield, MA",430,34,"52,772","$45,824","$28,392","$22,335","$15,097","$29,859","$37,364","$40,283","$42,719","$31,690","$42,988",,"$4,164,837","$984,277","$16,599","$47,621","$37,425","$52,594"
2007,1008,Pioneer Valley Transit Authority,Springfield,MA,"Springfield, MA-CT",59,309,"573,610","$158,091","$1,616,566","$1,906,059","$2,117,560","$3,543,974","$2,077,669","$1,743,341","$4,527,079","$2,906,352","$3,722,719","$3,663,794","$5,468,921","$4,062,887","$198,790","$190,611","$238,982","$189,134"
2007,1013,Merrimack Valley Regional Transit Authority,Haverhill,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484","$167,818","$69,021","$53,820","$951,693","$929,656","$103,532","$175,113","$206,396","$257,438","$770,066","$355,942","$415,937","$460,690","$209,400","$206,796","$323,331","$366,834"
2007,1014,Worcester Regional Transit Authority,Worcester,MA,"Worcester, MA-CT",74,250,"429,882","$375,970","$133,529","$156,893","$192,418","$369,294","$391,943","$400,590","$436,174","$413,016","$371,641","$366,709","$197,036","$211,745","$266,578","$219,602","$347,879","$334,528"
1998,1015,"Kenneth Hudson, Inc. dba Hudson Bus Lines",Lewiston,ME,"Lewiston--Auburn, ME",292,84,"71,598","$19,010","$35,970","$34,476",,,"$27,307",,,,,,,,,,,
2007,1016,Greater Portland Transit District,Portland,ME,"Portland, ME",160,124,"188,080","$141,116","$119,958","$85,160","$119,560","$46,621","$104,681","$89,475","$85,628","$76,276","$128,132","$76,809","$156,217","$196,333","$207,153","$243,902","$245,778","$250,845"
2007,1017,Greater Hartford Transit District,Hartford,CT,"Hartford, CT",45,469,"851,535",$513,$140,$350,$760,$792,$586,$111,$0,$0,$0,$0,$0,$0,$0,$0,"$53,204","$250,823"
2007,1040,Southeast Area Transit,Preston,CT,"Norwich-New London, CT",174,123,"173,160","$38,574","$27,822","$32,493",,,,,,"$401,688",,"$69,574","$57,370","$639,245","$478,766","$446,483","$480,862","$548,847"
1997,1041,Westport Transit District C/O Norwalk Transit District,Norwalk,CT,"Norwalk, CT",209,49,"108,888",,"$15,032","$20,452","$27,003",,,,,,,,,,,,,
2007,1042,Valley Transit District,Derby,CT,"Bridgeport-Stamford, CT-NY",41,465,"888,890","$2,240","$2,691","$10,736","$11,060","$6,980","$4,300","$2,955","$3,843","$4,409","$7,284","$4,555","$3,530","$8,538",$0,,,"$10,028"
2007,1045,"Dattco, Inc.",New Britain,CT,"Hartford, CT",45,469,"851,535","$16,528","$352,696","$338,889",,,,,,,,,,,,,,
2006,1047,"New Britain Transportation Company, Inc.",Berlin,CT,"Hartford, CT",45,469,"851,535",,,,"$715,921",,,"$715,175","$696,897","$723,288","$806,540","$945,112","$39,221",,"$51,668",,"$48,932",
2007,1048,Connecticut Transit - Hartford Division,Hartford,CT,"Hartford, CT",45,469,"851,535","$242,499","$218,923","$217,509","$192,875","$223,079","$236,607","$281,496","$272,654","$265,413","$334,119","$518,261","$559,383","$687,197","$989,331","$1,169,530","$839,276","$1,335,620"
2007,1049,The Greater New Haven Transit District,Hamden,CT,"New Haven, CT",69,285,"531,314",$0,$0,$0,$0,"$3,797","$1,948","$25,440","$1,806","$1,597","$4,140","$20,651","$268,905","$1,884,294","$1,109,164","$1,065,746","$1,300,672","$1,444,937"
2007,1050,Greater Bridgeport Transit Authority,Bridgeport,CT,"Bridgeport-Stamford, CT-NY",41,465,"888,890","$66,826","$46,097","$99,509","$162,998","$176,113","$44,818","$54,491","$64,611","$66,338","$71,581","$112,228","$87,660","$81,775","$182,743","$281,848","$236,928","$200,962"
2007,1051,Housatonic Area Regional Transit,Danbury,CT,"Danbury, CT-NY",186,124,"154,455","$77,794","$147,563","$562,852","$440,384","$30,299","$100,560","$103,537","$66,422","$51,291","$111,299","$55,857","$84,223","$70,272","$46,612","$45,610","$117,097","$143,284"
2006,1052,"New Britain Transportation Company, Inc.",Berlin,CT,"Hartford, CT",45,469,"851,535",,,,"$176,131",,"$162,064","$162,632","$140,410","$181,072","$210,782","$222,462","$2,100",,"$5,348",,"$4,829",
2007,1053,Cape Ann Transportation Authority,Gloucester,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484","$190,601","$8,043","$7,493","$15,016",$0,"$39,075","$33,000","$953,571","$558,431","$616,676","$429,988","$867,928","$694,149","$445,136","$370,615","$435,800","$456,320"
2007,1055,Connecticut Transit - New Haven Division,Hartford,CT,"New Haven, CT",69,285,"531,314","$81,038","$76,214","$79,640","$115,879","$111,158","$118,860","$187,072","$131,993","$144,938","$197,282","$225,549","$262,439","$296,091","$331,606","$387,619","$215,278","$168,936"
2007,1056,Connecticut Transit - Stamford Division,Hartford,CT,"Bridgeport-Stamford, CT-NY",41,465,"888,890","$23,249","$37,112","$65,392","$45,876","$46,976","$54,812","$60,061","$78,054","$59,344","$42,572","$57,928","$67,330","$77,510","$300,981","$132,857","$50,218","$37,261"
2007,1057,Norwalk Transit District,Norwalk,CT,"Bridgeport-Stamford, CT-NY",41,465,"888,890","$35,764","$26,024","$35,712","$18,761","$9,150","$78,636","$72,386","$49,885","$88,887","$121,777","$103,067","$131,792","$126,453","$173,174","$123,856","$118,774","$196,815"
2007,1061,Montachusett Regional Transit Authority,Fitchburg,MA,"Leominster-Fitchburg, MA",234,63,"112,943","$380,342","$369,373","$370,823","$345,300","$362,746","$279,193","$353,571","$431,868","$474,413","$501,495","$832,871","$412,794","$956,288","$445,737","$736,861","$666,408","$616,829"
2007,1063,Middletown Transit District,Middletown,CT,"Hartford, CT",45,469,"851,535","$141,493","$136,828","$144,089","$443,602","$435,234",,"$340,109","$309,347","$300,259","$47,377","$64,033","$75,589","$87,325","$53,602","$77,045","$38,828","$292,587"
2007,1064,Greater Attleboro-Taunton Regional Transit Authority,Taunton,MA,"Providence, RI-MA",34,504,"1,174,548","$106,175","$522,160","$54,463","$2,254,576","$2,739,253","$106,422","$83,242","$1,170,588","$1,296,584","$1,278,113","$1,386,056","$1,466,789","$1,846,450","$944,464","$664,509","$513,879","$522,906"
2007,1066,Chittenden County Transportation Authority,Burlington,VT,"Burlington, VT",251,62,"105,365","$176,305","$27,439","$4,121","$18,168","$75,478","$594,785","$604,749","$111,424","$119,987","$126,417","$124,330","$975,715","$1,408,212","$713,999","$851,615","$1,071,766","$841,732"
2007,1069,"The Regional Transportation Program, Inc.",Portland,ME,"Portland, ME",160,124,"188,080","$12,958","$89,251","$88,519","$145,033","$91,390","$92,647","$81,103","$85,328","$87,941","$88,577","$74,513","$136,185","$133,288","$137,727","$137,863","$390,242","$360,829"
2007,1086,Cooperative Alliance for Seacoast Transportation,Dover,NH,"Dover-Rochester, NH-ME",306,64,"80,456",$0,$0,"$430,559","$684,418","$601,881","$333,170",$0,,,,,,"$122,177","$176,514","$95,739","$163,216","$125,248"
2007,1087,Nashua Transit System,Nashua,NH,"Nashua, NH-MA",153,138,"197,155","$22,108","$41,756","$50,224","$15,829","$29,941","$33,196","$39,480","$35,106","$33,499","$26,928","$33,757","$47,582","$43,604","$41,797","$42,756","$53,025","$56,742"
2007,1088,Casco Bay Island Transit District,Portland,ME,"Portland, ME",160,124,"188,080","$1,005,297","$946,912","$1,069,962","$1,056,117","$1,273,590","$1,074,196","$1,091,760","$1,394,833","$1,585,115","$1,765,362","$1,852,040","$1,743,846","$1,756,330","$1,885,589","$1,952,525","$1,751,451","$1,954,207"
2001,1089,Transit Express ,Springfield,MA,"Springfield, MA-CT",57,302,"532,747","$89,018",,,,,,"$9,502,894","$9,116,904","$9,436,728","$9,612,058","$10,386,962",,,,,,
2007,1095,"Northeast Transportation Company, Inc.",Waterbury,CT,"Waterbury, CT",159,98,"189,026","$17,433","$35,851","$2,844,890","$2,733,385","$2,806,072","$3,088,408","$2,857,696","$3,003,162","$3,072,428","$3,278,153","$5,003,989","$5,499,137","$5,817,854","$6,040,626","$6,516,047","$6,777,035","$7,283,965"
2007,1096,City of Bangor - BAT Community Connector,Bangor,ME,"Bangor, ME",385,39,"58,983","$1,360",$0,$0,$0,"$91,156","$144,646","$138,104","$98,737","$100,557","$132,892","$34,159","$39,462","$40,450","$31,691","$43,460","$27,619","$205,218"
1993,1097,"Eastern Transportation Services, Inc.",Bangor,ME,"Bangor, ME",328,71,"61,402","$16,446","$11,166","$27,600",,,,,,,,,,,,,,
2007,1098,"Western Maine Transportation Services, Inc.",Auburn,ME,"Lewiston, ME",447,21,"50,567","$851,239","$1,432,048","$1,618,525","$1,664,911","$1,790,657",,,"$4,169,464","$2,997,631","$1,306,611","$11,099","$159,784","$422,942","$261,295","$292,538","$455,947","$1,297,462"
1991,1100,National Railroad Passenger Corporation,Boston,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,
1995,1101,Kenneth Hudson Inc. dba Hudson Bus Lines,Lewiston,ME,"Lewiston--Auburn, ME",292,84,"71,598","$76,726","$64,712","$71,749","$41,663","$31,497",,,,,,,,,,,,
2007,1102,Connecticut Department of Transportation,Newington,CT,"Hartford, CT",45,469,"851,535",$0,$0,"$118,957","$522,125","$539,013","$114,424","$101,065",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2004,1103,City of Stamford Dial-A-Ride,Stamford,CT,"Bridgeport-Stamford, CT-NY",41,465,"888,890",,$0,$0,$0,,,,,,,,,,,,,
2000,1104,Greater Waterbury Transit District ,Waterbury,CT,"Waterbury, CT",144,73,"175,067","$603,770",$0,$0,"$19,324",,,"$783,874",$0,"$1,862","$10,014",,,,,,,
2007,1105,Cape Cod Regional Transit Authority,Hyannis,MA,"Barnstable Town, MA",128,286,"243,667",,,"$60,496","$43,787","$88,011","$66,415","$75,303","$88,868","$103,917","$78,247","$145,480","$3,652,640","$3,281,490","$73,109","$40,715","$247,220","$66,308"
2007,1107,Milford Transit District,Milford,CT,"Bridgeport-Stamford, CT-NY",41,465,"888,890",,,,,$0,$0,$0,"$319,934","$69,644",$0,$0,$0,$0,$0,$0,$0,$0
2007,1108,Greater Hartford Ridesharing Corporation - The Rideshare Company,Windsor,CT,"Hartford, CT",45,469,"851,535",,,,,,,,"$102,636","$60,442","$107,284","$103,630",$0,,$0,$0,$0,$0
2002,1109,"Comsis Mobility Services, Inc., dba: Intelitran",Providence,RI,"Providence, RI-MA",34,504,"1,174,548",,,,,,,,,,"$6,574,744","$6,930,941","$7,482,318",,,,,
2007,1110,"2Plus Partners in Transportation, Inc",Rocky Hill,CT,"Bridgeport-Stamford, CT-NY",41,465,"888,890",,,,,,,,,,,,,,,,,$0
2007,1115,Northern New England Passenger Rail Authority,Portland,ME,"Portland, ME",160,124,"188,080",,,,,,,,,,,,,,,"$539,478","$570,910","$837,121"
2007,1116,Bonanza,Providence,RI,"Providence, RI-MA",34,504,"1,174,548",,,,,,,,,,,,,,,"$226,117","$147,216","$118,761"
1991,1902,Brush Hill Transportation Company ,Boston,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,
1991,1905,Hudson Bus Lines ,Medford,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,
1991,1906,Plymouth & Brockton Street Railway Company,Plymouth,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,
1991,1907,"A Yankee Line, Inc. ",Boston,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,
1991,1908,American Eagle Motor Coach ,Fairhaven,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,
1991,1910,"H & L Bloom, Inc. ",Taunton,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,
1991,1913,"Big W Transit, Inc. ",Ashland,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,
1991,1917,"Michaud Bus Lines, Inc. ",Salem,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,
2007,2002,Capital District Transportation Authority,Albany,NY,"Albany, NY",62,284,"558,947","$948,530","$869,367","$673,245","$844,781","$807,110","$843,091","$1,550,410","$2,179,604","$2,917,317","$5,147,074","$5,718,888","$5,418,354","$5,629,710","$4,952,211","$419,435","$573,511","$683,905"
2007,2003,Broome County Department of Public Transportation,Vestal,NY,"Binghamton, NY-PA",182,76,"158,884","$110,957","$195,074","$241,911","$246,319","$251,644","$300,601","$258,491","$4,100,663","$3,282,875","$178,290","$179,817","$133,310","$102,219","$67,433","$80,707","$204,807","$160,588"
2007,2004,Niagara Frontier Transportation Authority,Buffalo,NY,"Buffalo, NY",38,367,"976,703","$644,331","$1,013,915","$850,588","$698,008","$763,439","$1,518,056","$830,545","$900,563","$1,023,858","$1,444,648","$1,465,279","$5,543,475","$465,756","$597,041","$721,617","$911,361","$1,177,737"
2007,2005,Chemung County Transit System,Elmira,NY,"Elmira, NY",350,35,"67,159",$543,$231,$95,"$1,303","$7,237","$10,285","$5,020",$0,"$328,289",$0,$0,"$163,669","$166,497","$202,794","$201,930","$237,584","$210,443"
2007,2006,City of Long Beach,Long Beach,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,"$13,360","$2,520","$60,000","$60,000","$60,000","$61,700","$67,500","$67,550","$66,750","$80,626","$75,499","$78,065","$30,000",,"$75,000","$75,000"
2007,2007,"Metropolitan Suburban Bus Authority, dba: MTA Long Island Bus",Garden City,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861","$362,815","$589,278","$605,262","$638,223","$65,115,113","$74,680,417","$78,302,129","$83,368,034","$88,605,858","$1,421,716","$667,629","$933,339","$1,091,059","$1,439,711","$1,438,533","$1,565,395","$1,470,554"
2007,2008,MTA New York City Transit,New York,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861","$278,598,034","$149,353,403","$39,979,695","$54,324,521","$75,874,690","$64,316,111","$86,443,903","$88,971,095","$103,449,488","$359,064,523","$108,811,491","$119,228,304","$380,415,288","$263,313,636","$165,332,255","$188,607,959","$228,535,771"
2007,2009,City of Poughkeepsie,Poughkeepsie,NY,"Poughkeepsie-Newburgh, NY",89,265,"351,982","$5,908","$71,300","$1,433",$0,,,,,,,,$0,$0,$0,$0,$0,$0
2007,2010,Dutchess County Division of Mass Transportation,Poughkeepsie,NY,"Poughkeepsie-Newburgh, NY",89,265,"351,982","$32,900","$46,087","$157,255","$31,000","$34,947","$463,894","$135,769","$133,101","$157,145","$158,048","$153,754","$177,183","$215,579","$234,094","$236,431","$209,746","$222,958"
2005,2015,City of Rome VIP Transit,Rome,NY,"Utica, NY",233,55,"113,409","$29,093","$9,708","$8,742",,,,,,,,,,,,,,
2007,2018,"CNY Centro, Inc. ",Syracuse,NY,"Syracuse, NY",81,180,"402,267","$235,311","$285,830","$284,258","$284,753","$324,893","$477,033","$406,580","$522,795","$292,495","$582,521","$303,325","$358,092","$376,730","$411,167","$323,990","$359,198","$378,272"
2004,2021,Utica Transit Authority,Utica,NY,"Utica, NY",233,55,"113,409","$58,039","$47,137","$64,504","$82,476","$82,276","$62,639","$71,985","$59,767","$66,456","$48,152","$82,463","$568,448","$605,740","$649,841",,,
1993,2038,"Green Bus Lines, Inc. ",Jamaica,NY,"New York, NY--Northeastern NJ",1,"2,967","16,044,012","$533,015","$44,840,828","$46,227,820",,,,,,,,,,,,,,
1993,2039,"Jamaica Buses, Inc. ",Jamaica,NY,"New York, NY--Northeastern NJ",1,"2,967","16,044,012","$238,384","$20,581,147","$20,958,913",,,,,,,,,,,,,,
2005,2040,"New York Bus Tours, Inc., dba: New York Bus Service",Bronx,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861","$290,377","$17,728,335","$18,352,146","$18,485,149","$18,557,915","$18,801,997","$19,787,322","$21,251,885","$500,000","$550,000","$600,000","$15,618,548","$16,584,918","$16,609,764","$16,966,259",,
1993,2046,Triboro Coach Corporation ,Jackson Heights,NY,"New York, NY--Northeastern NJ",1,"2,967","16,044,012","$460,964","$34,362,278","$36,457,409",,,,,,,,,,,,,,
2007,2071,Huntington Area Rapid Transit,Huntington Station,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",$0,$0,$0,$0,"$2,520","$4,320","$5,040","$11,980","$26,160","$26,160","$11,737","$24,000","$24,000","$24,000","$34,737","$24,000","$164,133"
2007,2072,Suffolk County Department of Public Works - Transportation Division,Yaphank,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861","$48,170","$63,045","$45,804","$1,414,958","$1,443,403","$54,578","$68,850","$78,428","$77,720","$188,437","$76,811","$771,351","$957,091","$900,228","$946,182","$249,517","$211,471"
1993,2073,"Command Bus Company, Inc. ",Brooklyn,NY,"New York, NY--Northeastern NJ",1,"2,967","16,044,012","$54,783","$17,087,740","$17,841,521",,,,,,,,,,,,,,
