JCT Title,Budget Function,JCT Estimate Year Range,Description
Deduction for premiums for qualified mortgage insurance,Commerce and housing,2007-2014,"<p>Qualified mortgage insurance premiums paid with respect to a qualified residence can be treated as residence interest and is therefore tax deductible. The deduction is phased out for taxpayers with adjusted gross income from $100,000 to $110,000. For the purposes of this deduction, qualified mortgage insurance means mortgage insurance obtained from the Veterans Administration (VA), the Federal Housing Authority (FHA), the Rural Housing Administration (RHA), and private mortgage insurance as defined by the Homeowners Protection Act of 1988.</p>"
Deferral of gain on involuntary conversions resulting from Presidentially-declared disasters,Commerce and housing,2000-2008,"<p>There is no definition available for this tax expenditure in the 2006, 2008, or 2010 Congressional Research Service's <em>Tax Expenditures: Compendium of Background Material on Individual Provisions</em>.</p>"
Deferral of gain on like-kind exchanges,Commerce and housing,2000-2014,"<p>When business or investment property is exchanged for property of a like-kind, no gain or loss is recognized on the exchange and therefore no tax is paid at the time of the exchange on any appreciation. This is in contrast to the general rule that any sale or exchange for money or property is a taxable event.</p>

<p>It is also an exception to the rules allowing tax-free exchanges when the property is similar or related in service or use, the much stricter standard applied in other areas, such as replacing condemned property (section 1033). The latter is not considered a tax expenditure, but the postponed tax on appreciated property exchanged for like-kind property is.</p>
"
Distributions in redemption of stock to pay various taxes imposed at death,Commerce and housing,2008-2014,"<p>When a shareholder in a closely held business dies, a partial redemption of stock (selling stock back to the corporation) is treated as a sale or exchange of an asset eligible for long-term capital gain treatment. With step-up in basis there will be no gain or loss on the redemptionthis essentially means that no federal income tax will be due on the redemption. At least 35 percent of the decedents estate must consist of the stock of the corporation. The benefits of this provision are limited in amount to estate taxes and expenses (funeral and administrative) incurred by the estate.</p>"
Exception from net operating loss limitations for corporations in bankruptcy proceedings,Commerce and housing,2000-2011,"<p>In general, net operating losses of corporations may be carried back three years or carried forward fifteen years to offset taxable income in those years. If one corporation acquires another, the tax code has rules to determine whether the acquiring corporation inherits the tax attributes of the acquired corporation, including its net operating loss carryforwards, or whether the tax attributes of the acquired corporation disappear.</p>

<p>If certain conditions are met, subsection 382(l)(5) provides an exception to the general limitation on net operating loss carryforwards for cases in which the acquired corporation was in bankruptcy proceedings at the time of the acquisition. In this case (unless the corporation elects otherwise), the limitation on net operating loss carryforwards does not apply. In some cases, however, certain adjustments are made to the amount of loss carryforwards of the acquired corporation that may be used by the successor corporation.</p>
"
Exclusion of gain or loss on sale or exchange of brownfield property,Commerce and housing,2008-2014,"<p>Tax exempt organizations are subject to tax under the unrelated business income tax (UBIT) for activities that are not part of their tax exempt purpose. Gains on the sale of property are not generally taxed unless the property is inventory or stock in trade. Gains from the sale of assets that were debt-financed in part are, however, subject to the UBIT in proportion to the debt. Qualifying brownfield property that is acquired from an unrelated party, subject to remediation, and sold to another unrelated party is exempt from this tax. This provision applies to sales before January 1, 2011.</p>

<p>A qualified contaminated site, or brownfield, is generally defined as any property that 1) is held for use in a trade or business, and 2) on which there has been an actual or threatened release or disposal of certain hazardous substances as certified by the appropriate state environmental agency.</p> <p>This tax expenditure corresponds with the Treasury tax expenditure Exclusion of gain or loss on sale or exchange of certain brownfield sites,"" found in the Natural Resources and Environment Budget Function and available <a href="""">LINK HERE</a>.</p>
"
Exclusion of interest on State and local qualified private activity bonds for green buildings and sustainable design projects,Commerce and housing,2008-2014,"<p>Interest income on state and local bonds used to finance the construction of green building and sustainable design projects, as designated by the U.S. Environmental Protection Agency (EPA), is tax exempt. Green buildings are evaluated based on these criteria: (1) site sustainability; (2) water efficiency; (3) energy use and atmosphere; (4) material and resource use; (5) indoor environmental quality; and (6) innovative design. These bonds are classified as private-activity bonds rather than governmental bonds because a substantial portion of their benefits accrues to individuals or business rather than to the general public. For more discussion of the distinction between governmental bonds and private activity bonds, see the entry under General Purpose Public Assistance: Exclusion of Interest on Public Purpose State and Local Debt.</p>"
Expensing of costs to remove architectural and transportation barriers to the handicapped and elderly,Commerce and housing,2008-2014,"<p>Generally, an improvement to a depreciable asset such as a building or motor vehicle is treated for tax purposes as a capital expenditure. This means that the cost of the improvements should be recovered by using the appropriate depreciation method and class life for the asset.</p>

<p>Under section 190, however, a business taxpayer may deduct (or expense) up to $15,000 of the expenses incurred in a single tax year for removing physical barriers to handicapped or elderly (age 65 and older) individuals in qualified facilities or public transportation vehicles that the taxpayer owns or leases. Besides the expensing allowance, eligible small firms may claim a nonrefundable disabled access tax credit under section 44 for expenses they incur to make their operations more accessible to disabled individuals.</p>
"
Expensing of magazine circulation expenditures,Commerce and housing,2000-2014,"<p>In general, current federal tax law allows publishers of newspapers, magazines, and other periodicals to deduct their expenditures to maintain, establish, or increase circulation in the year when they are made.</p>

<p>Deductions of these expenditures as current expenses are permitted, even though expenditures to establish or increase circulation would otherwise be treated as capital expenditures under section 263. The expenditures eligible for this preferential treatment do not include purchases of land and depreciable property, or the expansion of circulation through the purchase of another publisher or its list of subscribers.</p>
"
Five-year carryback period for casualty losses of public utility property attributable to Hurricane Katrina,Commerce and housing,2006-2010,"<p>Several provisions provide special allowances for deducting costs relating to businesses in the Gulf Opportunity Zone (GO Zone), an area of the Hurricane Katrina official disaster area (which caused significant damage to the Gulf Coast, including New Orleans, in August of 2005). </p><p>Several provisions increase loss carryback allowances. Generally firms with losses can carry back losses two years to offset against prior year income, and forward for 20 years. Certain losses attributable to a disaster can be treated as if they occurred in the previous taxable year. For the GO Zone, casualty losses for public utilities, up to the amount of any net operating loss, may be carried back 10 years, and public utility casualty losses in general may be treated as if they occurred in the fifth previous year (effectively a five-year carryback position). </p>
"
Five-year carryback period for losses attributable to various expenses related to Hurricane Katrina,Commerce and housing,2006-2010,"<p>Several provisions provide special allowances for deducting costs relating to businesses in the Gulf Opportunity Zone (GO Zone), an area of the Hurricane Katrina official disaster area (which caused significant damage to the Gulf Coast, including New Orleans, in August of 2005).</p><p>Several provisions increase loss carryback allowances. Generally firms with losses can carry back losses two years to offset against prior year income, and forward for 20 years. Certain losses attributable to a disaster can be treated as if they occurred in the previous taxable year. For all businesses, losses attributable to casualty, moving expense for employees, temporary housing for employees, depreciation and repairs, up to the current net operating loss can be carried back five years.</p>

"
Five-year carryback period for small business,Commerce and housing,2009-2013,"<p>The provision allows eligible small business to carry back unused 2010 tax year general business tax credits five years and apply them against prior tax liabilities. Other businesses, in general, are allowed to carry back unused credits for one year. Eligible small businesses are defined as those sole proprietorships, partnerships and non-publicly traded corporations with $50million or less in average annual gross receipts for the prior three years.</p>"
Inclusion of income arising from business indebtedness discharged by the reacquisition of a debt instrument,Commerce and housing,2009-2014,"<p>The American Recovery and Reinvestment Act of 2009, Public Law 111-5, added to the Internal Revenue Code (IRC) Section 108(i), Deferral and ratable inclusion of income arising from business indebtedness discharged by the reacquisition of debt instrument. Section 108(i) allowed financially troubled companies to defer their taxable cancellation of indebtedness income in certain circumstances.</p> <p>Section 108(i) permits a taxpayer to elect to defer income from cancellation of indebtedness recognized by the taxpayer as a result of a repurchase by the taxpayer or a person who bears a relationship to the taxpayer, of a debt instrument that was issued by the taxpayer. Section 108(i) applies only to repurchases of debt that occur after December 31, 2008, and prior to January 1, 2011, and are repurchases for cash. A debt instrument is broadly defined to include any bond, debenture, note, certificate or any other instrument or contractual arrangement constituting indebtedness.</p>
"
Income recognition rule for gain or loss from section 1256 contracts,Commerce and housing,2008-2014,"<p>A Section 1256 contract is any regulated futures contract, foreign currency contract, nonequity option, dealer equity option, or dealer securities futures contract that is traded on a qualified board of exchange with a mark-to-market accounting system. The Dodd-Frank Wall Street Reform and Consumer Protection Act (P.L. 111-203) clarified that section 1256 does not apply to certain derivatives contracts (e.g., credit default swaps). Under this mark-to-market rule, the gains and losses must be reported on an annual basis, for tax purposes. </p>

<p>The capital gain or loss of applicable contracts are treated as consisting of 40 percent short-term and 60 percent long-term gain or loss. This is true regardless of how long the contract is held. The 60/40 rule does not apply to hedging transactions or limited partnerships. A hedging transaction is a transaction done by a business in its normal operation with the primary purpose of reducing certain risks.</p>
"
Increased standard deduction for real property taxes,Commerce and housing,2008-2014,"<p>Taxpayers may claim an itemized deduction for property taxes paid on owner-occupied residences. Taxpayers that do not itemize and pay property taxes may take a deduction in addition to the standard deduction of up to $500 ($250 for single filers). For more on the additional property tax deduction, see the entry titled the Increased Standard Deduction for Real Property Taxes.</p>"
Interest rate and discounting period assumptions for reserves of property and casualty insurance companies,Commerce and housing,2000-2014,"<p>The way in which the present values of future losses for property and casualty insurance companies are calculated may provide those insurers with a tax advantage. A present value is the current equivalent value of a given cash flow and is calculated using interest rates or discount factors and information about the timing of income and losses. Most businesses calculate taxable income by deducting expenses when the business becomes liable for paying them. A significant portion of losses paid by property and casualty insurance companies are paid years after premiums were collected. Funds that an insurer holds between payment of premiums and disbursement of loss claims are known as float and investment earnings on those funds are an important source of revenue in some lines of insurance.</p>

<p>State regulators typically require insurers to maintain minimum levels of loss reserves to ensure solvency, that is, the ability to pay all future claims. On the other hand, if loss reserves are well above levels needed to ensure solvency, an insurer may be able to shift current earnings into future years, thus deferring tax payments. In other words, some form of discounting is appropriate to ensure that premium income, received when a policy is written, is properly matched with associated losses that occur later. If losses in future years are not fully discounted, the insurer may enjoy a tax advantage through the ability to defer loss payments. </p>
"
Last in first out,Commerce and housing,2008-2014,"<p>A taxpayer that sells goods must generally maintain inventory records to determine the cost of goods sold. Individuals can account for inventory on an item by item basis, but may also use conventions, which include FIFO (first-in, first-out, assuming the most recent good sold is the earliest one purchased) and LIFO (last-in, first-out, assuming the most recent good sold is the last one purchased). LIFO can only be used if it is also used for financial reporting, although it is not available to securities dealers. </p>

<p>The tax expenditure is based on the notion that basic FIFO is the appropriate method of accounting for costs (unless heterogeneous goods are specifically identified). This view is consistent with the expectation that firms would sell their oldest items first. It is also based on the notion that costs should be allowed only when goods are sold. LIFO allows the appreciation in value to be excluded from income when prices are rising.</p>
"
Lower of cost or market,Commerce and housing,2008-2014,"<p>A taxpayer that sells goods must generally maintain inventory records to determine the cost of goods sold. Individuals can account for inventory on an item by item basis, but may also use conventions, which include FIFO (first-in, first-out) and LIFO (last-in, first-out). In connection with FIFO, a taxpayer may choose the LCM method, or lower of cost or market. This method allows the taxpayer a tax deduction for losses on goods that have fallen in value below cost, while in inventory.</p>

<p>The tax expenditure is based on the notion that basic FIFO is the appropriate method of accounting for costs (unless heterogeneous goods are specifically identified). This view is consistent with the expectation that firms would sell their oldest items first. It is also based on the notion that costs should be allowed only when goods are sold. LCM allows recognition of losses when inventory declines in value (but there is no recognition of gain for rise in value).</p>
"
Specific identification for homogeneous products,Commerce and housing,2008-2014,"<p>A taxpayer that sells goods must generally maintain inventory records to determine the cost of goods sold. Individuals can account for inventory on an item by item basis, but may also use conventions, which include FIFO (first-in, first-out) and LIFO (last-in, first-out). In connection with FIFO, a taxpayer may choose the LCM method, or lower of cost or market. This method allows the taxpayer a tax deduction for losses on goods that have fallen in value below cost, while in inventory.</p>

<p>The tax expenditure is based on the notion that basic FIFO is the appropriate method of accounting for costs (unless heterogenous goods are specifically identified). This view is consistent with the expectation that firms would sell their oldest items first. It is also based on the notion that costs should be allowed only when goods are sold. Allowing specific identification permits firms to select higher cost items and minimize taxable income.</p>
"
Leasehold improvement property,Commerce and housing,2008-2013,"<p>Taxpayers are allowed to deduct the costs of acquiring depreciable assets (assets that wear out or become obsolete over a period of years) as depreciation deductions. The tax code currently allows new buildings other than rental housing to be written off over 39 years, using a straight line method where equal amounts are deducted in each period. There is also a prescribed 40 year write-off period for these buildings under the alternative minimum tax (also based on a straight-line method).</p>

<p>Improvements required for a new leasehold for a non-residential structure, for certain restaurant improvements and for certain retail improvements made at least three years after original construction may be depreciated over 15 years. This provision applies through 2011.</p>
"
Restaurant property,Commerce and housing,2008-2013,"<p>Taxpayers are allowed to deduct the costs of acquiring depreciable assets (assets that wear out or become obsolete over a period of years) as depreciation deductions. The tax code currently allows new buildings other than rental housing to be written off over 39 years, using a straight line method where equal amounts are deducted in each period. There is also a prescribed 40 year write-off period for these buildings under the alternative minimum tax (also based on a straight-line method).</p>

<p>Improvements required for a new leasehold for a non-residential structure, for certain restaurant improvements and for certain retail improvements made at least three years after original construction may be depreciated over 15 years. This provision applies through 2011.</p>
"
Retail improvements,Commerce and housing,2008-2013,"<p>Taxpayers are allowed to deduct the costs of acquiring depreciable assets (assets that wear out or become obsolete over a period of years) as depreciation deductions. The tax code currently allows new buildings other than rental housing to be written off over 39 years, using a straight line method where equal amounts are deducted in each period. There is also a prescribed 40 year write-off period for these buildings under the alternative minimum tax (also based on a straight-line method).</p>

<p>Improvements required for a new leasehold for a non-residential structure, for certain restaurant improvements and for certain retail improvements made at least three years after original construction may be depreciated over 15 years. This provision applies through 2011.</p>
"
Net alternative minimum tax attributable to net operating loss limitation,Commerce and housing,2008-2014,"<p>The provision allows eligible taxpayers to elect to carry back an applicable net operating loss (NOL) for a period of 3, 4, or 5 years, or a loss from operations for 4 or 5 years, to offset taxable income in those preceding taxable years. Eligible taxpayers are all taxpayers except for those who receive federal assistance from the Troubled Asset Relief Program. If the taxpayer makes this election, an alternative minimum tax net operating loss from the election year can be carried back without being subject to limit. Otherwise, alternative minimum tax net operating losses are limited to offset no more than 90 percent of the alternative minimum taxable income (AMTI) for the carryback year.</p>"
Ordinary gain or loss treatment for sale or exchange of Fannie Mae and Freddie Mac preferred stock by certain financial institutions,Commerce and housing,2008-2014,"<p>Capital gains or losses from the sale or exchange of preferred stock of Fannie Mae and Freddie Mac are treated as ordinary income or loss by applicable financial institutions, which include banks, mutual savings banks, cooperative banks, and savings and loan associations, among others. For sales or exchanges between January 1, 2008 and September 6, 2008, the taxpayer must have been an applicable financial institution at the time of the sale. For sales after September 6, 2008, the taxpayer had to be an applicable financial institution at all times between September 6, 2008 and the time of the sale or exchange, and the preferred stock had to be held by the institution on September 6, 2008.</p>"
Partial expensing of Gulf Opportunity Zone clean-up costs,Commerce and housing,2006-2010,"<p>Several provisions provide special allowances for deducting costs relating to businesses in the Gulf Opportunity Zone (GO Zone), an area of the Hurricane Katrina official disaster area (which caused significant damage to the Gulf Coast, including New Orleans, in August of 2005). </p>
<p>The cost of demolition of buildings and the removal of some debris is normally added to the basis of land which is not depreciable; 50% of the costs of this nature incurred in the GO Zone after August 28, 2005 and through 2007 may be deducted. </p>
"
Proration for property and casualty insurance companies,Commerce and housing,2008-2014,"<p>A property and casualty insurance companys taxable income during a tax year is its underwriting income (i.e., premiums minus incurred losses and expenses) plus investment income and certain other income items minus allowable deductions. Additions to loss reserves, held to pay future claims, can also be deducted from taxable income under certain conditions. The Tax Reform Act of 1986 (P.L. 99-514) imposed the 15 percent pro-ration provision, as Congress held that using tax-exempt investments to finance additions to loss reserves was inappropriate. Therefore, the allowable deduction for additions to loss reserves was reduced to 15 percent of (I) the insurers tax-exempt interest, (ii) the deductible portion of dividends received (with special rules for dividends from affiliates), and (iii) the increase for the taxable year in the cash value of life insurance, endowment or annuity contracts.</p>"
R&E credits in lieu of bonus depreciation (Code section 168(k)(4)),Commerce and housing,2009-2013,"<p>Under section 168(k)(4), any corporation that acquires from April 1, 2008 to December 31, 2008 property eligible for the bonus depreciation deduction may elect to forgo it and instead claim a refundable credit for a portion of any unused General Business Contracts that is due to research tax credits from tax years before 2006. The corporation may also claim a refundable credit for a portion of any unused Alternative Minimum Tax credits from the same tax years in lieu of the additional first-year depreciation deduction.</p>"
Seven-year recovery period for motorsports entertainment complexes,Commerce and housing,2008-2013,"<p>Taxpayers are allowed to deduct the costs of acquiring depreciable assets (assets that wear out or become obsolete over a period of years) as depreciation deductions. The tax code currently allows new buildings other than rental housing to be written off over 39 years, using a straight line method where equal amounts are deducted in each period. There is also a prescribed 40 year write-off period for these buildings under the alternative minimum tax (also based on a straight-line method).</p>

<p>Motorsports complexes (tracks and other land improvements and support facilities) are depreciated over seven years using a double declining balance method (where a rate twice as large as straight line is applied to the undepreciated balance, with a switch to straight line midway through the period). About half the revenue cost is due to the special provisions, primarily the treatment of leasehold improvements. These provisions are included in the extenders provisions, which are usually extended each year.</p>
"
Special deduction for Blue Cross and Blue Shield companies,Commerce and housing,2000-2014,"<p>Blue Cross and Blue Shield and a number of smaller health insurance providers that existed on August 16, 1986, and other nonprofit health insurers that meet certain community-service and medical loss ratio standards receive special tax treatment. </p>

<p>The Blue Cross and Blue Shield special deduction has two main features. First, eligible health insurers are treated in the tax law as stock property and casualty insurance companies. Eligible organizations, however, can fully deduct unearned premiums, unlike other property and casualty insurance companies. Second, eligible companies may take a special deduction of 25 percent of the years health-related claims and expenses minus its accumulated surplus at the beginning of the year (if such claims and expenses exceed the accumulated surplus). The special deduction is also known as the three-month deduction because when an eligible insurers health-related claims and expenses exceed its accumulated surplus, it may deduct a quarter of the difference for the year. </p><p>This tax expenditure corresponds with the Treasury tax expenditure Special Blue Cross/Blue Shield deduction,"" found in the Health Budget Function and available <a href="""">LINK HERE</a>.</p>
"
"Special rules for magazine, paperback book, and record returns",Commerce and housing,2000-2014,"<p>In general, if a buyer returns goods to the seller, the sellers income is reduced in the year in which the items are returned. If the goods are returned after the tax year in which the goods were sold, the sellers income for the previous year is not affected.</p> 

<p>An exception to the general rule has been granted to publishers and distributors of magazines, paperbacks, and records, who may elect to exclude from gross income for a tax year the income from the sale of goods that are returned after the close of the tax year. To be eligible for the special election, a publisher or distributor must be under a legal obligation, at the time of initial sale, to provide a refund or credit for unsold copies.</p>
"
Special treatment of life insurance company reserves,Commerce and housing,2000-2014,"<p>Life insurance companies can deduct net additions to reserves used to pay future liabilities and must add net subtractions to reserves to its income, subject to certain requirements on reserves set out in Section 807. The ability to deduct net additions to reserves may allow life insurance companies to defer paying some taxes, thus reducing those companies tax burden by allowing them to offset current income with future expenses. The match between the timing of taxable income and deductible expenses is, in general, closer for other businesses. </p>"
Surtax on unearned income,Commerce and housing,2010-2014,"<p>This provision imposes a 3.8-percent unearned income Medicare
contribution tax on the lesser of net investment income or the excess of modified adjusted gross income over the threshold amount of an individual. The threshold amount is $250,000 in the case of a joint return or surviving spouse, $125,000 in the case of a married individual filing a separate return, and $200,000 in any
other case. In the case of an estate or trust, the tax is 3.8 percent of the lesser of undistributed net investment income or the excess of adjusted gross income over the dollar amount at which the highest income tax bracket applicable to an estate or trust begins. As the provision raises revenue, this special rate of tax represents
a negative tax expenditure over the 2010-2014 time period.</p>
"
"Tax credit for employers for retention of employees affected by Hurricanes Katrina, Rita, and Wilma",Commerce and housing,2006-2011,"<p>Several provisions provide special allowances for deducting costs relating to businesses in the Gulf Opportunity Zone (GO Zone), an area of the Hurricane Katrina official disaster area (which caused significant damage to the Gulf Coast, including New Orleans, in August of 2005). An employee retention tax credit is provided for areas affected by subsequent Hurricanes Wilma and Rita, affecting the Gulf Coast and Florida, as well as Katrina. The GO Zone is also the core disaster area designated by the Federal Emergency Management Authority (FEMA) and covers the southern part of Louisiana and Mississippi, and southwestern counties in Alabama.</p>
<p>Employers are allowed a credit of 40% of up to $6,000 of qualified wages for employees retained in the Katrina, Rita, and Wilma zone areas, during the period a business is inoperable.</p>
"
Tax credit for first-time homebuyers in the District of Columbia,Commerce and housing,2000-2007,"<p>The Tax Credit for First-Time District of Columbia Homebuyers (TCDCH) allows a non-refundable credit against federal taxes of up to $5,000 for the first-time purchase of a principal residence in the District of Columbia. The credit applies to both individuals and married couples filing jointly. The credit is phased out for individuals earning from $70,000 to $90,000 and for joint filers earning from $110,000 to $130,000. The credit is available only once for homebuyers who acquired title to a qualifying principal residence after August 4, 1997 and before December 31, 2005.</p>"
Tax credit for Gulf Opportunity Zone employers providing in-kind lodging for employees and income exclusion for the employees,Commerce and housing,2006-2011,"<p>A temporary income exclusion is available for the value of in-kind lodging provided to a qualified employee (and the employee's spouse or dependents) by, or on behalf of, a qualified employer. The amount of the exclusion for any month for which lodging is furnished cannot exceed $600. The exclusion does not apply for purposes of Social Security and Medicare taxes or unemployment tax. Qualified employers providing in-kind lodging to qualified employees may claim a credit equal to 30 percent of the amount of the expense. The remainder of the cost may be deducted.</p>"
Ten-year carryback period for casualty losses of public utility property attributable to Hurricane Katrina,Commerce and housing,2006-2010,"<p>Several provisions provide special allowances for deducting costs relating to businesses in the Gulf Opportunity Zone (GO Zone), an area of the Hurricane Katrina official disaster area (which caused significant damage to the Gulf Coast, including New Orleans, in August of 2005).</p><p>Several provisions increase loss carryback allowances. Generally firms with losses can carry back losses two years to offset against prior year income, and forward for 20 years. Certain losses attributable to a disaster can be treated as if they occurred in the previous taxable year. For the GO Zone, casualty losses for public utilities, up to the amount of any net operating loss, may be carried back 10 years, and public utility casualty losses in general may be treated as if they occurred in the fifth previous year (effectively a five-year carryback position).</p>
"
Accelerated depreciation for business property on Indian reservations,Community and regional development,2004-2012,"<p>Businesses on Indian reservations are eligible for accelerated depreciation. These benefits are available for property placed in service before December 31, 2007.</p>
"
