"Source: JCT. ""JCS-8-03: Estimates Of Federal Tax Expenditures For Fiscal Years 2004-2008."""
"The Joint Committee on Taxation (JCT) does not provide numerical data for values that are between -$50 million and $50 million. Rather it provides a footnote indicating that the values are either ""greater than -$50 million"" or ""less than $50 million."" The estimates in the individual and corporation columns from the JCT may contain values between -$50 million and $50 million (denoted as >-50 or <50). When aggregated, in the totals column, the sums of these values are unknown and thus are rounded to zero. For more information, see Subsidyscope's methodology."
""
Budget_function,Title as it Appears in Source,2004 Indv,2005 Indv,2006 Indv,2007 Indv,2008 Indv,2004 Corp,2005 Corp,2006 Corp,2007 Corp,2008 Corp,2004 Total,2005 Total,2006 Total,2007 Total,2008 Total,Notes
Commerce and housing,Depreciation of buildings other than rental housing in excess of alternative depreciation system,1900.00,1300.00,100.00,200.00,300.00,1800.00,1400.00,900.00,1200.00,1600.00,3700.00,2700.00,1000.00,1400.00,1900.00,
Commerce and housing,Depreciation of equipment in excess of alternative depreciation system,16100.00,5800.00,-1600.00,-600.00,1400.00,52900.00,23000.00,2400.00,6100.00,12400.00,69000.00,28800.00,800.00,5500.00,13800.00,
Commerce and housing,Depreciation of rental housing in excess of alternative depreciation system,3000.00,3300.00,3700.00,4300.00,4900.00,300.00,400.00,400.00,500.00,500.00,3300.00,3700.00,4100.00,4800.00,5400.00,
Commerce and housing,Amortization of business startup costs,600.00,600.00,600.00,600.00,700.00,<50,<50,<50,<50,<50,600.00,600.00,600.00,600.00,700.00,
Commerce and housing,Exclusion of capital gains on sales of principal residences,17900.00,18000.00,18300.00,18500.00,18700.00,0.00,0.00,0.00,0.00,0.00,17900.00,18000.00,18300.00,18500.00,18700.00,
Commerce and housing,Carryover basis of capital gains on gifts,4300.00,4600.00,4900.00,5200.00,5500.00,0.00,0.00,0.00,0.00,0.00,4300.00,4600.00,4900.00,5200.00,5500.00,
Commerce and housing,"Cash accounting, other than agriculture",700.00,700.00,800.00,800.00,800.00,<50,<50,<50,<50,<50,700.00,700.00,800.00,800.00,800.00,
Commerce and housing,Completed contract rules,<50,<50,<50,<50,<50,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,
Commerce and housing,Tax credit for employer-paid FICA taxes on tips,300.00,300.00,400.00,400.00,400.00,200.00,200.00,200.00,200.00,200.00,500.00,500.00,600.00,600.00,600.00,
Commerce and housing,Tax credit for low-income housing,1300.00,1400.00,1400.00,1500.00,1600.00,3000.00,3200.00,3300.00,3500.00,3700.00,4300.00,4600.00,4700.00,5000.00,5300.00,
Commerce and housing,Tax credit for rehabilitation of historic structures,100.00,100.00,100.00,100.00,100.00,400.00,400.00,400.00,400.00,400.00,500.00,500.00,500.00,500.00,500.00,
Commerce and housing,Deduction for mortgage interest on owner-occupied residences,61400.00,69900.00,75600.00,80200.00,85500.00,0.00,0.00,0.00,0.00,0.00,61400.00,69900.00,75600.00,80200.00,85500.00,
Commerce and housing,Deduction for property taxes on owner-occupied residences,18700.00,16700.00,15000.00,14200.00,13300.00,0.00,0.00,0.00,0.00,0.00,18700.00,16700.00,15000.00,14200.00,13300.00,
Commerce and housing,Deferral of gain on involuntary conversions resulting from Presidentially-declared disasters,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Commerce and housing,Deferral of gain on like-kind exchanges,400.00,500.00,500.00,500.00,500.00,1200.00,1200.00,1300.00,1300.00,1400.00,1600.00,1700.00,1800.00,1800.00,1900.00,
Commerce and housing,Deferral of gain on non-dealer installment sales,400.00,500.00,500.00,500.00,500.00,600.00,600.00,600.00,700.00,700.00,1000.00,1100.00,1100.00,1200.00,1200.00,
Commerce and housing,Exception from net operating loss limitations for corporations in bankruptcy proceedings,0.00,0.00,0.00,0.00,0.00,700.00,600.00,600.00,600.00,600.00,700.00,600.00,600.00,600.00,600.00,
Commerce and housing,Permanent exemption from imputed interest rules,300.00,300.00,300.00,300.00,300.00,<50,<50,<50,<50,<50,300.00,300.00,300.00,300.00,300.00,
Commerce and housing,Exclusion of investment income on life insurance and annuity contracts,24700.00,25400.00,26000.00,26700.00,27300.00,1400.00,1400.00,1500.00,1500.00,1500.00,26100.00,26800.00,27500.00,28200.00,28800.00,
Commerce and housing,Exclusion of interest on State and local government bonds for owner-occupied housing,800.00,900.00,900.00,900.00,900.00,300.00,300.00,300.00,300.00,300.00,1100.00,1200.00,1200.00,1200.00,1200.00,
Commerce and housing,Exclusion of interest on State and local government bonds for rental housing,200.00,200.00,200.00,200.00,200.00,100.00,100.00,100.00,100.00,100.00,300.00,300.00,300.00,300.00,300.00,
Commerce and housing,Exclusion of interest on State and local government small-issue industrial development bonds,300.00,300.00,300.00,300.00,300.00,100.00,100.00,100.00,100.00,100.00,400.00,400.00,400.00,400.00,400.00,
Commerce and housing,Exemption of credit union income,0.00,0.00,0.00,0.00,0.00,1200.00,1300.00,1300.00,1400.00,1500.00,1200.00,1300.00,1300.00,1400.00,1500.00,
Commerce and housing,Expensing of depreciable business property,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Commerce and housing,Expensing of magazine circulation expenditures,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Commerce and housing,"Reduced rates on first $10,000,000 of corporate taxable income",0.00,0.00,0.00,0.00,0.00,3300.00,4100.00,5100.00,5600.00,5800.00,3300.00,4100.00,5100.00,5600.00,5800.00,
Commerce and housing,Deduction of unpaid property loss reserves for property and casualty insurance companies,0.00,0.00,0.00,0.00,0.00,1500.00,1500.00,1600.00,1600.00,1600.00,1500.00,1500.00,1600.00,1600.00,1600.00,
Commerce and housing,Reduced rates of tax on dividends and long-term capital gains,66100.00,76800.00,81700.00,86500.00,95200.00,0.00,0.00,0.00,0.00,0.00,66100.00,76800.00,81700.00,86500.00,95200.00,
Commerce and housing,Small life insurance company taxable income adjustment,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Commerce and housing,Special deduction for Blue Cross and Blue Shield companies,0.00,0.00,0.00,0.00,0.00,500.00,500.00,600.00,600.00,600.00,500.00,500.00,600.00,600.00,600.00,
Commerce and housing,"Special rules for magazine, paperback book, and record returns",<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Commerce and housing,Special treatment of life insurance company reserves,0.00,0.00,0.00,0.00,0.00,1700.00,1800.00,1900.00,2000.00,2000.00,1700.00,1800.00,1900.00,2000.00,2000.00,
Commerce and housing,Exclusion of capital gains at death,35900.00,37700.00,40000.00,42800.00,46200.00,0.00,0.00,0.00,0.00,0.00,35900.00,37700.00,40000.00,42800.00,46200.00,
Transportation,Deduction for clean fuel vehicles and refueling property,200.00,200.00,100.00,100.00,0.00,<50,<50,<50,<50,<50,200.00,200.00,100.00,100.00,0.00,
Transportation,Deferral of tax on capital construction funds of shipping companies,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Transportation,Exclusion of employer-paid transportation benefits,3800.00,3800.00,3800.00,3900.00,3900.00,0.00,0.00,0.00,0.00,0.00,3800.00,3800.00,3800.00,3900.00,3900.00,
Income security,Additional standard deduction for the blind and the elderly,2000.00,2100.00,2300.00,2200.00,2200.00,0.00,0.00,0.00,0.00,0.00,2000.00,2100.00,2300.00,2200.00,2200.00,
Income security,Deduction for casualty and theft losses,200.00,200.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,0.00,200.00,200.00,200.00,200.00,200.00,
Income security,Earned income credit (EIC) ,34100.00,35400.00,36100.00,36600.00,37400.00,0.00,0.00,0.00,0.00,0.00,34100.00,35400.00,36100.00,36600.00,37400.00,"The expenditure estimate includes refundable amounts, amounts used to offset income taxes, and amounts used to offset other taxes.The amount of refundable child tax credit and earned income tax cred used to offset taxes other than income tax or paid out as refunds is: $44.3 billion in 2004, $44.8 billion in 2005, $42.6 billion in 2006, $42.7 billion 2007, and $42.9 billion in 2008."
Income security,Employer plans,94600.00,99300.00,104200.00,109400.00,114800.00,0.00,0.00,0.00,0.00,0.00,94600.00,99300.00,104200.00,109400.00,114800.00,
Income security,Exclusion of damages on account of personal physical injuries or physical sickness,1400.00,1400.00,1400.00,1500.00,1500.00,0.00,0.00,0.00,0.00,0.00,1400.00,1400.00,1400.00,1500.00,1500.00,
Income security,Exclusion of cash public assistance benefits,3200.00,3300.00,3500.00,3600.00,3600.00,0.00,0.00,0.00,0.00,0.00,3200.00,3300.00,3500.00,3600.00,3600.00,
Income security,Exclusion of special benefits for disabled coal miners,100.00,100.00,100.00,100.00,<50,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,0.00,
Income security,Exclusion of workers' compensation benefits (disability and survivors payments),4800.00,4900.00,5000.00,5300.00,5600.00,0.00,0.00,0.00,0.00,0.00,4800.00,4900.00,5000.00,5300.00,5600.00,
Income security,Individual retirement plans,13000.00,15500.00,17200.00,18700.00,20500.00,0.00,0.00,0.00,0.00,0.00,13000.00,15500.00,17200.00,18700.00,20500.00,
Income security,Keogh plans,6200.00,6500.00,6800.00,7200.00,7600.00,0.00,0.00,0.00,0.00,0.00,6200.00,6500.00,6800.00,7200.00,7600.00,
Income security,Tax credit for certain individuals for elective deferrals and IRA contributions,2500.00,2300.00,2100.00,600.00,0.00,0.00,0.00,0.00,0.00,0.00,2500.00,2300.00,2100.00,600.00,0.00,
Income security,Exclusion of other employee benefits: Premiums on accident and disability insurance,2400.00,2500.00,2700.00,2800.00,2900.00,0.00,0.00,0.00,0.00,0.00,2400.00,2500.00,2700.00,2800.00,2900.00,
Income security,Exclusion of other employee benefits: Premiums on group term life insurance,2400.00,2500.00,2600.00,2700.00,2800.00,0.00,0.00,0.00,0.00,0.00,2400.00,2500.00,2600.00,2700.00,2800.00,
Income security,Tax credit for new retirement plan expenses of small businesses,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Income security,Tax credit for the elderly and disabled,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"General science, space, and technology",Tax credit for qualified research expenditures,<50,<50,<50,<50,<50,3900.00,2400.00,1200.00,700.00,300.00,3900.00,2400.00,1200.00,700.00,300.00,
"General science, space, and technology",Expensing of research and experimental expenditures,100.00,100.00,100.00,100.00,100.00,3500.00,4900.00,6000.00,6500.00,6900.00,3600.00,5000.00,6100.00,6600.00,7000.00,
International affairs,Deferral of active income of controlled foreign corporations,0.00,0.00,0.00,0.00,0.00,4600.00,4800.00,5000.00,5200.00,5400.00,4600.00,4800.00,5000.00,5200.00,5400.00,
International affairs,Deferral of certain financing income,0.00,0.00,0.00,0.00,0.00,1900.00,2100.00,2300.00,1700.00,0.00,1900.00,2100.00,2300.00,1700.00,0.00,
International affairs,Exclusion of certain allowances for Federal employees abroad,400.00,500.00,500.00,600.00,600.00,0.00,0.00,0.00,0.00,0.00,400.00,500.00,500.00,600.00,600.00,
International affairs,Exclusion of income earned abroad by US citizens,3400.00,3600.00,3800.00,4000.00,4200.00,0.00,0.00,0.00,0.00,0.00,3400.00,3600.00,3800.00,4000.00,4200.00,
International affairs,Exclusion of extraterritorial income,0.00,0.00,0.00,0.00,0.00,5200.00,5500.00,5900.00,6100.00,6300.00,5200.00,5500.00,5900.00,6100.00,6300.00,
International affairs,Inventory property sales source rule exception,0.00,0.00,0.00,0.00,0.00,5400.00,5700.00,6000.00,6300.00,6600.00,5400.00,5700.00,6000.00,6300.00,6600.00,
National Defense,Deduction for overnight-travel expenses of National Guard and Reserve Members,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,
National Defense,Exclusion of benefits and allowances to Armed Forces personnel,2700.00,2800.00,2800.00,2900.00,2900.00,0.00,0.00,0.00,0.00,0.00,2700.00,2800.00,2800.00,2900.00,2900.00,
National Defense,Exclusion of military disability benefits,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,
Agriculture,Cash accounting for agriculture,300.00,300.00,300.00,300.00,300.00,<50,<50,<50,<50,<50,300.00,300.00,300.00,300.00,300.00,
Agriculture,Exclusion of cost-sharing payments,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Agriculture,Expensing of fertilizer and soil conditioner costs,100.00,100.00,100.00,100.00,100.00,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,
Agriculture,Expensing of soil and water conservation expenditures,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Agriculture,Expensing of the costs of raising dairy and breeding cattle,100.00,<50,<50,<50,<50,<50,<50,<50,<50,<50,100.00,0,0,0,0,
Agriculture,Five-year carryback period for net operating losses attributable to farming,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Agriculture,Income averaging for farmers,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Agriculture,Exclusion of cancellation of indebtedness income of farmers,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,
Community and regional development,Accelerated depreciation for Indian reservation investments,100.00,<50,-100.00,-100.00,-100.00,100.00,<50,-100.00,-100.00,-100.00,200.00,0,-200.00,-200.00,-200.00,
Community and regional development,Wage credit for Indian reservation employment,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Community and regional development,District of Columbia tax incentives,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Community and regional development,Empowerment zone tax incentives,300.00,400.00,400.00,400.00,500.00,300.00,300.00,400.00,400.00,400.00,600.00,700.00,800.00,800.00,900.00,
Community and regional development,Renewal community tax incentives,300.00,300.00,400.00,400.00,500.00,100.00,200.00,200.00,200.00,300.00,400.00,500.00,600.00,600.00,800.00,
Community and regional development,"Exclusion of interest on State and local government bonds for private airports, docks, and mass-commuting facilities",600.00,600.00,600.00,600.00,600.00,200.00,200.00,200.00,200.00,300.00,800.00,800.00,800.00,800.00,900.00,
Community and regional development,"Expensing of environmental remediation costs (""Brownfields'')",<50,>-50,>-50,>-50,>-50,<50,>-50,>-50,>-50,>-50,0,0,0,0,0,
Community and regional development,"Tax credit for rehabilitation of structures, other than historic structures",<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Community and regional development,New markets tax credit,200.00,200.00,300.00,400.00,500.00,100.00,200.00,200.00,300.00,400.00,300.00,400.00,500.00,700.00,900.00,
Community and regional development,New York City Liberty Zone tax incentives,200.00,300.00,300.00,200.00,200.00,100.00,300.00,400.00,100.00,-100.00,300.00,600.00,700.00,300.00,100.00,
Natural resources and environment,"Excess of percentage over cost depletion, nonfuel minerals",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,200.00,200.00,200.00,200.00,200.00,
Natural resources and environment,Exclusion of contributions in aid of construction for water and sewer utilities,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Natural resources and environment,"Exclusion of interest on State and local government sewage, water, and hazardous waste facilities bonds",500.00,500.00,500.00,500.00,500.00,200.00,200.00,200.00,200.00,200.00,700.00,700.00,700.00,700.00,700.00,
Natural resources and environment,"Expensing of exploration and development costs, nonfuel minerals",<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Natural resources and environment,Expensing of multiperiod timber-growing costs,<50,<50,<50,<50,<50,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,
Natural resources and environment,Special rules for mining reclamation reserves,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Natural resources and environment,Special tax rate for nuclear decommissioning reserve fund,0.00,0.00,0.00,0.00,0.00,300.00,300.00,400.00,400.00,400.00,300.00,300.00,400.00,400.00,400.00,
"Education, training, employment, and social services",Adoption credit and employee adoption benefits exclusion,100.00,200.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,0.00,100.00,200.00,200.00,200.00,200.00,
"Education, training, employment, and social services",Tax credit for children under age 17 ,44100.00,35700.00,31700.00,31100.00,30400.00,0.00,0.00,0.00,0.00,0.00,44100.00,35700.00,31700.00,31100.00,30400.00,"Tax expenditure estimate includes refundable amounts, amounts used to offset income taxes, and amounts used to offset other taxes. The amount of refundable child tax credit and earned income tax credit used to offset taxes other than income tax or paid out as refunds is: $44.3 billion in 2004, $44.8 billion in 2005, $42.6 billion in 2006, $42.7 billion in 2007, and $42.9 billion in 2008."
"Education, training, employment, and social services",Tax credit for child and dependent care expenses,3100.00,2600.00,2200.00,2100.00,1900.00,0.00,0.00,0.00,0.00,0.00,3100.00,2600.00,2200.00,2100.00,1900.00,
"Education, training, employment, and social services",Tax credit for disabled access expenditures,100.00,100.00,100.00,100.00,100.00,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,
"Education, training, employment, and social services",Tax credit for holders of qualified zone academy bonds,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
"Education, training, employment, and social services",Deduction for charitable contributions to educational institutions,5200.00,5300.00,5500.00,5600.00,5800.00,1100.00,1100.00,1100.00,1200.00,1200.00,6300.00,6400.00,6600.00,6800.00,7000.00,
"Education, training, employment, and social services","Deduction for charitable contributions, other than for education and health",27900.00,28800.00,29600.00,30500.00,31400.00,1800.00,1900.00,1900.00,2000.00,2100.00,29700.00,30700.00,31500.00,32500.00,33500.00,
"Education, training, employment, and social services",Deduction for interest on student loans,700.00,800.00,800.00,900.00,900.00,0.00,0.00,0.00,0.00,0.00,700.00,800.00,800.00,900.00,900.00,
"Education, training, employment, and social services",Deduction for higher education expenses,2700.00,2900.00,700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2700.00,2900.00,700.00,0.00,0.00,
"Education, training, employment, and social services",Deferral of taxation on spread on acquisition of stock under incentive stock option plans and employee stock purchase plans ,400.00,400.00,400.00,400.00,400.00,0.00,0.00,0.00,0.00,0.00,400.00,400.00,400.00,400.00,400.00,Tax expenditure estimate does not include offsetting denial of corporate deduction for qualified stock option compensation.
"Education, training, employment, and social services",Exclusion of earnings of Coverdell education savings accounts,300.00,300.00,400.00,400.00,500.00,0.00,0.00,0.00,0.00,0.00,300.00,300.00,400.00,400.00,500.00,
"Education, training, employment, and social services",Exclusion of employer-provided child care ,800.00,900.00,900.00,1000.00,1000.00,0.00,0.00,0.00,0.00,0.00,800.00,900.00,900.00,1000.00,1000.00,Estimate includes employer-provided child care purchased through dependent care flexible spending accounts.
"Education, training, employment, and social services",Tax credit for employer-provided dependent care,<50,<50,<50,<50,<50,100.00,100.00,100.00,200.00,200.00,100.00,100.00,100.00,200.00,200.00,
"Education, training, employment, and social services",Exclusion of benefits provided under cafeteria plans ,16900.00,18400.00,19500.00,20700.00,22200.00,0.00,0.00,0.00,0.00,0.00,16900.00,18400.00,19500.00,20700.00,22200.00,Estimate includes amounts of employer-provided health insurance purchased though cafeteria plans and employer-provided child care purchased through the dependent care flexible spending accounts. These amounts are also included in other line items in this table.
"Education, training, employment, and social services",Exclusion of certain foster care payments,600.00,700.00,700.00,800.00,800.00,0.00,0.00,0.00,0.00,0.00,600.00,700.00,700.00,800.00,800.00,
"Education, training, employment, and social services",Exclusion of employee awards,100.00,100.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,200.00,200.00,200.00,
"Education, training, employment, and social services",Exclusion of employee meals and lodging (other than military),900.00,900.00,900.00,900.00,900.00,0.00,0.00,0.00,0.00,0.00,900.00,900.00,900.00,900.00,900.00,
"Education, training, employment, and social services",Exclusion of employer-provided education assistance benefits,800.00,800.00,900.00,900.00,900.00,0.00,0.00,0.00,0.00,0.00,800.00,800.00,900.00,900.00,900.00,
"Education, training, employment, and social services",Exclusion of income earned by voluntary employees' beneficiary associations,3200.00,3400.00,3500.00,3700.00,3900.00,0.00,0.00,0.00,0.00,0.00,3200.00,3400.00,3500.00,3700.00,3900.00,
"Education, training, employment, and social services",Exclusion of interest on State and local government bonds for private nonprofit educational facilities,800.00,800.00,800.00,800.00,800.00,300.00,300.00,300.00,300.00,300.00,1100.00,1100.00,1100.00,1100.00,1100.00,
"Education, training, employment, and social services",Exclusion of interest on educational saving bonds,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Education, training, employment, and social services",Exclusion of interest on State and local government student loan bonds,300.00,300.00,300.00,300.00,300.00,100.00,100.00,100.00,100.00,100.00,400.00,400.00,400.00,400.00,400.00,
"Education, training, employment, and social services",Exclusion of miscellaneous fringe benefits,5800.00,5900.00,6000.00,6200.00,6400.00,0.00,0.00,0.00,0.00,0.00,5800.00,5900.00,6000.00,6200.00,6400.00,
"Education, training, employment, and social services",Exclusion of housing allowances for ministers,400.00,500.00,500.00,500.00,500.00,0.00,0.00,0.00,0.00,0.00,400.00,500.00,500.00,500.00,500.00,
"Education, training, employment, and social services",Exclusion of scholarship and fellowship income,1500.00,1500.00,1600.00,1600.00,1700.00,0.00,0.00,0.00,0.00,0.00,1500.00,1500.00,1600.00,1600.00,1700.00,
"Education, training, employment, and social services",Exclusion of earnings of qualified tuition programs,500.00,600.00,700.00,800.00,900.00,0.00,0.00,0.00,0.00,0.00,500.00,600.00,700.00,800.00,900.00,
"Education, training, employment, and social services",Parental personal exemption for students age 19 to 23,1500.00,1100.00,700.00,600.00,500.00,0.00,0.00,0.00,0.00,0.00,1500.00,1100.00,700.00,600.00,500.00,
"Education, training, employment, and social services",Above-the-line deduction for teacher classroom expenses,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,
"Education, training, employment, and social services",Special tax provisions for employee stock ownership plans (ESOPs),300.00,300.00,300.00,300.00,300.00,800.00,900.00,900.00,900.00,900.00,1100.00,1200.00,1200.00,1200.00,1200.00,
"Education, training, employment, and social services",Tax credits for tuition for post-secondary education,4300.00,4300.00,4400.00,4400.00,4400.00,0.00,0.00,0.00,0.00,0.00,4300.00,4300.00,4400.00,4400.00,4400.00,
"Education, training, employment, and social services",Welfare-to-work tax credit,<50,<50,<50,<50,<50,100.00,<50,<50,<50,<50,100.00,0,0,0,0,
"Education, training, employment, and social services",Work opportunity tax credit,<50,<50,<50,<50,<50,200.00,100.00,<50,<50,<50,200.00,100.00,0,0,0,
Health,Deduction for charitable contributions to health organizations,3500.00,3700.00,3800.00,3900.00,4000.00,900.00,1000.00,1000.00,1000.00,1100.00,4400.00,4700.00,4800.00,4900.00,5100.00,
Health,Deduction for medical expenses and long-term care expenses,5900.00,6900.00,7700.00,8800.00,9900.00,0.00,0.00,0.00,0.00,0.00,5900.00,6900.00,7700.00,8800.00,9900.00,
Health,"Exclusion of employer contributions for health care, health insurance premiums, and long-term care insurance premiums ",96000.00,109400.00,121500.00,132200.00,143600.00,0.00,0.00,0.00,0.00,0.00,96000.00,109400.00,121500.00,132200.00,143600.00,Estimate includes employer-provided health insurance purchased through cafeteria plans
Health,Exclusion of interest on State and local government bonds for private nonprofit hospital facilities,1200.00,1200.00,1200.00,1300.00,1300.00,500.00,500.00,500.00,500.00,500.00,1700.00,1700.00,1700.00,1800.00,1800.00,
Health,"Exclusion of medical care and CHAMPUS/TRICARE medical insurance for military dependents, retirees, and retiree dependents",1700.00,1800.00,1800.00,1800.00,1900.00,0.00,0.00,0.00,0.00,0.00,1700.00,1800.00,1800.00,1800.00,1900.00,
Health,Health savings accounts,300.00,400.00,500.00,500.00,600.00,0.00,0.00,0.00,0.00,0.00,300.00,400.00,500.00,500.00,600.00,
Health,Deduction for health insurance premiums and long-term care insurance premiums by the self-employed,3300.00,3600.00,4000.00,4300.00,4600.00,0.00,0.00,0.00,0.00,0.00,3300.00,3600.00,4000.00,4300.00,4600.00,
Health,Tax credit for purchase of health insurance by certain displaced persons,<50,100.00,100.00,100.00,100.00,<50,100.00,200.00,200.00,200.00,0,200.00,300.00,300.00,300.00,
Health,Tax credit for orphan drug research,0.00,0.00,0.00,0.00,0.00,200.00,200.00,200.00,200.00,300.00,200.00,200.00,200.00,200.00,300.00,
Health,Exclusion of workers' compensation benefits (medical benefits),3700.00,3900.00,4000.00,4200.00,4400.00,0.00,0.00,0.00,0.00,0.00,3700.00,3900.00,4000.00,4200.00,4400.00,
Interest,Deferral of interest on savings bonds,1700.00,1700.00,1700.00,1700.00,1700.00,0.00,0.00,0.00,0.00,0.00,1700.00,1700.00,1700.00,1700.00,1700.00,
General purpose fiscal assistance,Deduction of nonbusiness State and local government income and personal property taxes,44300.00,40900.00,37900.00,36700.00,35400.00,0.00,0.00,0.00,0.00,0.00,44300.00,40900.00,37900.00,36700.00,35400.00,
