"Source: JCT. ""JCS-1-02: Estimates Of Federal Tax Expenditures For Fiscal Years 2002-2006."""
"The Joint Committee on Taxation (JCT) does not provide numerical data for values that are between -$50 million and $50 million. Rather it provides a footnote indicating that the values are either ""greater than -$50 million"" or ""less than $50 million."" The estimates in the individual and corporation columns from the JCT may contain values between -$50 million and $50 million (denoted as >-50 or <50). When aggregated, in the totals column, the sums of these values are unknown and thus are rounded to zero. For more information, see Subsidyscope's methodology."
""
Budget_function,Title as it Appears in Source,2002 Indv,2003 Indv,2004 Indv,2005 Indv,2006 Indv,2002 Corp,2003 Corp,2004 Corp,2005 Corp,2006 Corp,2002 Total,2003 Total,2004 Total,2005 Total,2006 Total,Notes
Commerce and housing,Exclusion of interest on State and local government bonds for owner-occupied housing,700.00,800.00,800.00,800.00,800.00,300.00,300.00,300.00,300.00,300.00,1000.00,1100.00,1100.00,1100.00,1100.00,
Commerce and housing,Exclusion of interest on State and local government bonds for rental housing,100.00,100.00,200.00,200.00,200.00,100.00,100.00,100.00,100.00,100.00,200.00,200.00,300.00,300.00,300.00,
Commerce and housing,Exclusion of interest on State and local government small-issue industrial development bonds,300.00,300.00,300.00,300.00,300.00,100.00,100.00,100.00,100.00,100.00,400.00,400.00,400.00,400.00,400.00,
Commerce and housing,Exemption of credit union income,0.00,0.00,0.00,0.00,0.00,900.00,900.00,900.00,1000.00,1000.00,900.00,900.00,900.00,1000.00,1000.00,
Commerce and housing,Expensing of depreciable business property,1300.00,1300.00,900.00,600.00,400.00,300.00,300.00,200.00,200.00,100.00,1600.00,1600.00,1100.00,800.00,500.00,
Commerce and housing,Expensing of magazine circulation expenditures,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Commerce and housing,"Reduced rates on first $10,000,000 of corporate taxable income",0.00,0.00,0.00,0.00,0.00,4700.00,4700.00,4800.00,4900.00,5000.00,4700.00,4700.00,4800.00,4900.00,5000.00,
Commerce and housing,Deduction of unpaid property loss reserves for property and casualty insurance companies,0.00,0.00,0.00,0.00,0.00,2900.00,3000.00,3000.00,3100.00,3200.00,2900.00,3000.00,3000.00,3100.00,3200.00,
Commerce and housing,Ordinary income treatment of losses from sales of small business corporation stock,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Commerce and housing,Reduced rates of tax on long-term capital gains,65100.00,57400.00,56800.00,53800.00,53300.00,0.00,0.00,0.00,0.00,0.00,65100.00,57400.00,56800.00,53800.00,53300.00,
Commerce and housing,Small life insurance company taxable income adjustment,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Commerce and housing,Special deduction for Blue Cross and Blue Shield companies,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Commerce and housing,"Special rules for magazine, paperback book, and record returns",<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Commerce and housing,Special treatment of life insurance company reserves,0.00,0.00,0.00,0.00,0.00,1200.00,1300.00,1300.00,1400.00,1400.00,1200.00,1300.00,1300.00,1400.00,1400.00,
Commerce and housing,Exclusion of capital gains at death,37300.00,40100.00,43100.00,46300.00,49800.00,0.00,0.00,0.00,0.00,0.00,37300.00,40100.00,43100.00,46300.00,49800.00,
Commerce and housing,Tax credit for first-time homebuyers in the District of Columbia,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Transportation,Deferral of tax on capital construction funds for shipping companies,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Transportation,Exclusion of interest on State and local government bonds for high-speed rail,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Transportation,Exclusion of employer-paid transportation benefits,3700.00,3700.00,3800.00,3800.00,3900.00,0.00,0.00,0.00,0.00,0.00,3700.00,3700.00,3800.00,3800.00,3900.00,
Income security,Additional standard deduction for the blind and the elderly,2000.00,2100.00,2200.00,2300.00,2300.00,0.00,0.00,0.00,0.00,0.00,2000.00,2100.00,2200.00,2300.00,2300.00,
Income security,Deduction for casualty and theft losses,200.00,200.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,0.00,200.00,200.00,200.00,200.00,200.00,
Income security,Earned income credit (EIC) ,33700.00,35000.00,35700.00,36200.00,37000.00,0.00,0.00,0.00,0.00,0.00,33700.00,35000.00,35700.00,36200.00,37000.00,"The amount of refundable child tax credit and earned income tax credit used to offset taxes other than income tax or paid out as refunds is: $38.5 billion in 2002, $39.5 billion in 2003, $40.2 billion in 2004, $40.5 billion in 2005, and $43.4 billion in 2006."
Income security,Employer plans,87900.00,87700.00,86700.00,89100.00,93500.00,0.00,0.00,0.00,0.00,0.00,87900.00,87700.00,86700.00,89100.00,93500.00,
Income security,Exclusion of damages on account of personal physical injuries or physical sickness,1400.00,1400.00,1400.00,1400.00,1400.00,0.00,0.00,0.00,0.00,0.00,1400.00,1400.00,1400.00,1400.00,1400.00,
Income security,Exclusion of cash public assistance benefits,700.00,700.00,700.00,700.00,800.00,0.00,0.00,0.00,0.00,0.00,700.00,700.00,700.00,700.00,800.00,
Income security,Exclusion of special benefits for disabled coal miners,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,
Income security,Exclusion of workers' compensation benefits (disability and survivors payments),5400.00,5600.00,5800.00,6100.00,6400.00,0.00,0.00,0.00,0.00,0.00,5400.00,5600.00,5800.00,6100.00,6400.00,
Income security,Individual retirement plans,14000.00,14200.00,15400.00,16800.00,18100.00,0.00,0.00,0.00,0.00,0.00,14000.00,14200.00,15400.00,16800.00,18100.00,
Income security,Keogh plans,5600.00,5700.00,5800.00,6000.00,6300.00,0.00,0.00,0.00,0.00,0.00,5600.00,5700.00,5800.00,6000.00,6300.00,
Income security,Tax credit for certain individuals for elective deferrals and IRA contributions,1300.00,1900.00,1700.00,1600.00,1500.00,0.00,0.00,0.00,0.00,0.00,1300.00,1900.00,1700.00,1600.00,1500.00,
Income security,Exclusion of other employee benefits: Premiums on accident and disability insurance,2300.00,2400.00,2600.00,2700.00,2800.00,0.00,0.00,0.00,0.00,0.00,2300.00,2400.00,2600.00,2700.00,2800.00,
Income security,Exclusion of other employee benefits: Premiums on group term life insurance,2300.00,2400.00,2500.00,2600.00,2700.00,0.00,0.00,0.00,0.00,0.00,2300.00,2400.00,2500.00,2600.00,2700.00,
Income security,Tax credit for new retirement plan expenses of small businesses,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Income security,Tax credit for the elderly and disabled,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"General science, space, and technology",Tax credit for qualified research expenditures,<50,<50,<50,<50,<50,5000.00,5400.00,4700.00,2800.00,1500.00,5000.00,5400.00,4700.00,2800.00,1500.00,
"General science, space, and technology",Expensing of research and experimental expenditures,<50,<50,<50,<50,<50,4500.00,4700.00,4700.00,4800.00,5000.00,4500.00,4700.00,4700.00,4800.00,5000.00,
International affairs,Deferral of active income of controlled foreign corporations,0.00,0.00,0.00,0.00,0.00,4200.00,4400.00,4700.00,5000.00,5300.00,4200.00,4400.00,4700.00,5000.00,5300.00,
International affairs,Deferral of certain financing income,0.00,0.00,0.00,0.00,0.00,600.00,200.00,0.00,0.00,0.00,600.00,200.00,0.00,0.00,0.00,
International affairs,Exclusion of certain allowances for Federal employees abroad,300.00,400.00,400.00,400.00,500.00,0.00,0.00,0.00,0.00,0.00,300.00,400.00,400.00,400.00,500.00,
International affairs,Exclusion of income earned abroad by US citizens,2800.00,3000.00,3200.00,3400.00,3600.00,0.00,0.00,0.00,0.00,0.00,2800.00,3000.00,3200.00,3400.00,3600.00,
International affairs,Exclusion of extraterritorial income,0.00,0.00,0.00,0.00,0.00,4800.00,5200.00,5600.00,6000.00,6500.00,4800.00,5200.00,5600.00,6000.00,6500.00,
International affairs,Inventory property sales source rule exception,0.00,0.00,0.00,0.00,0.00,4800.00,5200.00,5600.00,6000.00,6400.00,4800.00,5200.00,5600.00,6000.00,6400.00,
National Defense,Exclusion of benefits and allowances to Armed Forces personnel,2300.00,2300.00,2400.00,2400.00,2400.00,0.00,0.00,0.00,0.00,0.00,2300.00,2300.00,2400.00,2400.00,2400.00,
National Defense,Exclusion of military disability benefits,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,
Agriculture,Cash accounting for agriculture,500.00,300.00,300.00,300.00,300.00,<50,<50,<50,<50,<50,500.00,300.00,300.00,300.00,300.00,
Agriculture,Exclusion of cost-sharing payments,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Agriculture,Expensing of fertilizer and soil conditioner costs,100.00,100.00,100.00,100.00,100.00,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,
Agriculture,Expensing of soil and water conservation expenditures,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Agriculture,Expensing of the costs of raising dairy and breeding cattle,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Agriculture,Five-year carryback period for net operating losses attributable to farming,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Agriculture,Income averaging for farmers,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Agriculture,Exclusion of cancellation of indebtedness income of farmers,100.00,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,
Community and regional development,District of Columbia tax incentives,<50,100.00,100.00,100.00,100.00,<50,<50,100.00,100.00,100.00,0,100.00,200.00,200.00,200.00,
Community and regional development,Empowerment zone tax incentives,300.00,400.00,400.00,400.00,400.00,200.00,300.00,300.00,300.00,300.00,500.00,700.00,700.00,700.00,700.00,
Community and regional development,Renewal community tax incentives,300.00,400.00,400.00,400.00,400.00,100.00,100.00,100.00,200.00,200.00,400.00,500.00,500.00,600.00,600.00,
Community and regional development,"Exclusion of interest on State and local government bonds for private airports, docks, and mass-commuting facilities",500.00,500.00,500.00,500.00,500.00,200.00,200.00,200.00,200.00,200.00,700.00,700.00,700.00,700.00,700.00,
Community and regional development,"Expensing of environmental remediation costs (""Brownfields'')",100.00,100.00,100.00,>-50,>-50,100.00,100.00,<50,>-50,>-50,200.00,200.00,100.00,0,0,
Community and regional development,Indian reservation tax incentives,100.00,100.00,100.00,>-50,-100.00,200.00,200.00,100.00,>-50,-100.00,300.00,300.00,200.00,0,-200.00,
Community and regional development,"Tax credit for rehabilitation of structures, other than historic structures",<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Community and regional development,New markets tax credit,<50,100.00,100.00,200.00,300.00,<50,<50,100.00,200.00,200.00,0,100.00,200.00,400.00,500.00,
Natural resources and environment,"Excess of percentage over cost depletion, nonfuel minerals",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,200.00,200.00,200.00,200.00,200.00,
Natural resources and environment,Exclusion of contributions in aid of construction for water and sewer utilities,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Natural resources and environment,"Exclusion of interest on State and local government sewage, water, and hazardous waste facilities bonds",400.00,400.00,400.00,400.00,400.00,200.00,200.00,200.00,200.00,200.00,600.00,600.00,600.00,600.00,600.00,
Natural resources and environment,"Expensing of exploration and development costs, nonfuel minerals",<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Natural resources and environment,Expensing of multiperiod timber-growing costs,<50,<50,<50,<50,<50,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,
Natural resources and environment,Special rules for mining reclamation reserves,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Natural resources and environment,Special tax rate for nuclear decommissioning reserve fund,0.00,0.00,0.00,0.00,0.00,200.00,200.00,300.00,300.00,300.00,200.00,200.00,300.00,300.00,300.00,
"Education, training, employment, and social services",Adoption credit and employee adoption benefits exclusion,200.00,200.00,300.00,300.00,300.00,0.00,0.00,0.00,0.00,0.00,200.00,200.00,300.00,300.00,300.00,
"Education, training, employment, and social services",Tax credit for children under age 17 ,26900.00,26900.00,26800.00,30200.00,31500.00,0.00,0.00,0.00,0.00,0.00,26900.00,26900.00,26800.00,30200.00,31500.00,"The amount of refundable child tax credit and earned income tax credit used to offset taxes other than income tax or paid out as refunds is:$38.5 billion in 2002, $39.5 billion in 2003, $40.2 billion in 2004, $40.5 in 2005, and $43.4 billion in 2006."
"Education, training, employment, and social services",Tax credit for child and dependent care expenses,3100.00,3100.00,3000.00,2500.00,2000.00,0.00,0.00,0.00,0.00,0.00,3100.00,3100.00,3000.00,2500.00,2000.00,
"Education, training, employment, and social services",Tax credit for disabled access expenditures,100.00,100.00,100.00,100.00,100.00,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,
"Education, training, employment, and social services",Tax credit for holders of qualified zone academy bonds,0.00,0.00,0.00,0.00,0.00,<50,<50,100.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,
"Education, training, employment, and social services",Deduction for charitable contributions to educational institutions,5500.00,6100.00,6400.00,6600.00,6500.00,1000.00,1100.00,1200.00,1300.00,1400.00,6500.00,7200.00,7600.00,7900.00,7900.00,
"Education, training, employment, and social services","Deduction for charitable contributions, other than for education and health",30000.00,32900.00,34800.00,35800.00,35100.00,1700.00,1900.00,2100.00,2200.00,2400.00,31700.00,34800.00,36900.00,38000.00,37500.00,
"Education, training, employment, and social services",Deduction for interest on student loans,600.00,600.00,700.00,800.00,800.00,0.00,0.00,0.00,0.00,0.00,600.00,600.00,700.00,800.00,800.00,
"Education, training, employment, and social services",Deduction for higher education expenses,1500.00,2100.00,3700.00,2900.00,100.00,0.00,0.00,0.00,0.00,0.00,1500.00,2100.00,3700.00,2900.00,100.00,
"Education, training, employment, and social services",Exclusion of spread on acquisition of stock under incentive stock option plans and employee stock purchase plans,500.00,600.00,800.00,900.00,1000.00,0.00,0.00,0.00,0.00,0.00,500.00,600.00,800.00,900.00,1000.00,
"Education, training, employment, and social services","Exclusion of earnings of trust accounts for education (""Coverdell accounts"")",300.00,400.00,500.00,600.00,700.00,0.00,0.00,0.00,0.00,0.00,300.00,400.00,500.00,600.00,700.00,
"Education, training, employment, and social services",Exclusion of employer-provided child care ,600.00,800.00,800.00,900.00,900.00,0.00,0.00,0.00,0.00,0.00,600.00,800.00,800.00,900.00,900.00,Estimate includes employer-provided child care purchased through dependent care flexible spending accounts.
"Education, training, employment, and social services",Tax credit for employer-provided child care,<50,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,0,100.00,100.00,100.00,100.00,
"Education, training, employment, and social services",Exclusion of benefits provided under cafeteria plans ,11400.00,12700.00,13700.00,14800.00,15600.00,0.00,0.00,0.00,0.00,0.00,11400.00,12700.00,13700.00,14800.00,15600.00,Estimate includes amounts of employer-provided health insurance purchased though cafeteria plans and employer-provided child care purchased through the dependent care flexible spending accounts. These amounts are also included in other line items in this table.
"Education, training, employment, and social services",Exclusion of certain foster care payments,500.00,500.00,600.00,600.00,600.00,0.00,0.00,0.00,0.00,0.00,500.00,500.00,600.00,600.00,600.00,
"Education, training, employment, and social services",Exclusion of employee awards,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,
"Education, training, employment, and social services",Exclusion of employee meals and lodging (other than military),800.00,900.00,900.00,900.00,900.00,0.00,0.00,0.00,0.00,0.00,800.00,900.00,900.00,900.00,900.00,
"Education, training, employment, and social services",Exclusion of employer-provided education assistance benefits,500.00,700.00,800.00,800.00,900.00,0.00,0.00,0.00,0.00,0.00,500.00,700.00,800.00,800.00,900.00,
"Education, training, employment, and social services",Exclusion of income earned by voluntary employees' beneficiary associations,1600.00,1700.00,1700.00,1800.00,1900.00,0.00,0.00,0.00,0.00,0.00,1600.00,1700.00,1700.00,1800.00,1900.00,
"Education, training, employment, and social services",Exclusion of interest on State and local government bonds for private nonprofit educational facilities,600.00,600.00,600.00,600.00,700.00,200.00,200.00,200.00,300.00,300.00,800.00,800.00,800.00,900.00,1000.00,
"Education, training, employment, and social services",Exclusion of interest on educational saving bonds,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Education, training, employment, and social services",Exclusion of interest on State and local government student loan bonds,200.00,200.00,200.00,200.00,300.00,100.00,100.00,100.00,100.00,100.00,300.00,300.00,300.00,300.00,400.00,
"Education, training, employment, and social services",Exclusion of miscellaneous fringe benefits,5700.00,6000.00,6200.00,6400.00,6700.00,0.00,0.00,0.00,0.00,0.00,5700.00,6000.00,6200.00,6400.00,6700.00,
"Education, training, employment, and social services",Exclusion of housing allowances for ministers,400.00,400.00,500.00,500.00,500.00,0.00,0.00,0.00,0.00,0.00,400.00,400.00,500.00,500.00,500.00,
"Education, training, employment, and social services",Exclusion of scholarship and fellowship income,1300.00,1400.00,1500.00,1500.00,1600.00,0.00,0.00,0.00,0.00,0.00,1300.00,1400.00,1500.00,1500.00,1600.00,
"Education, training, employment, and social services",Exclusion of earnings of qualified tuition programs,100.00,200.00,200.00,300.00,300.00,0.00,0.00,0.00,0.00,0.00,100.00,200.00,200.00,300.00,300.00,
"Education, training, employment, and social services",Parental personal exemption for students age 19 to 23,1000.00,1000.00,900.00,400.00,100.00,0.00,0.00,0.00,0.00,0.00,1000.00,1000.00,900.00,400.00,100.00,
"Education, training, employment, and social services",Special tax provisions for employee stock ownership plans (ESOPs),200.00,200.00,300.00,300.00,300.00,800.00,900.00,900.00,900.00,900.00,1000.00,1100.00,1200.00,1200.00,1200.00,
"Education, training, employment, and social services",Tax credits for tuition for post-secondary education,4300.00,4300.00,4300.00,4300.00,4300.00,0.00,0.00,0.00,0.00,0.00,4300.00,4300.00,4300.00,4300.00,4300.00,
"Education, training, employment, and social services",Welfare-to-work tax credit,<50,<50,<50,0.00,0.00,100.00,<50,<50,<50,<50,100.00,0,0,0.00,0.00,
"Education, training, employment, and social services",Work opportunity tax credit,100.00,<50,<50,0.00,0.00,300.00,100.00,100.00,<50,<50,400.00,100.00,100.00,0.00,0.00,
Health,Deduction for charitable contributions to health organizations,3800.00,4200.00,4400.00,4500.00,4500.00,1000.00,1000.00,1100.00,1200.00,1300.00,4800.00,5200.00,5500.00,5700.00,5800.00,
Health,Deduction for medical expenses and long-term care expenses,5600.00,6000.00,6400.00,6800.00,7200.00,0.00,0.00,0.00,0.00,0.00,5600.00,6000.00,6400.00,6800.00,7200.00,
Health,"Exclusion of employer contributions for health care, health insurance premiums, and long-term care insurance premiums ",69100.00,75100.00,80000.00,86500.00,93300.00,0.00,0.00,0.00,0.00,0.00,69100.00,75100.00,80000.00,86500.00,93300.00,Estimate includes employer-provided health insurance purchased through cafeteria plans
Health,Exclusion of interest on State and local government bonds for private nonprofit hospital facilities,1000.00,1000.00,1000.00,1000.00,1100.00,400.00,400.00,400.00,400.00,400.00,1400.00,1400.00,1400.00,1400.00,1500.00,
Health,"Exclusion of medical care and CHAMPUS/TRICARE medical insurance for military dependents, retirees, and retiree dependents",1400.00,1500.00,1500.00,1500.00,1500.00,0.00,0.00,0.00,0.00,0.00,1400.00,1500.00,1500.00,1500.00,1500.00,
Health,Archer medical savings accounts,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Health,Deduction for health insurance premiums and long-term care insurance premiums by the self-employed,1600.00,2400.00,2800.00,2900.00,3100.00,0.00,0.00,0.00,0.00,0.00,1600.00,2400.00,2800.00,2900.00,3100.00,
Health,Tax credit for orphan drug clinical testing,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Health,Exclusion of workers' compensation benefits (medical benefits),3500.00,3700.00,3800.00,3900.00,4000.00,0.00,0.00,0.00,0.00,0.00,3500.00,3700.00,3800.00,3900.00,4000.00,
Interest,Deferral of interest on savings bonds,1600.00,1600.00,1600.00,1600.00,1600.00,0.00,0.00,0.00,0.00,0.00,1600.00,1600.00,1600.00,1600.00,1600.00,
General purpose fiscal assistance,Deduction of nonbusiness State and local government income and personal property taxes,44900.00,46300.00,45300.00,41500.00,34700.00,0.00,0.00,0.00,0.00,0.00,44900.00,46300.00,45300.00,41500.00,34700.00,
General purpose fiscal assistance,Exclusion of interest on public purpose State and local government debt,15700.00,15800.00,16000.00,16300.00,16500.00,6100.00,6200.00,6200.00,6300.00,6400.00,21800.00,22000.00,22200.00,22600.00,22900.00,
General purpose fiscal assistance,"Tax credit for Puerto Rico and possession income, and Puerto Rico economic activity",0.00,0.00,0.00,0.00,0.00,2600.00,2200.00,2000.00,1800.00,500.00,2600.00,2200.00,2000.00,1800.00,500.00,
Veterans benefits and services,Exclusion of veterans' readjustment benefits,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,
Veterans benefits and services,Exclusion of interest on State and local government bonds for veterans' housing,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Veterans benefits and services,Exclusion of veterans' disability compensation,2300.00,2400.00,2400.00,2500.00,2600.00,0.00,0.00,0.00,0.00,0.00,2300.00,2400.00,2400.00,2500.00,2600.00,
