"Source: JCT. ""JCS-2-06: Estimates Of Federal Tax Expenditures For Fiscal Years 2006-2010."""
"The Joint Committee on Taxation (JCT) does not provide numerical data for values that are between -$50 million and $50 million. Rather it provides a footnote indicating that the values are either ""greater than -$50 million"" or ""less than $50 million."" The estimates in the individual and corporation columns from the JCT may contain values between -$50 million and $50 million (denoted as >-50 or <50). When aggregated, in the totals column, the sums of these values are unknown and thus are rounded to zero. For more information, see Subsidyscope's methodology."
""
Budget_function,Title as it Appears in Source,2006 Indv,2007 Indv,2008 Indv,2009 Indv,2010 Indv,2006 Corp,2007 Corp,2008 Corp,2009 Corp,2010 Corp,2006 Total,2007 Total,2008 Total,2009 Total,2010 Total,Notes
Commerce and housing,Completed contract rules,<50,<50,<50,<50,<50,300.00,300.00,400.00,400.00,500.00,300.00,300.00,400.00,400.00,500.00,
Commerce and housing,Tax credit for employer-paid FICA taxes on tips,300.00,400.00,400.00,400.00,500.00,200.00,200.00,200.00,200.00,300.00,500.00,600.00,600.00,600.00,800.00,
Commerce and housing,Tax credit for low-income housing,1400.00,1500.00,1600.00,1700.00,1900.00,3400.00,3600.00,3800.00,4100.00,4400.00,4800.00,5100.00,5400.00,5800.00,6300.00,
Commerce and housing,Tax credit for rehabilitation of historic structures,100.00,100.00,100.00,100.00,100.00,300.00,300.00,300.00,300.00,300.00,400.00,400.00,400.00,400.00,400.00,
Commerce and housing,"Tax credit for rehabilitation of structures, other than historic structures",100.00,100.00,100.00,100.00,100.00,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,
Commerce and housing,Tax credit for the cost of carrying tax-paid distilled spirits in wholesale inventories,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Commerce and housing,Deduction for mortgage interest on owner-occupied residences,69400.00,75600.00,80700.00,85900.00,91100.00,0.00,0.00,0.00,0.00,0.00,69400.00,75600.00,80700.00,85900.00,91100.00,
Commerce and housing,Deduction for property taxes on owner-occupied residences,19900.00,13800.00,13500.00,13400.00,13200.00,0.00,0.00,0.00,0.00,0.00,19900.00,13800.00,13500.00,13400.00,13200.00,
Commerce and housing,Production activity deduction,900.00,1300.00,1800.00,2000.00,2600.00,2700.00,3900.00,5500.00,5900.00,7400.00,3600.00,5200.00,7300.00,7900.00,10000.00,
Commerce and housing,Deferral of gain on like-kind exchanges,800.00,800.00,900.00,800.00,1000.00,2000.00,2100.00,2200.00,2400.00,2500.00,2800.00,2900.00,3100.00,3200.00,3500.00,
Commerce and housing,Deferral of gain on non-dealer installment sales,500.00,500.00,500.00,600.00,600.00,600.00,700.00,700.00,700.00,800.00,1100.00,1200.00,1200.00,1300.00,1400.00,
Commerce and housing,Exception from net operating loss limitations for corporations in bankruptcy proceedings,0.00,0.00,0.00,0.00,0.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,
Commerce and housing,Permanent exemption from imputed interest rules,400.00,400.00,400.00,400.00,500.00,<50,<50,<50,<50,<50,400.00,400.00,400.00,400.00,500.00,
Commerce and housing,Exclusion of investment income on life insurance and annuity contracts,25500.00,26100.00,26800.00,27500.00,28200.00,2500.00,2500.00,2600.00,2700.00,2700.00,28000.00,28600.00,29400.00,30200.00,30900.00,
Commerce and housing,Exclusion of interest on State and local government qualified private activity bonds for owner-occupied housing,900.00,1000.00,1000.00,1100.00,1100.00,300.00,400.00,400.00,400.00,400.00,1200.00,1400.00,1400.00,1500.00,1500.00,
Commerce and housing,Exclusion of interest on State and local government qualified private activity bonds for rental housing,500.00,500.00,500.00,600.00,600.00,200.00,200.00,200.00,200.00,200.00,700.00,700.00,700.00,800.00,800.00,
Commerce and housing,Exclusion of interest on State and local government small-issue qualified private activity bonds,300.00,300.00,300.00,400.00,400.00,100.00,100.00,100.00,100.00,100.00,400.00,400.00,400.00,500.00,500.00,
Commerce and housing,Exemption of credit union income,0.00,0.00,0.00,0.00,0.00,1700.00,1800.00,1900.00,2000.00,2100.00,1700.00,1800.00,1900.00,2000.00,2100.00,
Commerce and housing,Expensing under section 179 of depreciable business property,2800.00,2600.00,100.00,-800.00,-400.00,600.00,600.00,-100.00,-400.00,-200.00,3400.00,3200.00,0.00,-1200.00,-600.00,
Commerce and housing,Expensing of magazine circulation expenditures,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Commerce and housing,Five-year carryback period for casualty losses of public utility property attributable to Hurricane Katrina,0.00,0.00,>-50,>-50,>-50,100.00,<50,>-50,>-50,>-50,100.00,0.00,0,0,0,
Commerce and housing,Five-year carryback period for losses attributable to various expenses related to Hurricane Katrina,0.00,0.00,0.00,0.00,0.00,1000.00,300.00,-100.00,-200.00,-200.00,1000.00,300.00,-100.00,-200.00,-200.00,
Commerce and housing,"Reduced rates on first $10,000,000 of corporate taxable income",0.00,0.00,0.00,0.00,0.00,4300.00,4300.00,4300.00,4300.00,4300.00,4300.00,4300.00,4300.00,4300.00,4300.00,
Commerce and housing,Deduction of unpaid property loss reserves for property and casualty insurance companies,0.00,0.00,0.00,0.00,0.00,3400.00,3400.00,3500.00,3600.00,3600.00,3400.00,3400.00,3500.00,3600.00,3600.00,
Commerce and housing,Partial expensing of Gulf Opportunity Zone clean-up costs,<50,<50,<50,>-50,>-50,<50,<50,<50,>-50,>-50,0,0,0,0,0,
Commerce and housing,Reduced rates of tax on dividends and long-term capital gains,92200.00,94500.00,101700.00,99600.00,50200.00,0.00,0.00,0.00,0.00,0.00,92200.00,94500.00,101700.00,99600.00,50200.00,
Commerce and housing,Small life insurance company taxable income adjustment,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Commerce and housing,Special deduction for Blue Cross and Blue Shield companies,0.00,0.00,0.00,0.00,0.00,900.00,1000.00,1000.00,1000.00,1000.00,900.00,1000.00,1000.00,1000.00,1000.00,
Commerce and housing,Deduction of certain film and television production costs,<50,<50,<50,<50,<50,100.00,100.00,100.00,<50,<50,100.00,100.00,100.00,0,0,
Commerce and housing,"Special rules for magazine, paperback book, and record returns",<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Commerce and housing,Special treatment of life insurance company reserves,0.00,0.00,0.00,0.00,0.00,1900.00,2000.00,2000.00,2100.00,2200.00,1900.00,2000.00,2000.00,2100.00,2200.00,
Commerce and housing,Exclusion of capital gains at death,50900.00,51900.00,53200.00,69700.00,64500.00,0.00,0.00,0.00,0.00,0.00,50900.00,51900.00,53200.00,69700.00,64500.00,
Commerce and housing,"Tax credit for employers for retention of employees affected by Hurricanes Katrina, Rita, and Wilma",<50,<50,<50,<50,0.00,<50,<50,<50,<50,<50,0,0,0,0,0.00,
Commerce and housing,Tax credit for Gulf Opportunity Zone employers providing in-kind lodging for employees and income exclusion for the employees,100.00,<50,0.00,0.00,0.00,100.00,<50,0.00,0.00,0.00,200.00,0,0.00,0.00,0.00,
Commerce and housing,Ten-year carryback period for casualty losses of public utility property attributable to Hurricane Katrina,0.00,0.00,>-50,>-50,>-50,200.00,<50,>-50,>-50,>-50,200.00,0.00,0,0,0,
Transportation,Deferral of tax on capital construction funds of shipping companies,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Transportation,Exclusion of interest on State and local government qualified private activity bonds for highway projects and rail-truck transfer facilities,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Transportation,Exclusion of employer-paid transportation benefits,4200.00,4300.00,4400.00,4500.00,4700.00,0.00,0.00,0.00,0.00,0.00,4200.00,4300.00,4400.00,4500.00,4700.00,
Transportation,Provide a 50-percent tax credit for certain expenditures for maintaining railroad tracks,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,<50,100.00,100.00,100.00,100.00,0.00,
Income security,Additional standard deduction for the blind and the elderly,1600.00,1600.00,1700.00,1700.00,1800.00,0.00,0.00,0.00,0.00,0.00,1600.00,1600.00,1700.00,1700.00,1800.00,
Income security,Deduction for casualty and theft losses,700.00,800.00,300.00,300.00,300.00,0.00,0.00,0.00,0.00,0.00,700.00,800.00,300.00,300.00,300.00,
Income security,Earned income credit (EIC),42100.00,42800.00,43500.00,44500.00,45400.00,0.00,0.00,0.00,0.00,0.00,42100.00,42800.00,43500.00,44500.00,45400.00,
Income security,Employer plans,104100.00,110200.00,115200.00,120800.00,126700.00,0.00,0.00,0.00,0.00,0.00,104100.00,110200.00,115200.00,120800.00,126700.00,
Income security,Exclusion of cancellation of indebtedness income of Hurricane Katrina victims,200.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,100.00,0.00,0.00,0.00,
Income security,Exclusion of damages on account of personal physical injuries or physical sickness,1400.00,1500.00,1500.00,1500.00,1500.00,0.00,0.00,0.00,0.00,0.00,1400.00,1500.00,1500.00,1500.00,1500.00,
Income security,Exclusion of cash public assistance benefits,3400.00,3600.00,3700.00,3900.00,4000.00,0.00,0.00,0.00,0.00,0.00,3400.00,3600.00,3700.00,3900.00,4000.00,
Income security,Exclusion of special benefits for disabled coal miners,100.00,100.00,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,
Income security,Exclusion of workers' compensation benefits (disability and survivors payments),2500.00,2600.00,2700.00,2700.00,2800.00,0.00,0.00,0.00,0.00,0.00,2500.00,2600.00,2700.00,2700.00,2800.00,
Income security,Individual retirement plans,11200.00,14000.00,15500.00,16900.00,18400.00,0.00,0.00,0.00,0.00,0.00,11200.00,14000.00,15500.00,16900.00,18400.00,
Income security,Plans covering partners and sole proprietors (sometimes referred to as ``Keogh plans''),9400.00,10300.00,10800.00,11300.00,11600.00,0.00,0.00,0.00,0.00,0.00,9400.00,10300.00,10800.00,11300.00,11600.00,
Income security,Tax credit for certain individuals for elective deferrals and IRA contributions,900.00,600.00,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,900.00,600.00,0.00,0.00,0.00,
Income security,Exclusion of other employee benefits: Premiums on accident and disability insurance,2600.00,2800.00,2900.00,3000.00,3100.00,0.00,0.00,0.00,0.00,0.00,2600.00,2800.00,2900.00,3000.00,3100.00,
Income security,Exclusion of other employee benefits: Premiums on group term life insurance,2500.00,2600.00,2600.00,2700.00,2700.00,0.00,0.00,0.00,0.00,0.00,2500.00,2600.00,2600.00,2700.00,2700.00,
Income security,Tax credit for new retirement plan expenses of small businesses,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Income security,Tax credit for the elderly and disabled,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"General science, space, and technology",Expensing of research and experimental expenditures,<50,100.00,100.00,100.00,100.00,2000.00,3700.00,5500.00,6000.00,5800.00,2000.00,3800.00,5600.00,6100.00,5900.00,
International affairs,Deferral of active income of controlled foreign corporations,0.00,0.00,0.00,0.00,0.00,3400.00,5800.00,6400.00,7000.00,7500.00,3400.00,5800.00,6400.00,7000.00,7500.00,
International affairs,Deferral of certain active financing income,0.00,0.00,0.00,0.00,0.00,1100.00,1700.00,0.00,0.00,0.00,1100.00,1700.00,0.00,0.00,0.00,
International affairs,Exclusion of certain allowances for Federal employees abroad,600.00,600.00,700.00,700.00,800.00,0.00,0.00,0.00,0.00,0.00,600.00,600.00,700.00,700.00,800.00,
International affairs,Exclusion of income earned abroad by US citizens,3800.00,4000.00,4200.00,4400.00,4600.00,0.00,0.00,0.00,0.00,0.00,3800.00,4000.00,4200.00,4400.00,4600.00,
International affairs,Exclusion of extraterritorial income,100.00,<50,<50,<50,<50,3900.00,1900.00,100.00,100.00,100.00,4000.00,1900.00,100.00,100.00,100.00,
International affairs,Inventory property sales source rule exception,0.00,0.00,0.00,0.00,0.00,6200.00,6400.00,6600.00,6800.00,7000.00,6200.00,6400.00,6600.00,6800.00,7000.00,
National Defense,Deduction for overnight-travel expenses of National Guard and Reserve Members,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,
National Defense,Exclusion of benefits and allowances to Armed Forces personnel,2800.00,2800.00,2900.00,3000.00,3000.00,0.00,0.00,0.00,0.00,0.00,2800.00,2800.00,2900.00,3000.00,3000.00,
National Defense,Exclusion of military disablity benefits,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,
Agriculture,Exclusion of cost-sharing payments,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Agriculture,Expensing of fertilizer and soil conditioner costs,200.00,100.00,100.00,100.00,100.00,<50,<50,<50,<50,<50,200.00,100.00,100.00,100.00,100.00,
Agriculture,Expensing of soil and water conservation expenditures,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Agriculture,Expensing of the costs of raising dairy and breeding cattle,100.00,<50,>-50,>-50,<50,<50,<50,>-50,>-50,<50,100.00,0,0,0,0,
Agriculture,Five-year carryback period for net operating losses attributable to farming,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Agriculture,Income averaging for farmers and fishermen,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Agriculture,Exclusion of cancellation of indebtedness income of farmers,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,
Community and regional development,Empowerment zone tax incentives,400.00,400.00,400.00,500.00,300.00,300.00,400.00,400.00,400.00,200.00,700.00,800.00,800.00,900.00,500.00,
Community and regional development,Renewal community tax incentives,300.00,400.00,400.00,400.00,300.00,200.00,200.00,200.00,200.00,200.00,500.00,600.00,600.00,600.00,500.00,
Community and regional development,"Exclusion of interest on State and local government qualified private activity bonds for private airports, docks, and mass-commuting facilities",700.00,800.00,800.00,900.00,900.00,300.00,300.00,300.00,300.00,400.00,1000.00,1100.00,1100.00,1200.00,1300.00,
Community and regional development,Exclusion of interest on State and local qualified private activity bonds for green buildings and sustainable design projects,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Community and regional development,New markets tax credit,300.00,400.00,500.00,500.00,400.00,200.00,300.00,400.00,300.00,300.00,500.00,700.00,900.00,800.00,700.00,
Community and regional development,New York City Liberty Zone tax incentives,-100.00,200.00,100.00,200.00,100.00,400.00,200.00,100.00,>-50,-100.00,300.00,400.00,200.00,200.00,0.00,
Natural resources and environment,Amortization and expensing of reforestation expenditures,100.00,100.00,100.00,100.00,100.00,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,
Natural resources and environment,Amortization of certified pollution control facilities,0.00,0.00,0.00,0.00,0.00,<50,<50,100.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,
Natural resources and environment,"Excess of percentage over cost depletion, nonfuel minerals",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,200.00,200.00,200.00,200.00,200.00,
Natural resources and environment,Exclusion of contributions in aid of construction for water and sewer utilities,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,
Natural resources and environment,"Exclusion of interest on State and local government qualified private activity bonds for sewage, water, and hazardous waste facilities",400.00,400.00,500.00,500.00,500.00,200.00,200.00,200.00,200.00,200.00,600.00,600.00,700.00,700.00,700.00,
Natural resources and environment,"Expensing of exploration and development costs, nonfuel minerals",<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Natural resources and environment,Expensing of timber-growing costs,<50,<50,<50,<50,<50,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,
Natural resources and environment,Special rules for mining reclamation reserves,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Natural resources and environment,Special tax rate for nuclear decommissioning reserve funds,0.00,0.00,0.00,0.00,0.00,500.00,600.00,700.00,800.00,800.00,500.00,600.00,700.00,800.00,800.00,
"Education, training, employment, and social services",Adoption credit and employee adoption benefits exclusion,400.00,500.00,500.00,500.00,500.00,0.00,0.00,0.00,0.00,0.00,400.00,500.00,500.00,500.00,500.00,
"Education, training, employment, and social services",Tax credit for children under age 17 ,46000.00,45900.00,46100.00,46000.00,46000.00,0.00,0.00,0.00,0.00,0.00,46000.00,45900.00,46100.00,46000.00,46000.00,"Tax expenditure estimate includes refundable amounts, amounts used to offset income taxes, and amounts used to offset other taxes. The amount of refundable child tax credit and earned income tax credit used to offset taxes other than income tax or paid out as refunds is: $50.1 billion in 2006, $51.5 billion in 2007, $51.4 billion in 2008, $52.2 billion in 2009, and $53.2 billion in 2010."
"Education, training, employment, and social services",Tax credit for child and dependent care and exclusion of employer-provided child care (),3100.00,2700.00,2700.00,2600.00,2500.00,0.00,0.00,0.00,0.00,0.00,3100.00,2700.00,2700.00,2600.00,2500.00,Estimate includes employer-provided child care purchased through dependent care flexible spending accounts.
"Education, training, employment, and social services",Tax credit for disabled access expenditures,100.00,100.00,100.00,100.00,100.00,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,
"Education, training, employment, and social services",Tax credit for holders of qualified zone academy bonds,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
"Education, training, employment, and social services",Deduction for charitable contributions to educational institutions,5300.00,5900.00,6300.00,6800.00,7100.00,700.00,700.00,700.00,800.00,800.00,6000.00,6600.00,7000.00,7600.00,7900.00,
"Education, training, employment, and social services","Deduction for charitable contributions, other than for education and health",29100.00,31900.00,34200.00,36800.00,38400.00,1700.00,1700.00,1700.00,1800.00,1800.00,30800.00,33600.00,35900.00,38600.00,40200.00,
"Education, training, employment, and social services",Deduction for interest on student loans,800.00,900.00,900.00,900.00,1000.00,0.00,0.00,0.00,0.00,0.00,800.00,900.00,900.00,900.00,1000.00,
"Education, training, employment, and social services",Deferral of taxation and capital gains treatment on spread on acquisition of stock under incentive stock option plans and employee stock purchase plans ,400.00,400.00,400.00,200.00,100.00,0.00,0.00,0.00,0.00,0.00,400.00,400.00,400.00,200.00,100.00,Tax expenditure estimate does not include offsetting denial of corporate deduction for qualified stock option compensation.
"Education, training, employment, and social services",Exclusion of income attributable to the discharge of certain student loan debt and NHSC Educational Loan repayments,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Education, training, employment, and social services",Exclusion of tax on earnings of Coverdell education savings accounts,100.00,100.00,100.00,200.00,200.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,200.00,200.00,
"Education, training, employment, and social services",Tax credit for employer-provided dependent care,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
"Education, training, employment, and social services",Exclusion of benefits provided under cafeteria plans ,27900.00,30600.00,33400.00,36600.00,40000.00,0.00,0.00,0.00,0.00,0.00,27900.00,30600.00,33400.00,36600.00,40000.00,Estimate includes amounts of employer-provided health insurance purchased though cafeteria plans and employer-provided child care purchased through the dependent care flexible spending accounts. These amounts are also included in other line items in this table.
"Education, training, employment, and social services",Exclusion of certain foster care payments,600.00,600.00,700.00,700.00,800.00,0.00,0.00,0.00,0.00,0.00,600.00,600.00,700.00,700.00,800.00,
"Education, training, employment, and social services",Exclusion of employee awards,200.00,200.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,0.00,200.00,200.00,200.00,200.00,200.00,
"Education, training, employment, and social services",Exclusion of employee meals and lodging (other than military),900.00,900.00,900.00,1000.00,1000.00,0.00,0.00,0.00,0.00,0.00,900.00,900.00,900.00,1000.00,1000.00,
"Education, training, employment, and social services",Exclusion of employer-provided education assistance benefits,800.00,900.00,900.00,900.00,900.00,0.00,0.00,0.00,0.00,0.00,800.00,900.00,900.00,900.00,900.00,
"Education, training, employment, and social services",Exclusion of employer-provided tuition reduction benefits,200.00,200.00,200.00,200.00,200.00,0.00,0.00,0.00,0.00,0.00,200.00,200.00,200.00,200.00,200.00,
"Education, training, employment, and social services",Exclusion of income earned by voluntary employees' beneficiary associations,3300.00,3400.00,3500.00,3700.00,3800.00,0.00,0.00,0.00,0.00,0.00,3300.00,3400.00,3500.00,3700.00,3800.00,
"Education, training, employment, and social services",Exclusion of interest on State and local government qualified private activity bonds for private nonprofit and qualified public educational facilities,1100.00,1200.00,1200.00,1300.00,1300.00,400.00,500.00,500.00,500.00,500.00,1500.00,1700.00,1700.00,1800.00,1800.00,
"Education, training, employment, and social services",Exclusion of interest on educational savings bonds,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Education, training, employment, and social services",Exclusion of interest on State and local government qualified private activity bonds for student loans,300.00,300.00,300.00,400.00,400.00,100.00,100.00,100.00,100.00,100.00,400.00,400.00,400.00,500.00,500.00,
"Education, training, employment, and social services",Exclusion of miscellaneous fringe benefits,6600.00,6800.00,7000.00,7200.00,7700.00,0.00,0.00,0.00,0.00,0.00,6600.00,6800.00,7000.00,7200.00,7700.00,
"Education, training, employment, and social services",Exclusion of housing allowances for ministers,500.00,500.00,500.00,600.00,600.00,0.00,0.00,0.00,0.00,0.00,500.00,500.00,500.00,600.00,600.00,
