"Source: OMB. ""Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2003."""
""
Budget_function,Title as it Appears in Source,2001 Indv,2002 Indv,2003 Indv,2004 Indv,2005 Indv,2006 Indv,2007 Indv,2001 Corp,2002 Corp,2003 Corp,2004 Corp,2005 Corp,2006 Corp,2007 Corp,2001 Total,2002 Total,2003 Total,2004 Total,2005 Total,2006 Total,2007 Total,Notes
Energy,Tax credit and deduction for clean-fuel burning vehicles,20.00,20.00,30.00,20.00,10.00,-10.00,-10.00,30.00,30.00,20.00,0.00,-20.00,-40.00,-40.00,50.00,50.00,50.00,20.00,-10.00,-50.00,-50.00,
Commerce and housing,Accelerated depreciation of buildings other than rental housing (normal tax method),1850.00,1940.00,1790.00,1780.00,1810.00,2110.00,2570.00,2690.00,2620.00,2450.00,2180.00,1990.00,2050.00,2310.00,4540.00,4560.00,4240.00,3960.00,3800.00,4160.00,4880.00,
Commerce and housing,Accelerated depreciation of machinery and equipment (normal tax method),7110.00,6910.00,6730.00,6590.00,6570.00,6550.00,6860.00,30750.00,30220.00,29750.00,30200.00,30860.00,31970.00,34070.00,37860.00,37130.00,36480.00,36790.00,37430.00,38520.00,40930.00,
Commerce and housing,Accelerated depreciation on rental housing (normal tax method),4800.00,5030.00,5270.00,5340.00,5340.00,5250.00,5320.00,390.00,410.00,440.00,450.00,460.00,470.00,480.00,5190.00,5440.00,5710.00,5790.00,5800.00,5720.00,5800.00,
Commerce and housing,Amortization of start-up costs (normal tax method),40.00,50.00,60.00,80.00,80.00,90.00,90.00,90.00,110.00,140.00,160.00,170.00,180.00,180.00,130.00,160.00,200.00,240.00,250.00,270.00,270.00,
Commerce and housing,Cancellation of indebtedness,30.00,30.00,30.00,40.00,40.00,40.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,30.00,30.00,40.00,40.00,40.00,40.00,
Commerce and housing,Capital gains exclusion of small corporation stock,70.00,100.00,130.00,160.00,210.00,250.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,100.00,130.00,160.00,210.00,250.00,300.00,
Commerce and housing,Capital gains exclusion on home sales,19090.00,19670.00,20260.00,20860.00,21490.00,22140.00,22800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19090.00,19670.00,20260.00,20860.00,21490.00,22140.00,22800.00,
Commerce and housing,Carryover basis of capital gains on gifts,530.00,600.00,680.00,760.00,900.00,1080.00,1130.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,530.00,600.00,680.00,760.00,900.00,1080.00,1130.00,
Commerce and housing,Credit for low-income housing investments,800.00,830.00,860.00,900.00,950.00,990.00,1030.00,2420.00,2500.00,2600.00,2730.00,2860.00,2990.00,3100.00,3220.00,3330.00,3460.00,3630.00,3810.00,3980.00,4130.00,
Commerce and housing,Deductibility of mortgage interest on owner-occupied homes,64510.00,64190.00,66110.00,68070.00,70870.00,73560.00,76870.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64510.00,64190.00,66110.00,68070.00,70870.00,73560.00,76870.00,
Commerce and housing,Deductibility of State and local property tax on owner-occupied homes,22410.00,22680.00,23580.00,23210.00,20330.00,16300.00,14410.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22410.00,22680.00,23580.00,23210.00,20330.00,16300.00,14410.00,
Commerce and housing,Deferral of income from post-1987 installment sales,770.00,780.00,800.00,810.00,830.00,840.00,860.00,270.00,270.00,280.00,290.00,290.00,300.00,300.00,1040.00,1050.00,1080.00,1100.00,1120.00,1140.00,1160.00,
Commerce and housing,"Exception from passive loss rules for $25,000 of rental loss",4800.00,4400.00,4070.00,3780.00,3530.00,3290.00,3090.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4800.00,4400.00,4070.00,3780.00,3530.00,3290.00,3090.00,
Commerce and housing,Exceptions from imputed interest rules,80.00,80.00,80.00,80.00,80.00,80.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,
Commerce and housing,Excess bad debt reserves of financial institutions,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,50.00,30.00,20.00,10.00,0.00,0.00,60.00,50.00,30.00,20.00,10.00,0.00,0.00,
Commerce and housing,Exclusion of interest on life insurance savings,14640.00,15940.00,17360.00,18920.00,20620.00,22510.00,24440.00,1650.00,1770.00,1890.00,2020.00,2160.00,2280.00,2490.00,16290.00,17710.00,19250.00,20940.00,22780.00,24790.00,26930.00,
Commerce and housing,Exclusion of interest on owner-occupied mortgage subsidy bonds,600.00,620.00,660.00,740.00,820.00,910.00,1000.00,200.00,210.00,210.00,220.00,230.00,230.00,240.00,800.00,830.00,870.00,960.00,1050.00,1140.00,1240.00,
Commerce and housing,Exclusion of interest on rental housing bonds,120.00,130.00,140.00,150.00,170.00,190.00,210.00,40.00,40.00,40.00,50.00,50.00,50.00,50.00,160.00,170.00,180.00,200.00,220.00,240.00,260.00,
Commerce and housing,Exclusion of interest on small issue bonds,230.00,230.00,250.00,280.00,310.00,340.00,380.00,80.00,80.00,80.00,80.00,80.00,90.00,90.00,310.00,310.00,330.00,360.00,390.00,430.00,470.00,
Commerce and housing,Exemption of credit union income,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1000.00,1070.00,1150.00,1230.00,1320.00,1420.00,1530.00,1000.00,1070.00,1150.00,1230.00,1320.00,1420.00,1530.00,
Commerce and housing,Expensing of certain small investments (normal tax method),1140.00,960.00,960.00,930.00,910.00,990.00,1150.00,530.00,470.00,460.00,460.00,450.00,490.00,570.00,1670.00,1430.00,1420.00,1390.00,1360.00,1480.00,1720.00,
Commerce and housing,Graduated corporation income tax rate (normal tax method),0.00,0.00,0.00,0.00,0.00,0.00,0.00,4940.00,5590.00,6210.00,6580.00,7120.00,7450.00,7880.00,4940.00,5590.00,6210.00,6580.00,7120.00,7450.00,7880.00,
Commerce and housing,Ordinary income treatment of loss from small business corporation stock sale,40.00,40.00,40.00,50.00,50.00,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,40.00,40.00,50.00,50.00,50.00,50.00,
Commerce and housing,"Capital gains (except agriculture, timber, iron ore, and coal) (normal tax method)",67800.00,61810.00,60200.00,56990.00,56180.00,50670.00,49880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67800.00,61810.00,60200.00,56990.00,56180.00,50670.00,49880.00,
Commerce and housing,Small life insurance company deduction,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Commerce and housing,Special alternative tax on small property and casualty insurance companies,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Commerce and housing,Step-up basis of capital gains at death,26540.00,27610.00,28710.00,29860.00,31050.00,32300.00,33590.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26540.00,27610.00,28710.00,29860.00,31050.00,32300.00,33590.00,
Commerce and housing,Tax exemption of certain insurance companies owned by tax-exempt organizations,0.00,0.00,0.00,0.00,0.00,0.00,0.00,220.00,230.00,250.00,260.00,280.00,290.00,300.00,220.00,230.00,250.00,260.00,280.00,290.00,300.00,
Transportation,Deferral of tax on shipping companies,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,
Transportation,Exclusion for employer-provided transit passes,220.00,280.00,360.00,410.00,470.00,540.00,600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,220.00,280.00,360.00,410.00,470.00,540.00,600.00,
Transportation,Exclusion of reimbursed employee parking expenses,1980.00,2090.00,2190.00,2300.00,2420.00,2550.00,2670.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1980.00,2090.00,2190.00,2300.00,2420.00,2550.00,2670.00,
Income security,401(k) plans,44080.00,52960.00,59510.00,62770.00,65290.00,69230.00,73320.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44080.00,52960.00,59510.00,62770.00,65290.00,69230.00,73320.00,
Income security,Additional deduction for the blind,40.00,40.00,40.00,40.00,40.00,40.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,
Income security,Additional deduction for the elderly,1970.00,1890.00,1950.00,2060.00,2100.00,2150.00,2050.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1970.00,1890.00,1950.00,2060.00,2100.00,2150.00,2050.00,
Income security,Deductibility of casualty losses,210.00,250.00,310.00,360.00,410.00,450.00,490.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,210.00,250.00,310.00,360.00,410.00,450.00,490.00,
Income security,Earned income tax credit,4940.00,4370.00,4800.00,4930.00,5100.00,5180.00,5390.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4940.00,4370.00,4800.00,4930.00,5100.00,5180.00,5390.00,"The figures in the table indicate the effect of the earned income tax credit on receipts. The effect of the credit on outlays (in millions of dollars) is as follows: 2001 $26,120; 2002 $28,280; 2003 $30,630; 2004 $31,080; 2005 $31,720; 2006 $33,130; and 2007 $34,090."
Income security,Employer plans,42070.00,48070.00,53080.00,54500.00,55630.00,58980.00,63320.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42070.00,48070.00,53080.00,54500.00,55630.00,58980.00,63320.00,
Income security,Exclusion of military disability pensions,110.00,120.00,120.00,120.00,130.00,130.00,140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110.00,120.00,120.00,120.00,130.00,130.00,140.00,
Income security,Exclusion of public assistance benefits (normal tax method),370.00,380.00,400.00,410.00,430.00,450.00,470.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,370.00,380.00,400.00,410.00,430.00,450.00,470.00,
Income security,Exclusion of railroad retirement system benefits,380.00,390.00,400.00,400.00,400.00,400.00,400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,380.00,390.00,400.00,400.00,400.00,400.00,400.00,
Income security,Exclusion of special benefits for disabled coal miners,70.00,70.00,60.00,60.00,60.00,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,70.00,60.00,60.00,60.00,50.00,50.00,
Income security,Exclusion of workers' compensation benefits,5560.00,5810.00,6070.00,6320.00,6600.00,6900.00,7200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5560.00,5810.00,6070.00,6320.00,6600.00,6900.00,7200.00,
Income security,Income of trusts to finance supplementary unemployment benefits,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,30.00,30.00,30.00,30.00,30.00,20.00,20.00,30.00,30.00,30.00,30.00,30.00,
Income security,Individual Retirement Accounts,18680.00,18090.00,18660.00,19050.00,18930.00,19230.00,18330.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18680.00,18090.00,18660.00,19050.00,18930.00,19230.00,18330.00,
Income security,Keogh plans,6160.00,6520.00,6770.00,7040.00,7250.00,7490.00,7730.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6160.00,6520.00,6770.00,7040.00,7250.00,7490.00,7730.00,
Income security,Low and moderate income savers credit,0.00,550.00,1960.00,1940.00,1900.00,1800.00,1280.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,550.00,1960.00,1940.00,1900.00,1800.00,1280.00,
Income security,Premiums on accident and disability insurance,210.00,220.00,230.00,240.00,250.00,260.00,270.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,210.00,220.00,230.00,240.00,250.00,260.00,270.00,
Income security,Premiums on group term life insurance,1750.00,1780.00,1800.00,1830.00,1860.00,1890.00,1920.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1750.00,1780.00,1800.00,1830.00,1860.00,1890.00,1920.00,
Income security,Small business retirement plan credit,0.00,10.00,20.00,40.00,50.00,50.00,60.00,0.00,10.00,30.00,50.00,70.00,80.00,90.00,0.00,20.00,50.00,90.00,120.00,130.00,150.00,
Income security,Special ESOP rules,310.00,320.00,340.00,350.00,370.00,380.00,400.00,980.00,1020.00,1080.00,1140.00,1200.00,1260.00,1330.00,1290.00,1340.00,1420.00,1490.00,1570.00,1640.00,1730.00,
Income security,Tax credit for the elderly and disabled,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,
"General science, space, and technology",Credit for increasing research activities,60.00,60.00,50.00,40.00,20.00,0.00,0.00,5310.00,5950.00,4540.00,3980.00,2310.00,990.00,410.00,5370.00,6010.00,4590.00,4020.00,2330.00,990.00,410.00,
"General science, space, and technology",Expensing of research and experimentation expenditures (normal tax method),40.00,30.00,50.00,60.00,70.00,80.00,80.00,1980.00,1750.00,2330.00,2820.00,3330.00,3830.00,4080.00,2020.00,1780.00,2380.00,2880.00,3400.00,3910.00,4160.00,
International affairs,Deferral of income from controlled foreign corporations (normal tax method),0.00,0.00,0.00,0.00,0.00,0.00,0.00,6600.00,7000.00,7450.00,7900.00,8400.00,8930.00,9550.00,6600.00,7000.00,7450.00,7900.00,8400.00,8930.00,9550.00,
International affairs,Deferred taxes for financial firms on certain income earned overseas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1300.00,550.00,0.00,0.00,0.00,0.00,0.00,1300.00,550.00,0.00,0.00,0.00,0.00,0.00,
International affairs,Exclusion of certain allowances for Federal employees abroad,760.00,800.00,840.00,880.00,920.00,960.00,1020.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,760.00,800.00,840.00,880.00,920.00,960.00,1020.00,
International affairs,Exclusion of income earned abroad by U.S. citizens,2450.00,2540.00,2660.00,2690.00,2760.00,2810.00,3170.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2450.00,2540.00,2660.00,2690.00,2760.00,2810.00,3170.00,
International affairs,Extraterritorial income exclusion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4490.00,4820.00,5150.00,5510.00,5890.00,6290.00,6730.00,4490.00,4820.00,5150.00,5510.00,5890.00,6290.00,6730.00,
International affairs,Inventory property sales source rules exception,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1400.00,1470.00,1540.00,1620.00,1700.00,1790.00,1880.00,1400.00,1470.00,1540.00,1620.00,1700.00,1790.00,1880.00,
National Defense,Exclusion of benefits and allowances to armed forces personnel,2160.00,2190.00,2210.00,2240.00,2260.00,2290.00,2310.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2160.00,2190.00,2210.00,2240.00,2260.00,2290.00,2310.00,
Agriculture,Capital gains treatment of certain income,990.00,1040.00,1100.00,1160.00,1220.00,1290.00,1360.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,990.00,1040.00,1100.00,1160.00,1220.00,1290.00,1360.00,
Agriculture,Deferral of gain on sale of farm refiners,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Agriculture,Expensing of certain capital outlays,150.00,150.00,150.00,150.00,150.00,150.00,150.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,170.00,170.00,170.00,170.00,170.00,170.00,170.00,
Agriculture,Expensing of certain multiperiod production costs,110.00,110.00,110.00,110.00,100.00,100.00,100.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,120.00,130.00,130.00,130.00,120.00,120.00,120.00,
Agriculture,Income averaging for farmers,70.00,70.00,70.00,70.00,80.00,80.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,70.00,70.00,70.00,80.00,80.00,80.00,
Agriculture,Treatment of loans forgiven for solvent farmers,10.00,10.00,10.00,10.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Community and regional development,"Empowerment zones, Enterprise communities, and Renewal communities",280.00,510.00,830.00,870.00,960.00,1060.00,1190.00,100.00,220.00,300.00,300.00,320.00,350.00,390.00,380.00,730.00,1130.00,1170.00,1280.00,1410.00,1580.00,
Community and regional development,"Exclusion of interest for airport, dock, and similar bonds",470.00,480.00,510.00,580.00,640.00,710.00,790.00,160.00,160.00,170.00,170.00,180.00,180.00,190.00,630.00,640.00,680.00,750.00,820.00,890.00,980.00,
Community and regional development,Exemption of certain mutuals' and cooperatives' income,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,60.00,60.00,60.00,70.00,70.00,70.00,60.00,60.00,60.00,60.00,70.00,70.00,70.00,
Community and regional development,Expensing of environmental remediation costs,10.00,20.00,20.00,0.00,0.00,0.00,0.00,70.00,80.00,80.00,20.00,-20.00,-10.00,-10.00,80.00,100.00,100.00,20.00,-20.00,-10.00,-10.00,
Community and regional development,Investment credit for rehabilitation of structures (other than historic),10.00,10.00,10.00,10.00,10.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,
Community and regional development,New markets tax credit,10.00,70.00,140.00,220.00,320.00,460.00,620.00,0.00,20.00,50.00,70.00,110.00,150.00,210.00,10.00,90.00,190.00,290.00,430.00,610.00,830.00,
Natural resources and environment,Capital gains treatment of certain timber income,100.00,100.00,110.00,120.00,120.00,130.00,140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,110.00,120.00,120.00,130.00,140.00,
Natural resources and environment,"Excess of percentage over cost depletion, nonfuel minerals",10.00,10.00,10.00,20.00,20.00,20.00,20.00,240.00,250.00,260.00,270.00,280.00,280.00,290.00,250.00,260.00,270.00,290.00,300.00,300.00,310.00,
Natural resources and environment,"Exclusion of interest on bonds for water, sewage, and hazardous waste facilities",300.00,310.00,330.00,370.00,420.00,460.00,510.00,100.00,110.00,110.00,110.00,110.00,120.00,120.00,400.00,420.00,440.00,480.00,530.00,580.00,630.00,
Natural resources and environment,"Expensing of exploration and development costs, nonfuel minerals",0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Natural resources and environment,Expensing of multiperiod timber growing costs,120.00,120.00,120.00,120.00,130.00,130.00,130.00,240.00,240.00,250.00,260.00,260.00,270.00,280.00,360.00,360.00,370.00,380.00,390.00,400.00,410.00,
Natural resources and environment,Tax incentives for preservation of historic structures,10.00,20.00,20.00,20.00,20.00,20.00,20.00,170.00,180.00,190.00,200.00,210.00,220.00,230.00,180.00,200.00,210.00,220.00,230.00,240.00,250.00,
"Education, training, employment, and social services",Adoption credit and exclusion,130.00,140.00,220.00,450.00,500.00,540.00,560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130.00,140.00,220.00,450.00,500.00,540.00,560.00,
"Education, training, employment, and social services",Assistance for adopted foster children,190.00,220.00,250.00,260.00,270.00,280.00,290.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,190.00,220.00,250.00,260.00,270.00,280.00,290.00,
"Education, training, employment, and social services",Child credit,19840.00,19760.00,19680.00,19550.00,20550.00,21530.00,21240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19840.00,19760.00,19680.00,19550.00,20550.00,21530.00,21240.00,"The figures in the table indicate the effect of the child tax credit on receipts. The effect of the credit on outlays (in millions of dollars) is as follows: 2001 $980; 2002 $7,390; 2003 $7,390; 2004 $7,210; 2005 $6,950; 2006 $9,380; and 2007 $9,200."
"Education, training, employment, and social services",Credit for child and dependent care expenses,2670.00,2610.00,2670.00,2960.00,2700.00,2150.00,1920.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2670.00,2610.00,2670.00,2960.00,2700.00,2150.00,1920.00,
"Education, training, employment, and social services",Credit for disabled access expenditures,40.00,40.00,40.00,40.00,40.00,40.00,40.00,10.00,10.00,10.00,10.00,20.00,20.00,20.00,50.00,50.00,50.00,50.00,60.00,60.00,60.00,
"Education, training, employment, and social services",Credit for holders of zone academy bonds,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,50.00,70.00,80.00,90.00,90.00,90.00,30.00,50.00,70.00,80.00,90.00,90.00,90.00,
"Education, training, employment, and social services",Deductibility of charitable contributions (education),3240.00,3300.00,3430.00,3610.00,3760.00,3940.00,4080.00,590.00,680.00,770.00,830.00,840.00,900.00,950.00,3830.00,3980.00,4200.00,4440.00,4600.00,4840.00,5030.00,
"Education, training, employment, and social services","Deductibility of charitable contributions, other than education and health",29420.00,29960.00,31130.00,32790.00,34150.00,35780.00,37110.00,730.00,850.00,950.00,1040.00,1040.00,1110.00,1180.00,30150.00,30810.00,32080.00,33830.00,35190.00,36890.00,38290.00,
"Education, training, employment, and social services",Deductibility of student-loan interest,390.00,450.00,640.00,660.00,680.00,700.00,720.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,390.00,450.00,640.00,660.00,680.00,700.00,720.00,
"Education, training, employment, and social services",Deduction for higher education expenses,0.00,430.00,2290.00,2960.00,3710.00,3010.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,430.00,2290.00,2960.00,3710.00,3010.00,0.00,
"Education, training, employment, and social services",Education Individual Retirement Accounts,30.00,50.00,80.00,130.00,220.00,330.00,470.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,50.00,80.00,130.00,220.00,330.00,470.00,
"Education, training, employment, and social services",Employer provided child care exclusion,720.00,740.00,770.00,810.00,930.00,1020.00,1080.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,720.00,740.00,770.00,810.00,930.00,1020.00,1080.00,
"Education, training, employment, and social services",Employer-provided child care credit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,90.00,130.00,150.00,150.00,160.00,0.00,40.00,90.00,130.00,150.00,150.00,160.00,
"Education, training, employment, and social services",Exclusion of certain foster care payments,500.00,510.00,520.00,530.00,540.00,570.00,610.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.00,510.00,520.00,530.00,540.00,570.00,610.00,
"Education, training, employment, and social services",Exclusion of employee meals and lodging (other than military),710.00,740.00,780.00,810.00,850.00,890.00,930.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,710.00,740.00,780.00,810.00,850.00,890.00,930.00,
"Education, training, employment, and social services",Exclusion of employer-provided educational assistance,260.00,410.00,500.00,530.00,560.00,590.00,620.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,260.00,410.00,500.00,530.00,560.00,590.00,620.00,
"Education, training, employment, and social services",Exclusion of interest on bonds for private nonprofit educational facilities,400.00,410.00,440.00,490.00,550.00,610.00,670.00,140.00,140.00,140.00,150.00,150.00,150.00,160.00,540.00,550.00,580.00,640.00,700.00,760.00,830.00,
"Education, training, employment, and social services",Exclusion of interest on savings bonds redeemed to finance educational expenses,10.00,20.00,20.00,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,
"Education, training, employment, and social services",Exclusion of interest on student-loan bonds,170.00,170.00,180.00,200.00,230.00,250.00,280.00,60.00,60.00,60.00,60.00,60.00,60.00,70.00,230.00,230.00,240.00,260.00,290.00,310.00,350.00,
"Education, training, employment, and social services",Exclusion of parsonage allowances,350.00,370.00,400.00,420.00,450.00,470.00,490.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350.00,370.00,400.00,420.00,450.00,470.00,490.00,
"Education, training, employment, and social services",Exclusion of scholarship and fellowship income (normal tax method),1210.00,1200.00,1210.00,1240.00,1330.00,1380.00,1390.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1210.00,1200.00,1210.00,1240.00,1330.00,1380.00,1390.00,
"Education, training, employment, and social services",HOPE tax credit,4130.00,4110.00,3520.00,2880.00,2930.00,2730.00,2900.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4130.00,4110.00,3520.00,2880.00,2930.00,2730.00,2900.00,
"Education, training, employment, and social services",Lifetime Learning tax credit,2370.00,2290.00,2360.00,3140.00,2980.00,2740.00,2960.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2370.00,2290.00,2360.00,3140.00,2980.00,2740.00,2960.00,
"Education, training, employment, and social services",Parental personal exemption for students age 19 or over,1010.00,1070.00,1120.00,1170.00,1230.00,1280.00,1340.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1010.00,1070.00,1120.00,1170.00,1230.00,1280.00,1340.00,
"Education, training, employment, and social services",State prepaid tuition plans,190.00,270.00,340.00,400.00,460.00,530.00,590.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,190.00,270.00,340.00,400.00,460.00,530.00,590.00,
"Education, training, employment, and social services",Welfare-to-work tax credit,10.00,10.00,10.00,0.00,0.00,0.00,0.00,80.00,60.00,30.00,20.00,10.00,0.00,0.00,90.00,70.00,40.00,20.00,10.00,0.00,0.00,
