"Source: OMB. ""Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2002."""
""
Budget_function,Title as it Appears in Source,2000 Indv,2001 Indv,2002 Indv,2003 Indv,2004 Indv,2005 Indv,2006 Indv,2000 Corp,2001 Corp,2002 Corp,2003 Corp,2004 Corp,2005 Corp,2006 Corp,2000 Total,2001 Total,2002 Total,2003 Total,2004 Total,2005 Total,2006 Total,Notes
Commerce and housing,Exclusion of interest on owner-occupied mortgage subsidy bonds,590.00,600.00,610.00,650.00,740.00,820.00,910.00,200.00,200.00,210.00,220.00,250.00,270.00,290.00,790.00,800.00,820.00,870.00,990.00,1090.00,1200.00,
Commerce and housing,Exclusion of interest on rental housing bonds,120.00,120.00,130.00,130.00,150.00,170.00,190.00,40.00,40.00,40.00,40.00,50.00,60.00,70.00,160.00,160.00,170.00,170.00,200.00,230.00,260.00,
Commerce and housing,Exclusion of interest on small issue bonds,220.00,220.00,230.00,240.00,270.00,310.00,340.00,70.00,80.00,80.00,90.00,90.00,100.00,110.00,290.00,300.00,310.00,330.00,360.00,410.00,450.00,
Commerce and housing,Exemption of credit union income,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1550.00,1650.00,1770.00,1890.00,2020.00,2160.00,2280.00,1550.00,1650.00,1770.00,1890.00,2020.00,2160.00,2280.00,
Commerce and housing,Expensing of certain small investments (normal tax method),1470.00,1760.00,1810.00,1800.00,1730.00,1670.00,1690.00,630.00,810.00,880.00,870.00,840.00,810.00,820.00,2100.00,2570.00,2690.00,2670.00,2570.00,2480.00,2510.00,
Commerce and housing,Graduated corporation income tax rate (normal tax method),0.00,0.00,0.00,0.00,0.00,0.00,0.00,6480.00,6700.00,7140.00,7460.00,7540.00,7760.00,7960.00,6480.00,6700.00,7140.00,7460.00,7540.00,7760.00,7960.00,
Commerce and housing,Ordinary income treatment of loss from small business corporation stock sale,35.00,40.00,40.00,40.00,40.00,40.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,40.00,40.00,40.00,40.00,40.00,40.00,
Commerce and housing,"Capital gains (except agriculture, timber, iron ore, and coal) (normal tax method)",40520.00,41720.00,42950.00,44220.00,45530.00,46870.00,48260.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40520.00,41720.00,42950.00,44220.00,45530.00,46870.00,48260.00,
Commerce and housing,Small life insurance company deduction,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
Commerce and housing,Special alternative tax on small property and casualty insurance companies,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Commerce and housing,Step-up basis of capital gains at death,27090.00,28240.00,29370.00,30540.00,31760.00,33030.00,34360.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27090.00,28240.00,29370.00,30540.00,31760.00,33030.00,34360.00,
Commerce and housing,Tax exemption of certain insurance companies owned by tax-exempt organizations,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.00,240.00,250.00,270.00,280.00,300.00,310.00,230.00,240.00,250.00,270.00,280.00,300.00,310.00,
Transportation,Deferral of tax on shipping companies,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,
Transportation,Exclusion for employer-provided transit passes,190.00,220.00,260.00,310.00,350.00,400.00,440.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,190.00,220.00,260.00,310.00,350.00,400.00,440.00,
Transportation,Exclusion of reimbursed employee parking expenses,1880.00,1980.00,2090.00,2190.00,2300.00,2420.00,2550.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1880.00,1980.00,2090.00,2190.00,2300.00,2420.00,2550.00,
Income security,Additional deduction for the blind,30.00,30.00,30.00,30.00,40.00,40.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,30.00,30.00,30.00,40.00,40.00,40.00,
Income security,Additional deduction for the elderly,1920.00,1990.00,2060.00,2130.00,2210.00,2260.00,2350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1920.00,1990.00,2060.00,2130.00,2210.00,2260.00,2350.00,
Income security,Deductibility of casualty losses,230.00,250.00,260.00,280.00,290.00,300.00,320.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.00,250.00,260.00,280.00,290.00,300.00,320.00,
Income security,Earned income tax credit,4644.00,4692.00,4963.00,5225.00,5436.00,5688.00,5965.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4644.00,4692.00,4963.00,5225.00,5436.00,5688.00,5965.00,"The figures in the table indicate the effect of the earned income tax credit on receipts. The effect of the credit on outlays (in millions of dollars) is as follows: 2000 $26,099; 2001 $25,923; 2002 $26,983; 2003 $27,875; 2004 $28,545; 2005 $29,373; and in 2006 $30,165. (Subsidyscope has identified a discrepancy between the information reported in Treasury's table of individual and corporate estimates combined, and Treasury's table with individual and corporate estimates separated. Subsidyscope defaults to using the information reported in the Treasury's table in which individual and corporate estimates are separated.)"
Income security,Employer plans,89120.00,93220.00,97510.00,103010.00,108480.00,114220.00,121990.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89120.00,93220.00,97510.00,103010.00,108480.00,114220.00,121990.00,
Income security,Exclusion of military disability pensions,120.00,120.00,130.00,130.00,130.00,140.00,140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,120.00,130.00,130.00,130.00,140.00,140.00,
Income security,Exclusion of public assistance benefits (normal tax method),360.00,370.00,390.00,400.00,420.00,430.00,450.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,360.00,370.00,390.00,400.00,420.00,430.00,450.00,
Income security,Exclusion of railroad retirement system benefits,360.00,360.00,360.00,360.00,360.00,360.00,360.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,360.00,360.00,360.00,360.00,360.00,360.00,360.00,
Income security,Exclusion of special benefits for disabled coal miners,80.00,70.00,70.00,60.00,60.00,60.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,70.00,70.00,60.00,60.00,60.00,50.00,
Income security,Exclusion of workers' compensation benefits,5120.00,5560.00,5810.00,6070.00,6320.00,6600.00,6900.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5120.00,5560.00,5810.00,6070.00,6320.00,6600.00,6900.00,
Income security,Income of trusts to finance supplementary unemployment benefits,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Income security,Individual Retirement Accounts,15200.00,15920.00,16600.00,17230.00,17770.00,18220.00,18520.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15200.00,15920.00,16600.00,17230.00,17770.00,18220.00,18520.00,
Income security,Keogh plans,5500.00,5830.00,6180.00,6540.00,6930.00,7330.00,7750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5500.00,5830.00,6180.00,6540.00,6930.00,7330.00,7750.00,
Income security,Premiums on accident and disability insurance,200.00,210.00,220.00,230.00,240.00,250.00,260.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,210.00,220.00,230.00,240.00,250.00,260.00,
Income security,Premiums on group term life insurance,1720.00,1750.00,1780.00,1830.00,1860.00,1900.00,1930.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1720.00,1750.00,1780.00,1830.00,1860.00,1900.00,1930.00,
Income security,Special ESOP rules,300.00,310.00,320.00,330.00,340.00,360.00,370.00,940.00,980.00,1020.00,1070.00,1120.00,1180.00,1240.00,1240.00,1290.00,1340.00,1400.00,1460.00,1540.00,1610.00,
Income security,Tax credit for the elderly and disabled,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,
"General science, space, and technology",Credit for increasing research activities,10.00,60.00,60.00,50.00,40.00,20.00,0.00,1620.00,5990.00,6700.00,5340.00,4670.00,2700.00,1160.00,1630.00,6050.00,6760.00,5390.00,4710.00,2720.00,1160.00,
"General science, space, and technology",Expensing of research and experimentation expenditures (normal tax method),30.00,30.00,30.00,30.00,40.00,40.00,40.00,1650.00,1620.00,1650.00,1740.00,1840.00,1940.00,2060.00,1680.00,1650.00,1680.00,1770.00,1880.00,1980.00,2100.00,
International affairs,Deferral of income from controlled foreign corporations (normal tax method),0.00,0.00,0.00,0.00,0.00,0.00,0.00,6200.00,6600.00,7000.00,7450.00,7900.00,8400.00,8930.00,6200.00,6600.00,7000.00,7450.00,7900.00,8400.00,8930.00,
International affairs,Deferred taxes for financial firms on certain income earned overseas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1190.00,1290.00,540.00,0.00,0.00,0.00,0.00,1190.00,1290.00,540.00,0.00,0.00,0.00,0.00,
International affairs,Exclusion of certain allowances for Federal employees abroad,680.00,720.00,750.00,790.00,830.00,870.00,920.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,680.00,720.00,750.00,790.00,830.00,870.00,920.00,
International affairs,Exclusion of income earned abroad by U.S. citizens,2500.00,2680.00,2850.00,3010.00,3180.00,3350.00,3550.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2500.00,2680.00,2850.00,3010.00,3180.00,3350.00,3550.00,
International affairs,Exclusion of income of foreign sales corporations,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3890.00,0.00,0.00,0.00,0.00,0.00,0.00,3890.00,0.00,0.00,0.00,0.00,0.00,0.00,
International affairs,Extraterritorial income exclusion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4490.00,4810.00,5150.00,5500.00,5880.00,6290.00,0.00,4490.00,4810.00,5150.00,5500.00,5880.00,6290.00,
International affairs,Inventory property sales source rules exception,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2170.00,2280.00,2390.00,2510.00,2630.00,2760.00,2900.00,2170.00,2280.00,2390.00,2510.00,2630.00,2760.00,2900.00,
National Defense,"Exclusion of benefits, allowances, and certain pays to armed forces personnel",2140.00,2160.00,2190.00,2210.00,2240.00,2260.00,2290.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2140.00,2160.00,2190.00,2210.00,2240.00,2260.00,2290.00,
Agriculture,Capital gains treatment of certain income,700.00,740.00,780.00,820.00,860.00,900.00,950.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,700.00,740.00,780.00,820.00,860.00,900.00,950.00,
Agriculture,Deferral of gain on sale of farm refiners,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Agriculture,Expensing of certain capital outlays,140.00,140.00,140.00,150.00,150.00,160.00,160.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,160.00,160.00,160.00,170.00,170.00,180.00,180.00,
Agriculture,Expensing of certain multiperiod production costs,100.00,100.00,100.00,100.00,100.00,110.00,110.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,110.00,110.00,120.00,120.00,120.00,130.00,130.00,
Agriculture,Income averaging for farmers,50.00,50.00,50.00,50.00,60.00,60.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,50.00,50.00,60.00,60.00,60.00,
Agriculture,Treatment of loans forgiven for solvent farmers,10.00,10.00,10.00,10.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Community and regional development,Empowerment zones and enterprise communities,230.00,240.00,450.00,840.00,900.00,990.00,1110.00,80.00,80.00,210.00,300.00,310.00,350.00,370.00,310.00,320.00,660.00,1140.00,1210.00,1340.00,1480.00,
Community and regional development,"Exclusion of interest for airport, dock, and similar bonds",460.00,470.00,480.00,510.00,580.00,640.00,710.00,160.00,160.00,160.00,180.00,200.00,210.00,240.00,620.00,630.00,640.00,690.00,780.00,850.00,950.00,
Community and regional development,Exemption of certain mutuals' and cooperatives' income,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,60.00,60.00,60.00,60.00,70.00,70.00,60.00,60.00,60.00,60.00,60.00,70.00,70.00,
Community and regional development,Expensing of environmental remediation costs,30.00,60.00,70.00,50.00,-10.00,-20.00,-10.00,130.00,290.00,340.00,280.00,40.00,-110.00,-70.00,160.00,350.00,410.00,330.00,30.00,-130.00,-80.00,
Community and regional development,Investment credit for rehabilitation of structures (other than historic),10.00,10.00,10.00,10.00,10.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,
Community and regional development,New markets tax credit,0.00,10.00,70.00,150.00,230.00,330.00,480.00,0.00,0.00,20.00,50.00,80.00,110.00,160.00,0.00,10.00,90.00,200.00,310.00,440.00,640.00,
Natural resources and environment,Capital gains treatment of certain timber income,70.00,70.00,80.00,80.00,80.00,90.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,70.00,80.00,80.00,80.00,90.00,90.00,
Natural resources and environment,"Excess of percentage over cost depletion, nonfuel minerals",20.00,20.00,20.00,20.00,20.00,20.00,20.00,250.00,260.00,280.00,290.00,300.00,310.00,330.00,270.00,280.00,300.00,310.00,320.00,330.00,350.00,
Natural resources and environment,"Exclusion of interest on bonds for water, sewage, and hazardous waste facilities",300.00,300.00,310.00,330.00,380.00,420.00,460.00,100.00,100.00,100.00,120.00,130.00,140.00,150.00,400.00,400.00,410.00,450.00,510.00,560.00,610.00,
Natural resources and environment,"Expensing of exploration and development costs, nonfuel minerals",0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,
Natural resources and environment,Expensing of multiperiod timber growing costs,290.00,290.00,300.00,310.00,310.00,320.00,320.00,280.00,290.00,310.00,320.00,330.00,340.00,360.00,570.00,580.00,610.00,630.00,640.00,660.00,680.00,
Natural resources and environment,Investment credit and seven-year amortization for reforestation expenditures,0.00,0.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,
Natural resources and environment,Tax incentives for preservation of historic structures,20.00,20.00,20.00,20.00,30.00,30.00,30.00,170.00,180.00,190.00,200.00,210.00,220.00,230.00,190.00,200.00,210.00,220.00,240.00,250.00,260.00,
"Education, training, employment, and social services",Assistance for adopted foster children,160.00,190.00,210.00,240.00,250.00,260.00,270.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.00,190.00,210.00,240.00,250.00,260.00,270.00,"This tax expenditure is defined in the FY2002 Analytical Perspectives as an ""Adoption credit and exclusion."" For more information see page 87 of the FY2002 document available <a href=""http://www.gpoaccess.gov/usbudget/fy02/pdf/spec.pdf"">here</a>."
"Education, training, employment, and social services",Adoption assistance,120.00,130.00,120.00,30.00,30.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,130.00,120.00,30.00,30.00,20.00,20.00,"This tax expenditure is defined in the FY2002 Analytical Perspectives as an ""Assistance for adopted foster children."" For more information see page 87 of the FY2002 document available <a href=""http://www.gpoaccess.gov/usbudget/fy02/pdf/spec.pdf"">here</a>."
"Education, training, employment, and social services",Child credit,19330.00,19310.00,18980.00,18410.00,18000.00,17430.00,16790.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19330.00,19310.00,18980.00,18410.00,18000.00,17430.00,16790.00,The figures in the table indicate the effect of the child tax credit on receipts. The effect of the credit on outlays (in millions of dollars) is as follows: 2000 $810; 2001 $790; 2002 $760; 2003 $720; 2004 $660; 2005 $630; and in 2006 $590.
"Education, training, employment, and social services",Credit for child and dependent care expenses,2390.00,2360.00,2330.00,2300.00,2280.00,2250.00,2220.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2390.00,2360.00,2330.00,2300.00,2280.00,2250.00,2220.00,
"Education, training, employment, and social services",Credit for disabled access expenditures,30.00,30.00,40.00,40.00,40.00,40.00,40.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,40.00,40.00,50.00,50.00,50.00,50.00,50.00,
"Education, training, employment, and social services",Credit for holders of zone academy bonds,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,40.00,50.00,60.00,70.00,70.00,10.00,20.00,40.00,50.00,60.00,70.00,70.00,
"Education, training, employment, and social services",Deductibility of charitable contributions (education),2130.00,2230.00,2340.00,2460.00,2580.00,2710.00,2850.00,600.00,600.00,590.00,630.00,620.00,590.00,690.00,2730.00,2830.00,2930.00,3090.00,3200.00,3300.00,3540.00,
"Education, training, employment, and social services","Deductibility of charitable contributions, other than education and health",19400.00,20280.00,21300.00,22370.00,23480.00,24650.00,25920.00,750.00,740.00,730.00,790.00,760.00,730.00,860.00,20150.00,21020.00,22030.00,23160.00,24240.00,25380.00,26780.00,
"Education, training, employment, and social services",Deductibility of student-loan interest,360.00,370.00,380.00,380.00,390.00,400.00,410.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,360.00,370.00,380.00,380.00,390.00,400.00,410.00,
"Education, training, employment, and social services",Education Individual Retirement Accounts,20.00,30.00,50.00,60.00,80.00,100.00,120.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,30.00,50.00,60.00,80.00,100.00,120.00,
"Education, training, employment, and social services",Exclusion of employer provided child care,670.00,700.00,730.00,760.00,810.00,850.00,900.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,670.00,700.00,730.00,760.00,810.00,850.00,900.00,
"Education, training, employment, and social services",Exclusion of certain foster care payments,550.00,570.00,300.00,630.00,660.00,700.00,730.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,550.00,570.00,300.00,630.00,660.00,700.00,730.00,
"Education, training, employment, and social services",Exclusion of employee meals and lodging (other than military),680.00,710.00,740.00,780.00,810.00,850.00,890.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,680.00,710.00,740.00,780.00,810.00,850.00,890.00,
"Education, training, employment, and social services",Exclusion of employer-provided educational assistance,240.00,260.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240.00,260.00,90.00,0.00,0.00,0.00,0.00,
"Education, training, employment, and social services",Exclusion of interest on bonds for private nonprofit educational facilities,390.00,400.00,410.00,430.00,490.00,550.00,610.00,130.00,140.00,140.00,150.00,160.00,190.00,200.00,520.00,540.00,550.00,580.00,650.00,740.00,810.00,
"Education, training, employment, and social services",Exclusion of interest on savings bonds redeemed to finance educational expenses,10.00,10.00,10.00,10.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
"Education, training, employment, and social services",Exclusion of interest on student-loan bonds,160.00,170.00,170.00,180.00,200.00,220.00,250.00,50.00,60.00,60.00,60.00,70.00,70.00,80.00,210.00,230.00,230.00,240.00,270.00,290.00,330.00,
"Education, training, employment, and social services",Exclusion of parsonage allowances,330.00,350.00,370.00,400.00,430.00,460.00,490.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,330.00,350.00,370.00,400.00,430.00,460.00,490.00,
"Education, training, employment, and social services",Exclusion of scholarship and fellowship income (normal tax method),1110.00,1120.00,1130.00,1140.00,1150.00,1160.00,1180.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1110.00,1120.00,1130.00,1140.00,1150.00,1160.00,1180.00,
"Education, training, employment, and social services",HOPE tax credit,4210.00,4480.00,4610.00,4280.00,4110.00,4360.00,4630.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4210.00,4480.00,4610.00,4280.00,4110.00,4360.00,4630.00,
"Education, training, employment, and social services",Lifetime Learning tax credit,2420.00,2570.00,2580.00,2960.00,4490.00,4460.00,4660.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2420.00,2570.00,2580.00,2960.00,4490.00,4460.00,4660.00,
"Education, training, employment, and social services",Parental personal exemption for students age 19 or over,950.00,1010.00,1070.00,1110.00,1170.00,1220.00,1270.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,950.00,1010.00,1070.00,1110.00,1170.00,1220.00,1270.00,
"Education, training, employment, and social services",Deferral for state prepaid tuition plans,100.00,130.00,180.00,230.00,250.00,290.00,330.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,130.00,180.00,230.00,250.00,290.00,330.00,
"Education, training, employment, and social services",Welfare-to-work tax credit,10.00,10.00,10.00,10.00,0.00,0.00,0.00,40.00,60.00,60.00,40.00,20.00,10.00,0.00,50.00,70.00,70.00,50.00,20.00,10.00,0.00,
"Education, training, employment, and social services",Work opportunity tax credit,40.00,40.00,30.00,20.00,10.00,0.00,0.00,350.00,360.00,270.00,160.00,70.00,30.00,10.00,390.00,400.00,300.00,180.00,80.00,30.00,10.00,
